,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121268,745.0,750.0,755.0,740.0,59300,CLPI,2020-07-01,,,,,
128689,750.0,745.0,750.0,730.0,13200,CLPI,2020-07-02,,,,,
102363,740.0,735.0,740.0,730.0,45200,CLPI,2020-07-03,,,,,
85056,735.0,740.0,745.0,730.0,5100,CLPI,2020-07-06,,,,,
33953,735.0,735.0,735.0,720.0,28500,CLPI,2020-07-07,,,,,
47964,735.0,725.0,740.0,710.0,66200,CLPI,2020-07-08,,,,,
114691,725.0,715.0,735.0,700.0,400700,CLPI,2020-07-09,,,,,
23249,720.0,715.0,720.0,700.0,65100,CLPI,2020-07-10,,,,,732.5
15013,720.0,730.0,730.0,715.0,23200,CLPI,2020-07-13,,,,,731.9444444444445
31491,730.0,715.0,730.0,700.0,89800,CLPI,2020-07-14,,,,730.5,728.179012345679
89994,715.0,715.0,720.0,715.0,33000,CLPI,2020-07-15,,,,727.0,725.2503429355281
21604,720.0,720.0,720.0,720.0,1600,CLPI,2020-07-16,,,,724.5,724.0836000609663
104800,720.0,725.0,730.0,705.0,46600,CLPI,2020-07-17,,,,723.5,724.2872444918627
78468,730.0,700.0,730.0,700.0,196200,CLPI,2020-07-20,,,,719.5,718.8900790492265
103171,715.0,715.0,720.0,700.0,74200,CLPI,2020-07-21,,,,717.5,718.0256170382874
94114,710.0,700.0,710.0,700.0,72300,CLPI,2020-07-22,,,,715.0,714.0199243631124
8422,705.0,710.0,710.0,700.0,104800,CLPI,2020-07-23,,,,714.5,713.1266078379763
101549,715.0,710.0,715.0,705.0,21900,CLPI,2020-07-24,,,,714.0,712.4318060962038
55379,715.0,715.0,715.0,705.0,36100,CLPI,2020-07-27,,,,712.5,713.002515852603
41370,705.0,700.0,720.0,700.0,25300,CLPI,2020-07-28,,,,711.0,710.1130678853579
111402,705.0,700.0,715.0,685.0,158700,CLPI,2020-07-29,,,,709.5,707.8657194663895
80922,700.0,710.0,710.0,695.0,36100,CLPI,2020-07-30,,,,708.5,708.340004029414
117988,710.0,700.0,715.0,690.0,107800,CLPI,2020-08-03,,,,706.0,706.4866698006554
6785,700.0,700.0,705.0,695.0,21500,CLPI,2020-08-04,,,,706.0,705.045187622732
53735,700.0,700.0,745.0,685.0,146700,CLPI,2020-08-05,,,,704.5,703.9240348176804
70224,715.0,710.0,720.0,700.0,310000,CLPI,2020-08-06,,,,705.5,705.2742493026403
43841,710.0,710.0,715.0,700.0,37800,CLPI,2020-08-07,,,,705.5,706.3244161242758
99070,710.0,710.0,715.0,700.0,231600,CLPI,2020-08-10,,,,705.5,707.1412125411034
52919,700.0,705.0,705.0,695.0,461100,CLPI,2020-08-11,,,,704.5,706.6653875319694
120451,710.0,720.0,725.0,700.0,460900,CLPI,2020-08-12,,,716.0,706.5,709.6286347470873
62800,720.0,715.0,730.0,715.0,96200,CLPI,2020-08-13,,,714.8333333333334,708.0,710.8222714699568
87537,715.0,725.0,730.0,710.0,154700,CLPI,2020-08-14,,,714.1666666666666,709.5,713.9728778099665
61156,735.0,720.0,750.0,720.0,483900,CLPI,2020-08-18,,,713.6666666666666,711.5,715.3122382966405
89178,720.0,745.0,750.0,720.0,534100,CLPI,2020-08-19,,,713.8333333333334,716.0,721.9095186751649
10070,755.0,760.0,785.0,740.0,1083800,CLPI,2020-08-24,,,714.6666666666666,722.0,730.3740700806839
129497,770.0,780.0,780.0,750.0,1558800,CLPI,2020-08-25,,,716.5,729.0,741.4020545071985
103984,785.0,785.0,790.0,780.0,653500,CLPI,2020-08-26,,,718.8333333333334,736.5,751.0904868389322
3490,790.0,770.0,790.0,765.0,721000,CLPI,2020-08-27,,,720.6666666666666,742.5,755.292600874725
79280,775.0,775.0,780.0,770.0,616200,CLPI,2020-08-28,,,722.1666666666666,749.5,759.672022902564
27369,780.0,775.0,790.0,770.0,1774200,CLPI,2020-08-31,,,724.1666666666666,755.0,763.0782400353276
34764,745.0,725.0,745.0,725.0,257400,CLPI,2020-09-01,,,724.5,756.0,754.6164089163659
38902,715.0,710.0,725.0,690.0,481400,CLPI,2020-09-02,,,724.1666666666666,754.5,744.7016513793957
68571,710.0,695.0,710.0,695.0,94400,CLPI,2020-09-03,,,723.1666666666666,752.0,733.6568399617522
12545,695.0,685.0,695.0,675.0,156700,CLPI,2020-09-04,,,722.6666666666666,746.0,722.8442088591406
26550,685.0,675.0,690.0,670.0,99200,CLPI,2020-09-07,,,721.3333333333334,737.5,712.2121624459983
108095,675.0,680.0,705.0,675.0,101400,CLPI,2020-09-08,,,720.6666666666666,727.5,705.0539041246653
122076,680.0,675.0,680.0,670.0,105800,CLPI,2020-09-09,,,719.5,716.5,698.3752587636286
7598,670.0,630.0,670.0,630.0,288300,CLPI,2020-09-10,,,716.8333333333334,702.5,683.1807568161556
17475,630.0,635.0,650.0,590.0,108500,CLPI,2020-09-11,,,714.1666666666666,688.5,672.4739219681211
44655,640.0,665.0,685.0,640.0,63100,CLPI,2020-09-14,,,713.0,677.5,670.8130504196497
66094,665.0,665.0,680.0,660.0,23100,CLPI,2020-09-15,,,711.8333333333334,671.5,669.5212614375054
1008,680.0,660.0,680.0,660.0,25600,CLPI,2020-09-16,,,710.1666666666666,666.5,667.4054255625042
56192,680.0,665.0,680.0,660.0,24500,CLPI,2020-09-17,,,709.0,663.5,666.8708865486144
61972,675.0,670.0,675.0,660.0,12500,CLPI,2020-09-18,,,708.0,662.0,667.5662450933668
71864,690.0,660.0,690.0,660.0,24100,CLPI,2020-09-21,,,706.6666666666666,660.5,665.8848572948408
99886,655.0,660.0,685.0,655.0,28100,CLPI,2020-09-22,,,705.0,658.5,664.5771112293206
76817,675.0,670.0,675.0,660.0,9200,CLPI,2020-09-23,,,703.6666666666666,658.0,665.7821976228049
65267,670.0,640.0,675.0,625.0,151700,CLPI,2020-09-24,,,701.3333333333334,659.0,660.0528203732927
96588,640.0,640.0,645.0,630.0,42600,CLPI,2020-09-25,,,699.1666666666666,659.5,655.5966380681165
59504,645.0,645.0,650.0,645.0,15800,CLPI,2020-09-28,,,696.6666666666666,657.5,653.241829608535
15824,660.0,640.0,660.0,630.0,86600,CLPI,2020-09-29,,,694.1666666666666,655.0,650.2992008066383
84229,640.0,645.0,680.0,640.0,79400,CLPI,2020-09-30,,,691.5,653.5,649.1216006273853
91629,655.0,650.0,655.0,645.0,3200,CLPI,2020-10-01,,,689.1666666666666,652.0,649.3168004879664
67747,665.0,655.0,665.0,655.0,15300,CLPI,2020-10-02,,,686.1666666666666,650.5,650.5797337128628
11721,670.0,655.0,670.0,655.0,14700,CLPI,2020-10-05,,,682.6666666666666,650.0,651.5620151100044
119626,655.0,655.0,655.0,650.0,44200,CLPI,2020-10-06,,,678.5,649.5,652.3260117522257
20779,655.0,660.0,660.0,650.0,11600,CLPI,2020-10-07,,,674.3333333333334,648.5,654.0313424739533
19123,665.0,670.0,670.0,660.0,229000,CLPI,2020-10-08,,,671.0,651.5,657.579933035297
109752,675.0,670.0,675.0,665.0,9500,CLPI,2020-10-09,,,667.5,654.5,660.3399479163421
28187,675.0,675.0,675.0,670.0,14000,CLPI,2020-10-12,,,664.1666666666666,657.5,663.5977372682661
75992,675.0,660.0,675.0,660.0,29800,CLPI,2020-10-13,,,662.0,659.5,662.7982400975403
106441,670.0,665.0,670.0,655.0,63800,CLPI,2020-10-14,,,660.5,661.5,663.2875200758647
14188,665.0,665.0,670.0,660.0,47300,CLPI,2020-10-15,,,659.5,663.0,663.668071170117
5136,665.0,655.0,665.0,650.0,45300,CLPI,2020-10-16,,,658.5,663.0,661.7418331323132
183,665.0,660.0,665.0,650.0,25600,CLPI,2020-10-19,,,658.0,663.5,661.3547591029103
124557,660.0,660.0,665.0,660.0,18000,CLPI,2020-10-20,,,657.3333333333334,664.0,661.0537015244857
74342,660.0,665.0,670.0,660.0,57400,CLPI,2020-10-21,,,657.0,664.5,661.9306567412667
29842,655.0,660.0,670.0,655.0,38700,CLPI,2020-10-22,,,658.0,663.5,661.5016219098741
32302,665.0,655.0,665.0,655.0,9600,CLPI,2020-10-23,,,658.6666666666666,662.0,660.0568170410131
57020,660.0,660.0,660.0,660.0,18400,CLPI,2020-10-26,,,658.5,660.5,660.0441910318991
52094,665.0,670.0,680.0,650.0,107500,CLPI,2020-10-27,,,658.6666666666666,661.5,662.2565930248104
88353,670.0,675.0,680.0,665.0,120600,CLPI,2020-11-02,,,659.1666666666666,662.5,665.0884612415192
83404,680.0,680.0,680.0,670.0,55200,CLPI,2020-11-03,,,659.6666666666666,664.0,668.4021365211817
5960,685.0,680.0,690.0,680.0,83600,CLPI,2020-11-04,,,660.0,666.5,670.9794395164746
18298,680.0,690.0,695.0,680.0,131000,CLPI,2020-11-05,,,661.0,669.5,675.2062307350358
42182,690.0,685.0,690.0,680.0,43600,CLPI,2020-11-06,,,661.8333333333334,672.0,677.3826239050278
90804,690.0,705.0,720.0,690.0,67600,CLPI,2020-11-09,,,663.0,676.0,683.5198185927994
1835,705.0,710.0,715.0,705.0,104600,CLPI,2020-11-10,,,665.3333333333334,681.0,689.4043033499551
24059,710.0,705.0,710.0,705.0,31500,CLPI,2020-11-11,,,667.5,686.0,692.8700137166317
77643,700.0,700.0,705.0,695.0,16000,CLPI,2020-11-12,,,669.3333333333334,690.0,694.4544551129358
75166,705.0,710.0,710.0,700.0,18100,CLPI,2020-11-13,,,671.6666666666666,694.0,697.9090206433945
73516,710.0,705.0,710.0,700.0,74100,CLPI,2020-11-16,,,673.6666666666666,697.0,699.4847938337513
39719,705.0,705.0,710.0,695.0,224800,CLPI,2020-11-17,,,675.5,699.5,700.7103952040287
16649,700.0,705.0,705.0,700.0,140500,CLPI,2020-11-18,,,677.1666666666666,702.0,701.6636407142446
66921,710.0,710.0,710.0,700.0,181600,CLPI,2020-11-19,,,679.0,704.0,703.516164999968
80096,710.0,720.0,725.0,710.0,212900,CLPI,2020-11-20,,,681.1666666666666,707.5,707.1792394444196
71038,720.0,725.0,730.0,720.0,91900,CLPI,2020-11-23,,,683.3333333333334,709.5,711.1394084567709
112214,725.0,730.0,735.0,725.0,92300,CLPI,2020-11-24,,,685.3333333333334,711.5,715.3306510219329
118800,730.0,735.0,740.0,730.0,208200,CLPI,2020-11-25,,,687.5,714.5,719.7016174615034
58678,735.0,750.0,750.0,730.0,261900,CLPI,2020-11-26,696.55,,690.0,719.5,726.434591358947
13362,750.0,750.0,765.0,735.0,61700,CLPI,2020-11-27,696.55,,693.0,723.5,731.6713488347366
117162,750.0,720.0,750.0,710.0,442300,CLPI,2020-11-30,696.3,,694.8333333333334,725.0,729.0777157603507
113865,725.0,730.0,740.0,725.0,24600,CLPI,2020-12-01,696.25,,697.0,727.5,729.282667813606
116337,735.0,730.0,740.0,725.0,103500,CLPI,2020-12-02,696.15,,699.5,730.0,729.4420749661381
38077,735.0,730.0,745.0,730.0,304200,CLPI,2020-12-03,696.1,,701.8333333333334,732.0,729.5660583069963
30666,735.0,735.0,735.0,730.0,107100,CLPI,2020-12-04,696.2,,704.3333333333334,733.5,730.7736009054415
46310,735.0,740.0,745.0,735.0,97100,CLPI,2020-12-07,696.45,,706.8333333333334,735.0,732.8239118153434
92454,735.0,745.0,750.0,735.0,156600,CLPI,2020-12-08,696.75,,709.6666666666666,736.5,735.5297091897115
126210,745.0,745.0,745.0,735.0,125300,CLPI,2020-12-10,696.9,,712.6666666666666,737.5,737.6342182586645
40545,745.0,745.0,750.0,740.0,63900,CLPI,2020-12-11,697.2,,715.5,737.0,739.2710586456279
72692,745.0,750.0,755.0,745.0,599700,CLPI,2020-12-14,697.55,,718.1666666666666,737.0,741.6552678354884
110577,750.0,750.0,755.0,740.0,74200,CLPI,2020-12-15,697.85,,720.6666666666666,740.0,743.5096527609354
127864,750.0,740.0,760.0,740.0,171200,CLPI,2020-12-16,698.0,,722.6666666666666,741.0,742.729729925172
63616,740.0,740.0,745.0,730.0,64500,CLPI,2020-12-17,698.4,,724.6666666666666,742.0,742.1231232751338
98244,735.0,755.0,760.0,735.0,178500,CLPI,2020-12-18,698.8,,726.8333333333334,744.5,744.9846514362152
113040,755.0,755.0,775.0,755.0,141400,CLPI,2020-12-21,699.35,,729.1666666666666,746.5,747.2102844503896
33127,760.0,745.0,760.0,740.0,252000,CLPI,2020-12-22,699.7,,730.5,747.0,746.7191101280808
95762,755.0,750.0,755.0,730.0,142800,CLPI,2020-12-23,700.1,,731.8333333333334,747.5,747.4481967662852
64441,760.0,755.0,770.0,745.0,188900,CLPI,2020-12-28,700.5,,733.5,748.5,749.1263752626662
60330,755.0,755.0,765.0,750.0,269100,CLPI,2020-12-29,701.05,,735.3333333333334,749.5,750.431625204296
127036,720.0,755.0,765.0,720.0,361800,CLPI,2020-12-30,701.6,,736.8333333333334,750.0,751.4468196033413
4307,755.0,775.0,775.0,755.0,490600,CLPI,2021-01-04,702.25,,739.1666666666666,752.5,756.6808596914876
107266,785.0,770.0,785.0,765.0,62300,CLPI,2021-01-05,702.95,,741.3333333333334,755.5,759.6406686489348
123727,780.0,760.0,780.0,760.0,80400,CLPI,2021-01-06,703.55,,743.1666666666666,757.5,759.7205200602826
29012,760.0,770.0,780.0,760.0,398800,CLPI,2021-01-07,704.25,,745.1666666666666,759.0,762.0048489357754
47134,785.0,775.0,785.0,765.0,153100,CLPI,2021-01-08,704.9,,747.0,761.0,764.8926602833809
122897,775.0,780.0,795.0,775.0,220200,CLPI,2021-01-11,705.6,,748.8333333333334,764.5,768.249846887074
48775,780.0,795.0,805.0,775.0,89000,CLPI,2021-01-12,706.45,,751.0,769.0,774.1943253566131
49604,795.0,795.0,810.0,790.0,239400,CLPI,2021-01-13,707.35,,753.0,773.0,778.8178086106991
125381,795.0,800.0,805.0,795.0,269600,CLPI,2021-01-14,708.15,,754.6666666666666,777.5,783.5249622527659
35581,800.0,800.0,825.0,785.0,193600,CLPI,2021-01-15,709.0,,756.3333333333334,782.0,787.1860817521513
36411,800.0,795.0,805.0,790.0,99200,CLPI,2021-01-18,709.7,,758.8333333333334,784.0,788.922508029451
105610,795.0,795.0,795.0,790.0,105300,CLPI,2021-01-19,710.45,,761.0,786.5,790.2730618006841
50433,795.0,800.0,800.0,790.0,51500,CLPI,2021-01-20,711.0,,763.3333333333334,790.5,792.4346036227543
51263,800.0,805.0,845.0,795.0,238500,CLPI,2021-01-21,711.45,,765.8333333333334,794.0,795.2269139288088
2659,810.0,790.0,810.0,790.0,207100,CLPI,2021-01-22,711.55,,767.6666666666666,795.5,794.0653775001846
97413,790.0,790.0,815.0,785.0,50900,CLPI,2021-01-25,711.6,,769.3333333333334,796.5,793.1619602779214
45480,785.0,765.0,800.0,755.0,155000,CLPI,2021-01-26,711.55,,770.0,793.5,786.9037468828277
19948,775.0,750.0,775.0,745.0,235900,CLPI,2021-01-27,711.3,,770.1666666666666,789.0,778.7029142421993
24884,755.0,745.0,770.0,730.0,185200,CLPI,2021-01-28,711.0,,770.1666666666666,783.5,771.2133777439328
54548,745.0,740.0,755.0,730.0,115400,CLPI,2021-01-29,711.15,,769.8333333333334,777.5,764.2770715786144
93282,740.0,775.0,775.0,725.0,180500,CLPI,2021-02-01,711.8,,770.6666666666666,775.5,766.6599445611445
25717,775.0,775.0,785.0,740.0,460200,CLPI,2021-02-02,712.6,,771.8333333333334,773.5,768.5132902142235
9237,775.0,775.0,795.0,765.0,153500,CLPI,2021-02-03,713.5,,773.0,771.0,769.9547812777294
115505,775.0,785.0,795.0,760.0,329600,CLPI,2021-02-04,714.6,,774.0,769.0,773.2981632160117
10888,790.0,790.0,790.0,785.0,30900,CLPI,2021-02-05,715.7,,775.1666666666666,769.0,777.0096825013425
37244,795.0,790.0,795.0,780.0,87200,CLPI,2021-02-08,716.85,,776.6666666666666,769.0,779.8964197232664
86703,790.0,785.0,790.0,780.0,111100,CLPI,2021-02-09,718.4,,777.8333333333334,771.0,781.0305486736517
85867,790.0,775.0,790.0,750.0,167300,CLPI,2021-02-10,719.8,,778.5,773.5,779.6904267461736
82570,775.0,775.0,775.0,765.0,59500,CLPI,2021-02-11,720.9,,779.1666666666666,776.5,778.6481096914683
108918,775.0,780.0,790.0,770.0,59800,CLPI,2021-02-15,722.05,,780.0,780.5,778.948529760031
100715,780.0,780.0,790.0,780.0,67000,CLPI,2021-02-16,723.25,,780.1666666666666,781.0,779.1821898133575
94928,785.0,785.0,900.0,775.0,164500,CLPI,2021-02-17,724.45,,780.6666666666666,782.0,780.4750365215002
69390,785.0,795.0,800.0,780.0,58600,CLPI,2021-02-18,725.7,,781.8333333333334,784.0,783.702806183389
57846,795.0,800.0,810.0,795.0,218600,CLPI,2021-02-19,727.1,,782.8333333333334,785.5,787.3244048093026
81736,800.0,825.0,850.0,800.0,421900,CLPI,2021-02-22,728.75,,784.5,789.0,795.6967592961242
22416,830.0,850.0,850.0,825.0,278700,CLPI,2021-02-23,730.55,,786.8333333333334,795.0,807.7641461192078
43008,850.0,845.0,850.0,800.0,126400,CLPI,2021-02-24,732.6,,788.5,801.0,816.0387803149393
