,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
189,184.0,184.0,184.0,184.0,0,CMPP,2021-04-01,,,,,
1029,184.0,184.0,184.0,184.0,0,CMPP,2021-04-05,,,,,
1869,184.0,184.0,184.0,184.0,0,CMPP,2021-04-06,,,,,
2709,184.0,184.0,184.0,184.0,0,CMPP,2021-04-07,,,,,
3551,184.0,184.0,184.0,184.0,0,CMPP,2021-04-08,,,,,
4393,184.0,184.0,184.0,184.0,0,CMPP,2021-04-09,,,,,
5236,184.0,184.0,184.0,184.0,0,CMPP,2021-04-12,,,,,
6080,184.0,184.0,184.0,184.0,0,CMPP,2021-04-13,,,,,184.0
6924,184.0,184.0,184.0,184.0,0,CMPP,2021-04-14,,,,,184.0
7769,184.0,184.0,184.0,184.0,0,CMPP,2021-04-15,,,,184.0,184.0
8613,184.0,184.0,184.0,184.0,0,CMPP,2021-04-16,,,,184.0,184.0
9457,184.0,184.0,184.0,184.0,0,CMPP,2021-04-19,,,,184.0,184.0
10301,184.0,184.0,184.0,184.0,0,CMPP,2021-04-20,,,,184.0,184.0
11145,184.0,184.0,184.0,184.0,0,CMPP,2021-04-21,,,,184.0,184.0
11989,184.0,184.0,184.0,184.0,0,CMPP,2021-04-22,,,,184.0,184.0
12833,184.0,184.0,184.0,184.0,0,CMPP,2021-04-23,,,,184.0,184.0
13677,184.0,184.0,184.0,184.0,0,CMPP,2021-04-26,,,,184.0,184.0
14520,184.0,184.0,184.0,184.0,0,CMPP,2021-04-27,,,,184.0,184.0
15363,184.0,184.0,184.0,184.0,0,CMPP,2021-04-28,,,,184.0,184.0
16207,184.0,184.0,184.0,184.0,0,CMPP,2021-04-29,,,,184.0,184.0
17051,184.0,184.0,184.0,184.0,0,CMPP,2021-04-30,,,,184.0,184.0
17894,184.0,184.0,184.0,184.0,0,CMPP,2021-05-03,,,,184.0,184.0
18737,184.0,184.0,184.0,184.0,0,CMPP,2021-05-04,,,,184.0,184.0
19580,184.0,184.0,184.0,184.0,0,CMPP,2021-05-05,,,,184.0,184.0
20424,184.0,184.0,184.0,184.0,0,CMPP,2021-05-06,,,,184.0,184.0
21268,184.0,184.0,184.0,184.0,0,CMPP,2021-05-07,,,,184.0,184.0
22112,184.0,184.0,184.0,184.0,0,CMPP,2021-05-10,,,,184.0,184.0
22955,184.0,184.0,184.0,184.0,0,CMPP,2021-05-11,,,,184.0,184.0
23797,184.0,184.0,184.0,184.0,0,CMPP,2021-05-17,,,,184.0,184.0
24637,184.0,184.0,184.0,184.0,0,CMPP,2021-05-18,,,184.0,184.0,184.0
25477,184.0,184.0,184.0,184.0,0,CMPP,2021-05-19,,,184.0,184.0,184.0
26330,184.0,184.0,184.0,184.0,0,CMPP,2021-05-20,,,184.0,184.0,184.0
27201,184.0,184.0,184.0,184.0,0,CMPP,2021-05-21,,,184.0,184.0,184.0
28041,184.0,184.0,184.0,184.0,0,CMPP,2021-05-24,,,184.0,184.0,184.0
28883,184.0,184.0,184.0,184.0,0,CMPP,2021-05-25,,,184.0,184.0,184.0
29674,184.0,184.0,184.0,184.0,0,CMPP,2021-05-27,,,184.0,184.0,184.0
30516,184.0,184.0,184.0,184.0,0,CMPP,2021-05-28,,,184.0,184.0,184.0
31358,184.0,184.0,184.0,184.0,0,CMPP,2021-05-31,,,184.0,184.0,184.0
32200,184.0,184.0,184.0,184.0,0,CMPP,2021-06-02,,,184.0,184.0,184.0
33041,184.0,184.0,184.0,184.0,0,CMPP,2021-06-03,,,184.0,184.0,184.0
33882,184.0,184.0,184.0,184.0,0,CMPP,2021-06-04,,,184.0,184.0,184.0
34723,184.0,184.0,184.0,184.0,0,CMPP,2021-06-07,,,184.0,184.0,184.0
35564,184.0,184.0,184.0,184.0,0,CMPP,2021-06-08,,,184.0,184.0,184.0
36407,184.0,184.0,184.0,184.0,0,CMPP,2021-06-09,,,184.0,184.0,184.0
37250,184.0,184.0,184.0,184.0,0,CMPP,2021-06-10,,,184.0,184.0,184.0
38097,184.0,184.0,184.0,184.0,0,CMPP,2021-06-11,,,184.0,184.0,184.0
38944,184.0,184.0,184.0,184.0,0,CMPP,2021-06-14,,,184.0,184.0,184.0
39791,184.0,184.0,184.0,184.0,0,CMPP,2021-06-15,,,184.0,184.0,184.0
40638,184.0,184.0,184.0,184.0,0,CMPP,2021-06-16,,,184.0,184.0,184.0
41485,184.0,184.0,184.0,184.0,0,CMPP,2021-06-17,,,184.0,184.0,184.0
42332,184.0,184.0,184.0,184.0,0,CMPP,2021-06-18,,,184.0,184.0,184.0
