,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
190,50.0,50.0,50.0,50.0,0,CNKO,2021-04-01,,,,,
1030,50.0,50.0,50.0,50.0,0,CNKO,2021-04-05,,,,,
1870,50.0,50.0,50.0,50.0,0,CNKO,2021-04-06,,,,,
2710,50.0,50.0,50.0,50.0,0,CNKO,2021-04-07,,,,,
3552,50.0,50.0,50.0,50.0,0,CNKO,2021-04-08,,,,,
4394,50.0,50.0,50.0,50.0,0,CNKO,2021-04-09,,,,,
5237,50.0,50.0,50.0,50.0,0,CNKO,2021-04-12,,,,,
6081,50.0,50.0,50.0,50.0,0,CNKO,2021-04-13,,,,,50.0
6925,50.0,50.0,50.0,50.0,0,CNKO,2021-04-14,,,,,50.0
7770,50.0,50.0,50.0,50.0,0,CNKO,2021-04-15,,,,50.0,50.0
8614,50.0,50.0,50.0,50.0,0,CNKO,2021-04-16,,,,50.0,50.0
9458,50.0,50.0,50.0,50.0,0,CNKO,2021-04-19,,,,50.0,50.0
10302,50.0,50.0,50.0,50.0,0,CNKO,2021-04-20,,,,50.0,50.0
11146,50.0,50.0,50.0,50.0,0,CNKO,2021-04-21,,,,50.0,50.0
11990,50.0,50.0,50.0,50.0,0,CNKO,2021-04-22,,,,50.0,50.0
12834,50.0,50.0,50.0,50.0,0,CNKO,2021-04-23,,,,50.0,50.0
13678,50.0,50.0,50.0,50.0,0,CNKO,2021-04-26,,,,50.0,50.0
14521,50.0,50.0,50.0,50.0,0,CNKO,2021-04-27,,,,50.0,50.0
15364,50.0,50.0,50.0,50.0,0,CNKO,2021-04-28,,,,50.0,50.0
16208,50.0,50.0,50.0,50.0,0,CNKO,2021-04-29,,,,50.0,50.0
17052,50.0,50.0,50.0,50.0,0,CNKO,2021-04-30,,,,50.0,50.0
17895,50.0,50.0,50.0,50.0,0,CNKO,2021-05-03,,,,50.0,50.0
18738,50.0,50.0,50.0,50.0,0,CNKO,2021-05-04,,,,50.0,50.0
19581,50.0,50.0,50.0,50.0,0,CNKO,2021-05-05,,,,50.0,50.0
20425,50.0,50.0,50.0,50.0,0,CNKO,2021-05-06,,,,50.0,50.0
21269,50.0,50.0,50.0,50.0,0,CNKO,2021-05-07,,,,50.0,50.0
22113,50.0,50.0,50.0,50.0,0,CNKO,2021-05-10,,,,50.0,50.0
22956,50.0,50.0,50.0,50.0,0,CNKO,2021-05-11,,,,50.0,50.0
23798,50.0,50.0,50.0,50.0,0,CNKO,2021-05-17,,,,50.0,50.0
24638,50.0,50.0,50.0,50.0,0,CNKO,2021-05-18,,,50.0,50.0,50.0
25478,50.0,50.0,50.0,50.0,0,CNKO,2021-05-19,,,50.0,50.0,50.0
26331,50.0,50.0,50.0,50.0,0,CNKO,2021-05-20,,,50.0,50.0,50.0
27202,50.0,50.0,50.0,50.0,0,CNKO,2021-05-21,,,50.0,50.0,50.0
28042,50.0,50.0,50.0,50.0,0,CNKO,2021-05-24,,,50.0,50.0,50.0
28884,50.0,50.0,50.0,50.0,0,CNKO,2021-05-25,,,50.0,50.0,50.0
29675,50.0,50.0,50.0,50.0,0,CNKO,2021-05-27,,,50.0,50.0,50.0
30517,50.0,50.0,50.0,50.0,0,CNKO,2021-05-28,,,50.0,50.0,50.0
31359,50.0,50.0,50.0,50.0,0,CNKO,2021-05-31,,,50.0,50.0,50.0
32201,50.0,50.0,50.0,50.0,0,CNKO,2021-06-02,,,50.0,50.0,50.0
33042,50.0,50.0,50.0,50.0,0,CNKO,2021-06-03,,,50.0,50.0,50.0
33883,50.0,50.0,50.0,50.0,0,CNKO,2021-06-04,,,50.0,50.0,50.0
34724,50.0,50.0,50.0,50.0,0,CNKO,2021-06-07,,,50.0,50.0,50.0
35565,50.0,50.0,50.0,50.0,0,CNKO,2021-06-08,,,50.0,50.0,50.0
36408,50.0,50.0,50.0,50.0,0,CNKO,2021-06-09,,,50.0,50.0,50.0
37251,50.0,50.0,50.0,50.0,0,CNKO,2021-06-10,,,50.0,50.0,50.0
38098,50.0,50.0,50.0,50.0,0,CNKO,2021-06-11,,,50.0,50.0,50.0
38945,50.0,50.0,50.0,50.0,0,CNKO,2021-06-14,,,50.0,50.0,50.0
39792,50.0,50.0,50.0,50.0,0,CNKO,2021-06-15,,,50.0,50.0,50.0
40639,50.0,50.0,50.0,50.0,0,CNKO,2021-06-16,,,50.0,50.0,50.0
41486,50.0,50.0,50.0,50.0,0,CNKO,2021-06-17,,,50.0,50.0,50.0
42333,50.0,50.0,50.0,50.0,0,CNKO,2021-06-18,,,50.0,50.0,50.0
43180,50.0,50.0,50.0,50.0,0,CNKO,2021-06-21,,,50.0,50.0,50.0
44027,50.0,50.0,50.0,50.0,0,CNKO,2021-06-22,,,50.0,50.0,50.0
44874,50.0,50.0,50.0,50.0,0,CNKO,2021-06-23,,,50.0,50.0,50.0
45721,50.0,50.0,50.0,50.0,0,CNKO,2021-06-24,,,50.0,50.0,50.0
46568,50.0,50.0,50.0,50.0,0,CNKO,2021-06-25,,,50.0,50.0,50.0
47416,50.0,50.0,50.0,50.0,0,CNKO,2021-06-28,,,50.0,50.0,50.0
48262,50.0,50.0,50.0,50.0,0,CNKO,2021-06-29,,,50.0,50.0,50.0
49056,50.0,50.0,50.0,50.0,0,CNKO,2021-06-30,,,50.0,50.0,50.0
49907,50.0,50.0,50.0,50.0,0,CNKO,2021-07-01,,,50.0,50.0,50.0
50758,50.0,50.0,50.0,50.0,0,CNKO,2021-07-02,,,50.0,50.0,50.0
51609,50.0,50.0,50.0,50.0,0,CNKO,2021-07-05,,,50.0,50.0,50.0
52461,50.0,50.0,50.0,50.0,0,CNKO,2021-07-06,,,50.0,50.0,50.0
53306,50.0,50.0,50.0,50.0,0,CNKO,2021-07-07,,,50.0,50.0,50.0
54123,50.0,50.0,50.0,50.0,0,CNKO,2021-07-08,,,50.0,50.0,50.0
54974,50.0,50.0,50.0,50.0,0,CNKO,2021-07-09,,,50.0,50.0,50.0
55827,50.0,50.0,50.0,50.0,0,CNKO,2021-07-12,,,50.0,50.0,50.0
56680,50.0,50.0,50.0,50.0,0,CNKO,2021-07-13,,,50.0,50.0,50.0
57533,50.0,50.0,50.0,50.0,0,CNKO,2021-07-14,,,50.0,50.0,50.0
58386,50.0,50.0,50.0,50.0,0,CNKO,2021-07-15,,,50.0,50.0,50.0
59239,50.0,50.0,50.0,50.0,0,CNKO,2021-07-16,,,50.0,50.0,50.0
60091,50.0,50.0,50.0,50.0,0,CNKO,2021-07-19,,,50.0,50.0,50.0
60943,50.0,50.0,50.0,50.0,0,CNKO,2021-07-21,,,50.0,50.0,50.0
61795,50.0,50.0,50.0,50.0,0,CNKO,2021-07-22,,,50.0,50.0,50.0
62647,50.0,50.0,50.0,50.0,0,CNKO,2021-07-23,,,50.0,50.0,50.0
63499,50.0,50.0,50.0,50.0,0,CNKO,2021-07-26,,,50.0,50.0,50.0
64351,50.0,50.0,50.0,50.0,0,CNKO,2021-07-27,,,50.0,50.0,50.0
65205,50.0,50.0,50.0,50.0,0,CNKO,2021-07-28,,,50.0,50.0,50.0
