,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126276,250.0,250.0,250.0,250.0,0,CNTB,2020-07-01,,,,,
133697,250.0,250.0,250.0,250.0,0,CNTB,2020-07-02,,,,,
107371,250.0,250.0,250.0,250.0,0,CNTB,2020-07-03,,,,,
89230,250.0,250.0,250.0,250.0,0,CNTB,2020-07-06,,,,,
33957,250.0,250.0,250.0,250.0,0,CNTB,2020-07-07,,,,,
51304,250.0,250.0,250.0,250.0,0,CNTB,2020-07-08,,,,,
119699,250.0,250.0,250.0,250.0,0,CNTB,2020-07-09,,,,,
23253,250.0,250.0,250.0,250.0,0,CNTB,2020-07-10,,,,,250.0
15017,250.0,250.0,250.0,250.0,0,CNTB,2020-07-13,,,,,250.0
31495,250.0,250.0,250.0,250.0,0,CNTB,2020-07-14,,,,250.0,250.0
95002,250.0,250.0,250.0,250.0,0,CNTB,2020-07-15,,,,250.0,250.0
21608,250.0,250.0,250.0,250.0,0,CNTB,2020-07-16,,,,250.0,250.0
109808,250.0,250.0,250.0,250.0,0,CNTB,2020-07-17,,,,250.0,250.0
82642,250.0,250.0,250.0,250.0,0,CNTB,2020-07-20,,,,250.0,250.0
108179,250.0,250.0,250.0,250.0,0,CNTB,2020-07-21,,,,250.0,250.0
99122,250.0,250.0,250.0,250.0,0,CNTB,2020-07-22,,,,250.0,250.0
8426,250.0,250.0,250.0,250.0,0,CNTB,2020-07-23,,,,250.0,250.0
106557,250.0,250.0,250.0,250.0,0,CNTB,2020-07-24,,,,250.0,250.0
59553,250.0,250.0,250.0,250.0,0,CNTB,2020-07-27,,,,250.0,250.0
43042,250.0,250.0,250.0,250.0,0,CNTB,2020-07-28,,,,250.0,250.0
116410,250.0,250.0,250.0,250.0,0,CNTB,2020-07-29,,,,250.0,250.0
85096,250.0,250.0,250.0,250.0,0,CNTB,2020-07-30,,,,250.0,250.0
122996,250.0,250.0,250.0,250.0,0,CNTB,2020-08-03,,,,250.0,250.0
