,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120441,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-01,,,,,
127862,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-02,,,,,
101536,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-03,,,,,
84229,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-06,,,,,
33960,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-07,,,,,
47137,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-08,,,,,
113864,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-09,,,,,
23256,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-10,,,,,175.0
15020,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-13,,,,,175.0
31498,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-14,,,,175.0,175.0
89167,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-15,,,,175.0,175.0
21611,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-16,,,,175.0,175.0
103973,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-17,,,,175.0,175.0
77641,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-20,,,,175.0,175.0
102344,175.0,175.0,175.0,175.0,0,COCO-W,2020-07-21,,,,175.0,175.0
93287,140.0,390.0,390.0,140.0,200,COCO-W,2020-07-22,,,,196.5,222.77777777777777
8429,390.0,390.0,390.0,390.0,0,COCO-W,2020-07-23,,,,218.0,259.9382716049383
100722,390.0,390.0,390.0,175.0,6200,COCO-W,2020-07-24,,,,239.5,288.840877914952
54552,390.0,390.0,390.0,390.0,0,COCO-W,2020-07-27,,,,261.0,311.3206828227404
41377,320.0,320.0,320.0,320.0,8500,COCO-W,2020-07-28,,,,275.5,313.24941997324254
110575,320.0,320.0,320.0,320.0,0,COCO-W,2020-07-29,,,,290.0,314.7495488680775
80095,175.0,400.0,400.0,175.0,4600,COCO-W,2020-07-30,,,,312.5,333.69409356406027
117161,155.0,400.0,400.0,155.0,300,COCO-W,2020-08-03,,,,335.0,348.42873943871354
6792,400.0,400.0,400.0,400.0,100,COCO-W,2020-08-04,,,,357.5,359.88901956344387
52908,400.0,300.0,400.0,155.0,1300,COCO-W,2020-08-05,,,,370.0,346.5803485493452
69397,182.0,400.0,400.0,182.0,200,COCO-W,2020-08-06,,,,371.0,358.4513822050463
43014,175.0,175.0,175.0,175.0,100,COCO-W,2020-08-07,,,,349.5,317.68440838170267
98243,175.0,175.0,175.0,175.0,0,COCO-W,2020-08-10,,,,328.0,285.97676207465764
52092,175.0,175.0,175.0,175.0,0,COCO-W,2020-08-11,,,,306.5,261.3152593914004
119624,175.0,175.0,175.0,175.0,0,COCO-W,2020-08-12,,,247.5,292.0,242.13409063775586
61973,175.0,175.0,175.0,175.0,0,COCO-W,2020-08-13,,,247.5,277.5,227.21540382936567
86710,175.0,175.0,175.0,175.0,0,COCO-W,2020-08-14,,,247.5,255.0,215.6119807561733
60329,175.0,175.0,175.0,175.0,0,COCO-W,2020-08-18,,,247.5,232.5,206.58709614369033
88351,175.0,175.0,175.0,175.0,0,COCO-W,2020-08-19,,,247.5,210.0,199.56774144509248
10077,175.0,175.0,175.0,175.0,0,COCO-W,2020-08-24,,,247.5,197.5,194.10824334618303
128670,175.0,175.0,175.0,175.0,0,COCO-W,2020-08-25,,,247.5,175.0,189.86196704703124
103157,400.0,400.0,400.0,400.0,1600,COCO-W,2020-08-26,,,255.0,197.5,236.55930770324653
3497,400.0,400.0,400.0,400.0,0,COCO-W,2020-08-27,,,262.5,220.0,272.87946154696954
78453,400.0,400.0,400.0,400.0,0,COCO-W,2020-08-28,,,270.0,242.5,301.1284700920874
27376,400.0,400.0,400.0,400.0,0,COCO-W,2020-08-31,,,277.5,265.0,323.09992118273465
34771,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-01,,,285.0,287.5,340.1888275865714
38909,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-02,,,292.5,310.0,353.480199234
67744,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-03,,,300.0,332.5,363.81793273755557
12552,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-04,,,307.5,355.0,371.8583921292099
26557,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-07,,,315.0,377.5,378.11208276716326
107268,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-08,,,315.3333333333333,400.0,382.9760643744603
121249,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-09,,,315.6666666666667,400.0,386.7591611801358
7605,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-10,,,316.0,400.0,389.7015698067723
17482,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-11,,,316.3333333333333,400.0,391.99010984971176
43828,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-14,,,319.0,400.0,393.7700854386647
65267,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-15,,,321.6666666666667,400.0,395.1545108967392
1015,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-16,,,321.6666666666667,400.0,396.2312862530194
55365,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-17,,,321.6666666666667,400.0,397.06877819679283
61145,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-18,,,321.6666666666667,400.0,397.72016081972777
71037,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-21,,,325.0,400.0,398.22679174867716
99059,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-22,,,325.0,400.0,398.6208380267489
75990,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-23,,,332.5,400.0,398.92731846524913
64440,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-24,,,340.0,400.0,399.1656921396382
95761,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-25,,,347.5,400.0,399.3510938863853
58677,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-28,,,355.0,400.0,399.4952952449663
15831,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-29,,,362.5,400.0,399.607451857196
83402,400.0,400.0,400.0,400.0,0,COCO-W,2020-09-30,,,370.0,400.0,399.69468477781913
90802,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-01,,,377.5,400.0,399.76253260497043
66920,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-02,,,385.0,400.0,399.81530313719924
11728,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-05,,,392.5,400.0,399.8563468844883
118799,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-06,,,400.0,400.0,399.88826979904644
20786,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-07,,,400.0,400.0,399.91309873259166
19130,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-08,,,400.0,400.0,399.93241012534907
108925,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-09,,,400.0,400.0,399.94743009749374
28194,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-12,,,400.0,400.0,399.9591122980507
75165,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-13,,,400.0,400.0,399.9681984540394
105614,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-14,,,400.0,400.0,399.97526546425286
14195,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-15,,,400.0,400.0,399.98076202775223
5143,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-16,,,400.0,400.0,399.98503713269616
190,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-19,,,400.0,400.0,399.98836221431924
123730,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-20,,,400.0,400.0,399.99094838891494
73515,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-21,,,400.0,400.0,399.99295985804497
29849,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-22,,,400.0,400.0,399.99452433403496
32309,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-23,,,400.0,400.0,399.99574114869387
56193,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-26,,,400.0,400.0,399.9966875600952
51267,400.0,400.0,400.0,400.0,0,COCO-W,2020-10-27,,,400.0,400.0,399.9974236578518
87526,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-02,,,400.0,400.0,399.9979961783292
82577,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-03,,,400.0,400.0,399.9984414720338
5967,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-04,,,400.0,400.0,399.99878781158185
18305,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-05,,,400.0,400.0,399.9990571867859
42189,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-06,,,400.0,400.0,399.99926670083346
89977,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-09,,,400.0,400.0,399.9994296562038
1842,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-10,,,400.0,400.0,399.99955639926964
24066,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-11,,,400.0,400.0,399.99965497720973
76816,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-12,,,400.0,400.0,399.9997316489409
74340,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-13,,,400.0,400.0,399.9997912825096
72690,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-16,,,400.0,400.0,399.99983766417415
39727,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-17,,,400.0,400.0,399.99987373880214
16657,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-18,,,400.0,400.0,399.99990179684613
66095,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-19,,,400.0,400.0,399.9999236197692
79270,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-20,,,400.0,400.0,399.99994059315384
70212,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-23,,,400.0,400.0,399.9999537946752
111388,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-24,,,400.0,400.0,399.9999640625252
117974,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-25,,,400.0,400.0,399.9999720486307
57852,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-26,340.75,,400.0,400.0,399.9999782600461
13370,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-27,343.0,,400.0,400.0,399.99998309114693
116336,400.0,400.0,400.0,400.0,0,COCO-W,2020-11-30,345.25,,400.0,400.0,399.99998684866983
113039,400.0,400.0,400.0,400.0,0,COCO-W,2020-12-01,347.5,,400.0,400.0,399.99998977118764
115511,400.0,400.0,400.0,400.0,0,COCO-W,2020-12-02,349.75,,400.0,400.0,399.99999204425706
