,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
193,250.0,248.0,254.0,248.0,330200,COCO,2021-04-01,,,,,
1033,248.0,256.0,258.0,248.0,244000,COCO,2021-04-05,,,,,
1873,258.0,254.0,260.0,252.0,108700,COCO,2021-04-06,,,,,
2713,254.0,256.0,256.0,250.0,143400,COCO,2021-04-07,,,,,
3555,252.0,254.0,256.0,252.0,190200,COCO,2021-04-08,,,,,
4397,254.0,254.0,256.0,252.0,226000,COCO,2021-04-09,,,,,
5240,256.0,248.0,256.0,248.0,228800,COCO,2021-04-12,,,,,
6084,248.0,250.0,252.0,248.0,88900,COCO,2021-04-13,,,,,252.5
6928,250.0,252.0,252.0,248.0,121000,COCO,2021-04-14,,,,,252.38888888888889
7773,252.0,252.0,256.0,250.0,102600,COCO,2021-04-15,,,,252.4,252.30246913580245
8617,252.0,254.0,258.0,248.0,230000,COCO,2021-04-16,,,,253.0,252.67969821673523
9461,254.0,252.0,260.0,248.0,433600,COCO,2021-04-19,,,,252.6,252.52865416857185
10305,252.0,250.0,256.0,244.0,338600,COCO,2021-04-20,,,,252.2,251.96673102000034
11149,248.0,248.0,256.0,246.0,603400,COCO,2021-04-21,,,,251.4,251.08523523777805
11993,248.0,254.0,256.0,246.0,381900,COCO,2021-04-22,,,,251.4,251.73296074049404
12837,254.0,250.0,254.0,246.0,479800,COCO,2021-04-23,,,,251.0,251.34785835371758
13681,250.0,242.0,254.0,240.0,210200,COCO,2021-04-26,,,,250.4,249.2705564973359
14524,242.0,248.0,248.0,240.0,33500,COCO,2021-04-27,,,,250.2,248.98821060903902
15367,250.0,244.0,250.0,240.0,143500,COCO,2021-04-28,,,,249.4,247.8797193625859
16211,250.0,242.0,250.0,242.0,554500,COCO,2021-04-29,,,,248.4,246.57311505978902
17055,244.0,246.0,248.0,242.0,316300,COCO,2021-04-30,,,,247.6,246.4457561576137
17898,246.0,246.0,252.0,244.0,173200,COCO,2021-05-03,,,,247.0,246.34669923369952
18741,246.0,246.0,250.0,246.0,248200,COCO,2021-05-04,,,,246.6,246.26965495954408
19584,248.0,246.0,248.0,244.0,116700,COCO,2021-05-05,,,,246.4,246.20973163520097
20428,248.0,248.0,248.0,244.0,291000,COCO,2021-05-06,,,,245.8,246.60756904960076
21272,248.0,264.0,304.0,248.0,6934000,COCO,2021-05-07,,,,247.2,250.47255370524502
22116,270.0,254.0,296.0,246.0,2840400,COCO,2021-05-10,,,,248.4,251.25643065963501
22959,254.0,248.0,258.0,246.0,450700,COCO,2021-05-11,,,,248.4,250.53277940193834
23801,246.0,246.0,252.0,244.0,177100,COCO,2021-05-17,,,,248.6,249.52549509039648
24641,244.0,250.0,252.0,244.0,291900,COCO,2021-05-18,,,250.06666666666666,249.4,249.63094062586393
25481,250.0,248.0,252.0,244.0,256900,COCO,2021-05-19,,,250.06666666666666,249.6,249.26850937567195
26336,248.0,248.0,250.0,244.0,404100,COCO,2021-05-20,,,249.8,249.8,248.9866184033004
27205,246.0,252.0,254.0,246.0,300400,COCO,2021-05-21,,,249.73333333333332,250.4,249.65625875812253
28045,252.0,258.0,276.0,250.0,2206000,COCO,2021-05-24,,,249.8,251.6,251.51042347853974
28887,258.0,254.0,264.0,252.0,409600,COCO,2021-05-25,,,249.8,252.2,252.0636627055309
29678,254.0,254.0,258.0,250.0,398600,COCO,2021-05-27,,,249.8,251.2,252.4939598820796
30520,254.0,264.0,300.0,254.0,5063900,COCO,2021-05-28,,,250.33333333333334,252.2,255.0508576860619
31362,264.0,264.0,270.0,258.0,1192400,COCO,2021-05-31,,,250.8,253.8,257.03955597804816
32204,264.0,266.0,272.0,264.0,1618000,COCO,2021-06-02,,,251.26666666666668,255.8,259.0307657607041
33045,272.0,262.0,278.0,262.0,1719900,COCO,2021-06-03,,,251.6,257.0,259.6905955916588
33886,262.0,262.0,270.0,260.0,785000,COCO,2021-06-04,,,251.86666666666667,258.4,260.2037965712902
34727,264.0,254.0,268.0,248.0,963100,COCO,2021-06-07,,,251.93333333333334,259.0,258.8251751110035
35568,254.0,256.0,262.0,250.0,669300,COCO,2021-06-08,,,252.13333333333333,259.4,258.1973584196694
36411,256.0,258.0,260.0,250.0,313900,COCO,2021-06-09,,,252.46666666666667,259.4,258.1535009930762
37254,258.0,258.0,266.0,254.0,513700,COCO,2021-06-10,,,252.6,259.8,258.1193896612815
38101,262.0,258.0,266.0,252.0,553800,COCO,2021-06-11,,,252.86666666666667,260.2,258.0928586254412
38948,258.0,260.0,264.0,256.0,70300,COCO,2021-06-14,,,253.46666666666667,259.8,258.5166678197876
