,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
195,50.0,50.0,50.0,50.0,0,COWL,2021-04-01,,,,,
1035,50.0,50.0,50.0,50.0,0,COWL,2021-04-05,,,,,
1875,50.0,50.0,50.0,50.0,0,COWL,2021-04-06,,,,,
2715,50.0,50.0,50.0,50.0,0,COWL,2021-04-07,,,,,
3557,50.0,50.0,50.0,50.0,0,COWL,2021-04-08,,,,,
4399,50.0,50.0,50.0,50.0,0,COWL,2021-04-09,,,,,
5242,50.0,50.0,50.0,50.0,0,COWL,2021-04-12,,,,,
6086,50.0,50.0,50.0,50.0,0,COWL,2021-04-13,,,,,50.0
6930,50.0,50.0,50.0,50.0,0,COWL,2021-04-14,,,,,50.0
7775,50.0,50.0,50.0,50.0,0,COWL,2021-04-15,,,,50.0,50.0
8619,50.0,50.0,50.0,50.0,0,COWL,2021-04-16,,,,50.0,50.0
9463,50.0,50.0,50.0,50.0,0,COWL,2021-04-19,,,,50.0,50.0
10307,50.0,50.0,50.0,50.0,0,COWL,2021-04-20,,,,50.0,50.0
11151,50.0,50.0,50.0,50.0,0,COWL,2021-04-21,,,,50.0,50.0
11995,50.0,50.0,50.0,50.0,0,COWL,2021-04-22,,,,50.0,50.0
12839,50.0,50.0,50.0,50.0,0,COWL,2021-04-23,,,,50.0,50.0
13683,50.0,50.0,50.0,50.0,0,COWL,2021-04-26,,,,50.0,50.0
14526,50.0,50.0,50.0,50.0,0,COWL,2021-04-27,,,,50.0,50.0
15369,50.0,50.0,50.0,50.0,0,COWL,2021-04-28,,,,50.0,50.0
16213,50.0,50.0,50.0,50.0,0,COWL,2021-04-29,,,,50.0,50.0
17057,50.0,50.0,50.0,50.0,0,COWL,2021-04-30,,,,50.0,50.0
17900,50.0,50.0,50.0,50.0,0,COWL,2021-05-03,,,,50.0,50.0
18743,50.0,50.0,50.0,50.0,0,COWL,2021-05-04,,,,50.0,50.0
19586,50.0,50.0,50.0,50.0,0,COWL,2021-05-05,,,,50.0,50.0
20430,50.0,50.0,50.0,50.0,0,COWL,2021-05-06,,,,50.0,50.0
21274,50.0,50.0,50.0,50.0,0,COWL,2021-05-07,,,,50.0,50.0
22118,50.0,50.0,50.0,50.0,0,COWL,2021-05-10,,,,50.0,50.0
22961,50.0,50.0,50.0,50.0,0,COWL,2021-05-11,,,,50.0,50.0
23803,50.0,50.0,50.0,50.0,0,COWL,2021-05-17,,,,50.0,50.0
24643,50.0,50.0,50.0,50.0,0,COWL,2021-05-18,,,50.0,50.0,50.0
25483,50.0,50.0,50.0,50.0,0,COWL,2021-05-19,,,50.0,50.0,50.0
26338,50.0,50.0,50.0,50.0,0,COWL,2021-05-20,,,50.0,50.0,50.0
27207,50.0,50.0,50.0,50.0,0,COWL,2021-05-21,,,50.0,50.0,50.0
28047,50.0,50.0,50.0,50.0,0,COWL,2021-05-24,,,50.0,50.0,50.0
28889,50.0,50.0,50.0,50.0,0,COWL,2021-05-25,,,50.0,50.0,50.0
29680,50.0,50.0,50.0,50.0,0,COWL,2021-05-27,,,50.0,50.0,50.0
30522,50.0,50.0,50.0,50.0,0,COWL,2021-05-28,,,50.0,50.0,50.0
31364,50.0,50.0,50.0,50.0,0,COWL,2021-05-31,,,50.0,50.0,50.0
32206,50.0,50.0,50.0,50.0,0,COWL,2021-06-02,,,50.0,50.0,50.0
33047,50.0,50.0,50.0,50.0,0,COWL,2021-06-03,,,50.0,50.0,50.0
33888,50.0,50.0,50.0,50.0,0,COWL,2021-06-04,,,50.0,50.0,50.0
34729,50.0,50.0,50.0,50.0,0,COWL,2021-06-07,,,50.0,50.0,50.0
35570,50.0,50.0,50.0,50.0,0,COWL,2021-06-08,,,50.0,50.0,50.0
36413,50.0,50.0,50.0,50.0,0,COWL,2021-06-09,,,50.0,50.0,50.0
37256,50.0,50.0,50.0,50.0,0,COWL,2021-06-10,,,50.0,50.0,50.0
38103,50.0,50.0,50.0,50.0,0,COWL,2021-06-11,,,50.0,50.0,50.0
38950,50.0,50.0,50.0,50.0,0,COWL,2021-06-14,,,50.0,50.0,50.0
39797,50.0,50.0,50.0,50.0,0,COWL,2021-06-15,,,50.0,50.0,50.0
40644,50.0,50.0,50.0,50.0,0,COWL,2021-06-16,,,50.0,50.0,50.0
41491,50.0,50.0,50.0,50.0,0,COWL,2021-06-17,,,50.0,50.0,50.0
42338,50.0,50.0,50.0,50.0,0,COWL,2021-06-18,,,50.0,50.0,50.0
43185,50.0,50.0,50.0,50.0,0,COWL,2021-06-21,,,50.0,50.0,50.0
44032,50.0,50.0,50.0,50.0,0,COWL,2021-06-22,,,50.0,50.0,50.0
44879,50.0,50.0,50.0,50.0,0,COWL,2021-06-23,,,50.0,50.0,50.0
45726,50.0,50.0,50.0,50.0,0,COWL,2021-06-24,,,50.0,50.0,50.0
