,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126282,50.0,50.0,50.0,50.0,0,CPRI,2020-07-01,,,,,
133703,50.0,50.0,50.0,50.0,0,CPRI,2020-07-02,,,,,
107377,50.0,50.0,50.0,50.0,1400,CPRI,2020-07-03,,,,,
89236,50.0,50.0,50.0,50.0,100,CPRI,2020-07-06,,,,,
33963,50.0,50.0,50.0,50.0,200,CPRI,2020-07-07,,,,,
51310,50.0,50.0,50.0,50.0,100,CPRI,2020-07-08,,,,,
119705,50.0,50.0,50.0,50.0,100,CPRI,2020-07-09,,,,,
23259,50.0,50.0,50.0,50.0,0,CPRI,2020-07-10,,,,,50.0
15023,50.0,50.0,50.0,50.0,43300,CPRI,2020-07-13,,,,,50.0
31501,50.0,50.0,50.0,50.0,7200,CPRI,2020-07-14,,,,50.0,50.0
95008,50.0,50.0,50.0,50.0,0,CPRI,2020-07-15,,,,50.0,50.0
21614,50.0,50.0,50.0,50.0,2000,CPRI,2020-07-16,,,,50.0,50.0
109814,50.0,50.0,50.0,50.0,200,CPRI,2020-07-17,,,,50.0,50.0
82648,50.0,50.0,50.0,50.0,3600,CPRI,2020-07-20,,,,50.0,50.0
108185,50.0,50.0,50.0,50.0,50000,CPRI,2020-07-21,,,,50.0,50.0
99128,50.0,50.0,50.0,50.0,0,CPRI,2020-07-22,,,,50.0,50.0
8432,50.0,50.0,50.0,50.0,500,CPRI,2020-07-23,,,,50.0,50.0
106563,50.0,50.0,50.0,50.0,100,CPRI,2020-07-24,,,,50.0,50.0
59559,50.0,50.0,50.0,50.0,16600,CPRI,2020-07-27,,,,50.0,50.0
43048,50.0,50.0,50.0,50.0,5000,CPRI,2020-07-28,,,,50.0,50.0
116416,50.0,50.0,50.0,50.0,4000,CPRI,2020-07-29,,,,50.0,50.0
85102,50.0,50.0,50.0,50.0,4500,CPRI,2020-07-30,,,,50.0,50.0
123002,50.0,50.0,50.0,50.0,0,CPRI,2020-08-03,,,,50.0,50.0
6795,50.0,50.0,50.0,50.0,93800,CPRI,2020-08-04,,,,50.0,50.0
57915,50.0,50.0,50.0,50.0,300,CPRI,2020-08-05,,,,50.0,50.0
74404,50.0,50.0,50.0,50.0,79400,CPRI,2020-08-06,,,,50.0,50.0
46353,50.0,50.0,50.0,50.0,327800,CPRI,2020-08-07,,,,50.0,50.0
104084,50.0,50.0,50.0,50.0,200,CPRI,2020-08-10,,,,50.0,50.0
57099,50.0,50.0,50.0,50.0,500,CPRI,2020-08-11,,,,50.0,50.0
125465,50.0,50.0,50.0,50.0,0,CPRI,2020-08-12,,,50.0,50.0,50.0
66980,50.0,50.0,50.0,50.0,150000,CPRI,2020-08-13,,,50.0,50.0,50.0
92551,50.0,50.0,50.0,50.0,0,CPRI,2020-08-14,,,50.0,50.0,50.0
65336,50.0,50.0,50.0,50.0,6000,CPRI,2020-08-18,,,50.0,50.0,50.0
94192,50.0,50.0,50.0,50.0,100,CPRI,2020-08-19,,,50.0,50.0,50.0
10080,50.0,50.0,50.0,50.0,0,CPRI,2020-08-24,,,50.0,50.0,50.0
134511,50.0,50.0,50.0,50.0,400,CPRI,2020-08-25,,,50.0,50.0,50.0
108998,50.0,50.0,50.0,50.0,51200,CPRI,2020-08-26,,,50.0,50.0,50.0
3500,50.0,50.0,50.0,50.0,2200,CPRI,2020-08-27,,,50.0,50.0,50.0
83460,50.0,50.0,50.0,50.0,2100,CPRI,2020-08-28,,,50.0,50.0,50.0
27379,50.0,50.0,50.0,50.0,0,CPRI,2020-08-31,,,50.0,50.0,50.0
34774,50.0,50.0,50.0,50.0,3000,CPRI,2020-09-01,,,50.0,50.0,50.0
38912,50.0,50.0,50.0,50.0,0,CPRI,2020-09-02,,,50.0,50.0,50.0
72751,50.0,50.0,50.0,50.0,1005300,CPRI,2020-09-03,,,50.0,50.0,50.0
12555,50.0,50.0,50.0,50.0,13700,CPRI,2020-09-04,,,50.0,50.0,50.0
26560,50.0,50.0,50.0,50.0,140100,CPRI,2020-09-07,,,50.0,50.0,50.0
113109,50.0,50.0,50.0,50.0,128500,CPRI,2020-09-08,,,50.0,50.0,50.0
127090,50.0,50.0,50.0,50.0,5400,CPRI,2020-09-09,,,50.0,50.0,50.0
7608,50.0,50.0,50.0,50.0,26000,CPRI,2020-09-10,,,50.0,50.0,50.0
17485,50.0,50.0,50.0,50.0,14200,CPRI,2020-09-11,,,50.0,50.0,50.0
47167,50.0,50.0,50.0,50.0,3300,CPRI,2020-09-14,,,50.0,50.0,50.0
70274,50.0,50.0,50.0,50.0,10000,CPRI,2020-09-15,,,50.0,50.0,50.0
1018,50.0,50.0,50.0,50.0,90200,CPRI,2020-09-16,,,50.0,50.0,50.0
60372,50.0,50.0,50.0,50.0,100200,CPRI,2020-09-17,,,50.0,50.0,50.0
66152,50.0,50.0,50.0,50.0,0,CPRI,2020-09-18,,,50.0,50.0,50.0
76044,50.0,50.0,50.0,50.0,0,CPRI,2020-09-21,,,50.0,50.0,50.0
104900,50.0,50.0,50.0,50.0,0,CPRI,2020-09-22,,,50.0,50.0,50.0
80997,50.0,50.0,50.0,50.0,400,CPRI,2020-09-23,,,50.0,50.0,50.0
69447,50.0,50.0,50.0,50.0,2700,CPRI,2020-09-24,,,50.0,50.0,50.0
101602,50.0,50.0,50.0,50.0,600,CPRI,2020-09-25,,,50.0,50.0,50.0
63684,50.0,50.0,50.0,50.0,0,CPRI,2020-09-28,,,50.0,50.0,50.0
