,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121280,50.0,50.0,50.0,50.0,500,CPRO,2020-07-01,,,,,
128701,50.0,50.0,50.0,50.0,600,CPRO,2020-07-02,,,,,
102375,50.0,50.0,50.0,50.0,200,CPRO,2020-07-03,,,,,
85068,50.0,50.0,50.0,50.0,0,CPRO,2020-07-06,,,,,
33965,50.0,50.0,50.0,50.0,4700,CPRO,2020-07-07,,,,,
47976,50.0,50.0,50.0,50.0,2600,CPRO,2020-07-08,,,,,
114703,50.0,50.0,50.0,50.0,16600,CPRO,2020-07-09,,,,,
23261,50.0,50.0,50.0,50.0,100,CPRO,2020-07-10,,,,,50.0
15025,50.0,50.0,50.0,50.0,100,CPRO,2020-07-13,,,,,50.0
31503,50.0,50.0,50.0,50.0,60200,CPRO,2020-07-14,,,,50.0,50.0
90006,50.0,50.0,50.0,50.0,100,CPRO,2020-07-15,,,,50.0,50.0
21616,50.0,50.0,50.0,50.0,200,CPRO,2020-07-16,,,,50.0,50.0
104812,50.0,50.0,50.0,50.0,100,CPRO,2020-07-17,,,,50.0,50.0
78480,50.0,50.0,50.0,50.0,200100,CPRO,2020-07-20,,,,50.0,50.0
103183,50.0,50.0,50.0,50.0,300,CPRO,2020-07-21,,,,50.0,50.0
94126,50.0,50.0,50.0,50.0,0,CPRO,2020-07-22,,,,50.0,50.0
8434,50.0,50.0,50.0,50.0,100,CPRO,2020-07-23,,,,50.0,50.0
101561,50.0,50.0,50.0,50.0,100,CPRO,2020-07-24,,,,50.0,50.0
55391,50.0,50.0,50.0,50.0,100,CPRO,2020-07-27,,,,50.0,50.0
41382,50.0,50.0,50.0,50.0,100,CPRO,2020-07-28,,,,50.0,50.0
111414,50.0,50.0,50.0,50.0,0,CPRO,2020-07-29,,,,50.0,50.0
80934,50.0,50.0,50.0,50.0,100,CPRO,2020-07-30,,,,50.0,50.0
118000,50.0,50.0,50.0,50.0,5000,CPRO,2020-08-03,,,,50.0,50.0
6797,50.0,50.0,50.0,50.0,19400,CPRO,2020-08-04,,,,50.0,50.0
53747,50.0,50.0,50.0,50.0,900,CPRO,2020-08-05,,,,50.0,50.0
70236,50.0,50.0,50.0,50.0,0,CPRO,2020-08-06,,,,50.0,50.0
43853,50.0,50.0,50.0,50.0,0,CPRO,2020-08-07,,,,50.0,50.0
99082,50.0,50.0,50.0,50.0,2000,CPRO,2020-08-10,,,,50.0,50.0
52931,50.0,50.0,50.0,50.0,600,CPRO,2020-08-11,,,,50.0,50.0
120463,50.0,50.0,50.0,50.0,27500,CPRO,2020-08-12,,,50.0,50.0,50.0
62812,50.0,50.0,50.0,50.0,5300,CPRO,2020-08-13,,,50.0,50.0,50.0
87549,50.0,50.0,50.0,50.0,3900,CPRO,2020-08-14,,,50.0,50.0,50.0
61168,50.0,50.0,50.0,50.0,5100,CPRO,2020-08-18,,,50.0,50.0,50.0
89190,50.0,50.0,50.0,50.0,5100,CPRO,2020-08-19,,,50.0,50.0,50.0
10082,50.0,50.0,50.0,50.0,35700,CPRO,2020-08-24,,,50.0,50.0,50.0
129509,50.0,50.0,50.0,50.0,1200,CPRO,2020-08-25,,,50.0,50.0,50.0
103996,50.0,50.0,50.0,50.0,306200,CPRO,2020-08-26,,,50.0,50.0,50.0
3502,50.0,50.0,50.0,50.0,12400,CPRO,2020-08-27,,,50.0,50.0,50.0
79292,50.0,50.0,50.0,50.0,100,CPRO,2020-08-28,,,50.0,50.0,50.0
27381,50.0,50.0,50.0,50.0,0,CPRO,2020-08-31,,,50.0,50.0,50.0
34776,50.0,50.0,50.0,50.0,0,CPRO,2020-09-01,,,50.0,50.0,50.0
38914,50.0,50.0,50.0,50.0,0,CPRO,2020-09-02,,,50.0,50.0,50.0
68583,50.0,50.0,50.0,50.0,0,CPRO,2020-09-03,,,50.0,50.0,50.0
12557,50.0,50.0,50.0,50.0,0,CPRO,2020-09-04,,,50.0,50.0,50.0
26562,50.0,50.0,50.0,50.0,0,CPRO,2020-09-07,,,50.0,50.0,50.0
108107,50.0,50.0,50.0,50.0,0,CPRO,2020-09-08,,,50.0,50.0,50.0
122088,50.0,50.0,50.0,50.0,0,CPRO,2020-09-09,,,50.0,50.0,50.0
7610,50.0,50.0,50.0,50.0,0,CPRO,2020-09-10,,,50.0,50.0,50.0
17487,50.0,50.0,50.0,50.0,0,CPRO,2020-09-11,,,50.0,50.0,50.0
44667,50.0,50.0,50.0,50.0,0,CPRO,2020-09-14,,,50.0,50.0,50.0
66106,50.0,50.0,50.0,50.0,0,CPRO,2020-09-15,,,50.0,50.0,50.0
1020,50.0,50.0,50.0,50.0,0,CPRO,2020-09-16,,,50.0,50.0,50.0
56204,50.0,50.0,50.0,50.0,0,CPRO,2020-09-17,,,50.0,50.0,50.0
61984,50.0,50.0,50.0,50.0,0,CPRO,2020-09-18,,,50.0,50.0,50.0
71876,50.0,50.0,50.0,50.0,0,CPRO,2020-09-21,,,50.0,50.0,50.0
99898,50.0,50.0,50.0,50.0,0,CPRO,2020-09-22,,,50.0,50.0,50.0
76829,50.0,50.0,50.0,50.0,0,CPRO,2020-09-23,,,50.0,50.0,50.0
65279,50.0,50.0,50.0,50.0,0,CPRO,2020-09-24,,,50.0,50.0,50.0
96600,50.0,50.0,50.0,50.0,0,CPRO,2020-09-25,,,50.0,50.0,50.0
59516,50.0,50.0,50.0,50.0,500,CPRO,2020-09-28,,,50.0,50.0,50.0
15836,50.0,50.0,50.0,50.0,0,CPRO,2020-09-29,,,50.0,50.0,50.0
84241,50.0,50.0,50.0,50.0,0,CPRO,2020-09-30,,,50.0,50.0,50.0
91641,50.0,50.0,50.0,50.0,0,CPRO,2020-10-01,,,50.0,50.0,50.0
67759,50.0,50.0,50.0,50.0,0,CPRO,2020-10-02,,,50.0,50.0,50.0
11733,50.0,50.0,50.0,50.0,0,CPRO,2020-10-05,,,50.0,50.0,50.0
119638,50.0,50.0,50.0,50.0,0,CPRO,2020-10-06,,,50.0,50.0,50.0
20791,50.0,50.0,50.0,50.0,0,CPRO,2020-10-07,,,50.0,50.0,50.0
19135,50.0,50.0,50.0,50.0,0,CPRO,2020-10-08,,,50.0,50.0,50.0
109764,50.0,50.0,50.0,50.0,0,CPRO,2020-10-09,,,50.0,50.0,50.0
28199,50.0,50.0,50.0,50.0,1301100,CPRO,2020-10-12,,,50.0,50.0,50.0
76004,50.0,50.0,50.0,50.0,149600,CPRO,2020-10-13,,,50.0,50.0,50.0
106453,50.0,50.0,50.0,50.0,1713000,CPRO,2020-10-14,,,50.0,50.0,50.0
14200,50.0,50.0,50.0,50.0,20900,CPRO,2020-10-15,,,50.0,50.0,50.0
5148,50.0,50.0,50.0,50.0,2400,CPRO,2020-10-16,,,50.0,50.0,50.0
195,50.0,50.0,50.0,50.0,100600,CPRO,2020-10-19,,,50.0,50.0,50.0
124569,50.0,50.0,50.0,50.0,4300,CPRO,2020-10-20,,,50.0,50.0,50.0
74354,50.0,50.0,50.0,50.0,1100,CPRO,2020-10-21,,,50.0,50.0,50.0
29854,50.0,50.0,50.0,50.0,100,CPRO,2020-10-22,,,50.0,50.0,50.0
32314,50.0,50.0,50.0,50.0,1800,CPRO,2020-10-23,,,50.0,50.0,50.0
57032,50.0,50.0,50.0,50.0,401000,CPRO,2020-10-26,,,50.0,50.0,50.0
52106,50.0,50.0,50.0,50.0,600,CPRO,2020-10-27,,,50.0,50.0,50.0
88365,50.0,50.0,50.0,50.0,300,CPRO,2020-11-02,,,50.0,50.0,50.0
