,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
200,398.0,398.0,398.0,398.0,100,CSAP,2021-04-01,,,,,
1040,398.0,398.0,398.0,398.0,1200,CSAP,2021-04-05,,,,,
1880,396.0,398.0,398.0,396.0,4200,CSAP,2021-04-06,,,,,
2720,400.0,398.0,400.0,398.0,900,CSAP,2021-04-07,,,,,
3562,398.0,398.0,398.0,398.0,300,CSAP,2021-04-08,,,,,
4404,400.0,400.0,400.0,400.0,700,CSAP,2021-04-09,,,,,
5247,400.0,400.0,400.0,398.0,10700,CSAP,2021-04-12,,,,,
6091,400.0,400.0,406.0,400.0,38600,CSAP,2021-04-13,,,,,398.75
6935,402.0,406.0,406.0,402.0,211000,CSAP,2021-04-14,,,,,400.3611111111111
7780,404.0,406.0,408.0,404.0,129800,CSAP,2021-04-15,,,,400.2,401.6141975308642
8624,406.0,404.0,406.0,404.0,123700,CSAP,2021-04-16,,,,400.8,402.14437585733884
9468,404.0,404.0,404.0,404.0,110800,CSAP,2021-04-19,,,,401.4,402.5567367779302
10312,402.0,410.0,426.0,402.0,594800,CSAP,2021-04-20,,,,402.6,404.2107952717235
11156,408.0,402.0,408.0,402.0,18600,CSAP,2021-04-21,,,,403.0,403.71950743356274
12000,400.0,408.0,414.0,400.0,34200,CSAP,2021-04-22,,,,404.0,404.6707280038821
12844,410.0,406.0,414.0,406.0,197000,CSAP,2021-04-23,,,,404.6,404.9661217807972
13688,406.0,400.0,412.0,400.0,72600,CSAP,2021-04-26,,,,404.6,403.86253916284227
14531,402.0,416.0,418.0,400.0,375400,CSAP,2021-04-27,,,,406.2,406.55975268221067
15374,416.0,418.0,418.0,398.0,201300,CSAP,2021-04-28,,,,407.4,409.10202986394165
16218,416.0,406.0,416.0,392.0,47300,CSAP,2021-04-29,,,,407.4,408.4126898941768
17062,414.0,408.0,414.0,404.0,15500,CSAP,2021-04-30,,,,407.8,408.32098102880417
17905,408.0,408.0,410.0,402.0,8700,CSAP,2021-05-03,,,,408.2,408.2496519112921
18748,408.0,410.0,410.0,406.0,1400,CSAP,2021-05-04,,,,408.2,408.6386181532272
19591,410.0,410.0,420.0,410.0,24000,CSAP,2021-05-05,,,,409.0,408.94114745251005
20435,410.0,382.0,410.0,382.0,1520800,CSAP,2021-05-06,,,,406.4,402.9542257963967
