,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
206,63.0,63.0,64.0,62.0,66200,CTTH,2021-04-01,,,,,
1046,63.0,62.0,63.0,60.0,264000,CTTH,2021-04-05,,,,,
1886,62.0,64.0,64.0,62.0,234400,CTTH,2021-04-06,,,,,
2726,64.0,64.0,66.0,63.0,232700,CTTH,2021-04-07,,,,,
3568,64.0,64.0,66.0,63.0,163000,CTTH,2021-04-08,,,,,
4410,64.0,64.0,64.0,63.0,172100,CTTH,2021-04-09,,,,,
5253,64.0,60.0,65.0,60.0,421300,CTTH,2021-04-12,,,,,
6097,61.0,75.0,80.0,61.0,23376400,CTTH,2021-04-13,,,,,64.5
6941,75.0,72.0,78.0,70.0,6024700,CTTH,2021-04-14,,,,,66.16666666666667
7786,71.0,76.0,80.0,68.0,12623700,CTTH,2021-04-15,,,,66.4,68.35185185185186
8630,76.0,72.0,76.0,71.0,5358400,CTTH,2021-04-16,,,,67.3,69.16255144032922
9474,72.0,73.0,76.0,70.0,2821000,CTTH,2021-04-19,,,,68.4,70.01531778692274
10318,73.0,72.0,75.0,71.0,1355500,CTTH,2021-04-20,,,,69.2,70.45635827871769
11162,72.0,71.0,74.0,70.0,846400,CTTH,2021-04-21,,,,69.9,70.57716755011376
12006,71.0,70.0,75.0,67.0,2050900,CTTH,2021-04-22,,,,70.5,70.44890809453292
12850,70.0,68.0,71.0,66.0,2565500,CTTH,2021-04-23,,,,70.9,69.90470629574783
13694,68.0,75.0,84.0,68.0,42162200,CTTH,2021-04-26,,,,72.4,71.03699378558164
14537,75.0,70.0,76.0,70.0,6972900,CTTH,2021-04-27,,,,71.9,70.80655072211906
15380,71.0,72.0,80.0,69.0,37843900,CTTH,2021-04-28,,,,71.9,71.07176167275927
16224,74.0,69.0,74.0,68.0,7929000,CTTH,2021-04-29,,,,71.2,70.61137018992387
17068,70.0,71.0,75.0,69.0,6904500,CTTH,2021-04-30,,,,71.1,70.6977323699408
17911,71.0,73.0,75.0,70.0,4108500,CTTH,2021-05-03,,,,71.1,71.20934739884284
18754,73.0,70.0,73.0,70.0,2563600,CTTH,2021-05-04,,,,70.9,70.94060353243331
19597,71.0,70.0,71.0,69.0,908500,CTTH,2021-05-05,,,,70.8,70.73158052522591
20441,71.0,70.0,71.0,69.0,1056700,CTTH,2021-05-06,,,,70.8,70.5690070751757
21285,69.0,70.0,71.0,69.0,552700,CTTH,2021-05-07,,,,71.0,70.44256105846999
22129,70.0,67.0,70.0,66.0,7003900,CTTH,2021-05-10,,,,70.2,69.67754748992111
22972,67.0,67.0,68.0,66.0,490300,CTTH,2021-05-11,,,,69.9,69.08253693660531
23814,67.0,65.0,71.0,64.0,4618800,CTTH,2021-05-17,,,,69.2,68.17530650624857
24654,63.0,62.0,66.0,62.0,363000,CTTH,2021-05-18,,,68.7,68.5,66.80301617152666
25494,61.0,64.0,66.0,61.0,826900,CTTH,2021-05-19,,,68.73333333333333,67.8,66.18012368896518
26352,64.0,63.0,66.0,62.0,1198400,CTTH,2021-05-20,,,68.76666666666667,66.8,65.47342953586181
27218,63.0,64.0,66.0,61.0,765600,CTTH,2021-05-21,,,68.76666666666667,66.2,65.14600075011474
28058,67.0,64.0,68.0,62.0,316100,CTTH,2021-05-24,,,68.76666666666667,65.6,64.89133391675591
28900,62.0,62.0,64.0,61.0,1271600,CTTH,2021-05-25,,,68.7,64.8,64.24881526858793
29691,62.0,63.0,66.0,61.0,1887600,CTTH,2021-05-27,,,68.66666666666667,64.1,63.97130076445728
30533,63.0,63.0,66.0,62.0,1705000,CTTH,2021-05-28,,,68.76666666666667,63.7,63.75545615013344
31375,63.0,63.0,64.0,62.0,157500,CTTH,2021-05-31,,,68.36666666666666,63.3,63.58757700565934
32217,63.0,63.0,64.0,60.0,589600,CTTH,2021-06-02,,,68.06666666666666,63.1,63.45700433773504
33058,62.0,62.0,63.0,61.0,313000,CTTH,2021-06-03,,,67.6,63.1,63.133225596016146
33899,61.0,62.0,63.0,61.0,176100,CTTH,2021-06-04,,,67.26666666666667,62.9,62.88139768579033
34740,63.0,63.0,63.0,61.0,217800,CTTH,2021-06-07,,,66.93333333333334,62.9,62.907753755614706
35581,63.0,61.0,63.0,60.0,427000,CTTH,2021-06-08,,,66.56666666666666,62.6,62.48380847658922
36424,61.0,62.0,63.0,60.0,415700,CTTH,2021-06-09,,,66.26666666666667,62.4,62.376295481791615
37267,62.0,61.0,63.0,61.0,372800,CTTH,2021-06-10,,,65.96666666666667,62.3,62.07045204139348
