,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123793,600.0,600.0,600.0,600.0,0,DAYA,2020-07-01,,,,,
131214,600.0,600.0,600.0,600.0,0,DAYA,2020-07-02,,,,,
104888,700.0,700.0,700.0,700.0,2100,DAYA,2020-07-03,,,,,
86747,700.0,700.0,700.0,700.0,0,DAYA,2020-07-06,,,,,
33976,700.0,700.0,700.0,700.0,0,DAYA,2020-07-07,,,,,
48821,695.0,700.0,700.0,695.0,1800,DAYA,2020-07-08,,,,,
117216,700.0,700.0,700.0,700.0,0,DAYA,2020-07-09,,,,,
23272,700.0,700.0,700.0,700.0,0,DAYA,2020-07-10,,,,,675.0
15036,655.0,655.0,655.0,655.0,100,DAYA,2020-07-13,,,,,670.5555555555555
31514,655.0,655.0,655.0,655.0,0,DAYA,2020-07-14,,,,671.0,667.0987654320987
92519,655.0,655.0,655.0,655.0,0,DAYA,2020-07-15,,,,676.5,664.4101508916324
21627,655.0,655.0,655.0,655.0,0,DAYA,2020-07-16,,,,682.0,662.3190062490474
107325,655.0,655.0,655.0,655.0,0,DAYA,2020-07-17,,,,677.5,660.6925604159258
80159,655.0,655.0,655.0,655.0,0,DAYA,2020-07-20,,,,673.0,659.4275469901645
105696,655.0,655.0,655.0,655.0,0,DAYA,2020-07-21,,,,668.5,658.4436476590168
96639,655.0,655.0,655.0,655.0,0,DAYA,2020-07-22,,,,664.0,657.6783926236798
8445,610.0,610.0,610.0,610.0,20200,DAYA,2020-07-23,,,,655.0,647.0831942628621
104074,610.0,610.0,610.0,610.0,0,DAYA,2020-07-24,,,,646.0,638.8424844266705
57070,610.0,610.0,610.0,610.0,0,DAYA,2020-07-27,,,,641.5,632.4330434429659
41393,610.0,610.0,610.0,610.0,0,DAYA,2020-07-28,,,,637.0,627.4479226778624
113927,610.0,610.0,610.0,610.0,0,DAYA,2020-07-29,,,,632.5,623.5706065272263
82613,570.0,570.0,570.0,570.0,200,DAYA,2020-07-30,,,,624.0,611.6660272989538
120513,570.0,570.0,570.0,570.0,0,DAYA,2020-08-03,,,,615.5,602.4069101214086
6808,570.0,570.0,570.0,570.0,0,DAYA,2020-08-04,,,,607.0,595.2053745388733
55426,570.0,570.0,570.0,570.0,0,DAYA,2020-08-05,,,,598.5,589.6041801969014
71915,570.0,570.0,570.0,570.0,0,DAYA,2020-08-06,,,,590.0,585.2476957087011
43864,570.0,570.0,570.0,570.0,0,DAYA,2020-08-07,,,,586.0,581.8593188845454
101595,570.0,570.0,570.0,570.0,0,DAYA,2020-08-10,,,,582.0,579.2239146879797
54610,570.0,570.0,570.0,570.0,0,DAYA,2020-08-11,,,,578.0,577.1741558684287
122976,570.0,570.0,570.0,570.0,0,DAYA,2020-08-12,,,627.3333333333334,574.0,575.5798990087778
64491,570.0,570.0,570.0,570.0,0,DAYA,2020-08-13,,,626.3333333333334,570.0,574.3399214512716
90062,570.0,570.0,570.0,570.0,0,DAYA,2020-08-14,,,625.3333333333334,570.0,573.3754944621002
62847,570.0,570.0,570.0,570.0,0,DAYA,2020-08-18,,,621.0,570.0,572.6253845816335
91703,570.0,570.0,570.0,570.0,0,DAYA,2020-08-19,,,616.6666666666666,570.0,572.041965785715
10093,570.0,570.0,570.0,570.0,0,DAYA,2020-08-24,,,612.3333333333334,570.0,571.5881956111117
132022,570.0,570.0,570.0,570.0,0,DAYA,2020-08-25,,,608.0,570.0,571.2352632530868
106509,570.0,535.0,570.0,535.0,600,DAYA,2020-08-26,,,602.5,566.5,563.1829825301786
3513,535.0,535.0,535.0,535.0,100,DAYA,2020-08-27,,,597.0,563.0,556.9200975234722
80971,530.0,500.0,530.0,500.0,200,DAYA,2020-08-28,,,591.8333333333334,556.0,544.2711869627007
27392,470.0,470.0,470.0,470.0,3000,DAYA,2020-08-31,,,585.6666666666666,546.0,527.7664787487672
34787,450.0,440.0,450.0,440.0,1200,DAYA,2020-09-01,,,578.5,533.0,508.2628168045967
38925,440.0,440.0,440.0,440.0,0,DAYA,2020-09-02,,,571.3333333333334,520.0,493.09330195913077
70262,420.0,420.0,420.0,420.0,100,DAYA,2020-09-03,,,563.5,505.0,476.8503459682128
12568,400.0,400.0,400.0,400.0,200,DAYA,2020-09-04,,,555.0,488.0,459.77249130861
26573,400.0,490.0,490.0,382.0,11100,DAYA,2020-09-07,,,549.5,480.0,466.4897154622522
110620,466.0,500.0,500.0,466.0,40100,DAYA,2020-09-08,,,544.3333333333334,473.0,473.9364453595295
124601,500.0,500.0,500.0,500.0,0,DAYA,2020-09-09,,,540.6666666666666,469.5,479.7283463907452
7621,500.0,500.0,500.0,500.0,0,DAYA,2020-09-10,,,537.0,466.0,484.2331583039129
17498,500.0,500.0,500.0,500.0,0,DAYA,2020-09-11,,,533.3333333333334,466.0,487.73690090304336
44678,530.0,550.0,550.0,530.0,800,DAYA,2020-09-14,,,531.3333333333334,474.0,501.5731451468115
67785,550.0,550.0,550.0,550.0,100,DAYA,2020-09-15,,,529.3333333333334,485.0,512.33466844752
1031,540.0,540.0,540.0,540.0,100,DAYA,2020-09-16,,,528.3333333333334,495.0,518.4825199036267
57883,540.0,540.0,540.0,540.0,0,DAYA,2020-09-17,,,527.3333333333334,507.0,523.2641821472652
63663,540.0,540.0,540.0,540.0,0,DAYA,2020-09-18,,,526.3333333333334,521.0,526.9832527812063
73555,540.0,540.0,540.0,540.0,0,DAYA,2020-09-21,,,525.3333333333334,526.0,529.8758632742715
102411,540.0,540.0,540.0,540.0,0,DAYA,2020-09-22,,,524.3333333333334,530.0,532.1256714355445
78508,520.0,520.0,520.0,520.0,100,DAYA,2020-09-23,,,522.6666666666666,532.0,529.4310777832013
66958,580.0,590.0,650.0,580.0,13800,DAYA,2020-09-24,,,523.3333333333334,541.0,542.8908382758233
99113,590.0,575.0,590.0,575.0,22600,DAYA,2020-09-25,,,523.5,548.5,550.0262075478626
61195,575.0,575.0,575.0,575.0,0,DAYA,2020-09-28,,,523.6666666666666,551.0,555.5759392038931
15847,575.0,575.0,575.0,575.0,0,DAYA,2020-09-29,,,523.8333333333334,553.5,559.8923971585835
85920,575.0,575.0,575.0,575.0,0,DAYA,2020-09-30,,,524.0,557.0,563.2496422344539
94154,575.0,575.0,575.0,575.0,0,DAYA,2020-10-01,,,524.1666666666666,560.5,565.8608328490196
69438,575.0,575.0,575.0,575.0,0,DAYA,2020-10-02,,,524.3333333333334,564.0,567.8917588825708
11744,575.0,575.0,575.0,575.0,300,DAYA,2020-10-05,,,524.5,567.5,569.4713680197773
122151,575.0,575.0,575.0,575.0,0,DAYA,2020-10-06,,,524.6666666666666,571.0,570.6999529042712
20802,575.0,575.0,575.0,575.0,0,DAYA,2020-10-07,,,526.0,576.5,571.6555189255442
19146,575.0,575.0,575.0,575.0,0,DAYA,2020-10-08,,,527.3333333333334,575.0,572.39873694209
112277,575.0,575.0,575.0,575.0,0,DAYA,2020-10-09,,,529.8333333333334,575.0,572.9767953994033
28210,575.0,575.0,575.0,575.0,0,DAYA,2020-10-12,,,533.3333333333334,575.0,573.4263964217581
77683,575.0,575.0,575.0,575.0,0,DAYA,2020-10-13,,,537.8333333333334,575.0,573.7760861058118
108966,575.0,575.0,575.0,575.0,0,DAYA,2020-10-14,,,542.3333333333334,575.0,574.0480669711869
