,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
211,10525.0,11275.0,11275.0,10525.0,3000,DCII,2021-04-01,,,,,
1051,11200.0,11275.0,11275.0,11200.0,12200,DCII,2021-04-05,,,,,
1891,11225.0,11350.0,11500.0,11225.0,24200,DCII,2021-04-06,,,,,
2731,11350.0,11325.0,11400.0,11000.0,19200,DCII,2021-04-07,,,,,
3573,11400.0,11750.0,11750.0,11400.0,17300,DCII,2021-04-08,,,,,
4415,11775.0,11800.0,11800.0,11775.0,1600,DCII,2021-04-09,,,,,
5258,11750.0,11750.0,11750.0,11750.0,1000,DCII,2021-04-12,,,,,
6102,11500.0,11200.0,11500.0,11100.0,6000,DCII,2021-04-13,,,,,11465.625
6946,11200.0,11825.0,11825.0,11200.0,5300,DCII,2021-04-14,,,,,11545.486111111111
7791,11875.0,11625.0,11875.0,11625.0,14000,DCII,2021-04-15,,,,11517.5,11563.155864197532
8635,11625.0,11800.0,11800.0,11400.0,13700,DCII,2021-04-16,,,,11570.0,11615.787894375859
9479,11775.0,12300.0,12400.0,11775.0,13100,DCII,2021-04-19,,,,11672.5,11767.835028959002
10323,12200.0,12000.0,12300.0,11950.0,1900,DCII,2021-04-20,,,,11737.5,11819.42724474589
11167,12000.0,12000.0,12000.0,12000.0,200,DCII,2021-04-21,,,,11805.0,11859.554523691248
12011,12000.0,12000.0,12000.0,12000.0,500,DCII,2021-04-22,,,,11830.0,11890.764629537636
12855,12100.0,12050.0,12150.0,12050.0,1200,DCII,2021-04-23,,,,11855.0,11926.150267418161
13699,12050.0,12500.0,12600.0,12050.0,3900,DCII,2021-04-26,,,,11930.0,12053.672430214125
14542,12500.0,12375.0,12800.0,12375.0,4200,DCII,2021-04-27,,,,12047.5,12125.078556833208
15385,12375.0,11950.0,12375.0,11525.0,4000,DCII,2021-04-28,,,,12060.0,12086.172210870272
16229,11950.0,11875.0,11950.0,11875.0,2900,DCII,2021-04-29,,,,12085.0,12039.245052899101
17073,11875.0,11375.0,11875.0,11375.0,600,DCII,2021-04-30,,,,12042.5,11891.635041143745
17916,11375.0,11375.0,11375.0,11375.0,1400,DCII,2021-05-03,,,,11950.0,11776.827254222913
18759,11400.0,10700.0,11425.0,10700.0,1400,DCII,2021-05-04,,,,11820.0,11537.532308840044
19602,10700.0,11925.0,11950.0,10700.0,5400,DCII,2021-05-05,,,,11812.5,11623.636240208923
