,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121293,90.0,90.0,90.0,90.0,0,DEAL-W,2020-07-01,,,,,
128714,90.0,90.0,90.0,90.0,0,DEAL-W,2020-07-02,,,,,
102388,90.0,90.0,90.0,90.0,0,DEAL-W,2020-07-03,,,,,
85081,1.0,7.0,7.0,1.0,200,DEAL-W,2020-07-06,,,,,
33978,7.0,7.0,7.0,7.0,0,DEAL-W,2020-07-07,,,,,
47989,7.0,7.0,7.0,7.0,0,DEAL-W,2020-07-08,,,,,
114716,7.0,7.0,7.0,7.0,0,DEAL-W,2020-07-09,,,,,
23274,7.0,7.0,7.0,7.0,0,DEAL-W,2020-07-10,,,,,38.125
15038,7.0,7.0,7.0,7.0,0,DEAL-W,2020-07-13,,,,,31.208333333333336
31516,7.0,7.0,7.0,7.0,0,DEAL-W,2020-07-14,,,,31.9,25.828703703703706
90019,7.0,7.0,7.0,7.0,0,DEAL-W,2020-07-15,,,,23.6,21.644547325102884
21629,7.0,7.0,7.0,7.0,0,DEAL-W,2020-07-16,,,,15.3,18.39020347508002
104825,7.0,7.0,7.0,7.0,0,DEAL-W,2020-07-17,,,,7.0,15.85904714728446
78493,7.0,7.0,7.0,7.0,0,DEAL-W,2020-07-20,,,,7.0,13.890370003443469
103196,7.0,7.0,7.0,7.0,0,DEAL-W,2020-07-21,,,,7.0,12.35917666934492
94139,80.0,80.0,80.0,80.0,200,DEAL-W,2020-07-22,,,,14.3,27.390470742823826
8447,80.0,80.0,80.0,80.0,0,DEAL-W,2020-07-23,,,,21.6,39.08147724441853
101574,11.0,11.0,11.0,11.0,100,DEAL-W,2020-07-24,,,,22.0,32.84114896788108
55404,11.0,11.0,11.0,11.0,0,DEAL-W,2020-07-27,,,,22.4,27.987560308351952
41395,11.0,11.0,11.0,11.0,0,DEAL-W,2020-07-28,,,,22.8,24.212546906495962
111427,11.0,11.0,11.0,11.0,0,DEAL-W,2020-07-29,,,,23.2,21.276425371719082
80947,11.0,11.0,11.0,11.0,0,DEAL-W,2020-07-30,,,,23.6,18.992775289114842
118013,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-03,,,,24.0,17.216603002644877
6810,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-04,,,,24.4,15.835135668723794
53760,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-05,,,,24.8,14.760661075674061
70249,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-06,,,,17.9,13.924958614413159
43866,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-07,,,,11.0,13.274967811210235
99095,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-10,,,,11.0,12.769419408719072
52944,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-11,,,,11.0,12.37621509567039
120476,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-12,,,21.9,11.0,12.070389518854746
62825,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-13,,,19.266666666666666,11.0,11.83252518133147
87562,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-14,,,16.633333333333333,11.0,11.647519585480032
61181,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-18,,,14.0,11.0,11.503626344262246
89203,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-19,,,14.133333333333333,11.0,11.391709378870635
10095,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-24,,,14.266666666666667,11.0,11.304662850232717
129522,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-25,,,14.4,11.0,11.236959994625446
104009,11.0,11.0,11.0,11.0,0,DEAL-W,2020-08-26,,,14.533333333333333,11.0,11.184302218042014
3515,11.0,11.0,11.0,11.0,100,DEAL-W,2020-08-27,,,14.666666666666666,11.0,11.143346169588233
79305,1.0,77.0,77.0,1.0,300,DEAL-W,2020-08-28,,,17.0,17.6,25.77815813190196
27394,77.0,77.0,77.0,77.0,0,DEAL-W,2020-08-31,,,19.333333333333332,24.2,37.16078965814597
34789,77.0,80.0,80.0,77.0,300,DEAL-W,2020-09-01,,,21.766666666666666,31.1,46.680614178557974
38927,80.0,80.0,80.0,80.0,200,DEAL-W,2020-09-02,,,24.2,38.0,54.084922138878426
68596,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-03,,,26.633333333333333,44.9,59.84382833023878
12570,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-04,,,29.066666666666666,51.8,64.32297759018572
26575,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-07,,,31.5,58.7,67.80676034792222
108120,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-08,,,31.5,65.6,70.51636915949506
122101,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-09,,,31.5,72.5,72.62384267960726
7623,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-10,,,33.8,79.4,74.26298875080565
17500,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-11,,,36.1,79.7,75.53788013951551
44680,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-14,,,38.4,80.0,76.52946233073429
66119,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-15,,,40.7,80.0,77.30069292390445
1033,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-16,,,43.0,80.0,77.90053894081457
56217,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-17,,,45.3,80.0,78.36708584285577
61997,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-18,,,47.6,80.0,78.72995565555449
71889,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-21,,,49.9,80.0,79.01218773209794
99911,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-22,,,52.2,80.0,79.23170156940951
76842,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-23,,,54.5,80.0,79.40243455398517
65292,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-24,,,56.8,80.0,79.5352268753218
96613,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-25,,,59.1,80.0,79.63850979191696
59529,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-28,,,61.4,80.0,79.71884094926875
15849,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-29,,,63.7,80.0,79.78132073832015
84254,80.0,80.0,80.0,80.0,0,DEAL-W,2020-09-30,,,66.0,80.0,79.82991612980456
91654,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-01,,,68.3,80.0,79.86771254540355
67772,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-02,,,70.6,80.0,79.8971097575361
11746,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-05,,,72.9,80.0,79.9199742558614
119651,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-06,,,75.2,80.0,79.93775775455887
20804,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-07,,,77.5,80.0,79.9515893646569
19148,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-08,,,79.8,80.0,79.96234728362204
109777,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-09,,,79.9,80.0,79.97071455392825
28212,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-12,,,80.0,80.0,79.97722243083308
76017,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-13,,,80.0,80.0,79.98228411287018
106466,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-14,,,80.0,80.0,79.9862209766768
14213,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-15,,,80.0,80.0,79.98928298185973
5161,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-16,,,80.0,80.0,79.99166454144645
208,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-19,,,80.0,80.0,79.99351686556946
124582,80.0,80.0,80.0,80.0,0,DEAL-W,2020-10-20,,,80.0,80.0,79.99495756210958
74367,3.0,3.0,3.0,3.0,100,DEAL-W,2020-10-21,,,77.43333333333334,72.3,62.88496699275189
29867,3.0,3.0,3.0,3.0,0,DEAL-W,2020-10-22,,,74.86666666666666,64.6,49.57719654991814
32327,3.0,3.0,3.0,3.0,0,DEAL-W,2020-10-23,,,72.3,56.9,39.226708427714115
57045,3.0,3.0,3.0,3.0,0,DEAL-W,2020-10-26,,,69.73333333333333,49.2,31.176328777110978
52119,3.0,3.0,3.0,3.0,0,DEAL-W,2020-10-27,,,67.16666666666667,41.5,24.914922382197428
88378,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-02,,,64.6,33.8,20.044939630598
83429,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-03,,,62.03333333333333,26.1,16.25717526824289
5985,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-04,,,59.46666666666667,18.4,13.31113631974447
18323,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-05,,,56.9,10.7,11.019772693134588
42207,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-06,,,54.333333333333336,3.0,9.237600983549124
90829,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-09,,,51.766666666666666,3.0,7.8514674316493185
1860,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-10,,,49.2,3.0,6.7733635579494695
24084,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-11,,,46.63333333333333,3.0,5.934838322849587
77668,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-12,,,44.06666666666667,3.0,5.282652028883012
75192,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-13,,,41.5,3.0,4.775396022464565
73542,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-16,,,38.93333333333333,3.0,4.3808635730279955
39745,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-17,,,36.36666666666667,3.0,4.074005001243997
16675,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-18,,,33.8,3.0,3.835337223189775
66947,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-19,,,31.233333333333334,3.0,3.649706729147603
80122,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-20,,,28.666666666666668,3.0,3.505327456003691
71064,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-23,,,26.1,3.0,3.3930324657806485
112240,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-24,,,23.533333333333335,3.0,3.3056919178293933
118826,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-25,,,20.966666666666665,3.0,3.2377603805339725
58704,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-26,38.51,,18.4,3.0,3.184924740415312
13388,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-27,37.64,,15.833333333333334,3.0,3.1438303536563534
117188,3.0,3.0,3.0,3.0,0,DEAL-W,2020-11-30,36.77,,13.266666666666667,3.0,3.1118680528438305
113891,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-01,35.9,,10.7,3.0,3.0870084855452014
116363,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-02,35.86,,8.133333333333333,3.0,3.0676732665351567
38103,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-03,35.82,,5.566666666666666,3.0,3.0526347628606776
30692,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-04,35.78,,3.0,3.0,3.0409381488916383
46336,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-07,35.74,,3.0,3.0,3.0318407824712743
92480,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-08,35.7,,3.0,3.0,3.0247650530332133
126236,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-10,35.66,,3.0,3.0,3.0192617079147213
40571,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-11,35.62,,3.0,3.0,3.0149813283781164
72718,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-14,35.58,,3.0,3.0,3.0116521442940907
110603,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-15,35.54,,3.0,3.0,3.009062778895404
127890,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-16,35.5,,3.0,3.0,3.0070488280297587
63642,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-17,35.46,,3.0,3.0,3.0054824218009233
98270,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-18,35.42,,3.0,3.0,3.0042641058451625
113066,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-21,34.65,,3.0,3.0,3.00331652676846
33153,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-22,33.88,,3.0,3.0,3.0025795208199133
95788,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-23,33.8,,3.0,3.0,3.0020062939710437
64467,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-28,33.72,,3.0,3.0,3.0015604508663674
60356,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-29,33.64,,3.0,3.0,3.001213684007175
127062,3.0,3.0,3.0,3.0,0,DEAL-W,2020-12-30,33.56,,3.0,3.0,3.0009439764500248
4333,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-04,33.48,,3.0,3.0,3.0007342039055747
107292,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-05,33.4,,3.0,3.0,3.0005710474821137
123754,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-06,33.32,,3.0,3.0,3.000444148041644
29039,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-07,33.24,,3.0,3.0,3.000345448476834
47161,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-08,33.16,,3.0,3.0,3.000268682148649
122924,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-11,33.08,,3.0,3.0,3.0002089750045045
48802,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-12,33.0,,3.0,3.0,3.0001625361146145
49631,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-13,32.92,,3.0,3.0,3.0001264169780333
125408,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-14,32.84,,3.0,3.0,3.000098324316248
35608,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-15,32.76,,3.0,3.0,3.0000764744681927
36438,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-18,32.68,,3.0,3.0,3.000059480141928
105637,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-19,32.6,,3.0,3.0,3.0000462623326105
50460,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-20,32.52,,3.0,3.0,3.0000359818142526
51290,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-21,32.44,,3.0,3.0,3.00002798585553
2686,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-22,32.36,,3.0,3.0,3.0000217667765234
97440,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-25,32.28,,3.0,3.0,3.000016929715074
45507,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-26,32.2,,3.0,3.0,3.0000131675561685
19975,3.0,3.0,3.0,3.0,0,DEAL-W,2021-01-27,31.46,,3.0,3.0,3.0000102414325753
24911,3.0,4.0,4.0,3.0,200,DEAL-W,2021-01-28,30.73,,3.033333333333333,3.1,3.222230187780892
54575,4.0,4.0,4.0,4.0,0,DEAL-W,2021-01-29,29.97,,3.066666666666667,3.2,3.3950679238295827
93309,4.0,4.0,4.0,4.0,0,DEAL-W,2021-02-01,29.21,,3.1,3.3,3.5294972740896755
25744,5.0,5.0,5.0,5.0,100,DEAL-W,2021-02-02,28.46,,3.1666666666666665,3.5,3.856275657625303
9264,5.0,5.0,5.0,5.0,0,DEAL-W,2021-02-03,27.71,,3.2333333333333334,3.7,4.110436622597458
115532,5.0,5.0,5.0,5.0,0,DEAL-W,2021-02-04,26.96,,3.3,3.9,4.308117373131356
10915,5.0,5.0,5.0,5.0,0,DEAL-W,2021-02-05,26.21,,3.3666666666666667,4.1,4.461869067991055
37271,5.0,5.0,5.0,5.0,100,DEAL-W,2021-02-08,25.46,,3.433333333333333,4.3,4.581453719548598
86730,5.0,5.0,5.0,5.0,0,DEAL-W,2021-02-09,24.71,,3.5,4.5,4.6744640040933545
85894,5.0,5.0,5.0,5.0,0,DEAL-W,2021-02-10,23.96,,3.566666666666667,4.7,4.7468053365170535
82597,5.0,5.0,5.0,5.0,0,DEAL-W,2021-02-11,23.21,,3.6333333333333333,4.8,4.803070817291042
