,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120460,1795.0,1800.0,1800.0,1795.0,2500,DEFI,2020-07-01,,,,,
127881,1800.0,1800.0,1805.0,1800.0,7100,DEFI,2020-07-02,,,,,
101555,1795.0,1800.0,1800.0,1790.0,8500,DEFI,2020-07-03,,,,,
84248,1800.0,1805.0,1805.0,1800.0,8600,DEFI,2020-07-06,,,,,
33979,1805.0,1800.0,1815.0,1800.0,26800,DEFI,2020-07-07,,,,,
47156,1800.0,1795.0,1800.0,1795.0,31600,DEFI,2020-07-08,,,,,
113883,1795.0,1800.0,1800.0,1795.0,12000,DEFI,2020-07-09,,,,,
23275,1795.0,1795.0,1795.0,1790.0,28600,DEFI,2020-07-10,,,,,1799.375
15039,1795.0,1800.0,1800.0,1795.0,11600,DEFI,2020-07-13,,,,,1799.513888888889
31517,1800.0,1800.0,1805.0,1800.0,20900,DEFI,2020-07-14,,,,1799.5,1799.6219135802469
89186,1800.0,1800.0,1800.0,1800.0,0,DEFI,2020-07-15,,,,1799.5,1799.7059327846364
21630,1795.0,1795.0,1795.0,1790.0,12500,DEFI,2020-07-16,,,,1799.0,1798.660169943606
103992,1795.0,1790.0,1795.0,1790.0,15400,DEFI,2020-07-17,,,,1798.0,1796.7356877339157
77660,1790.0,1785.0,1790.0,1780.0,24700,DEFI,2020-07-20,,,,1796.0,1794.1277571263788
102363,1790.0,1795.0,1795.0,1790.0,22500,DEFI,2020-07-21,,,,1795.5,1794.3215888760724
93306,1790.0,1795.0,1800.0,1790.0,28900,DEFI,2020-07-22,,,,1795.5,1794.4723469036119
8448,1795.0,1800.0,1800.0,1795.0,17500,DEFI,2020-07-23,,,,1795.5,1795.7007142583648
100741,1795.0,1795.0,1795.0,1790.0,29900,DEFI,2020-07-24,,,,1795.5,1795.5449999787281
54571,1795.0,1795.0,1800.0,1795.0,35900,DEFI,2020-07-27,,,,1795.0,1795.4238888723442
41396,1795.0,1790.0,1795.0,1790.0,36100,DEFI,2020-07-28,,,,1794.0,1794.2185802340455
110594,1785.0,1785.0,1795.0,1780.0,34200,DEFI,2020-07-29,,,,1792.5,1792.170006848702
80114,1785.0,1785.0,1790.0,1780.0,27400,DEFI,2020-07-30,,,,1791.5,1790.576671993435
117180,1785.0,1775.0,1785.0,1775.0,30100,DEFI,2020-08-03,,,,1790.0,1787.1151893282272
6811,1775.0,1780.0,1785.0,1775.0,32100,DEFI,2020-08-04,,,,1789.5,1785.5340361441768
