,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121297,40.0,40.0,40.0,40.0,0,DFAM-W,2020-07-01,,,,,
128718,40.0,40.0,40.0,40.0,0,DFAM-W,2020-07-02,,,,,
102392,40.0,40.0,40.0,40.0,0,DFAM-W,2020-07-03,,,,,
85085,1.0,1.0,1.0,1.0,100,DFAM-W,2020-07-06,,,,,
33982,1.0,1.0,1.0,1.0,0,DFAM-W,2020-07-07,,,,,
47993,1.0,1.0,1.0,1.0,0,DFAM-W,2020-07-08,,,,,
114720,120.0,120.0,120.0,120.0,200,DFAM-W,2020-07-09,,,,,
23278,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-10,,,,,45.375
15042,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-13,,,,,61.95833333333333
31520,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-14,,,,60.3,74.85648148148148
90023,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-15,,,,68.3,84.8883744855967
21633,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-16,,,,76.3,92.69095793324188
104829,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-17,,,,84.3,98.75963394807701
78497,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-20,,,,96.2,103.47971529294878
103200,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-21,,,,108.1,107.1508896722935
94143,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-22,,,,120.0,110.00624752289495
8451,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-23,,,,120.0,112.22708140669607
101578,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-24,,,,120.0,113.9543966496525
55408,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-27,,,,120.0,115.29786406084082
41399,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-28,,,,120.0,116.34278315843176
111431,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-29,,,,120.0,117.15549801211358
80951,120.0,120.0,120.0,120.0,0,DFAM-W,2020-07-30,,,,120.0,117.78760956497723
118017,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-03,,,,120.0,118.27925188387118
6814,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-04,,,,120.0,118.66164035412203
53764,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-05,,,,120.0,118.95905360876158
70253,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-06,,,,120.0,119.19037502903679
43870,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-07,,,,120.0,119.37029168925083
99099,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-10,,,,120.0,119.51022686941731
52948,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-11,,,,120.0,119.61906534288013
120480,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-12,,,100.1,120.0,119.70371748890678
62829,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-13,,,102.76666666666667,120.0,119.76955804692749
87566,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-14,,,105.43333333333334,120.0,119.8207673698325
61185,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-18,,,108.1,120.0,119.86059684320306
89207,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-19,,,112.06666666666666,120.0,119.89157532249126
10099,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-24,,,116.03333333333333,120.0,119.91566969527098
129526,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-25,,,120.0,120.0,119.93440976298854
104013,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-26,,,120.0,120.0,119.94898537121331
3519,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-27,,,120.0,120.0,119.96032195538812
79309,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-28,,,120.0,120.0,119.96913929863521
27398,120.0,120.0,120.0,120.0,0,DFAM-W,2020-08-31,,,120.0,120.0,119.97599723227184
34793,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-01,,,120.0,120.0,119.98133118065587
38931,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-02,,,120.0,120.0,119.98547980717679
68600,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-03,,,120.0,120.0,119.98870651669306
12574,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-04,,,120.0,120.0,119.99121617965015
26579,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-07,,,120.0,120.0,119.9931681397279
108124,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-08,,,120.0,120.0,119.99468633089948
122105,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-09,,,120.0,120.0,119.99586714625515
7627,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-10,,,120.0,120.0,119.99678555819845
17504,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-11,,,120.0,120.0,119.9974998785988
44684,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-14,,,120.0,120.0,119.9980554611324
66123,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-15,,,120.0,120.0,119.99848758088075
1037,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-16,,,120.0,120.0,119.99882367401835
56221,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-17,,,120.0,120.0,119.99908507979205
62001,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-18,,,120.0,120.0,119.99928839539382
71893,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-21,,,120.0,120.0,119.99944652975074
99915,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-22,,,120.0,120.0,119.99956952313947
76846,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-23,,,120.0,120.0,119.99966518466404
65296,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-24,,,120.0,120.0,119.99973958807203
96617,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-25,,,120.0,120.0,119.99979745738936
59533,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-28,,,120.0,120.0,119.9998424668584
15853,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-29,,,120.0,120.0,119.9998774742232
84258,120.0,120.0,120.0,120.0,0,DFAM-W,2020-09-30,,,120.0,120.0,119.9999047021736
91658,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-01,,,120.0,120.0,119.99992587946835
67776,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-02,,,120.0,120.0,119.99994235069761
11750,120.0,120.0,120.0,120.0,2000,DFAM-W,2020-10-05,,,120.0,120.0,119.9999551616537
119655,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-06,,,120.0,120.0,119.99996512573065
20808,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-07,,,120.0,120.0,119.99997287556829
19152,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-08,,,120.0,120.0,119.99997890321978
109781,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-09,,,120.0,120.0,119.99998359139316
28216,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-12,,,120.0,120.0,119.99998723775023
76021,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-13,,,120.0,120.0,119.99999007380573
106470,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-14,,,120.0,120.0,119.99999227962668
14217,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-15,,,120.0,120.0,119.9999939952652
5165,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-16,,,120.0,120.0,119.99999532965072
212,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-19,,,120.0,120.0,119.99999636750611
124586,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-20,,,120.0,120.0,119.99999717472697
74371,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-21,,,120.0,120.0,119.99999780256542
29871,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-22,,,120.0,120.0,119.99999829088421
32331,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-23,,,120.0,120.0,119.99999867068772
57049,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-26,,,120.0,120.0,119.99999896609044
52123,120.0,120.0,120.0,120.0,0,DFAM-W,2020-10-27,,,120.0,120.0,119.99999919584812
88382,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-02,,,120.0,120.0,119.99999937454854
83433,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-03,,,120.0,120.0,119.99999951353774
5989,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-04,,,120.0,120.0,119.99999962164047
18327,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-05,,,120.0,120.0,119.99999970572037
42211,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-06,,,120.0,120.0,119.99999977111584
90833,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-09,,,120.0,120.0,119.99999982197899
1864,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-10,,,120.0,120.0,119.99999986153921
24088,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-11,,,120.0,120.0,119.99999989230827
77672,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-12,,,120.0,120.0,119.99999991623976
75196,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-13,,,120.0,120.0,119.99999993485315
73546,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-16,,,120.0,120.0,119.99999994933023
39749,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-17,,,120.0,120.0,119.99999996059017
16679,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-18,,,120.0,120.0,119.99999996934791
66951,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-19,,,120.0,120.0,119.99999997615949
80126,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-20,,,120.0,120.0,119.99999998145738
71068,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-23,,,120.0,120.0,119.99999998557796
112244,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-24,,,120.0,120.0,119.99999998878286
118830,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-25,,,120.0,120.0,119.99999999127556
58708,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-26,114.03,,120.0,120.0,119.99999999321432
13392,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-27,114.83,,120.0,120.0,119.99999999472224
117192,120.0,120.0,120.0,120.0,0,DFAM-W,2020-11-30,115.63,,120.0,120.0,119.99999999589508
113895,120.0,120.0,120.0,120.0,0,DFAM-W,2020-12-01,116.43,,120.0,120.0,119.99999999680729
116367,120.0,120.0,120.0,120.0,0,DFAM-W,2020-12-02,117.62,,120.0,120.0,119.99999999751678
38107,120.0,120.0,120.0,120.0,0,DFAM-W,2020-12-03,118.81,,120.0,120.0,119.9999999980686
30696,120.0,120.0,120.0,120.0,0,DFAM-W,2020-12-04,120.0,,120.0,120.0,119.9999999984978
46340,120.0,120.0,120.0,120.0,0,DFAM-W,2020-12-07,120.0,,120.0,120.0,119.99999999883163
92484,120.0,120.0,120.0,120.0,0,DFAM-W,2020-12-08,120.0,,120.0,120.0,119.99999999909126
126240,120.0,120.0,120.0,120.0,0,DFAM-W,2020-12-10,120.0,,120.0,120.0,119.9999999992932
40575,120.0,120.0,120.0,120.0,0,DFAM-W,2020-12-11,120.0,,120.0,120.0,119.99999999945027
72722,120.0,120.0,120.0,120.0,0,DFAM-W,2020-12-14,120.0,,120.0,120.0,119.99999999957242
110607,120.0,120.0,120.0,120.0,0,DFAM-W,2020-12-15,120.0,,120.0,120.0,119.99999999966744
127894,3.0,3.0,3.0,3.0,100,DFAM-W,2020-12-16,118.83,,116.1,108.3,93.99999999974133
63646,3.0,3.0,3.0,3.0,0,DFAM-W,2020-12-17,117.66,,112.2,96.6,73.7777777775766
98274,3.0,3.0,3.0,3.0,0,DFAM-W,2020-12-18,116.49,,108.3,84.9,58.04938271589292
113070,3.0,3.0,3.0,3.0,0,DFAM-W,2020-12-21,115.32,,104.4,73.2,45.816186556805604
33157,3.0,3.0,3.0,3.0,0,DFAM-W,2020-12-22,114.15,,100.5,61.5,36.301478433071026
95792,3.0,3.0,3.0,3.0,0,DFAM-W,2020-12-23,112.98,,96.6,49.8,28.901149892388574
64471,3.0,3.0,3.0,3.0,0,DFAM-W,2020-12-28,111.81,,92.7,38.1,23.145338805191113
60360,3.0,3.0,3.0,3.0,0,DFAM-W,2020-12-29,110.64,,88.8,26.4,18.668596848481975
127066,3.0,3.0,3.0,3.0,0,DFAM-W,2020-12-30,109.47,,84.9,14.7,15.186686437708204
4337,3.0,3.0,3.0,3.0,0,DFAM-W,2021-01-04,108.3,,81.0,3.0,12.47853389599527
107296,3.0,3.0,3.0,3.0,0,DFAM-W,2021-01-05,107.13,,77.1,3.0,10.372193030218543
123758,3.0,3.0,3.0,3.0,0,DFAM-W,2021-01-06,105.96,,73.2,3.0,8.7339279123922
29043,3.0,3.0,3.0,3.0,0,DFAM-W,2021-01-07,104.79,,69.3,3.0,7.459721709638378
47165,3.0,3.0,3.0,3.0,0,DFAM-W,2021-01-08,103.62,,65.4,3.0,6.46867244082985
122928,3.0,3.0,3.0,3.0,0,DFAM-W,2021-01-11,102.45,,61.5,3.0,5.697856342867661
48806,3.0,3.0,3.0,3.0,0,DFAM-W,2021-01-12,101.28,,57.6,3.0,5.098332711119292
49635,3.0,3.0,3.0,3.0,0,DFAM-W,2021-01-13,100.11,,53.7,3.0,4.632036553092783
125412,3.0,3.0,3.0,3.0,0,DFAM-W,2021-01-14,98.94,,49.8,3.0,4.269361763516609
35612,5.0,5.0,5.0,5.0,100,DFAM-W,2021-01-15,97.79,,45.96666666666667,3.2,4.431725816068473
36442,5.0,5.0,5.0,5.0,0,DFAM-W,2021-01-18,96.64,,42.13333333333333,3.4,4.558008968053257
105641,5.0,5.0,5.0,5.0,0,DFAM-W,2021-01-19,95.49,,38.3,3.6,4.656229197374755
50464,5.0,5.0,5.0,5.0,0,DFAM-W,2021-01-20,94.34,,34.46666666666667,3.8,4.732622709069254
51294,5.0,5.0,5.0,5.0,0,DFAM-W,2021-01-21,93.19,,30.633333333333333,4.0,4.792039884831642
2690,5.0,5.0,5.0,5.0,0,DFAM-W,2021-01-22,92.04,,26.8,4.2,4.8382532437579435
97444,5.0,5.0,5.0,5.0,0,DFAM-W,2021-01-25,90.89,,22.966666666666665,4.4,4.87419696736729
45511,5.0,5.0,5.0,5.0,0,DFAM-W,2021-01-26,89.74,,19.133333333333333,4.6,4.902153196841225
19979,5.0,5.0,5.0,5.0,0,DFAM-W,2021-01-27,88.59,,15.3,4.8,4.923896930876508
24915,5.0,5.0,5.0,5.0,0,DFAM-W,2021-01-28,87.44,,11.466666666666667,5.0,4.940808724015062
54579,5.0,5.0,5.0,5.0,0,DFAM-W,2021-01-29,86.29,,7.633333333333334,5.0,4.9539623409006035
93313,5.0,5.0,5.0,5.0,0,DFAM-W,2021-02-01,85.14,,3.8,5.0,4.9641929318115805
25748,119.0,119.0,119.0,8.0,3300,DFAM-W,2021-02-02,85.13,,7.666666666666667,16.4,30.305483391409005
