,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126300,312.0,312.0,312.0,312.0,20500,DFAM,2020-07-01,,,,,
133721,328.0,332.0,346.0,292.0,3600,DFAM,2020-07-02,,,,,
107395,350.0,342.0,350.0,342.0,300,DFAM,2020-07-03,,,,,
89254,320.0,324.0,326.0,320.0,2600,DFAM,2020-07-06,,,,,
33981,320.0,344.0,344.0,302.0,63500,DFAM,2020-07-07,,,,,
51328,340.0,332.0,340.0,330.0,700,DFAM,2020-07-08,,,,,
119723,340.0,350.0,360.0,340.0,12800,DFAM,2020-07-09,,,,,
23277,350.0,350.0,350.0,350.0,0,DFAM,2020-07-10,,,,,335.75
15041,350.0,350.0,350.0,350.0,0,DFAM,2020-07-13,,,,,338.9166666666667
31519,350.0,350.0,350.0,350.0,0,DFAM,2020-07-14,,,,338.6,341.3796296296296
95026,350.0,350.0,350.0,350.0,0,DFAM,2020-07-15,,,,342.4,343.29526748971193
21632,350.0,350.0,350.0,350.0,0,DFAM,2020-07-16,,,,344.2,344.78520804755374
109832,350.0,350.0,350.0,350.0,0,DFAM,2020-07-17,,,,345.0,345.9440507036529
82666,346.0,346.0,346.0,346.0,200,DFAM,2020-07-20,,,,347.2,345.9564838806189
108203,334.0,322.0,334.0,322.0,20400,DFAM,2020-07-21,,,,345.0,340.6328207960369
99146,330.0,350.0,350.0,300.0,28700,DFAM,2020-07-22,,,,346.8,342.7144161746954
8450,350.0,350.0,350.0,350.0,0,DFAM,2020-07-23,,,,346.8,344.33343480254086
106581,350.0,350.0,350.0,350.0,0,DFAM,2020-07-24,,,,346.8,345.59267151308734
59577,350.0,346.0,350.0,326.0,4300,DFAM,2020-07-27,,,,346.4,345.68318895462346
43066,346.0,346.0,346.0,346.0,0,DFAM,2020-07-28,,,,346.0,345.75359140915157
116434,346.0,346.0,346.0,346.0,0,DFAM,2020-07-29,,,,345.6,345.80834887378455
85120,346.0,346.0,346.0,346.0,0,DFAM,2020-07-30,,,,345.2,345.8509380129435
123020,346.0,346.0,346.0,346.0,0,DFAM,2020-08-03,,,,344.8,345.8840628989561
6813,346.0,346.0,346.0,346.0,0,DFAM,2020-08-04,,,,344.8,345.90982669918805
57933,342.0,336.0,342.0,322.0,5000,DFAM,2020-08-05,,,,346.2,343.70764298825736
74422,334.0,330.0,334.0,330.0,1600,DFAM,2020-08-06,,,,344.2,340.66150010197794
46371,330.0,308.0,330.0,308.0,1200,DFAM,2020-08-07,,,,340.0,333.40338896820504
104102,320.0,336.0,360.0,314.0,8100,DFAM,2020-08-10,,,,338.6,333.9804136419373
57117,336.0,330.0,336.0,318.0,7300,DFAM,2020-08-11,,,,337.0,333.0958772770623
125483,330.0,328.0,340.0,328.0,6200,DFAM,2020-08-12,,,339.93333333333334,335.2,331.9634601043818
66998,328.0,346.0,350.0,328.0,1900,DFAM,2020-08-13,,,341.06666666666666,335.2,335.082691192297
92569,346.0,346.0,346.0,346.0,0,DFAM,2020-08-14,,,341.53333333333336,335.2,337.50875981623096
65354,346.0,354.0,400.0,346.0,51300,DFAM,2020-08-18,,,341.93333333333334,336.0,341.1734798570685
94210,354.0,354.0,354.0,354.0,0,DFAM,2020-08-19,,,342.93333333333334,336.8,344.02381766660886
10098,348.0,348.0,348.0,348.0,800,DFAM,2020-08-24,,,343.06666666666666,338.0,344.9074137406958
134529,348.0,340.0,348.0,340.0,500,DFAM,2020-08-25,,,343.3333333333333,339.0,343.81687735387453
109016,340.0,360.0,400.0,340.0,34100,DFAM,2020-08-26,,,343.6666666666667,344.2,347.4131268307913
3518,340.0,340.0,340.0,340.0,100,DFAM,2020-08-27,,,343.3333333333333,344.6,345.7657653128377
83478,340.0,348.0,350.0,340.0,12200,DFAM,2020-08-28,,,343.26666666666665,346.4,346.2622619099849
27397,348.0,348.0,348.0,348.0,0,DFAM,2020-08-31,,,343.2,348.4,346.64842592998826
34792,348.0,348.0,348.0,348.0,0,DFAM,2020-09-01,,,343.1333333333333,348.6,346.9487757233242
38930,346.0,398.0,400.0,346.0,48600,DFAM,2020-09-02,,,344.73333333333335,353.8,358.2934922292522
72769,386.0,378.0,386.0,378.0,3400,DFAM,2020-09-03,,,345.6666666666667,356.2,362.67271617830727
12573,374.0,354.0,374.0,354.0,900,DFAM,2020-09-04,,,345.93333333333334,356.2,360.7454459164612
26578,354.0,366.0,366.0,354.0,10500,DFAM,2020-09-07,,,347.4,358.0,361.91312460169206
113127,366.0,366.0,366.0,366.0,0,DFAM,2020-09-08,,,347.93333333333334,360.6,362.8213191346494
127108,366.0,366.0,366.0,366.0,0,DFAM,2020-09-09,,,348.46666666666664,361.2,363.52769266028287
7626,366.0,366.0,366.0,366.0,0,DFAM,2020-09-10,,,349.0,363.8,364.0770942913311
17503,366.0,366.0,366.0,366.0,0,DFAM,2020-09-11,,,349.6666666666667,365.6,364.50440667103527
47185,346.0,346.0,346.0,346.0,10600,DFAM,2020-09-14,,,349.6666666666667,365.4,360.3923162996941
70292,344.0,340.0,370.0,340.0,14800,DFAM,2020-09-15,,,349.46666666666664,364.6,355.86069045531764
1036,348.0,340.0,348.0,340.0,1300,DFAM,2020-09-16,,,349.26666666666665,358.8,352.33609257635817
60390,340.0,340.0,340.0,340.0,0,DFAM,2020-09-17,,,349.06666666666666,355.0,349.5947386705008
66170,326.0,350.0,350.0,326.0,27200,DFAM,2020-09-18,,,349.2,354.6,349.68479674372287
76062,348.0,350.0,350.0,348.0,42500,DFAM,2020-09-21,,,349.6666666666667,353.0,349.75484191178447
104918,350.0,350.0,350.0,350.0,0,DFAM,2020-09-22,,,350.3333333333333,351.4,349.8093214869435
81015,340.0,326.0,340.0,326.0,15000,DFAM,2020-09-23,,,350.93333333333334,347.4,344.5183611565116
69465,400.0,370.0,400.0,304.0,29600,DFAM,2020-09-24,,,352.06666666666666,347.8,350.1809475661757
101620,350.0,370.0,370.0,346.0,23400,DFAM,2020-09-25,,,353.4,348.2,354.5851814403589
63702,350.0,350.0,350.0,350.0,200,DFAM,2020-09-28,,,354.1333333333333,348.6,353.56625223139025
15852,326.0,350.0,360.0,326.0,1600,DFAM,2020-09-29,,,354.26666666666665,349.6,352.77375173552576
88427,350.0,350.0,350.0,350.0,20000,DFAM,2020-09-30,,,354.4,350.6,352.15736246096446
96661,350.0,350.0,350.0,350.0,0,DFAM,2020-10-01,,,354.26666666666665,351.6,351.6779485807501
71945,330.0,326.0,330.0,326.0,700,DFAM,2020-10-02,,,353.3333333333333,349.2,345.97173778502787
11749,330.0,328.0,330.0,328.0,300,DFAM,2020-10-05,,,352.6666666666667,347.0,341.9780182772439
124658,328.0,306.0,328.0,306.0,200,DFAM,2020-10-06,,,351.53333333333336,342.6,333.982903104523
20807,306.0,348.0,350.0,288.0,112200,DFAM,2020-10-07,,,351.1333333333333,344.8,337.09781352574015
19151,328.0,348.0,348.0,328.0,4800,DFAM,2020-10-08,,,351.4,342.6,339.5205216311312
114784,330.0,348.0,348.0,330.0,12100,DFAM,2020-10-09,,,351.4,340.4,341.4048501575465
28215,330.0,328.0,330.0,328.0,23700,DFAM,2020-10-12,,,350.73333333333335,338.2,338.4259945669806
80190,328.0,328.0,328.0,308.0,4100,DFAM,2020-10-13,,,350.06666666666666,336.0,336.10910688542936
111473,320.0,326.0,328.0,320.0,10000,DFAM,2020-10-14,,,347.6666666666667,333.6,333.8626386886673
14216,340.0,344.0,348.0,340.0,11100,DFAM,2020-10-15,,,346.53333333333336,333.0,336.11538564674123
5164,338.0,322.0,338.0,322.0,400,DFAM,2020-10-16,,,345.46666666666664,332.6,332.97863328079876
211,330.0,340.0,340.0,326.0,13700,DFAM,2020-10-19,,,344.6,333.8,334.5389369961768
129589,340.0,330.0,340.0,330.0,13900,DFAM,2020-10-20,,,343.4,336.2,333.53028433035973
78540,330.0,330.0,330.0,308.0,44500,DFAM,2020-10-21,,,342.2,334.4,332.7457767013909
29870,308.0,308.0,308.0,308.0,6400,DFAM,2020-10-22,,,340.26666666666665,330.4,327.24671521219295
32330,338.0,306.0,338.0,288.0,88200,DFAM,2020-10-23,,,338.26666666666665,326.2,322.52522294281675
61218,306.0,286.0,306.0,286.0,17200,DFAM,2020-10-26,,,336.26666666666665,322.0,314.4085067333019
56292,286.0,332.0,350.0,266.0,127800,DFAM,2020-10-27,,,336.0,322.4,318.31772745923485
93385,332.0,332.0,332.0,332.0,0,DFAM,2020-11-02,,,335.73333333333335,323.0,321.35823246829375
87602,332.0,320.0,332.0,310.0,12000,DFAM,2020-11-03,,,335.06666666666666,320.6,321.0564030308951
5988,300.0,302.0,320.0,298.0,9400,DFAM,2020-11-04,,,333.46666666666664,318.6,316.82164680180733
18326,322.0,294.0,322.0,282.0,38500,DFAM,2020-11-05,,,331.6,314.0,311.750169734739
44712,294.0,290.0,306.0,274.0,36900,DFAM,2020-11-06,,,329.6,310.0,306.9167986825748
95836,288.0,284.0,288.0,270.0,56200,DFAM,2020-11-09,,,328.2,305.4,301.8241767531137
1863,284.0,266.0,284.0,266.0,246100,DFAM,2020-11-10,,,324.73333333333335,301.2,293.8632485857551
24087,266.0,258.0,266.0,250.0,100300,DFAM,2020-11-11,,,321.0,296.4,285.89363778892067
81841,258.0,280.0,280.0,246.0,30000,DFAM,2020-11-12,,,318.6666666666667,295.8,284.5839405024939
79365,280.0,262.0,280.0,262.0,17700,DFAM,2020-11-13,,,315.73333333333335,288.8,279.56528705749525
77715,262.0,254.0,278.0,248.0,30800,DFAM,2020-11-16,,,312.53333333333336,281.0,273.88411215582965
40582,254.0,256.0,280.0,254.0,40000,DFAM,2020-11-17,,,309.4,274.6,269.90986501008973
16678,256.0,248.0,260.0,246.0,99000,DFAM,2020-11-18,,,306.8,269.2,265.0410061189587
71120,248.0,244.0,248.0,242.0,35700,DFAM,2020-11-19,,,304.0,264.2,260.3652269814123
84295,242.0,240.0,256.0,240.0,43000,DFAM,2020-11-20,,,301.8,259.2,255.83962098554292
75237,240.0,256.0,256.0,240.0,8700,DFAM,2020-11-23,,,298.73333333333335,256.4,255.8752607665334
117247,256.0,252.0,256.0,240.0,242000,DFAM,2020-11-24,,,295.53333333333336,255.0,255.01409170730375
123833,252.0,242.0,260.0,240.0,81800,DFAM,2020-11-25,,,292.0,253.4,252.12207132790292
62877,252.0,238.0,252.0,226.0,134900,DFAM,2020-11-26,328.74,,289.0,249.2,248.9838332550356
13391,238.0,240.0,240.0,234.0,68800,DFAM,2020-11-27,328.02,,286.06666666666666,247.0,246.9874258650277
122195,240.0,236.0,244.0,230.0,119400,DFAM,2020-11-30,327.06,,283.06666666666666,245.2,244.54577567279932
118898,234.0,228.0,240.0,228.0,72800,DFAM,2020-12-01,325.92,,279.2,242.4,240.86893663439946
