,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
220,396.0,386.0,420.0,370.0,82100,DIGI,2021-04-01,,,,,
1060,380.0,380.0,420.0,360.0,125900,DIGI,2021-04-05,,,,,
1900,378.0,380.0,398.0,358.0,26800,DIGI,2021-04-06,,,,,
2740,380.0,368.0,380.0,366.0,3800,DIGI,2021-04-07,,,,,
3582,348.0,380.0,402.0,346.0,64600,DIGI,2021-04-08,,,,,
4424,360.0,370.0,404.0,360.0,8300,DIGI,2021-04-09,,,,,
5267,370.0,374.0,374.0,370.0,1800,DIGI,2021-04-12,,,,,
6111,354.0,400.0,426.0,354.0,147500,DIGI,2021-04-13,,,,,379.75
6955,400.0,400.0,404.0,378.0,38600,DIGI,2021-04-14,,,,,384.25
7800,402.0,500.0,500.0,400.0,51000,DIGI,2021-04-15,,,,393.8,409.97222222222223
8644,466.0,466.0,466.0,466.0,11900,DIGI,2021-04-16,,,,401.8,422.42283950617286
9488,454.0,434.0,454.0,434.0,28800,DIGI,2021-04-19,,,,407.2,424.99554183813444
10332,420.0,418.0,420.0,406.0,9000,DIGI,2021-04-20,,,,411.0,423.4409769852157
11176,406.0,404.0,406.0,404.0,10800,DIGI,2021-04-21,,,,414.6,419.12075987738996
12020,406.0,412.0,412.0,406.0,45900,DIGI,2021-04-22,,,,417.8,417.53836879352554
12864,418.0,410.0,418.0,384.0,1400,DIGI,2021-04-23,,,,421.8,415.8631757282976
13707,410.0,408.0,430.0,406.0,16100,DIGI,2021-04-26,,,,425.2,414.1158033442315
14550,408.0,408.0,408.0,408.0,600,DIGI,2021-04-27,,,,426.0,412.7567359344023
15393,406.0,406.0,406.0,406.0,4400,DIGI,2021-04-28,,,,426.6,411.2552390600907
16237,406.0,410.0,420.0,406.0,12100,DIGI,2021-04-29,,,,417.6,410.9762970467372
17081,412.0,384.0,412.0,382.0,10300,DIGI,2021-04-30,,,,409.4,404.9815643696845
17924,384.0,392.0,444.0,384.0,86800,DIGI,2021-05-03,,,,405.2,402.0967722875324
18767,384.0,404.0,430.0,372.0,33700,DIGI,2021-05-04,,,,403.8,402.5197117791919
19610,428.0,400.0,428.0,382.0,16600,DIGI,2021-05-05,,,,403.4,401.9597758282604
20454,380.0,378.0,390.0,378.0,49600,DIGI,2021-05-06,,,,400.0,396.63538119975806
21298,420.0,450.0,468.0,360.0,243600,DIGI,2021-05-07,,,,404.0,408.4941853775896
22142,450.0,432.0,454.0,430.0,92300,DIGI,2021-05-10,,,,406.4,413.71769973812525
22985,432.0,402.0,432.0,402.0,4600,DIGI,2021-05-11,,,,405.8,411.1137664629863
23827,420.0,386.0,420.0,382.0,9200,DIGI,2021-05-17,,,,403.8,405.53292947121156
24667,386.0,398.0,398.0,386.0,68000,DIGI,2021-05-18,,,404.6666666666667,402.6,403.85894514427565
25507,398.0,388.0,398.0,386.0,24500,DIGI,2021-05-19,,,404.73333333333335,403.0,400.3347351122144
26365,388.0,392.0,392.0,388.0,11300,DIGI,2021-05-20,,,405.1333333333333,403.0,398.4825717539445
27231,394.0,394.0,396.0,392.0,10400,DIGI,2021-05-21,,,405.6,402.0,397.4864446975124
28071,394.0,396.0,414.0,394.0,700,DIGI,2021-05-24,,,406.53333333333336,401.6,397.15612365362074
28913,390.0,434.0,450.0,390.0,17700,DIGI,2021-05-25,,,408.3333333333333,407.2,405.34365173059393
29704,434.0,406.0,434.0,404.0,5700,DIGI,2021-05-27,,,409.53333333333336,402.8,405.48950690157307
30546,406.0,406.0,406.0,406.0,9800,DIGI,2021-05-28,,,410.6,400.2,405.6029498123346
31388,394.0,424.0,430.0,394.0,12500,DIGI,2021-05-31,,,411.4,402.4,409.69118318737134
32230,422.0,410.0,422.0,410.0,2500,DIGI,2021-06-02,,,411.73333333333335,404.8,409.75980914573324
33071,402.0,404.0,446.0,402.0,5700,DIGI,2021-06-03,,,408.53333333333336,405.4,408.47985155779253
33912,404.0,400.0,422.0,398.0,25500,DIGI,2021-06-04,,,406.3333333333333,406.6,406.5954401005053
34753,400.0,402.0,402.0,400.0,1100,DIGI,2021-06-07,,,405.26666666666665,407.6,405.5742311892819
35594,402.0,402.0,402.0,402.0,300,DIGI,2021-06-08,,,404.73333333333335,408.4,404.7799575916637
36437,402.0,428.0,428.0,402.0,5800,DIGI,2021-06-09,,,405.53333333333336,411.6,409.93996701573843
37280,428.0,414.0,428.0,414.0,3700,DIGI,2021-06-10,,,405.6,409.6,410.8421965677966
38127,414.0,400.0,444.0,400.0,40700,DIGI,2021-06-11,,,405.26666666666665,409.0,408.4328195527307
38974,402.0,408.0,426.0,400.0,12400,DIGI,2021-06-14,,,405.26666666666665,409.2,408.33663742990166
39821,408.0,416.0,418.0,396.0,6000,DIGI,2021-06-15,,,405.53333333333336,408.4,410.0396068899235
40668,416.0,394.0,418.0,390.0,5900,DIGI,2021-06-16,,,405.1333333333333,406.8,406.4752498032738
41515,394.0,398.0,398.0,394.0,1200,DIGI,2021-06-17,,,404.73333333333335,406.2,404.59186095810185
42362,398.0,400.0,400.0,398.0,1400,DIGI,2021-06-18,,,405.26666666666665,406.2,403.571447411857
43209,400.0,402.0,402.0,400.0,3700,DIGI,2021-06-21,,,405.6,406.2,403.22223687588877
44056,424.0,402.0,424.0,402.0,35700,DIGI,2021-06-22,,,405.53333333333336,406.2,402.9506286812468
44903,410.0,400.0,410.0,400.0,300,DIGI,2021-06-23,,,405.53333333333336,403.4,402.2949334187475
45750,400.0,400.0,420.0,400.0,21200,DIGI,2021-06-24,,,406.26666666666665,402.0,401.7849482145814
46597,408.0,386.0,408.0,386.0,300,DIGI,2021-06-25,,,404.1333333333333,400.6,398.2771819446744
47445,386.0,384.0,386.0,382.0,10800,DIGI,2021-06-28,,,402.53333333333336,398.2,395.10447484585785
48291,386.0,386.0,390.0,386.0,10600,DIGI,2021-06-29,,,402.0,395.2,393.081258213445
