,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123804,98.0,95.0,100.0,94.0,3099000,DKFT,2020-07-01,,,,,
131225,94.0,94.0,95.0,93.0,2724800,DKFT,2020-07-02,,,,,
104899,94.0,96.0,96.0,94.0,1313100,DKFT,2020-07-03,,,,,
86758,96.0,97.0,99.0,95.0,2224600,DKFT,2020-07-06,,,,,
33987,98.0,109.0,114.0,98.0,34043500,DKFT,2020-07-07,,,,,
48832,110.0,109.0,113.0,107.0,8438200,DKFT,2020-07-08,,,,,
117227,109.0,106.0,109.0,106.0,2874600,DKFT,2020-07-09,,,,,
23283,105.0,106.0,109.0,104.0,2631600,DKFT,2020-07-10,,,,,101.5
15047,108.0,117.0,122.0,108.0,33979600,DKFT,2020-07-13,,,,,104.94444444444444
31525,118.0,115.0,125.0,111.0,15831300,DKFT,2020-07-14,,,,104.4,107.17901234567901
92530,117.0,113.0,118.0,112.0,4095100,DKFT,2020-07-15,,,,106.2,108.47256515775034
21638,113.0,114.0,115.0,112.0,3057300,DKFT,2020-07-16,,,,108.2,109.7008840115836
107336,116.0,115.0,116.0,112.0,2147200,DKFT,2020-07-17,,,,110.1,110.87846534234279
80170,116.0,113.0,117.0,113.0,2359800,DKFT,2020-07-20,,,,111.7,111.34991748848884
105707,115.0,118.0,118.0,113.0,3363900,DKFT,2020-07-21,,,,112.6,112.82771360215798
96650,120.0,118.0,124.0,118.0,6641900,DKFT,2020-07-22,,,,113.5,113.97711057945621
8456,119.0,119.0,120.0,115.0,2861700,DKFT,2020-07-23,,,,114.8,115.09330822846594
104085,123.0,129.0,143.0,122.0,43373600,DKFT,2020-07-24,,,,117.1,118.18368417769574
57081,130.0,130.0,135.0,127.0,16207300,DKFT,2020-07-27,,,,118.4,120.8095321382078
41404,131.0,130.0,138.0,130.0,14184900,DKFT,2020-07-28,,,,119.9,122.85185832971717
113938,132.0,129.0,134.0,129.0,5732800,DKFT,2020-07-29,,,,121.5,124.21811203422448
82624,130.0,126.0,133.0,125.0,6520400,DKFT,2020-07-30,,,,122.7,124.61408713773015
120524,126.0,122.0,128.0,118.0,9420700,DKFT,2020-08-03,,,,123.4,124.03317888490123
6819,122.0,118.0,122.0,116.0,3456900,DKFT,2020-08-04,,,,123.9,122.69247246603429
55437,119.0,130.0,130.0,118.0,9877200,DKFT,2020-08-05,,,,125.1,124.31636747358222
71926,133.0,132.0,137.0,130.0,14403800,DKFT,2020-08-06,,,,126.5,126.02384136834172
43875,132.0,131.0,135.0,128.0,3724200,DKFT,2020-08-07,,,,127.7,127.12965439759911
101606,130.0,131.0,132.0,128.0,4402500,DKFT,2020-08-10,,,,127.9,127.98973119813265
54621,132.0,130.0,134.0,128.0,4535800,DKFT,2020-08-11,,,,127.9,128.4364575985476
122987,131.0,130.0,131.0,128.0,2564600,DKFT,2020-08-12,,,117.4,127.9,128.78391146553702
64502,130.0,130.0,131.0,128.0,1437700,DKFT,2020-08-13,,,118.56666666666666,128.0,129.05415336208435
90073,133.0,123.0,142.0,123.0,48275900,DKFT,2020-08-14,,,119.53333333333333,127.7,127.70878594828783
62858,123.0,124.0,126.0,123.0,4493900,DKFT,2020-08-18,,,120.46666666666667,127.9,126.88461129311275
91714,126.0,123.0,127.0,123.0,7855700,DKFT,2020-08-19,,,121.33333333333333,128.4,126.0213643390877
10104,125.0,123.0,126.0,122.0,7096000,DKFT,2020-08-24,,,121.8,127.7,125.34995004151266
132033,122.0,128.0,137.0,122.0,15588200,DKFT,2020-08-25,,,122.43333333333334,127.3,125.93885003228762
106520,123.0,124.0,130.0,123.0,9481400,DKFT,2020-08-26,,,123.03333333333333,126.6,125.50799446955703
3524,117.0,116.0,126.0,116.0,43697700,DKFT,2020-08-27,,,123.36666666666666,125.1,123.39510680965547
80982,116.0,118.0,121.0,113.0,13160400,DKFT,2020-08-28,,,123.4,123.9,122.1961941852876
27403,116.0,117.0,123.0,113.0,11643400,DKFT,2020-08-31,,,123.46666666666667,122.6,121.0414843663348
34798,109.0,118.0,118.0,109.0,8285700,DKFT,2020-09-01,,,123.63333333333334,121.4,120.36559895159374
38936,110.0,115.0,122.0,110.0,23786500,DKFT,2020-09-02,,,123.66666666666667,120.6,119.17324362901735
70273,115.0,114.0,118.0,112.0,8295100,DKFT,2020-09-03,,,123.63333333333334,119.6,118.02363393368016
12579,110.0,116.0,116.0,110.0,8285700,DKFT,2020-09-04,,,123.73333333333333,118.9,117.57393750397345
26584,117.0,114.0,117.0,113.0,4191600,DKFT,2020-09-07,,,123.6,118.0,116.77972916975713
110631,115.0,115.0,116.0,113.0,3063700,DKFT,2020-09-08,,,123.5,116.7,116.3842337987
124612,113.0,110.0,115.0,107.0,9696100,DKFT,2020-09-09,,,123.2,115.3,114.96551517676666
7632,110.0,103.0,110.0,103.0,5487800,DKFT,2020-09-10,,,122.33333333333333,114.0,112.30651180415184
17509,96.0,108.0,110.0,96.0,10000600,DKFT,2020-09-11,,,121.6,113.0,111.34950918100698
44689,108.0,114.0,115.0,108.0,5165100,DKFT,2020-09-14,,,121.06666666666666,112.7,111.9385071407832
67796,115.0,111.0,116.0,108.0,7648600,DKFT,2020-09-15,,,120.46666666666667,112.0,111.72994999838693
1042,111.0,112.0,114.0,110.0,3396400,DKFT,2020-09-16,,,120.0,111.7,111.7899611098565
57894,112.0,111.0,113.0,107.0,3672600,DKFT,2020-09-17,,,119.63333333333334,111.4,111.61441419655506
63674,111.0,112.0,112.0,108.0,2236700,DKFT,2020-09-18,,,119.43333333333334,111.0,111.70009993065393
73566,112.0,110.0,112.0,109.0,1454000,DKFT,2020-09-21,,,118.76666666666667,110.6,111.32229994606418
102422,109.0,107.0,109.0,105.0,2773900,DKFT,2020-09-22,,,117.93333333333334,109.8,110.36178884693881
78519,108.0,105.0,110.0,103.0,2717000,DKFT,2020-09-23,,,117.06666666666666,109.3,109.17028021428574
66969,105.0,100.0,105.0,98.0,7040800,DKFT,2020-09-24,,,116.03333333333333,109.0,107.13244016666668
99124,100.0,102.0,102.0,96.0,4065100,DKFT,2020-09-25,,,115.1,108.4,105.99189790740742
61206,103.0,102.0,104.0,100.0,1402600,DKFT,2020-09-28,,,114.16666666666667,107.2,105.1048094835391
15858,104.0,100.0,105.0,99.0,3858700,DKFT,2020-09-29,,,113.16666666666667,106.1,103.97040737608597
