,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120472,940.0,940.0,940.0,925.0,17300,DMND,2020-07-01,,,,,
127893,940.0,945.0,945.0,930.0,7300,DMND,2020-07-02,,,,,
101567,945.0,945.0,945.0,945.0,9200,DMND,2020-07-03,,,,,
84260,945.0,940.0,955.0,935.0,6100,DMND,2020-07-06,,,,,
33991,940.0,935.0,940.0,930.0,6700,DMND,2020-07-07,,,,,
47168,950.0,950.0,950.0,945.0,37800,DMND,2020-07-08,,,,,
113895,950.0,950.0,950.0,940.0,29700,DMND,2020-07-09,,,,,
23287,955.0,950.0,965.0,940.0,20700,DMND,2020-07-10,,,,,944.375
15051,950.0,950.0,965.0,945.0,49800,DMND,2020-07-13,,,,,945.625
31529,950.0,960.0,960.0,940.0,23300,DMND,2020-07-14,,,,946.5,948.8194444444445
89198,960.0,960.0,960.0,950.0,19800,DMND,2020-07-15,,,,948.5,951.304012345679
21642,940.0,960.0,960.0,940.0,13000,DMND,2020-07-16,,,,950.0,953.2364540466392
104004,960.0,950.0,960.0,950.0,15400,DMND,2020-07-17,,,,950.5,952.517242036275
77672,950.0,955.0,960.0,950.0,15200,DMND,2020-07-20,,,,952.0,953.0689660282138
102375,950.0,960.0,960.0,950.0,6500,DMND,2020-07-21,,,,954.5,954.6091957997219
93318,960.0,960.0,965.0,950.0,24500,DMND,2020-07-22,,,,955.5,955.8071522886726
8460,940.0,960.0,965.0,940.0,21300,DMND,2020-07-23,,,,956.5,956.7388962245232
100753,950.0,955.0,960.0,935.0,49200,DMND,2020-07-24,,,,957.0,956.3524748412958
54583,935.0,945.0,945.0,925.0,25300,DMND,2020-07-27,,,,956.5,953.8297026543412
41408,945.0,935.0,955.0,935.0,14500,DMND,2020-07-28,,,,954.0,949.6453242867099
110606,935.0,950.0,950.0,930.0,31500,DMND,2020-07-29,,,,953.0,949.7241411118855
80126,945.0,930.0,945.0,930.0,21200,DMND,2020-07-30,,,,950.0,945.3409986425776
117192,930.0,930.0,935.0,920.0,16800,DMND,2020-08-03,,,,948.0,941.9318878331159
6823,930.0,920.0,930.0,920.0,21500,DMND,2020-08-04,,,,944.5,937.0581349813124
52939,920.0,925.0,925.0,915.0,17200,DMND,2020-08-05,,,,941.0,934.3785494299096
69428,935.0,945.0,950.0,935.0,125500,DMND,2020-08-06,,,,939.5,936.7388717788186
43045,950.0,955.0,960.0,940.0,60000,DMND,2020-08-07,,,,939.0,940.7969002724145
