,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
233,68.0,70.0,72.0,68.0,544400,DSFI,2021-04-01,,,,,
1073,71.0,71.0,72.0,69.0,489300,DSFI,2021-04-05,,,,,
1913,70.0,72.0,81.0,69.0,29335700,DSFI,2021-04-06,,,,,
2753,72.0,71.0,74.0,70.0,2690400,DSFI,2021-04-07,,,,,
3595,70.0,71.0,73.0,70.0,1661900,DSFI,2021-04-08,,,,,
4437,70.0,72.0,74.0,70.0,3131700,DSFI,2021-04-09,,,,,
5280,71.0,72.0,73.0,71.0,990900,DSFI,2021-04-12,,,,,
6124,69.0,70.0,73.0,69.0,1360100,DSFI,2021-04-13,,,,,71.125
6968,69.0,83.0,85.0,69.0,57322000,DSFI,2021-04-14,,,,,73.76388888888889
7813,86.0,81.0,86.0,80.0,8348800,DSFI,2021-04-15,,,,73.3,75.37191358024691
8657,81.0,82.0,84.0,80.0,8940300,DSFI,2021-04-16,,,,74.5,76.84482167352537
9501,82.0,80.0,83.0,80.0,2567300,DSFI,2021-04-19,,,,75.4,77.54597241274196
10345,80.0,79.0,81.0,78.0,5470700,DSFI,2021-04-20,,,,76.1,77.86908965435485
11189,79.0,78.0,81.0,78.0,2245200,DSFI,2021-04-21,,,,76.8,77.89818084227599
12033,78.0,79.0,80.0,78.0,1459400,DSFI,2021-04-22,,,,77.6,78.14302954399244
12877,79.0,77.0,79.0,76.0,3324200,DSFI,2021-04-23,,,,78.1,77.88902297866079
13720,77.0,73.0,81.0,72.0,34815000,DSFI,2021-04-26,,,,78.2,76.80257342784728
14563,73.0,71.0,75.0,71.0,2664700,DSFI,2021-04-27,,,,78.3,75.51311266610344
15406,71.0,72.0,73.0,70.0,2214600,DSFI,2021-04-28,,,,77.2,74.7324209625249
16250,72.0,72.0,73.0,70.0,1137500,DSFI,2021-04-29,,,,76.3,74.12521630418603
17094,72.0,73.0,73.0,71.0,1613000,DSFI,2021-04-30,,,,75.4,73.87516823658913
17937,73.0,75.0,85.0,73.0,45208500,DSFI,2021-05-03,,,,74.9,74.12513085068043
18780,75.0,72.0,76.0,72.0,3521200,DSFI,2021-05-04,,,,74.2,73.65287955052922
19623,72.0,72.0,73.0,72.0,2236400,DSFI,2021-05-05,,,,73.6,73.28557298374496
20467,72.0,73.0,74.0,72.0,1841700,DSFI,2021-05-06,,,,73.0,73.22211232069053
21311,71.0,71.0,73.0,71.0,1426300,DSFI,2021-05-07,,,,72.4,72.7283095827593
22155,72.0,71.0,72.0,70.0,1253000,DSFI,2021-05-10,,,,72.2,72.34424078659056
22998,72.0,72.0,73.0,71.0,1857800,DSFI,2021-05-11,,,,72.3,72.26774283401488
23840,73.0,69.0,73.0,69.0,1319200,DSFI,2021-05-17,,,,72.0,71.54157775978935
24680,69.0,69.0,70.0,68.0,910300,DSFI,2021-05-18,,,73.76666666666667,71.7,70.97678270205839
25520,67.0,68.0,72.0,67.0,1194700,DSFI,2021-05-19,,,73.7,71.2,70.3152754349343
26379,68.0,69.0,70.0,68.0,698800,DSFI,2021-05-20,,,73.63333333333334,70.6,70.0229920049489
27244,69.0,70.0,71.0,68.0,1070300,DSFI,2021-05-21,,,73.56666666666666,70.4,70.01788267051582
28084,70.0,68.0,71.0,68.0,830500,DSFI,2021-05-24,,,73.46666666666667,70.0,69.56946429929008
28926,68.0,68.0,70.0,67.0,644200,DSFI,2021-05-25,,,73.36666666666666,69.5,69.2206944550034
29717,68.0,69.0,70.0,68.0,766400,DSFI,2021-05-27,,,73.26666666666667,69.3,69.17165124278041
30559,70.0,69.0,70.0,68.0,1829200,DSFI,2021-05-28,,,73.16666666666667,69.1,69.13350652216255
31401,69.0,69.0,70.0,69.0,547600,DSFI,2021-05-31,,,73.13333333333334,68.8,69.10383840612643
32243,69.0,70.0,71.0,69.0,542300,DSFI,2021-06-02,,,72.7,68.9,69.30298542698722
33084,70.0,70.0,71.0,69.0,560000,DSFI,2021-06-03,,,72.33333333333333,69.0,69.45787755432339
33925,71.0,69.0,75.0,69.0,6652900,DSFI,2021-06-04,,,71.9,69.1,69.35612698669597
34766,70.0,69.0,71.0,69.0,875400,DSFI,2021-06-07,,,71.53333333333333,69.1,69.2769876563191
35607,70.0,69.0,70.0,68.0,913100,DSFI,2021-06-08,,,71.2,69.0,69.21543484380373
36450,70.0,69.0,70.0,69.0,425100,DSFI,2021-06-09,,,70.9,69.1,69.16756043406957
37293,70.0,69.0,70.0,68.0,570500,DSFI,2021-06-10,,,70.56666666666666,69.2,69.13032478205412
38140,70.0,69.0,70.0,68.0,691400,DSFI,2021-06-11,,,70.3,69.2,69.10136371937543
38987,69.0,69.0,70.0,68.0,921800,DSFI,2021-06-14,,,70.16666666666667,69.2,69.0788384484031
39834,69.0,69.0,70.0,68.0,266300,DSFI,2021-06-15,,,70.1,69.2,69.06131879320242
40681,69.0,69.0,69.0,68.0,743700,DSFI,2021-06-16,,,70.0,69.1,69.047692394713
41528,69.0,67.0,70.0,66.0,1939400,DSFI,2021-06-17,,,69.83333333333333,68.8,68.59264964033233
42375,68.0,65.0,68.0,65.0,822500,DSFI,2021-06-18,,,69.56666666666666,68.4,67.79428305359181
43222,66.0,65.0,66.0,62.0,980700,DSFI,2021-06-21,,,69.23333333333333,68.0,67.17333126390474
44069,65.0,66.0,68.0,64.0,1162000,DSFI,2021-06-22,,,69.03333333333333,67.7,66.91259098303702
44916,66.0,68.0,68.0,66.0,543400,DSFI,2021-06-23,,,68.9,67.6,67.15423743125102
45763,68.0,66.0,78.0,66.0,23502800,DSFI,2021-06-24,,,68.66666666666667,67.3,66.89774022430635
46610,67.0,66.0,68.0,64.0,889600,DSFI,2021-06-25,,,68.5,67.0,66.69824239668272
47458,66.0,66.0,67.0,65.0,711800,DSFI,2021-06-28,,,68.33333333333333,66.7,66.54307741964212
48304,66.0,66.0,66.0,64.0,870800,DSFI,2021-06-29,,,68.13333333333334,66.4,66.42239354861053
49098,66.0,64.0,67.0,64.0,328800,DSFI,2021-06-30,,,67.96666666666667,65.9,65.88408387114153
49949,67.0,68.0,69.0,66.0,4806300,DSFI,2021-07-01,,,67.93333333333334,66.0,66.3542874553323
50800,68.0,68.0,69.0,67.0,860300,DSFI,2021-07-02,,,67.93333333333334,66.3,66.72000135414734
51651,68.0,69.0,70.0,67.0,828300,DSFI,2021-07-05,,,67.93333333333334,66.7,67.22666771989238
52503,68.0,69.0,70.0,68.0,337600,DSFI,2021-07-06,,,67.9,67.0,67.6207415599163
53347,69.0,70.0,70.0,68.0,267700,DSFI,2021-07-07,,,67.96666666666667,67.2,68.14946565771268
54165,69.0,70.0,73.0,69.0,1029600,DSFI,2021-07-08,,,68.03333333333333,67.6,68.56069551155431
55016,70.0,71.0,72.0,70.0,310700,DSFI,2021-07-09,,,68.1,68.1,69.10276317565335
55869,71.0,71.0,74.0,71.0,803300,DSFI,2021-07-12,,,68.16666666666667,68.6,69.52437135884149
56722,71.0,70.0,72.0,70.0,705700,DSFI,2021-07-13,,,68.2,69.0,69.63006661243227
57575,70.0,69.0,71.0,69.0,502700,DSFI,2021-07-14,,,68.16666666666667,69.5,69.49005180966955
58428,69.0,69.0,70.0,68.0,202900,DSFI,2021-07-15,,,68.13333333333334,69.6,69.38115140752076
59281,69.0,69.0,69.0,68.0,178300,DSFI,2021-07-16,,,68.13333333333334,69.7,69.29645109473837
60133,68.0,69.0,70.0,68.0,425400,DSFI,2021-07-19,,,68.13333333333334,69.7,69.2305730736854
60985,69.0,69.0,70.0,68.0,190300,DSFI,2021-07-21,,,68.13333333333334,69.7,69.17933461286643
61837,68.0,71.0,71.0,68.0,416700,DSFI,2021-07-22,,,68.2,69.8,69.58392692111833
62689,70.0,71.0,71.0,69.0,391800,DSFI,2021-07-23,,,68.26666666666667,69.9,69.89860982753648
63541,71.0,70.0,72.0,70.0,502000,DSFI,2021-07-26,,,68.3,69.8,69.92114097697281
64393,71.0,74.0,77.0,70.0,12767300,DSFI,2021-07-27,,,68.46666666666667,70.1,70.82755409320107
65247,71.0,73.0,76.0,71.0,2385300,DSFI,2021-07-28,,,68.6,70.4,71.3103198502675
66101,73.0,73.0,75.0,72.0,1777000,DSFI,2021-07-29,,,68.73333333333333,70.8,71.68580432798584
66955,73.0,73.0,76.0,73.0,3684500,DSFI,2021-07-30,,,68.93333333333334,71.2,71.97784781065565
67809,73.0,76.0,76.0,72.0,1749000,DSFI,2021-08-02,,,69.3,71.9,72.87165940828773
68663,76.0,74.0,76.0,73.0,598500,DSFI,2021-08-03,,,69.6,72.4,73.12240176200156
69517,74.0,73.0,74.0,72.0,1060900,DSFI,2021-08-04,,,69.83333333333333,72.8,73.09520137044565
70371,73.0,74.0,75.0,72.0,1224700,DSFI,2021-08-05,,,70.03333333333333,73.1,73.29626773256884
71226,74.0,74.0,76.0,73.0,3870500,DSFI,2021-08-06,,,70.3,73.4,73.45265268088687
72081,75.0,74.0,76.0,73.0,1430600,DSFI,2021-08-09,,,70.56666666666666,73.8,73.57428541846757
72936,74.0,73.0,74.0,73.0,843700,DSFI,2021-08-10,,,70.8,73.7,73.44666643658589
73791,72.0,73.0,74.0,70.0,445500,DSFI,2021-08-12,,,71.03333333333333,73.7,73.3474072284557
74646,72.0,74.0,75.0,72.0,934100,DSFI,2021-08-13,,,71.36666666666666,73.8,73.49242784435442
75501,74.0,74.0,75.0,73.0,1671100,DSFI,2021-08-16,,,71.56666666666666,73.9,73.6052216567201
76356,74.0,74.0,75.0,72.0,1194400,DSFI,2021-08-18,,,71.76666666666667,73.7,73.69295017744896
77211,75.0,73.0,75.0,73.0,346900,DSFI,2021-08-19,,,71.9,73.6,73.53896124912697
78066,73.0,73.0,75.0,73.0,522500,DSFI,2021-08-20,,,72.03333333333333,73.6,73.4191920826543
