,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
238,2370.0,2400.0,2400.0,2370.0,6800,DVLA,2021-04-01,,,,,
1078,2400.0,2400.0,2400.0,2360.0,6800,DVLA,2021-04-05,,,,,
1918,2400.0,2390.0,2400.0,2390.0,8100,DVLA,2021-04-06,,,,,
2758,2390.0,2400.0,2400.0,2390.0,3200,DVLA,2021-04-07,,,,,
3600,2400.0,2400.0,2410.0,2400.0,2700,DVLA,2021-04-08,,,,,
4442,2380.0,2400.0,2400.0,2380.0,4300,DVLA,2021-04-09,,,,,
5285,2400.0,2380.0,2400.0,2370.0,6800,DVLA,2021-04-12,,,,,
6129,2400.0,2400.0,2400.0,2400.0,300,DVLA,2021-04-13,,,,,2396.25
6973,2390.0,2390.0,2390.0,2390.0,1100,DVLA,2021-04-14,,,,,2394.8611111111113
7818,2380.0,2400.0,2400.0,2360.0,12200,DVLA,2021-04-15,,,,2396.0,2396.0030864197533
8662,2400.0,2390.0,2400.0,2370.0,2600,DVLA,2021-04-16,,,,2395.0,2394.6690672153636
9506,2380.0,2400.0,2400.0,2370.0,2500,DVLA,2021-04-19,,,,2395.0,2395.8537189452827
10350,2400.0,2380.0,2400.0,2380.0,600,DVLA,2021-04-20,,,,2394.0,2392.3306702907753
11194,2370.0,2400.0,2400.0,2370.0,2500,DVLA,2021-04-21,,,,2394.0,2394.034965781714
12038,2400.0,2400.0,2400.0,2400.0,600,DVLA,2021-04-22,,,,2394.0,2395.360528941333
12882,2390.0,2380.0,2390.0,2360.0,12700,DVLA,2021-04-23,,,,2392.0,2391.9470780654815
13725,2380.0,2380.0,2400.0,2380.0,4900,DVLA,2021-04-26,,,,2392.0,2389.292171828708
14568,2380.0,2380.0,2400.0,2380.0,34600,DVLA,2021-04-27,,,,2390.0,2387.2272447556616
15411,2370.0,2370.0,2400.0,2350.0,52600,DVLA,2021-04-28,,,,2388.0,2383.398968143292
16255,2370.0,2390.0,2400.0,2370.0,36400,DVLA,2021-04-29,,,,2387.0,2384.8658641114494
17099,2390.0,2400.0,2410.0,2390.0,900,DVLA,2021-04-30,,,,2388.0,2388.229005420016
17942,2380.0,2380.0,2380.0,2360.0,4700,DVLA,2021-05-03,,,,2386.0,2386.4003375489015
18785,2380.0,2350.0,2390.0,2350.0,20000,DVLA,2021-05-04,,,,2383.0,2378.3113736491455
19628,2350.0,2350.0,2370.0,2340.0,13500,DVLA,2021-05-05,,,,2378.0,2372.0199572826687
20472,2340.0,2360.0,2360.0,2330.0,8600,DVLA,2021-05-06,,,,2374.0,2369.348855664298
21316,2360.0,2360.0,2360.0,2320.0,14800,DVLA,2021-05-07,,,,2372.0,2367.2713321833426
22160,2360.0,2350.0,2380.0,2340.0,5700,DVLA,2021-05-10,,,,2369.0,2363.433258364822
23003,2350.0,2360.0,2360.0,2350.0,2700,DVLA,2021-05-11,,,,2367.0,2362.6703120615284
23845,2380.0,2350.0,2380.0,2340.0,9900,DVLA,2021-05-17,,,,2365.0,2359.8546871589665
24685,2350.0,2350.0,2350.0,2350.0,0,DVLA,2021-05-18,,,2381.3333333333335,2361.0,2357.664756679196
25525,2350.0,2340.0,2350.0,2300.0,30400,DVLA,2021-05-19,,,2379.3333333333335,2355.0,2353.7392551949306
26384,2330.0,2310.0,2350.0,2300.0,8500,DVLA,2021-05-20,,,2376.3333333333335,2348.0,2344.019420707168
27249,2320.0,2290.0,2320.0,2290.0,6300,DVLA,2021-05-21,,,2373.0,2342.0,2332.0151049944643
28089,2290.0,2290.0,2300.0,2250.0,4900,DVLA,2021-05-24,,,2369.3333333333335,2336.0,2322.6784149956943
28931,2340.0,2340.0,2350.0,2290.0,1600,DVLA,2021-05-25,,,2367.3333333333335,2334.0,2326.527656107762
29722,2340.0,2320.0,2340.0,2320.0,3800,DVLA,2021-05-27,,,2364.6666666666665,2330.0,2325.077065861593
30564,2320.0,2360.0,2370.0,2310.0,3700,DVLA,2021-05-28,,,2364.0,2331.0,2332.83771789235
31406,2360.0,2350.0,2400.0,2350.0,327900,DVLA,2021-05-31,,,2362.3333333333335,2330.0,2336.651558360717
32248,2350.0,2390.0,2400.0,2350.0,4500,DVLA,2021-06-02,,,2362.3333333333335,2334.0,2348.506767613891
33089,2390.0,2410.0,2450.0,2370.0,85300,DVLA,2021-06-03,,,2362.6666666666665,2340.0,2362.17193036636
33930,2410.0,2400.0,2410.0,2360.0,9900,DVLA,2021-06-04,,,2363.0,2346.0,2370.578168062724
34771,2400.0,2400.0,2400.0,2390.0,19600,DVLA,2021-06-07,,,2363.0,2355.0,2377.1163529376745
35612,2420.0,2390.0,2420.0,2390.0,3000,DVLA,2021-06-08,,,2363.3333333333335,2365.0,2379.9793856181914
36455,2400.0,2400.0,2400.0,2360.0,4900,DVLA,2021-06-09,,,2363.3333333333335,2376.0,2384.428411036371
37298,2370.0,2390.0,2390.0,2360.0,2100,DVLA,2021-06-10,,,2363.0,2381.0,2385.6665419171773
38145,2380.0,2390.0,2390.0,2380.0,6000,DVLA,2021-06-11,,,2363.3333333333335,2388.0,2386.629532602249
38992,2390.0,2390.0,2440.0,2390.0,1800,DVLA,2021-06-14,,,2363.6666666666665,2391.0,2387.378525357305
39839,2400.0,2390.0,2410.0,2380.0,24600,DVLA,2021-06-15,,,2364.0,2395.0,2387.961075277904
40686,2390.0,2420.0,2470.0,2380.0,17300,DVLA,2021-06-16,,,2365.6666666666665,2398.0,2395.0808363272586
41533,2420.0,2400.0,2420.0,2380.0,46200,DVLA,2021-06-17,,,2366.0,2397.0,2396.17398381009
42380,2400.0,2400.0,2410.0,2400.0,92000,DVLA,2021-06-18,,,2366.0,2397.0,2397.02420963007
43227,2400.0,2470.0,2700.0,2400.0,783900,DVLA,2021-06-21,,,2369.0,2404.0,2413.241051934499
44074,2470.0,2480.0,2540.0,2460.0,200100,DVLA,2021-06-22,,,2373.3333333333335,2413.0,2428.0763737268326
44921,2500.0,2500.0,2520.0,2450.0,150200,DVLA,2021-06-23,,,2378.3333333333335,2423.0,2444.0594017875364
45768,2450.0,2410.0,2450.0,2360.0,49600,DVLA,2021-06-24,,,2380.0,2425.0,2436.4906458347505
46615,2410.0,2360.0,2460.0,2350.0,58600,DVLA,2021-06-25,,,2380.0,2422.0,2419.492724538139
47463,2360.0,2420.0,2420.0,2360.0,32400,DVLA,2021-06-28,,,2382.3333333333335,2425.0,2419.6054524185524
48309,2420.0,2400.0,2440.0,2310.0,17900,DVLA,2021-06-29,,,2383.6666666666665,2426.0,2415.2486852144298
49103,2400.0,2380.0,2400.0,2380.0,12100,DVLA,2021-06-30,,,2384.6666666666665,2422.0,2407.4156440556676
49954,2370.0,2400.0,2400.0,2320.0,6000,DVLA,2021-07-01,,,2386.3333333333335,2422.0,2405.767723154408
50805,2400.0,2420.0,2430.0,2340.0,11600,DVLA,2021-07-02,,,2389.0,2424.0,2408.930451342317
51656,2430.0,2440.0,2450.0,2420.0,40400,DVLA,2021-07-05,,,2393.3333333333335,2421.0,2415.834795488469
52508,2460.0,2460.0,2490.0,2460.0,62100,DVLA,2021-07-06,,,2399.0,2419.0,2425.6492853799205
53352,2500.0,2560.0,2670.0,2500.0,292000,DVLA,2021-07-07,,,2408.0,2425.0,2455.5049997399383
54170,2550.0,2460.0,2550.0,2450.0,73700,DVLA,2021-07-08,,,2412.0,2430.0,2456.5038886866187
55021,2460.0,2460.0,2500.0,2450.0,9500,DVLA,2021-07-09,,,2416.6666666666665,2440.0,2457.2808023118146
55874,2460.0,2510.0,2550.0,2450.0,35200,DVLA,2021-07-12,,,2421.6666666666665,2449.0,2468.996179575856
56727,2500.0,2490.0,2580.0,2460.0,48000,DVLA,2021-07-13,,,2426.3333333333335,2458.0,2473.663695225666
57580,2490.0,2460.0,2500.0,2460.0,106100,DVLA,2021-07-14,,,2428.6666666666665,2466.0,2470.627318508851
58433,2460.0,2510.0,2550.0,2460.0,56500,DVLA,2021-07-15,,,2432.0,2477.0,2479.376803284662
59286,2510.0,2520.0,2540.0,2510.0,23600,DVLA,2021-07-16,,,2436.0,2487.0,2488.404180332515
60138,2540.0,2500.0,2590.0,2500.0,33400,DVLA,2021-07-19,,,2439.3333333333335,2493.0,2490.9810291475114
60990,2500.0,2490.0,2500.0,2450.0,19000,DVLA,2021-07-21,,,2442.6666666666665,2496.0,2490.763022670287
61842,2490.0,2480.0,2490.0,2460.0,40300,DVLA,2021-07-22,,,2445.3333333333335,2488.0,2488.3712398546677
62694,2480.0,2480.0,2500.0,2450.0,54700,DVLA,2021-07-23,,,2448.3333333333335,2490.0,2486.510964331408
63546,2480.0,2450.0,2480.0,2440.0,22400,DVLA,2021-07-26,,,2450.3333333333335,2489.0,2478.397416702206
64398,2450.0,2480.0,2490.0,2450.0,28700,DVLA,2021-07-27,,,2453.3333333333335,2486.0,2478.7535463239383
65252,2470.0,2470.0,2480.0,2450.0,26000,DVLA,2021-07-28,,,2456.0,2484.0,2476.8083138075076
66106,2470.0,2480.0,2480.0,2470.0,89800,DVLA,2021-07-29,,,2458.0,2486.0,2477.5175774058393
66960,2480.0,2470.0,2480.0,2420.0,52200,DVLA,2021-07-30,,,2460.3333333333335,2482.0,2475.847004648986
67814,2440.0,2430.0,2470.0,2430.0,18600,DVLA,2021-08-02,,,2461.3333333333335,2473.0,2465.6587813936558
68668,2430.0,2410.0,2500.0,2400.0,35000,DVLA,2021-08-03,,,2459.3333333333335,2464.0,2453.2901633061765
69522,2410.0,2450.0,2450.0,2410.0,11500,DVLA,2021-08-04,,,2458.3333333333335,2460.0,2452.559015904804
70376,2410.0,2400.0,2410.0,2380.0,31000,DVLA,2021-08-05,,,2455.0,2452.0,2440.8792345926254
71231,2400.0,2410.0,2480.0,2400.0,4500,DVLA,2021-08-06,,,2455.0,2445.0,2434.017182460931
72086,2410.0,2400.0,2450.0,2400.0,16700,DVLA,2021-08-09,,,2456.3333333333335,2440.0,2426.4578085807243
72941,2400.0,2400.0,2440.0,2400.0,5800,DVLA,2021-08-10,,,2455.6666666666665,2432.0,2420.5782955627856
73796,2410.0,2400.0,2430.0,2400.0,7500,DVLA,2021-08-12,,,2455.6666666666665,2425.0,2416.0053409932775
74651,2430.0,2400.0,2430.0,2400.0,9900,DVLA,2021-08-13,,,2456.3333333333335,2417.0,2412.448598550327
75506,2380.0,2390.0,2450.0,2360.0,72300,DVLA,2021-08-16,,,2456.0,2409.0,2407.4600210946987
76361,2390.0,2400.0,2410.0,2390.0,16100,DVLA,2021-08-18,,,2455.3333333333335,2406.0,2405.80223862921
77216,2400.0,2360.0,2410.0,2360.0,31700,DVLA,2021-08-19,,,2452.6666666666665,2401.0,2395.6239633782743
78071,2390.0,2400.0,2400.0,2360.0,80700,DVLA,2021-08-20,,,2450.6666666666665,2396.0,2396.59641596088
78926,2400.0,2410.0,2410.0,2400.0,4900,DVLA,2021-08-23,,,2445.6666666666665,2397.0,2399.5749901917957
79781,2410.0,2410.0,2410.0,2400.0,12300,DVLA,2021-08-24,,,2444.0,2397.0,2401.891659038063
80636,2430.0,2420.0,2440.0,2420.0,24300,DVLA,2021-08-25,,,2442.6666666666665,2399.0,2405.9157348073823
81491,2420.0,2400.0,2420.0,2400.0,7800,DVLA,2021-08-26,,,2439.0,2399.0,2404.6011270724084
82346,2400.0,2390.0,2420.0,2390.0,20000,DVLA,2021-08-27,,,2435.6666666666665,2398.0,2401.356432167429
83201,2390.0,2440.0,2450.0,2390.0,13400,DVLA,2021-08-30,,,2435.0,2402.0,2409.943891685778
