,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121328,4900.0,4900.0,4900.0,4900.0,0,EMTK,2020-07-01,,,,,
128749,4900.0,4900.0,4900.0,4900.0,0,EMTK,2020-07-02,,,,,
102423,4900.0,4900.0,4900.0,4900.0,2000,EMTK,2020-07-03,,,,,
85116,4900.0,4900.0,4900.0,4900.0,0,EMTK,2020-07-06,,,,,
34013,4890.0,4560.0,4890.0,4560.0,107600,EMTK,2020-07-07,,,,,
48024,4560.0,4560.0,4560.0,4560.0,1100,EMTK,2020-07-08,,,,,
114751,4560.0,4560.0,4560.0,4560.0,0,EMTK,2020-07-09,,,,,
23309,4500.0,4500.0,4500.0,4500.0,1000,EMTK,2020-07-10,,,,,4722.5
15073,4500.0,4500.0,4500.0,4500.0,0,EMTK,2020-07-13,,,,,4673.055555555556
31551,4500.0,4500.0,4500.0,4500.0,100,EMTK,2020-07-14,,,,4678.0,4634.598765432099
90054,4590.0,4590.0,4590.0,4590.0,100,EMTK,2020-07-15,,,,4647.0,4624.68792866941
21664,4590.0,4590.0,4590.0,4590.0,100,EMTK,2020-07-16,,,,4616.0,4616.979500076208
104860,4800.0,4800.0,4800.0,4800.0,200,EMTK,2020-07-17,,,,4606.0,4657.650722281495
78528,4800.0,4800.0,4800.0,4800.0,0,EMTK,2020-07-20,,,,4596.0,4689.283895107829
103231,4800.0,4800.0,4800.0,4800.0,0,EMTK,2020-07-21,,,,4620.0,4713.887473972756
94174,4790.0,4750.0,4800.0,4750.0,900,EMTK,2020-07-22,,,,4639.0,4721.912479756588
8482,4750.0,4750.0,4750.0,4750.0,0,EMTK,2020-07-23,,,,4658.0,4728.1541509217905
101609,4690.0,4690.0,4690.0,4690.0,100,EMTK,2020-07-24,,,,4677.0,4719.675450716948
55439,4690.0,4690.0,4690.0,4690.0,0,EMTK,2020-07-27,,,,4696.0,4713.080906113182
41430,4690.0,4690.0,4690.0,4690.0,0,EMTK,2020-07-28,,,,4715.0,4707.951815865808
111462,4600.0,4600.0,4600.0,4600.0,100,EMTK,2020-07-29,,,,4716.0,4683.962523451184
80982,4500.0,4500.0,4500.0,4500.0,100,EMTK,2020-07-30,,,,4707.0,4643.081962684254
118048,4440.0,4490.0,4490.0,4440.0,4200,EMTK,2020-08-03,,,,4676.0,4609.06374875442
6845,4480.0,4400.0,4480.0,4400.0,22400,EMTK,2020-08-04,,,,4636.0,4562.605137920104
53795,4300.0,4290.0,4300.0,4290.0,1600,EMTK,2020-08-05,,,,4585.0,4502.026218382303
70284,4280.0,4290.0,4290.0,4200.0,293100,EMTK,2020-08-06,,,,4539.0,4454.909280964013
43901,4290.0,4900.0,4900.0,4120.0,3252400,EMTK,2020-08-07,,,,4554.0,4553.818329638677
99130,4870.0,4910.0,4930.0,4800.0,378800,EMTK,2020-08-10,,,,4576.0,4632.969811941193
