,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126334,87.0,86.0,87.0,85.0,16634800,ENVY,2020-07-01,,,,,
133755,86.0,86.0,88.0,85.0,30413700,ENVY,2020-07-02,,,,,
107429,86.0,86.0,87.0,85.0,17751800,ENVY,2020-07-03,,,,,
89288,86.0,107.0,115.0,85.0,665303600,ENVY,2020-07-06,,,,,
34015,108.0,104.0,109.0,100.0,194765400,ENVY,2020-07-07,,,,,
51362,103.0,112.0,115.0,102.0,140533600,ENVY,2020-07-08,,,,,
119757,112.0,126.0,133.0,112.0,257718100,ENVY,2020-07-09,,,,,
23311,126.0,133.0,153.0,123.0,454489100,ENVY,2020-07-10,,,,,105.0
15075,138.0,133.0,145.0,125.0,339575200,ENVY,2020-07-13,,,,,111.22222222222223
31553,133.0,131.0,137.0,128.0,98008800,ENVY,2020-07-14,,,,110.4,115.61728395061729
95060,131.0,130.0,139.0,124.0,221679300,ENVY,2020-07-15,,,,114.8,118.81344307270234
21666,128.0,121.0,134.0,121.0,179851400,ENVY,2020-07-16,,,,118.3,119.29934461210182
109866,113.0,116.0,122.0,113.0,106126900,ENVY,2020-07-17,,,,121.3,118.56615692052364
82700,108.0,109.0,116.0,108.0,124882400,ENVY,2020-07-20,,,,121.5,116.44034427151838
108237,109.0,124.0,124.0,107.0,192622500,ENVY,2020-07-21,,,,123.5,118.12026776673652
99180,124.0,116.0,126.0,116.0,90834200,ENVY,2020-07-22,,,,123.9,117.64909715190618
8484,116.0,116.0,120.0,110.0,55951700,ENVY,2020-07-23,,,,122.9,117.28263111814925
106615,116.0,113.0,117.0,108.0,90533500,ENVY,2020-07-24,,,,120.9,116.33093531411609
59611,113.0,113.0,122.0,108.0,161880500,ENVY,2020-07-27,,,,118.9,115.59072746653473
43100,114.0,109.0,117.0,106.0,370929600,ENVY,2020-07-28,,,,116.7,114.12612136286035
116468,109.0,107.0,113.0,102.0,172329800,ENVY,2020-07-29,,,,114.4,112.54253883778027
85154,107.0,101.0,108.0,100.0,402744000,ENVY,2020-07-30,,,,112.4,109.97753020716243
123054,102.0,96.0,108.0,94.0,331747600,ENVY,2020-08-03,,,,110.4,106.87141238334856
