,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
258,204.0,212.0,236.0,204.0,364200,ERTX,2021-04-01,,,,,
1098,214.0,214.0,214.0,210.0,180300,ERTX,2021-04-05,,,,,
1938,214.0,210.0,214.0,210.0,963500,ERTX,2021-04-06,,,,,
2778,210.0,210.0,214.0,210.0,62500,ERTX,2021-04-07,,,,,
3620,210.0,210.0,230.0,210.0,91400,ERTX,2021-04-08,,,,,
4462,214.0,210.0,216.0,210.0,31600,ERTX,2021-04-09,,,,,
5305,210.0,222.0,226.0,210.0,60000,ERTX,2021-04-12,,,,,
6149,222.0,228.0,228.0,212.0,247500,ERTX,2021-04-13,,,,,214.5
6993,228.0,214.0,270.0,214.0,8706800,ERTX,2021-04-14,,,,,214.38888888888889
7838,210.0,200.0,210.0,200.0,1465900,ERTX,2021-04-15,,,,213.0,211.19135802469137
8682,204.0,193.0,204.0,187.0,554500,ERTX,2021-04-16,,,,211.1,207.1488340192044
9526,185.0,194.0,202.0,185.0,312200,ERTX,2021-04-19,,,,209.1,204.22687090382564
10370,196.0,204.0,206.0,193.0,398300,ERTX,2021-04-20,,,,208.5,204.17645514741994
11214,204.0,202.0,204.0,202.0,160000,ERTX,2021-04-21,,,,207.7,203.69279844799328
12058,204.0,204.0,204.0,202.0,94700,ERTX,2021-04-22,,,,207.1,203.76106545955034
12902,204.0,192.0,222.0,190.0,1887100,ERTX,2021-04-23,,,,205.3,201.14749535742803
13745,199.0,196.0,204.0,193.0,162900,ERTX,2021-04-26,,,,202.7,200.0036075002218
14588,196.0,206.0,206.0,196.0,242300,ERTX,2021-04-27,,,,200.5,201.33613916683916
15431,206.0,206.0,208.0,204.0,239400,ERTX,2021-04-28,,,,199.7,202.37255268531933
16275,208.0,206.0,208.0,206.0,29600,ERTX,2021-04-29,,,,200.3,203.1786520885817
17119,206.0,206.0,208.0,206.0,48500,ERTX,2021-04-30,,,,201.6,203.80561829111912
17962,208.0,208.0,210.0,206.0,119200,ERTX,2021-05-03,,,,203.0,204.73770311531487
18805,208.0,218.0,226.0,206.0,273000,ERTX,2021-05-04,,,,204.4,207.68488020080045
19648,218.0,204.0,228.0,204.0,2873300,ERTX,2021-05-05,,,,204.6,206.8660179339559
20492,204.0,200.0,204.0,190.0,430800,ERTX,2021-05-06,,,,204.2,205.34023617085458
21336,204.0,200.0,268.0,192.0,10841100,ERTX,2021-05-07,,,,205.0,204.1535170217758
22180,202.0,200.0,210.0,194.0,604700,ERTX,2021-05-10,,,,205.4,203.23051323915897
23023,199.0,198.0,200.0,196.0,145000,ERTX,2021-05-11,,,,204.6,202.0681769637903
23865,198.0,187.0,204.0,185.0,302500,ERTX,2021-05-17,,,,202.7,198.71969319405912
24705,187.0,192.0,199.0,185.0,56500,ERTX,2021-05-18,,,204.86666666666667,201.3,197.22642803982376
