,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123847,50.0,50.0,50.0,50.0,0,FINN,2020-07-01,,,,,
131268,50.0,50.0,50.0,50.0,0,FINN,2020-07-02,,,,,
104942,50.0,50.0,50.0,50.0,0,FINN,2020-07-03,,,,,
86801,50.0,50.0,50.0,50.0,0,FINN,2020-07-06,,,,,
34030,50.0,50.0,50.0,50.0,0,FINN,2020-07-07,,,,,
48875,50.0,50.0,50.0,50.0,0,FINN,2020-07-08,,,,,
117270,50.0,50.0,50.0,50.0,0,FINN,2020-07-09,,,,,
23326,50.0,50.0,50.0,50.0,0,FINN,2020-07-10,,,,,50.0
15090,50.0,50.0,50.0,50.0,0,FINN,2020-07-13,,,,,50.0
31568,50.0,50.0,50.0,50.0,0,FINN,2020-07-14,,,,50.0,50.0
92573,50.0,50.0,50.0,50.0,0,FINN,2020-07-15,,,,50.0,50.0
21681,50.0,50.0,50.0,50.0,0,FINN,2020-07-16,,,,50.0,50.0
107379,50.0,50.0,50.0,50.0,0,FINN,2020-07-17,,,,50.0,50.0
80213,50.0,50.0,50.0,50.0,0,FINN,2020-07-20,,,,50.0,50.0
105750,50.0,50.0,50.0,50.0,0,FINN,2020-07-21,,,,50.0,50.0
96693,50.0,50.0,50.0,50.0,0,FINN,2020-07-22,,,,50.0,50.0
8499,50.0,50.0,50.0,50.0,0,FINN,2020-07-23,,,,50.0,50.0
104128,50.0,50.0,50.0,50.0,0,FINN,2020-07-24,,,,50.0,50.0
57124,50.0,50.0,50.0,50.0,0,FINN,2020-07-27,,,,50.0,50.0
41447,50.0,50.0,50.0,50.0,0,FINN,2020-07-28,,,,50.0,50.0
113981,50.0,50.0,50.0,50.0,0,FINN,2020-07-29,,,,50.0,50.0
82667,50.0,50.0,50.0,50.0,0,FINN,2020-07-30,,,,50.0,50.0
120567,50.0,50.0,50.0,50.0,0,FINN,2020-08-03,,,,50.0,50.0
6862,50.0,50.0,50.0,50.0,0,FINN,2020-08-04,,,,50.0,50.0
55480,50.0,50.0,50.0,50.0,0,FINN,2020-08-05,,,,50.0,50.0
71969,50.0,50.0,50.0,50.0,0,FINN,2020-08-06,,,,50.0,50.0
43918,50.0,50.0,50.0,50.0,0,FINN,2020-08-07,,,,50.0,50.0
101649,50.0,50.0,50.0,50.0,0,FINN,2020-08-10,,,,50.0,50.0
54664,50.0,50.0,50.0,50.0,0,FINN,2020-08-11,,,,50.0,50.0
123030,50.0,50.0,50.0,50.0,0,FINN,2020-08-12,,,50.0,50.0,50.0
64545,50.0,50.0,50.0,50.0,0,FINN,2020-08-13,,,50.0,50.0,50.0
90116,50.0,50.0,50.0,50.0,0,FINN,2020-08-14,,,50.0,50.0,50.0
62901,50.0,50.0,50.0,50.0,0,FINN,2020-08-18,,,50.0,50.0,50.0
91757,50.0,50.0,50.0,50.0,0,FINN,2020-08-19,,,50.0,50.0,50.0
10147,50.0,50.0,50.0,50.0,0,FINN,2020-08-24,,,50.0,50.0,50.0
132076,50.0,50.0,50.0,50.0,0,FINN,2020-08-25,,,50.0,50.0,50.0
106563,50.0,50.0,50.0,50.0,0,FINN,2020-08-26,,,50.0,50.0,50.0
3567,50.0,50.0,50.0,50.0,0,FINN,2020-08-27,,,50.0,50.0,50.0
81025,50.0,50.0,50.0,50.0,0,FINN,2020-08-28,,,50.0,50.0,50.0
27446,50.0,50.0,50.0,50.0,0,FINN,2020-08-31,,,50.0,50.0,50.0
34841,50.0,50.0,50.0,50.0,0,FINN,2020-09-01,,,50.0,50.0,50.0
38979,50.0,50.0,50.0,50.0,0,FINN,2020-09-02,,,50.0,50.0,50.0
70316,50.0,50.0,50.0,50.0,0,FINN,2020-09-03,,,50.0,50.0,50.0
12622,50.0,50.0,50.0,50.0,0,FINN,2020-09-04,,,50.0,50.0,50.0
26627,50.0,50.0,50.0,50.0,0,FINN,2020-09-07,,,50.0,50.0,50.0
110674,50.0,50.0,50.0,50.0,0,FINN,2020-09-08,,,50.0,50.0,50.0
124655,50.0,50.0,50.0,50.0,0,FINN,2020-09-09,,,50.0,50.0,50.0
7675,50.0,50.0,50.0,50.0,0,FINN,2020-09-10,,,50.0,50.0,50.0
17552,50.0,50.0,50.0,50.0,0,FINN,2020-09-11,,,50.0,50.0,50.0
44734,50.0,50.0,50.0,50.0,0,FINN,2020-09-14,,,50.0,50.0,50.0
67841,50.0,50.0,50.0,50.0,0,FINN,2020-09-15,,,50.0,50.0,50.0
1087,50.0,50.0,50.0,50.0,0,FINN,2020-09-16,,,50.0,50.0,50.0
57939,50.0,50.0,50.0,50.0,0,FINN,2020-09-17,,,50.0,50.0,50.0
63719,50.0,50.0,50.0,50.0,0,FINN,2020-09-18,,,50.0,50.0,50.0
73611,50.0,50.0,50.0,50.0,0,FINN,2020-09-21,,,50.0,50.0,50.0
102467,50.0,50.0,50.0,50.0,0,FINN,2020-09-22,,,50.0,50.0,50.0
78564,50.0,50.0,50.0,50.0,0,FINN,2020-09-23,,,50.0,50.0,50.0
67014,50.0,50.0,50.0,50.0,0,FINN,2020-09-24,,,50.0,50.0,50.0
99169,50.0,50.0,50.0,50.0,0,FINN,2020-09-25,,,50.0,50.0,50.0
61251,50.0,50.0,50.0,50.0,0,FINN,2020-09-28,,,50.0,50.0,50.0
15903,50.0,50.0,50.0,50.0,0,FINN,2020-09-29,,,50.0,50.0,50.0
85976,50.0,50.0,50.0,50.0,0,FINN,2020-09-30,,,50.0,50.0,50.0
94210,50.0,50.0,50.0,50.0,0,FINN,2020-10-01,,,50.0,50.0,50.0
69494,50.0,50.0,50.0,50.0,0,FINN,2020-10-02,,,50.0,50.0,50.0
11800,50.0,50.0,50.0,50.0,0,FINN,2020-10-05,,,50.0,50.0,50.0
122207,50.0,50.0,50.0,50.0,0,FINN,2020-10-06,,,50.0,50.0,50.0
20858,50.0,50.0,50.0,50.0,0,FINN,2020-10-07,,,50.0,50.0,50.0
19202,50.0,50.0,50.0,50.0,0,FINN,2020-10-08,,,50.0,50.0,50.0
112333,50.0,50.0,50.0,50.0,0,FINN,2020-10-09,,,50.0,50.0,50.0
28266,50.0,50.0,50.0,50.0,0,FINN,2020-10-12,,,50.0,50.0,50.0
77739,50.0,50.0,50.0,50.0,0,FINN,2020-10-13,,,50.0,50.0,50.0
109022,50.0,50.0,50.0,50.0,0,FINN,2020-10-14,,,50.0,50.0,50.0
14267,50.0,50.0,50.0,50.0,0,FINN,2020-10-15,,,50.0,50.0,50.0
5215,50.0,50.0,50.0,50.0,0,FINN,2020-10-16,,,50.0,50.0,50.0
262,50.0,50.0,50.0,50.0,0,FINN,2020-10-19,,,50.0,50.0,50.0
127138,50.0,50.0,50.0,50.0,0,FINN,2020-10-20,,,50.0,50.0,50.0
76089,50.0,50.0,50.0,50.0,0,FINN,2020-10-21,,,50.0,50.0,50.0
29921,50.0,50.0,50.0,50.0,0,FINN,2020-10-22,,,50.0,50.0,50.0
32381,50.0,50.0,50.0,50.0,0,FINN,2020-10-23,,,50.0,50.0,50.0
58767,50.0,50.0,50.0,50.0,0,FINN,2020-10-26,,,50.0,50.0,50.0
53841,50.0,50.0,50.0,50.0,0,FINN,2020-10-27,,,50.0,50.0,50.0
90934,50.0,50.0,50.0,50.0,0,FINN,2020-11-02,,,50.0,50.0,50.0
85151,50.0,50.0,50.0,50.0,0,FINN,2020-11-03,,,50.0,50.0,50.0
6039,50.0,50.0,50.0,50.0,0,FINN,2020-11-04,,,50.0,50.0,50.0
18377,50.0,50.0,50.0,50.0,0,FINN,2020-11-05,,,50.0,50.0,50.0
42261,50.0,50.0,50.0,50.0,0,FINN,2020-11-06,,,50.0,50.0,50.0
93385,50.0,50.0,50.0,50.0,0,FINN,2020-11-09,,,50.0,50.0,50.0
1914,50.0,50.0,50.0,50.0,0,FINN,2020-11-10,,,50.0,50.0,50.0
24138,50.0,50.0,50.0,50.0,0,FINN,2020-11-11,,,50.0,50.0,50.0
79390,50.0,50.0,50.0,50.0,0,FINN,2020-11-12,,,50.0,50.0,50.0
76914,50.0,50.0,50.0,50.0,0,FINN,2020-11-13,,,50.0,50.0,50.0
75264,50.0,50.0,50.0,50.0,0,FINN,2020-11-16,,,50.0,50.0,50.0
39799,50.0,50.0,50.0,50.0,0,FINN,2020-11-17,,,50.0,50.0,50.0
16729,50.0,50.0,50.0,50.0,0,FINN,2020-11-18,,,50.0,50.0,50.0
68669,50.0,50.0,50.0,50.0,0,FINN,2020-11-19,,,50.0,50.0,50.0
81844,50.0,50.0,50.0,50.0,0,FINN,2020-11-20,,,50.0,50.0,50.0
72786,50.0,50.0,50.0,50.0,0,FINN,2020-11-23,,,50.0,50.0,50.0
114796,50.0,50.0,50.0,50.0,0,FINN,2020-11-24,,,50.0,50.0,50.0
121382,50.0,50.0,50.0,50.0,0,FINN,2020-11-25,,,50.0,50.0,50.0
60426,50.0,50.0,50.0,50.0,0,FINN,2020-11-26,50.0,,50.0,50.0,50.0
13442,50.0,50.0,50.0,50.0,0,FINN,2020-11-27,50.0,,50.0,50.0,50.0
119744,50.0,50.0,50.0,50.0,0,FINN,2020-11-30,50.0,,50.0,50.0,50.0
116447,50.0,50.0,50.0,50.0,0,FINN,2020-12-01,50.0,,50.0,50.0,50.0
118919,50.0,50.0,50.0,50.0,0,FINN,2020-12-02,50.0,,50.0,50.0,50.0
38157,50.0,50.0,50.0,50.0,0,FINN,2020-12-03,50.0,,50.0,50.0,50.0
30746,50.0,50.0,50.0,50.0,0,FINN,2020-12-04,50.0,,50.0,50.0,50.0
47224,50.0,50.0,50.0,50.0,0,FINN,2020-12-07,50.0,,50.0,50.0,50.0
95036,50.0,50.0,50.0,50.0,0,FINN,2020-12-08,50.0,,50.0,50.0,50.0
128792,50.0,50.0,50.0,50.0,0,FINN,2020-12-10,50.0,,50.0,50.0,50.0
40625,50.0,50.0,50.0,50.0,0,FINN,2020-12-11,50.0,,50.0,50.0,50.0
74440,50.0,50.0,50.0,50.0,0,FINN,2020-12-14,50.0,,50.0,50.0,50.0
113159,50.0,50.0,50.0,50.0,0,FINN,2020-12-15,50.0,,50.0,50.0,50.0
130446,50.0,50.0,50.0,50.0,0,FINN,2020-12-16,50.0,,50.0,50.0,50.0
65364,50.0,50.0,50.0,50.0,0,FINN,2020-12-17,50.0,,50.0,50.0,50.0
100826,50.0,50.0,50.0,50.0,0,FINN,2020-12-18,50.0,,50.0,50.0,50.0
115622,50.0,50.0,50.0,50.0,0,FINN,2020-12-21,50.0,,50.0,50.0,50.0
33207,50.0,50.0,50.0,50.0,0,FINN,2020-12-22,50.0,,50.0,50.0,50.0
98344,50.0,50.0,50.0,50.0,0,FINN,2020-12-23,50.0,,50.0,50.0,50.0
66189,50.0,50.0,50.0,50.0,0,FINN,2020-12-28,50.0,,50.0,50.0,50.0
62078,50.0,50.0,50.0,50.0,0,FINN,2020-12-29,50.0,,50.0,50.0,50.0
129618,50.0,50.0,50.0,50.0,0,FINN,2020-12-30,50.0,,50.0,50.0,50.0
4388,50.0,50.0,50.0,50.0,0,FINN,2021-01-04,50.0,,50.0,50.0,50.0
109849,50.0,50.0,50.0,50.0,0,FINN,2021-01-05,50.0,,50.0,50.0,50.0
126311,50.0,50.0,50.0,50.0,0,FINN,2021-01-06,50.0,,50.0,50.0,50.0
29094,50.0,50.0,50.0,50.0,0,FINN,2021-01-07,50.0,,50.0,50.0,50.0
48050,50.0,50.0,50.0,50.0,0,FINN,2021-01-08,50.0,,50.0,50.0,50.0
125481,50.0,50.0,50.0,50.0,0,FINN,2021-01-11,50.0,,50.0,50.0,50.0
50525,50.0,50.0,50.0,50.0,0,FINN,2021-01-12,50.0,,50.0,50.0,50.0
