,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121347,2790.0,2790.0,2790.0,2790.0,0,FISH,2020-07-01,,,,,
128768,2780.0,2800.0,2800.0,2780.0,6000,FISH,2020-07-02,,,,,
102442,2800.0,2900.0,2900.0,2800.0,300,FISH,2020-07-03,,,,,
85135,2850.0,2850.0,2850.0,2850.0,4700,FISH,2020-07-06,,,,,
34032,2850.0,2850.0,2850.0,2850.0,0,FISH,2020-07-07,,,,,
48043,2850.0,2850.0,2850.0,2850.0,300,FISH,2020-07-08,,,,,
114770,2800.0,2800.0,2800.0,2800.0,500,FISH,2020-07-09,,,,,
23328,2800.0,2800.0,2800.0,2800.0,0,FISH,2020-07-10,,,,,2830.0
15092,2800.0,2800.0,2800.0,2800.0,400,FISH,2020-07-13,,,,,2823.3333333333335
31570,2720.0,2720.0,2720.0,2720.0,100,FISH,2020-07-14,,,,2816.0,2800.3703703703704
90073,2950.0,2950.0,2950.0,2950.0,2000,FISH,2020-07-15,,,,2832.0,2833.6213991769546
21683,2950.0,2950.0,2950.0,2950.0,3400,FISH,2020-07-16,,,,2847.0,2859.4833104709646
104879,2950.0,2950.0,2950.0,2950.0,100,FISH,2020-07-17,,,,2852.0,2879.5981303663057
78547,2950.0,2940.0,2950.0,2940.0,2300,FISH,2020-07-20,,,,2861.0,2893.0207680626822
103250,2940.0,2940.0,2940.0,2940.0,1000,FISH,2020-07-21,,,,2870.0,2903.4605973820862
94193,3000.0,2940.0,3050.0,2940.0,11400,FISH,2020-07-22,,,,2879.0,2911.5804646305114
8501,2940.0,2980.0,3000.0,2900.0,8000,FISH,2020-07-23,,,,2897.0,2926.784805823731
101628,2980.0,2980.0,2980.0,2980.0,500,FISH,2020-07-24,,,,2915.0,2938.6104045295683
55458,3000.0,2980.0,3000.0,2980.0,3900,FISH,2020-07-27,,,,2933.0,2947.8080924118863
41449,2980.0,2970.0,2980.0,2970.0,5000,FISH,2020-07-28,,,,2958.0,2952.739627431467
111481,2970.0,3030.0,3030.0,2970.0,3700,FISH,2020-07-29,,,,2966.0,2969.9085991133634
81001,2960.0,2890.0,2960.0,2890.0,1700,FISH,2020-07-30,,,,2960.0,2952.151132643727
118067,2890.0,2890.0,2890.0,2890.0,100,FISH,2020-08-03,,,,2954.0,2938.33976983401
6864,2800.0,2720.0,2800.0,2720.0,4000,FISH,2020-08-04,,,,2932.0,2889.819820982008
53814,2710.0,2710.0,2710.0,2710.0,200,FISH,2020-08-05,,,,2909.0,2849.859860763784
70303,2550.0,2530.0,2550.0,2530.0,3100,FISH,2020-08-06,,,,2868.0,2778.7798917051655
43920,2630.0,2690.0,2710.0,2630.0,700,FISH,2020-08-07,,,,2839.0,2759.051026881795
99149,2730.0,2700.0,2730.0,2700.0,2200,FISH,2020-08-10,,,,2811.0,2745.9285764636184
52998,2740.0,2710.0,2740.0,2710.0,200,FISH,2020-08-11,,,,2784.0,2737.944448360592
120530,2700.0,2770.0,2770.0,2660.0,1300,FISH,2020-08-12,,,2846.0,2764.0,2745.0679042804604
62879,2770.0,2790.0,2800.0,2770.0,1200,FISH,2020-08-13,,,2846.0,2740.0,2755.052814440358
87616,2840.0,2850.0,2850.0,2840.0,9200,FISH,2020-08-14,,,2847.6666666666665,2736.0,2776.152189009167
61235,2850.0,2670.0,2850.0,2670.0,800,FISH,2020-08-18,,,2840.0,2714.0,2752.562813673797
89257,2670.0,2660.0,2690.0,2660.0,3100,FISH,2020-08-19,,,2833.6666666666665,2708.0,2731.9932995240642
10149,2650.0,2780.0,2780.0,2650.0,200,FISH,2020-08-24,,,2831.3333333333335,2715.0,2742.661455185383
129576,2780.0,2780.0,2780.0,2780.0,0,FISH,2020-08-25,,,2829.0,2740.0,2750.9589095886313
104063,2760.0,2740.0,2770.0,2740.0,300,FISH,2020-08-26,,,2827.0,2745.0,2748.523596346713
3569,2800.0,2800.0,2800.0,2800.0,100,FISH,2020-08-27,,,2827.0,2755.0,2759.9627971585546
79359,2840.0,2840.0,2840.0,2840.0,100,FISH,2020-08-28,,,2828.3333333333335,2768.0,2777.7488422344313
27448,2840.0,2840.0,2840.0,2840.0,0,FISH,2020-08-31,,,2832.3333333333335,2775.0,2791.582432849002
34843,2840.0,2840.0,2840.0,2840.0,0,FISH,2020-09-01,,,2828.6666666666665,2780.0,2802.3418922158903
38981,2840.0,2840.0,2840.0,2840.0,0,FISH,2020-09-02,,,2825.0,2779.0,2810.710360612359
68650,2840.0,2840.0,2840.0,2840.0,200,FISH,2020-09-03,,,2821.3333333333335,2796.0,2817.2191693651685
12624,2840.0,2840.0,2840.0,2840.0,0,FISH,2020-09-04,,,2818.0,2814.0,2822.281576172909
26629,2840.0,2810.0,2840.0,2810.0,600,FISH,2020-09-07,,,2813.6666666666665,2817.0,2819.5523370233736
108174,2800.0,2810.0,2810.0,2800.0,200,FISH,2020-09-08,,,2809.3333333333335,2820.0,2817.429595462624
122155,2810.0,2810.0,2810.0,2810.0,0,FISH,2020-09-09,,,2803.6666666666665,2827.0,2815.7785742487076
7677,2650.0,2650.0,2650.0,2650.0,200,FISH,2020-09-10,,,2792.6666666666665,2812.0,2778.938891082328
17554,2620.0,2620.0,2620.0,2620.0,100,FISH,2020-09-11,,,2780.6666666666665,2790.0,2743.6191375084773
44736,2620.0,2550.0,2620.0,2550.0,500,FISH,2020-09-14,,,2766.6666666666665,2761.0,2700.5926625065936
66175,2550.0,2550.0,2550.0,2550.0,0,FISH,2020-09-15,,,2750.6666666666665,2732.0,2667.127626394017
1089,2550.0,2550.0,2550.0,2550.0,0,FISH,2020-09-16,,,2739.3333333333335,2703.0,2641.0992649731243
56273,2550.0,2550.0,2550.0,2550.0,0,FISH,2020-09-17,,,2728.0,2674.0,2620.8549838679855
62053,2550.0,2550.0,2550.0,2550.0,600,FISH,2020-09-18,,,2722.3333333333335,2645.0,2605.109431897322
71945,2550.0,2550.0,2550.0,2550.0,0,FISH,2020-09-21,,,2717.0,2619.0,2592.8628914756946
99967,2550.0,2550.0,2550.0,2550.0,0,FISH,2020-09-22,,,2717.6666666666665,2593.0,2583.3378044810956
76898,2550.0,2550.0,2550.0,2550.0,0,FISH,2020-09-23,,,2713.0,2567.0,2575.9294034852965
65348,2480.0,2400.0,2480.0,2400.0,1300,FISH,2020-09-24,,,2703.0,2542.0,2536.833980488564
96669,2400.0,2400.0,2400.0,2400.0,0,FISH,2020-09-25,,,2692.6666666666665,2520.0,2506.426429268883
59585,2400.0,2400.0,2410.0,2400.0,1400,FISH,2020-09-28,,,2680.3333333333335,2505.0,2482.7761116535758
15905,2400.0,2400.0,2400.0,2400.0,0,FISH,2020-09-29,,,2667.3333333333335,2490.0,2464.3814201750033
84310,2400.0,2400.0,2400.0,2400.0,1300,FISH,2020-09-30,,,2652.3333333333335,2475.0,2450.0744379138914
91710,2400.0,2400.0,2400.0,2400.0,0,FISH,2020-10-01,,,2643.3333333333335,2460.0,2438.946785044138
67828,2400.0,2400.0,2400.0,2400.0,0,FISH,2020-10-02,,,2634.6666666666665,2445.0,2430.2919439232182
11802,2400.0,2400.0,2400.0,2400.0,0,FISH,2020-10-05,,,2622.0,2430.0,2423.56040082917
119707,2400.0,2400.0,2400.0,2400.0,0,FISH,2020-10-06,,,2609.3333333333335,2415.0,2418.3247562004653
20860,2400.0,2400.0,2400.0,2400.0,0,FISH,2020-10-07,,,2598.0,2400.0,2414.2525881559177
19204,2400.0,2400.0,2400.0,2400.0,100,FISH,2020-10-08,,,2584.6666666666665,2400.0,2411.0853463434914
109833,2700.0,2700.0,2700.0,2700.0,100,FISH,2020-10-09,,,2580.0,2430.0,2475.2886027116047
28268,2730.0,2730.0,2730.0,2730.0,200,FISH,2020-10-12,,,2576.3333333333335,2463.0,2531.891135442359
76073,2730.0,2730.0,2730.0,2730.0,100,FISH,2020-10-13,,,2572.6666666666665,2496.0,2575.9153275662793
106522,2730.0,2730.0,2730.0,2730.0,0,FISH,2020-10-14,,,2569.0,2529.0,2610.156365884884
14269,2730.0,2730.0,2730.0,2730.0,0,FISH,2020-10-15,,,2565.3333333333335,2562.0,2636.788284577132
5217,2730.0,2730.0,2730.0,2730.0,0,FISH,2020-10-16,,,2561.6666666666665,2595.0,2657.501999115547
264,2700.0,2600.0,2700.0,2600.0,300,FISH,2020-10-19,,,2554.6666666666665,2615.0,2644.7237770898696
124638,2600.0,2600.0,2600.0,2600.0,0,FISH,2020-10-20,,,2547.6666666666665,2635.0,2634.7851599587875
74423,2610.0,2650.0,2650.0,2600.0,300,FISH,2020-10-21,,,2542.3333333333335,2660.0,2638.166235523501
29923,2700.0,2700.0,2700.0,2700.0,100,FISH,2020-10-22,,,2544.0,2690.0,2651.907072073834
32383,2700.0,2700.0,2700.0,2700.0,0,FISH,2020-10-23,,,2546.6666666666665,2690.0,2662.5943893907597
57101,2700.0,2700.0,2700.0,2700.0,0,FISH,2020-10-26,,,2551.6666666666665,2687.0,2670.906747303924
52175,2700.0,2700.0,2700.0,2700.0,0,FISH,2020-10-27,,,2556.6666666666665,2684.0,2677.3719145697187
88434,2680.0,2680.0,2680.0,2680.0,200,FISH,2020-11-02,,,2561.0,2679.0,2677.955933554226
83485,2680.0,2680.0,2680.0,2680.0,100,FISH,2020-11-03,,,2565.3333333333335,2674.0,2678.410170542176
6041,2600.0,2600.0,2600.0,2600.0,200,FISH,2020-11-04,,,2567.0,2661.0,2660.98568819947
