,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
274,64.0,56.0,64.0,50.0,380700,FITT-W,2021-04-01,,,,,
1114,56.0,53.0,60.0,53.0,223900,FITT-W,2021-04-05,,,,,
1954,53.0,47.0,54.0,47.0,287100,FITT-W,2021-04-06,,,,,
2794,50.0,58.0,84.0,49.0,2362900,FITT-W,2021-04-07,,,,,
3636,58.0,56.0,61.0,53.0,418700,FITT-W,2021-04-08,,,,,
4480,56.0,56.0,59.0,56.0,216900,FITT-W,2021-04-09,,,,,
5323,55.0,56.0,58.0,50.0,491900,FITT-W,2021-04-12,,,,,
6167,56.0,54.0,56.0,51.0,120000,FITT-W,2021-04-13,,,,,54.5
7011,58.0,52.0,58.0,50.0,125700,FITT-W,2021-04-14,,,,,53.94444444444444
7856,54.0,50.0,55.0,50.0,227100,FITT-W,2021-04-15,,,,53.8,53.0679012345679
8700,50.0,54.0,70.0,48.0,3730600,FITT-W,2021-04-16,,,,53.6,53.27503429355281
9544,54.0,50.0,60.0,50.0,596400,FITT-W,2021-04-19,,,,53.3,52.547248894985515
10388,51.0,52.0,58.0,51.0,285000,FITT-W,2021-04-20,,,,53.8,52.42563802943318
11232,52.0,52.0,55.0,51.0,211300,FITT-W,2021-04-21,,,,53.2,52.33105180067025
12076,52.0,50.0,54.0,50.0,238400,FITT-W,2021-04-22,,,,52.6,51.813040289410196
12920,51.0,51.0,53.0,49.0,402400,FITT-W,2021-04-23,,,,52.1,51.63236466954126
13763,51.0,49.0,52.0,49.0,82800,FITT-W,2021-04-26,,,,51.4,51.047394742976536
14606,51.0,49.0,51.0,49.0,184400,FITT-W,2021-04-27,,,,50.9,50.59241813342619
15449,49.0,48.0,50.0,48.0,21000,FITT-W,2021-04-28,,,,50.5,50.01632521488704
16293,50.0,47.0,50.0,46.0,279000,FITT-W,2021-04-29,,,,50.2,49.34603072268992
17137,48.0,70.0,74.0,48.0,10080100,FITT-W,2021-04-30,,,,51.8,53.93580167320327
17980,72.0,52.0,118.0,52.0,9871400,FITT-W,2021-05-03,,,,52.0,53.505623523602544
