,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120514,52.0,51.0,54.0,51.0,130500,FITT,2020-07-01,,,,,
127935,55.0,53.0,55.0,52.0,900,FITT,2020-07-02,,,,,
101609,58.0,51.0,58.0,50.0,71400,FITT,2020-07-03,,,,,
84302,51.0,51.0,52.0,51.0,19500,FITT,2020-07-06,,,,,
34033,56.0,51.0,56.0,51.0,105400,FITT,2020-07-07,,,,,
47210,57.0,52.0,57.0,50.0,337500,FITT,2020-07-08,,,,,
113937,54.0,53.0,54.0,51.0,17800,FITT,2020-07-09,,,,,
23329,53.0,71.0,71.0,53.0,10994400,FITT,2020-07-10,,,,,54.125
15093,73.0,67.0,76.0,67.0,5018500,FITT,2020-07-13,,,,,56.986111111111114
31571,67.0,69.0,73.0,66.0,1108500,FITT,2020-07-14,,,,56.9,59.65586419753087
89240,70.0,70.0,74.0,68.0,2930100,FITT,2020-07-15,,,,58.8,61.954561042524006
21684,70.0,67.0,70.0,67.0,46900,FITT,2020-07-16,,,,60.2,63.075769699740896
104046,70.0,69.0,70.0,66.0,45400,FITT,2020-07-17,,,,62.0,64.39226532202069
77714,66.0,65.0,69.0,65.0,73000,FITT,2020-07-20,,,,63.4,64.52731747268275
102417,65.0,67.0,70.0,65.0,704900,FITT,2020-07-21,,,,65.0,65.07680247875325
93360,67.0,67.0,70.0,67.0,12900,FITT,2020-07-22,,,,66.5,65.50417970569697
8502,65.0,64.0,69.0,64.0,45400,FITT,2020-07-23,,,,67.6,65.16991754887542
100795,64.0,67.0,67.0,64.0,1900,FITT,2020-07-24,,,,67.2,65.57660253801421
54625,67.0,64.0,67.0,64.0,13500,FITT,2020-07-27,,,,66.9,65.2262464184555
41450,64.0,68.0,69.0,64.0,900,FITT,2020-07-28,,,,66.8,65.84263610324317
110648,64.0,71.0,72.0,64.0,485400,FITT,2020-07-29,,,,66.9,66.98871696918913
80168,70.0,67.0,70.0,67.0,26200,FITT,2020-07-30,,,,66.9,66.99122430936931
117234,67.0,63.0,67.0,63.0,13400,FITT,2020-08-03,,,,66.3,66.10428557395392
6865,63.0,66.0,67.0,61.0,16500,FITT,2020-08-04,,,,66.4,66.08111100196416
52981,64.0,69.0,69.0,63.0,3200,FITT,2020-08-05,,,,66.6,66.72975300152768
69470,67.0,65.0,69.0,65.0,9800,FITT,2020-08-06,,,,66.4,66.34536344563264
43087,66.0,67.0,67.0,66.0,2100,FITT,2020-08-07,,,,66.7,66.49083823549205
98316,63.0,66.0,67.0,63.0,252200,FITT,2020-08-10,,,,66.6,66.38176307204937
52165,66.0,69.0,72.0,62.0,277600,FITT,2020-08-11,,,,67.1,66.96359350048284
119697,68.0,66.0,74.0,65.0,8821900,FITT,2020-08-12,,,63.53333333333333,66.9,66.74946161148665
62046,65.0,66.0,66.0,63.0,25300,FITT,2020-08-13,,,64.03333333333333,66.4,66.58291458671184
86783,63.0,64.0,70.0,62.0,567100,FITT,2020-08-14,,,64.4,66.1,66.00893356744254
60402,65.0,64.0,65.0,64.0,53700,FITT,2020-08-18,,,64.83333333333333,66.2,65.56250388578864
88424,62.0,60.0,63.0,60.0,106100,FITT,2020-08-19,,,65.13333333333334,65.6,64.32639191116894
10150,57.0,63.0,63.0,57.0,51200,FITT,2020-08-24,,,65.53333333333333,65.0,64.0316381531314
128743,60.0,60.0,60.0,60.0,70200,FITT,2020-08-25,,,65.8,64.5,63.13571856354664
103230,61.0,59.0,61.0,58.0,13400,FITT,2020-08-26,,,66.0,63.7,62.21666999386961
3570,60.0,57.0,62.0,57.0,60900,FITT,2020-08-27,,,65.53333333333333,62.8,61.057409995231914
78526,56.0,56.0,70.0,54.0,1110000,FITT,2020-08-28,,,65.16666666666667,61.5,59.9335411074026
27449,57.0,56.0,64.0,54.0,114400,FITT,2020-08-31,,,64.73333333333333,60.5,59.05942086131313
34844,55.0,58.0,58.0,55.0,189500,FITT,2020-09-01,,,64.33333333333333,59.7,58.82399400324354
38982,58.0,58.0,58.0,58.0,68900,FITT,2020-09-02,,,64.03333333333333,59.1,58.64088422474498
67817,58.0,57.0,58.0,57.0,90600,FITT,2020-09-03,,,63.63333333333333,58.4,58.27624328591276
12625,54.0,58.0,58.0,54.0,20900,FITT,2020-09-04,,,63.4,58.2,58.21485588904326
26630,57.0,61.0,62.0,57.0,1000,FITT,2020-09-07,,,63.2,58.0,58.8337768025892
107341,58.0,61.0,62.0,58.0,40500,FITT,2020-09-08,,,63.0,58.1,59.31515973534715
