,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126359,98.0,97.0,99.0,94.0,48802300,FREN,2020-07-01,,,,,
133780,97.0,97.0,99.0,96.0,23224200,FREN,2020-07-02,,,,,
107454,97.0,100.0,102.0,97.0,97611600,FREN,2020-07-03,,,,,
89313,103.0,100.0,104.0,99.0,89676600,FREN,2020-07-06,,,,,
34040,101.0,98.0,101.0,97.0,73961600,FREN,2020-07-07,,,,,
51387,98.0,97.0,99.0,97.0,71548500,FREN,2020-07-08,,,,,
119782,97.0,98.0,99.0,97.0,28797300,FREN,2020-07-09,,,,,
23336,98.0,97.0,99.0,97.0,21290200,FREN,2020-07-10,,,,,98.0
15100,98.0,97.0,98.0,96.0,30871500,FREN,2020-07-13,,,,,97.77777777777777
31578,97.0,97.0,98.0,96.0,24962000,FREN,2020-07-14,,,,97.8,97.60493827160494
95085,97.0,97.0,99.0,96.0,42725900,FREN,2020-07-15,,,,97.8,97.47050754458162
21691,97.0,97.0,98.0,97.0,15805400,FREN,2020-07-16,,,,97.8,97.36595031245237
109891,96.0,98.0,99.0,96.0,21248600,FREN,2020-07-17,,,,97.6,97.5068502430185
82725,98.0,96.0,98.0,96.0,19663600,FREN,2020-07-20,,,,97.2,97.17199463345884
108262,97.0,99.0,100.0,95.0,94968400,FREN,2020-07-21,,,,97.3,97.57821804824576
99205,100.0,98.0,100.0,97.0,37770800,FREN,2020-07-22,,,,97.4,97.67194737085781
8509,99.0,103.0,108.0,98.0,438087700,FREN,2020-07-23,,,,97.9,98.85595906622274
106640,107.0,139.0,139.0,106.0,2205588000,FREN,2020-07-24,,,,102.1,107.77685705150657
59636,143.0,142.0,168.0,138.0,2415778700,FREN,2020-07-27,,,,106.6,115.38199992894955
43125,142.0,138.0,151.0,134.0,853341600,FREN,2020-07-28,,,,110.7,120.40822216696077
116493,139.0,153.0,157.0,135.0,1524897900,FREN,2020-07-29,,,,116.3,127.65083946319172
85179,156.0,143.0,156.0,143.0,425144200,FREN,2020-07-30,,,,120.9,131.06176402692688
123079,139.0,133.0,141.0,133.0,139234000,FREN,2020-08-03,,,,124.4,131.49248313205425
6872,125.0,132.0,137.0,124.0,431996200,FREN,2020-08-04,,,,128.0,131.60526465826442
