,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
283,50.0,50.0,50.0,50.0,200,GAMA,2021-04-01,,,,,
1123,50.0,50.0,50.0,50.0,100,GAMA,2021-04-05,,,,,
1963,50.0,50.0,50.0,50.0,3500,GAMA,2021-04-06,,,,,
2803,50.0,50.0,50.0,50.0,6200,GAMA,2021-04-07,,,,,
3645,50.0,50.0,50.0,50.0,2000,GAMA,2021-04-08,,,,,
4489,50.0,50.0,50.0,50.0,200,GAMA,2021-04-09,,,,,
5332,50.0,50.0,50.0,50.0,3500,GAMA,2021-04-12,,,,,
6176,50.0,50.0,50.0,50.0,400,GAMA,2021-04-13,,,,,50.0
7020,50.0,50.0,50.0,50.0,400,GAMA,2021-04-14,,,,,50.0
7865,50.0,50.0,50.0,50.0,100,GAMA,2021-04-15,,,,50.0,50.0
8709,50.0,50.0,50.0,50.0,200,GAMA,2021-04-16,,,,50.0,50.0
9553,50.0,50.0,50.0,50.0,500,GAMA,2021-04-19,,,,50.0,50.0
10397,50.0,50.0,50.0,50.0,100,GAMA,2021-04-20,,,,50.0,50.0
11241,50.0,50.0,50.0,50.0,100,GAMA,2021-04-21,,,,50.0,50.0
12085,50.0,50.0,50.0,50.0,1400,GAMA,2021-04-22,,,,50.0,50.0
12929,50.0,50.0,50.0,50.0,800,GAMA,2021-04-23,,,,50.0,50.0
13772,50.0,50.0,50.0,50.0,100,GAMA,2021-04-26,,,,50.0,50.0
14615,50.0,50.0,50.0,50.0,1000,GAMA,2021-04-27,,,,50.0,50.0
15459,50.0,50.0,50.0,50.0,100,GAMA,2021-04-28,,,,50.0,50.0
16303,50.0,50.0,50.0,50.0,1600,GAMA,2021-04-29,,,,50.0,50.0
17147,50.0,50.0,50.0,50.0,100,GAMA,2021-04-30,,,,50.0,50.0
17990,50.0,50.0,50.0,50.0,0,GAMA,2021-05-03,,,,50.0,50.0
18833,50.0,50.0,50.0,50.0,0,GAMA,2021-05-04,,,,50.0,50.0
19675,50.0,50.0,50.0,50.0,1000,GAMA,2021-05-05,,,,50.0,50.0
20519,50.0,50.0,50.0,50.0,0,GAMA,2021-05-06,,,,50.0,50.0
21363,50.0,50.0,50.0,50.0,0,GAMA,2021-05-07,,,,50.0,50.0
22207,50.0,50.0,50.0,50.0,0,GAMA,2021-05-10,,,,50.0,50.0
23050,50.0,50.0,50.0,50.0,0,GAMA,2021-05-11,,,,50.0,50.0
23892,50.0,50.0,50.0,50.0,0,GAMA,2021-05-17,,,,50.0,50.0
24732,50.0,50.0,50.0,50.0,0,GAMA,2021-05-18,,,50.0,50.0,50.0
25572,50.0,50.0,50.0,50.0,0,GAMA,2021-05-19,,,50.0,50.0,50.0
26440,50.0,50.0,50.0,50.0,0,GAMA,2021-05-20,,,50.0,50.0,50.0
27296,50.0,50.0,50.0,50.0,500,GAMA,2021-05-21,,,50.0,50.0,50.0
28136,50.0,50.0,50.0,50.0,1000,GAMA,2021-05-24,,,50.0,50.0,50.0
28978,50.0,50.0,50.0,50.0,600,GAMA,2021-05-25,,,50.0,50.0,50.0
