,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123861,60.0,59.0,62.0,57.0,1664100,GDST,2020-07-01,,,,,
131282,59.0,59.0,60.0,57.0,847000,GDST,2020-07-02,,,,,
104956,55.0,58.0,60.0,55.0,417200,GDST,2020-07-03,,,,,
86815,57.0,61.0,62.0,57.0,3396200,GDST,2020-07-06,,,,,
34044,64.0,60.0,65.0,60.0,5974900,GDST,2020-07-07,,,,,
48889,56.0,60.0,61.0,56.0,876600,GDST,2020-07-08,,,,,
117284,58.0,61.0,65.0,58.0,6001700,GDST,2020-07-09,,,,,
23340,59.0,60.0,63.0,59.0,2810100,GDST,2020-07-10,,,,,59.75
15104,58.0,60.0,63.0,57.0,2179600,GDST,2020-07-13,,,,,59.80555555555556
31582,56.0,60.0,61.0,56.0,1082300,GDST,2020-07-14,,,,59.8,59.848765432098766
92587,59.0,60.0,65.0,59.0,4377600,GDST,2020-07-15,,,,59.9,59.8823731138546
21695,56.0,59.0,61.0,56.0,724900,GDST,2020-07-16,,,,59.9,59.68629019966469
107393,57.0,59.0,61.0,57.0,1355400,GDST,2020-07-17,,,,60.0,59.53378126640587
80227,58.0,59.0,60.0,58.0,409800,GDST,2020-07-20,,,,59.8,59.415163207204564
105764,59.0,59.0,60.0,58.0,245500,GDST,2020-07-21,,,,59.7,59.32290471671466
96707,59.0,58.0,60.0,58.0,81500,GDST,2020-07-22,,,,59.5,59.02892589077807
8513,58.0,60.0,62.0,58.0,2026600,GDST,2020-07-23,,,,59.4,59.244720137271834
104142,58.0,59.0,61.0,58.0,529900,GDST,2020-07-24,,,,59.3,59.19033788454476
57138,55.0,59.0,60.0,55.0,285400,GDST,2020-07-27,,,,59.2,59.14804057686815
41461,58.0,58.0,60.0,58.0,1035900,GDST,2020-07-28,,,,59.0,58.89292044867523
113995,54.0,60.0,61.0,54.0,1799400,GDST,2020-07-29,,,,59.0,59.1389381267474
82681,58.0,58.0,64.0,58.0,8102200,GDST,2020-07-30,,,,58.9,58.88584076524798
120581,58.0,57.0,60.0,55.0,1850300,GDST,2020-08-03,,,,58.7,58.466765039637316
6876,54.0,56.0,57.0,54.0,855700,GDST,2020-08-04,,,,58.4,57.918595030829024
55494,53.0,56.0,57.0,53.0,166400,GDST,2020-08-05,,,,58.1,57.492240579533686
71983,53.0,57.0,57.0,53.0,30500,GDST,2020-08-06,,,,58.0,57.38285378408175
43932,54.0,56.0,57.0,54.0,200000,GDST,2020-08-07,,,,57.6,57.0755529431747
101663,53.0,56.0,56.0,53.0,58700,GDST,2020-08-10,,,,57.3,56.83654117802477
54678,55.0,55.0,56.0,55.0,476700,GDST,2020-08-11,,,,56.9,56.428420916241485
123044,52.0,55.0,57.0,52.0,222700,GDST,2020-08-12,,,58.46666666666667,56.6,56.1109940459656
