,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120526,1395.0,1400.0,1400.0,1395.0,110100,GDYR,2020-07-01,,,,,
127947,1400.0,1465.0,1470.0,1400.0,161100,GDYR,2020-07-02,,,,,
101621,1465.0,1465.0,1465.0,1465.0,0,GDYR,2020-07-03,,,,,
84314,1415.0,1405.0,1415.0,1400.0,121200,GDYR,2020-07-06,,,,,
34045,1405.0,1405.0,1405.0,1405.0,3500,GDYR,2020-07-07,,,,,
47222,1400.0,1400.0,1400.0,1400.0,25200,GDYR,2020-07-08,,,,,
113949,1400.0,1400.0,1400.0,1400.0,1300,GDYR,2020-07-09,,,,,
23341,1380.0,1375.0,1380.0,1375.0,1100,GDYR,2020-07-10,,,,,1414.375
15105,1375.0,1360.0,1375.0,1360.0,2500,GDYR,2020-07-13,,,,,1402.2916666666667
31583,1375.0,1375.0,1375.0,1375.0,4500,GDYR,2020-07-14,,,,1405.0,1396.226851851852
89252,1375.0,1375.0,1375.0,1375.0,0,GDYR,2020-07-15,,,,1402.5,1391.5097736625514
21696,1375.0,1375.0,1375.0,1375.0,4400,GDYR,2020-07-16,,,,1393.5,1387.8409350708732
104058,1375.0,1375.0,1375.0,1375.0,0,GDYR,2020-07-17,,,,1384.5,1384.9873939440124
77726,1375.0,1375.0,1375.0,1375.0,0,GDYR,2020-07-20,,,,1381.5,1382.7679730675652
102429,1375.0,1375.0,1375.0,1375.0,0,GDYR,2020-07-21,,,,1378.5,1381.0417568303285
93372,1400.0,1380.0,1400.0,1375.0,3700,GDYR,2020-07-22,,,,1376.5,1380.8102553124777
8514,1380.0,1380.0,1380.0,1380.0,500,GDYR,2020-07-23,,,,1374.5,1380.6301985763716
100807,1380.0,1595.0,1700.0,1380.0,26900,GDYR,2020-07-24,,,,1396.5,1428.267932226067
54637,1590.0,1485.0,1590.0,1485.0,4800,GDYR,2020-07-27,,,,1409.0,1440.875058398052
41462,1480.0,1430.0,1480.0,1430.0,4300,GDYR,2020-07-28,,,,1414.5,1438.4583787540405
110660,1430.0,1450.0,1450.0,1405.0,1200,GDYR,2020-07-29,,,,1422.0,1441.023183475365
80180,1450.0,1450.0,1450.0,1405.0,1300,GDYR,2020-07-30,,,,1429.5,1443.0180315919506
117246,1405.0,1400.0,1405.0,1400.0,1100,GDYR,2020-08-03,,,,1432.0,1433.4584690159616
6877,1450.0,1450.0,1450.0,1450.0,400,GDYR,2020-08-04,,,,1439.5,1437.1343647901924
52993,1405.0,1445.0,1445.0,1385.0,1300,GDYR,2020-08-05,,,,1446.5,1438.8822837257053
69482,1440.0,1425.0,1440.0,1410.0,1900,GDYR,2020-08-06,,,,1451.0,1435.7973317866597
43099,1430.0,1425.0,1430.0,1425.0,500,GDYR,2020-08-07,,,,1455.5,1433.3979247229574
98328,1425.0,1425.0,1425.0,1425.0,0,GDYR,2020-08-10,,,,1438.5,1431.531719228967
52177,1425.0,1425.0,1425.0,1425.0,3100,GDYR,2020-08-11,,,,1432.5,1430.0802260669743
119709,1425.0,1425.0,1425.0,1425.0,0,GDYR,2020-08-12,,,1417.1666666666667,1432.0,1428.95128694098
62058,1425.0,1425.0,1425.0,1425.0,1400,GDYR,2020-08-13,,,1418.0,1429.5,1428.0732231763177
86795,1425.0,1425.0,1425.0,1425.0,100,GDYR,2020-08-14,,,1416.6666666666667,1427.0,1427.3902846926915
60414,1420.0,1420.0,1420.0,1420.0,300,GDYR,2020-08-18,,,1415.1666666666667,1429.0,1425.7479992054266
88436,1410.0,1400.0,1410.0,1400.0,600,GDYR,2020-08-19,,,1415.0,1424.0,1420.0262216042206
10162,1400.0,1440.0,1450.0,1400.0,1400,GDYR,2020-08-24,,,1416.1666666666667,1423.5,1424.464839025505
128755,1390.0,1410.0,1410.0,1390.0,700,GDYR,2020-08-25,,,1416.5,1422.0,1421.2504303531705
103242,1410.0,1410.0,1410.0,1410.0,700,GDYR,2020-08-26,,,1416.8333333333333,1420.5,1418.7503347191325
3582,1415.0,1410.0,1415.0,1410.0,1700,GDYR,2020-08-27,,,1418.0,1419.0,1416.8058158926585
78538,1410.0,1400.0,1410.0,1400.0,9300,GDYR,2020-08-28,,,1419.3333333333333,1416.5,1413.0711901387344
27461,1400.0,1400.0,1400.0,1400.0,100,GDYR,2020-08-31,,,1420.1666666666667,1414.0,1410.1664812190156
34856,1400.0,1400.0,1400.0,1400.0,0,GDYR,2020-09-01,,,1421.0,1411.5,1407.9072631703455
38994,1400.0,1400.0,1400.0,1400.0,3400,GDYR,2020-09-02,,,1421.8333333333333,1409.0,1406.1500935769354
67829,1425.0,1425.0,1425.0,1425.0,100,GDYR,2020-09-03,,,1423.5,1409.5,1410.3389616709499
12637,1420.0,1420.0,1420.0,1420.0,8000,GDYR,2020-09-04,,,1425.0,1411.5,1412.4858590774054
26642,1420.0,1400.0,1450.0,1400.0,8600,GDYR,2020-09-07,,,1425.8333333333333,1407.5,1409.711223726871
107353,1410.0,1405.0,1410.0,1405.0,2100,GDYR,2020-09-08,,,1426.6666666666667,1407.0,1408.6642851208996
121334,1405.0,1405.0,1405.0,1405.0,0,GDYR,2020-09-09,,,1427.5,1406.5,1407.8499995384775
7690,1405.0,1355.0,1405.0,1325.0,600,GDYR,2020-09-10,,,1419.5,1401.0,1396.1055551965935
17567,1355.0,1355.0,1355.0,1315.0,1300,GDYR,2020-09-11,,,1415.1666666666667,1396.5,1386.9709873751283
43915,1360.0,1375.0,1380.0,1360.0,600,GDYR,2020-09-14,,,1413.3333333333333,1394.0,1384.3107679584332
65354,1430.0,1430.0,1430.0,1430.0,500,GDYR,2020-09-15,,,1412.6666666666667,1397.0,1394.463930634337
1102,1390.0,1425.0,1425.0,1390.0,200,GDYR,2020-09-16,,,1411.8333333333333,1399.5,1401.2497238267065
55452,1420.0,1355.0,1420.0,1355.0,300,GDYR,2020-09-17,,,1410.3333333333333,1392.5,1390.9720074207717
61232,1355.0,1355.0,1355.0,1355.0,0,GDYR,2020-09-18,,,1407.1666666666667,1386.0,1382.9782279939336
71124,1355.0,1355.0,1355.0,1355.0,0,GDYR,2020-09-21,,,1404.1666666666667,1381.5,1376.7608439952817
99146,1435.0,1435.0,1435.0,1435.0,1000,GDYR,2020-09-22,,,1404.5,1384.5,1389.702878662997
76077,1435.0,1345.0,1435.0,1345.0,400,GDYR,2020-09-23,,,1401.8333333333333,1378.5,1379.7689056267754
64527,1345.0,1345.0,1345.0,1345.0,0,GDYR,2020-09-24,,,1399.1666666666667,1377.5,1372.0424821541587
95848,1345.0,1345.0,1345.0,1345.0,0,GDYR,2020-09-25,,,1396.5,1376.5,1366.0330416754568
58764,1345.0,1345.0,1345.0,1345.0,0,GDYR,2020-09-28,,,1393.8333333333333,1373.5,1361.3590324142442
15918,1345.0,1345.0,1345.0,1345.0,0,GDYR,2020-09-29,,,1391.1666666666667,1365.0,1357.7236918777455
83489,1545.0,1450.0,1665.0,1450.0,6800,GDYR,2020-09-30,,,1392.0,1367.5,1378.2295381271354
90889,1450.0,1450.0,1450.0,1450.0,1300,GDYR,2020-10-01,,,1393.0,1377.0,1394.1785296544385
67007,1450.0,1450.0,1450.0,1450.0,0,GDYR,2020-10-02,,,1394.6666666666667,1386.5,1406.583300842341
11815,1450.0,1450.0,1450.0,1450.0,0,GDYR,2020-10-05,,,1395.0,1396.0,1416.2314562107097
118886,1450.0,1450.0,1450.0,1450.0,1000,GDYR,2020-10-06,,,1396.3333333333333,1397.5,1423.7355770527743
20873,1450.0,1450.0,1450.0,1450.0,0,GDYR,2020-10-07,,,1397.6666666666667,1408.0,1429.5721154854912
19217,1395.0,1395.0,1395.0,1395.0,2000,GDYR,2020-10-08,,,1397.1666666666667,1413.0,1421.889423155382
109012,1395.0,1395.0,1395.0,1395.0,0,GDYR,2020-10-09,,,1397.0,1418.0,1415.9139957875193
28281,1400.0,1400.0,1400.0,1400.0,300,GDYR,2020-10-12,,,1397.0,1423.5,1412.3775522791816
75252,1400.0,1400.0,1400.0,1400.0,0,GDYR,2020-10-13,,,1397.0,1429.0,1409.6269851060301
105701,1400.0,1400.0,1400.0,1400.0,0,GDYR,2020-10-14,,,1397.0,1424.0,1407.4876550824679
14282,1400.0,1400.0,1400.0,1400.0,0,GDYR,2020-10-15,,,1396.1666666666667,1419.0,1405.8237317308083
5230,1400.0,1400.0,1400.0,1400.0,0,GDYR,2020-10-16,,,1395.5,1414.0,1404.529569123962
277,1400.0,1400.0,1400.0,1400.0,100,GDYR,2020-10-19,,,1395.5,1409.0,1403.522998207526
123817,1400.0,1400.0,1400.0,1400.0,0,GDYR,2020-10-20,,,1395.3333333333333,1404.0,1402.7401097169645
73602,1400.0,1400.0,1400.0,1400.0,0,GDYR,2020-10-21,,,1395.1666666666667,1399.0,1402.131196446528
29936,1355.0,1355.0,1355.0,1355.0,1000,GDYR,2020-10-22,,,1395.1666666666667,1395.0,1391.6575972361884
