,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120530,280.0,270.0,280.0,270.0,2600,GGRP,2020-07-01,,,,,
127951,276.0,274.0,276.0,270.0,57000,GGRP,2020-07-02,,,,,
101625,288.0,272.0,288.0,272.0,8900,GGRP,2020-07-03,,,,,
84318,270.0,262.0,272.0,256.0,67600,GGRP,2020-07-06,,,,,
34049,262.0,268.0,268.0,262.0,10400,GGRP,2020-07-07,,,,,
47226,268.0,258.0,270.0,252.0,44600,GGRP,2020-07-08,,,,,
113953,260.0,262.0,262.0,260.0,15800,GGRP,2020-07-09,,,,,
23345,272.0,262.0,272.0,260.0,12600,GGRP,2020-07-10,,,,,266.0
15109,274.0,262.0,274.0,260.0,12100,GGRP,2020-07-13,,,,,265.1111111111111
31587,276.0,264.0,276.0,260.0,21200,GGRP,2020-07-14,,,,265.4,264.8641975308642
89256,266.0,264.0,266.0,264.0,4900,GGRP,2020-07-15,,,,264.8,264.6721536351166
21700,264.0,264.0,266.0,262.0,28100,GGRP,2020-07-16,,,,263.8,264.52278616064626
104062,262.0,290.0,300.0,262.0,20100,GGRP,2020-07-17,,,,265.6,270.1843892360582
77730,294.0,288.0,294.0,286.0,35200,GGRP,2020-07-20,,,,268.2,274.1434138502675
102433,288.0,284.0,288.0,272.0,6300,GGRP,2020-07-21,,,,269.8,276.3337663279858
93376,288.0,288.0,300.0,280.0,9000,GGRP,2020-07-22,,,,272.8,278.9262626995445
8518,288.0,272.0,290.0,272.0,33800,GGRP,2020-07-23,,,,273.8,277.38709321075686
100811,272.0,272.0,272.0,272.0,500,GGRP,2020-07-24,,,,274.8,276.1899613861442
54641,272.0,274.0,274.0,272.0,3400,GGRP,2020-07-27,,,,276.0,275.70330330033437
41466,276.0,296.0,296.0,274.0,10400,GGRP,2020-07-28,,,,279.2,280.2136803447045
110664,296.0,294.0,296.0,280.0,1500,GGRP,2020-07-29,,,,282.2,283.2773069347702
80184,280.0,276.0,280.0,276.0,7000,GGRP,2020-07-30,,,,283.4,281.66012761593237
117250,274.0,260.0,274.0,260.0,7300,GGRP,2020-08-03,,,,280.4,276.84676592350297
6881,260.0,260.0,260.0,260.0,8900,GGRP,2020-08-04,,,,277.6,273.10304016272454
52997,280.0,280.0,280.0,280.0,200,GGRP,2020-08-05,,,,277.2,274.6356979043413
69486,270.0,288.0,296.0,270.0,1500,GGRP,2020-08-06,,,,277.2,277.6055428144877
43103,274.0,272.0,288.0,272.0,4100,GGRP,2020-08-07,,,,277.2,276.3598666334904
98332,272.0,270.0,272.0,270.0,19700,GGRP,2020-08-10,,,,277.0,274.94656293715923
52181,268.0,284.0,292.0,268.0,3800,GGRP,2020-08-11,,,,278.0,276.9584378400127
119713,268.0,288.0,290.0,268.0,9800,GGRP,2020-08-12,,,273.93333333333334,277.2,279.4121183200099
62062,292.0,288.0,292.0,270.0,3000,GGRP,2020-08-13,,,274.53333333333336,276.6,281.32053647111877
86799,294.0,272.0,294.0,272.0,1200,GGRP,2020-08-14,,,274.46666666666664,276.2,279.2493061442035
60418,272.0,288.0,290.0,272.0,1000,GGRP,2020-08-18,,,275.0,279.0,281.19390477882496
88440,292.0,292.0,292.0,286.0,41200,GGRP,2020-08-19,,,276.0,282.2,283.5952592724194
10166,292.0,280.0,292.0,280.0,5700,GGRP,2020-08-24,,,276.4,282.2,282.7963127674373
128759,296.0,336.0,340.0,280.0,59400,GGRP,2020-08-25,,,279.0,287.0,294.6193543746735
103246,336.0,334.0,336.0,320.0,20200,GGRP,2020-08-26,,,281.4,293.2,303.3706089580794
3586,338.0,312.0,368.0,312.0,19400,GGRP,2020-08-27,,,283.06666666666666,297.4,305.28825141183955
78542,312.0,320.0,320.0,296.0,34800,GGRP,2020-08-28,,,285.0,301.0,308.5575288758752
27465,310.0,336.0,340.0,310.0,6300,GGRP,2020-08-31,,,287.4,305.8,314.6558557923474
34860,334.0,314.0,342.0,314.0,5600,GGRP,2020-09-01,,,289.06666666666666,308.4,314.5101100607146
38998,296.0,332.0,344.0,296.0,5600,GGRP,2020-09-02,,,291.3333333333333,314.4,318.39675226944473
67833,332.0,320.0,340.0,320.0,3100,GGRP,2020-09-03,,,292.3333333333333,317.6,318.75302954290146
12641,320.0,310.0,344.0,300.0,41000,GGRP,2020-09-04,,,293.06666666666666,319.4,316.80791186670115
26646,292.0,308.0,310.0,290.0,20300,GGRP,2020-09-07,,,293.8666666666667,322.2,314.85059811854535
107357,290.0,330.0,346.0,290.0,3400,GGRP,2020-09-08,,,295.26666666666665,321.6,318.2171318699797
121338,346.0,340.0,360.0,310.0,64800,GGRP,2020-09-09,,,297.53333333333336,322.2,323.05776923220645
7694,340.0,332.0,340.0,332.0,600,GGRP,2020-09-10,,,299.53333333333336,324.2,325.04493162504946
17571,366.0,318.0,366.0,310.0,9700,GGRP,2020-09-11,,,301.0,324.0,323.47939126392737
43919,338.0,314.0,338.0,296.0,26500,GGRP,2020-09-14,,,301.6,321.8,321.3728598719435
65358,300.0,308.0,314.0,294.0,4300,GGRP,2020-09-15,,,302.06666666666666,321.2,318.40111323373384
1106,330.0,290.0,330.0,290.0,3200,GGRP,2020-09-16,,,302.53333333333336,317.0,312.0897547373485
