,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123875,50.0,50.0,50.0,50.0,0,GOLL,2020-07-01,,,,,
131296,50.0,50.0,50.0,50.0,0,GOLL,2020-07-02,,,,,
104970,50.0,50.0,50.0,50.0,0,GOLL,2020-07-03,,,,,
86829,50.0,50.0,50.0,50.0,0,GOLL,2020-07-06,,,,,
34058,50.0,50.0,50.0,50.0,0,GOLL,2020-07-07,,,,,
48903,50.0,50.0,50.0,50.0,0,GOLL,2020-07-08,,,,,
117298,50.0,50.0,50.0,50.0,0,GOLL,2020-07-09,,,,,
23354,50.0,50.0,50.0,50.0,0,GOLL,2020-07-10,,,,,50.0
15118,50.0,50.0,50.0,50.0,0,GOLL,2020-07-13,,,,,50.0
31596,50.0,50.0,50.0,50.0,0,GOLL,2020-07-14,,,,50.0,50.0
92601,50.0,50.0,50.0,50.0,0,GOLL,2020-07-15,,,,50.0,50.0
21709,50.0,50.0,50.0,50.0,0,GOLL,2020-07-16,,,,50.0,50.0
107407,50.0,50.0,50.0,50.0,0,GOLL,2020-07-17,,,,50.0,50.0
80241,50.0,50.0,50.0,50.0,0,GOLL,2020-07-20,,,,50.0,50.0
105778,50.0,50.0,50.0,50.0,0,GOLL,2020-07-21,,,,50.0,50.0
96721,50.0,50.0,50.0,50.0,0,GOLL,2020-07-22,,,,50.0,50.0
8527,50.0,50.0,50.0,50.0,0,GOLL,2020-07-23,,,,50.0,50.0
104156,50.0,50.0,50.0,50.0,0,GOLL,2020-07-24,,,,50.0,50.0
57152,50.0,50.0,50.0,50.0,0,GOLL,2020-07-27,,,,50.0,50.0
41475,50.0,50.0,50.0,50.0,0,GOLL,2020-07-28,,,,50.0,50.0
114009,50.0,50.0,50.0,50.0,0,GOLL,2020-07-29,,,,50.0,50.0
82695,50.0,50.0,50.0,50.0,0,GOLL,2020-07-30,,,,50.0,50.0
120595,50.0,50.0,50.0,50.0,0,GOLL,2020-08-03,,,,50.0,50.0
6890,50.0,50.0,50.0,50.0,0,GOLL,2020-08-04,,,,50.0,50.0
55508,50.0,50.0,50.0,50.0,0,GOLL,2020-08-05,,,,50.0,50.0
71997,50.0,50.0,50.0,50.0,0,GOLL,2020-08-06,,,,50.0,50.0
43946,50.0,50.0,50.0,50.0,0,GOLL,2020-08-07,,,,50.0,50.0
101677,50.0,50.0,50.0,50.0,0,GOLL,2020-08-10,,,,50.0,50.0
54692,50.0,50.0,50.0,50.0,0,GOLL,2020-08-11,,,,50.0,50.0
123058,50.0,50.0,50.0,50.0,0,GOLL,2020-08-12,,,50.0,50.0,50.0
64573,50.0,50.0,50.0,50.0,0,GOLL,2020-08-13,,,50.0,50.0,50.0
90144,50.0,50.0,50.0,50.0,0,GOLL,2020-08-14,,,50.0,50.0,50.0
62929,50.0,50.0,50.0,50.0,0,GOLL,2020-08-18,,,50.0,50.0,50.0
91785,50.0,50.0,50.0,50.0,0,GOLL,2020-08-19,,,50.0,50.0,50.0
10175,50.0,50.0,50.0,50.0,0,GOLL,2020-08-24,,,50.0,50.0,50.0
132104,50.0,50.0,50.0,50.0,0,GOLL,2020-08-25,,,50.0,50.0,50.0
106591,50.0,50.0,50.0,50.0,0,GOLL,2020-08-26,,,50.0,50.0,50.0
3595,50.0,50.0,50.0,50.0,0,GOLL,2020-08-27,,,50.0,50.0,50.0
81053,50.0,50.0,50.0,50.0,0,GOLL,2020-08-28,,,50.0,50.0,50.0
27474,50.0,50.0,50.0,50.0,0,GOLL,2020-08-31,,,50.0,50.0,50.0
34869,50.0,50.0,50.0,50.0,0,GOLL,2020-09-01,,,50.0,50.0,50.0
39007,50.0,50.0,50.0,50.0,0,GOLL,2020-09-02,,,50.0,50.0,50.0
70344,50.0,50.0,50.0,50.0,0,GOLL,2020-09-03,,,50.0,50.0,50.0
12650,50.0,50.0,50.0,50.0,0,GOLL,2020-09-04,,,50.0,50.0,50.0
26655,50.0,50.0,50.0,50.0,0,GOLL,2020-09-07,,,50.0,50.0,50.0
110702,50.0,50.0,50.0,50.0,0,GOLL,2020-09-08,,,50.0,50.0,50.0
124683,50.0,50.0,50.0,50.0,0,GOLL,2020-09-09,,,50.0,50.0,50.0
7703,50.0,50.0,50.0,50.0,0,GOLL,2020-09-10,,,50.0,50.0,50.0
17580,50.0,50.0,50.0,50.0,0,GOLL,2020-09-11,,,50.0,50.0,50.0
44762,50.0,50.0,50.0,50.0,0,GOLL,2020-09-14,,,50.0,50.0,50.0
67869,50.0,50.0,50.0,50.0,0,GOLL,2020-09-15,,,50.0,50.0,50.0
1115,50.0,50.0,50.0,50.0,0,GOLL,2020-09-16,,,50.0,50.0,50.0
57967,50.0,50.0,50.0,50.0,0,GOLL,2020-09-17,,,50.0,50.0,50.0
63747,50.0,50.0,50.0,50.0,0,GOLL,2020-09-18,,,50.0,50.0,50.0
73639,50.0,50.0,50.0,50.0,0,GOLL,2020-09-21,,,50.0,50.0,50.0
102495,50.0,50.0,50.0,50.0,0,GOLL,2020-09-22,,,50.0,50.0,50.0
78592,50.0,50.0,50.0,50.0,0,GOLL,2020-09-23,,,50.0,50.0,50.0
67042,50.0,50.0,50.0,50.0,0,GOLL,2020-09-24,,,50.0,50.0,50.0
99197,50.0,50.0,50.0,50.0,0,GOLL,2020-09-25,,,50.0,50.0,50.0
61279,50.0,50.0,50.0,50.0,0,GOLL,2020-09-28,,,50.0,50.0,50.0
15931,50.0,50.0,50.0,50.0,0,GOLL,2020-09-29,,,50.0,50.0,50.0
86004,50.0,50.0,50.0,50.0,0,GOLL,2020-09-30,,,50.0,50.0,50.0
94238,50.0,50.0,50.0,50.0,0,GOLL,2020-10-01,,,50.0,50.0,50.0
69522,50.0,50.0,50.0,50.0,0,GOLL,2020-10-02,,,50.0,50.0,50.0
11828,50.0,50.0,50.0,50.0,0,GOLL,2020-10-05,,,50.0,50.0,50.0
122235,50.0,50.0,50.0,50.0,0,GOLL,2020-10-06,,,50.0,50.0,50.0
20886,50.0,50.0,50.0,50.0,0,GOLL,2020-10-07,,,50.0,50.0,50.0
