,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
87546,80.0,232.0,240.0,80.0,46857400,GPSO-W,2021-09-06,,,,,
88406,232.0,145.0,248.0,123.0,51829000,GPSO-W,2021-09-07,,,,,
89268,140.0,112.0,164.0,100.0,31733900,GPSO-W,2021-09-08,,,,,
90135,103.0,92.0,112.0,91.0,8550000,GPSO-W,2021-09-09,,,,,
91003,92.0,77.0,95.0,72.0,5884100,GPSO-W,2021-09-10,,,,,
91871,70.0,100.0,125.0,66.0,22461000,GPSO-W,2021-09-13,,,,,
92739,101.0,93.0,110.0,91.0,4104500,GPSO-W,2021-09-14,,,,,
93607,94.0,77.0,97.0,76.0,12895800,GPSO-W,2021-09-15,,,,,116.0
94475,78.0,80.0,84.0,77.0,4099000,GPSO-W,2021-09-16,,,,,108.0
95343,80.0,78.0,82.0,77.0,2638300,GPSO-W,2021-09-17,,,,108.6,101.33333333333333
96211,78.0,74.0,81.0,72.0,1622900,GPSO-W,2021-09-20,,,,92.8,95.25925925925925
97079,74.0,73.0,76.0,72.0,1656400,GPSO-W,2021-09-21,,,,85.6,90.31275720164608
97948,73.0,72.0,77.0,72.0,1651900,GPSO-W,2021-09-22,,,,81.6,86.24325560128028
98817,73.0,85.0,98.0,70.0,28518300,GPSO-W,2021-09-23,,,,80.9,85.96697657877355
99686,86.0,73.0,89.0,72.0,9250600,GPSO-W,2021-09-24,,,,80.5,83.08542622793499
100554,74.0,66.0,75.0,64.0,4120000,GPSO-W,2021-09-27,,,,77.1,79.28866484394943
101422,67.0,65.0,80.0,61.0,2042000,GPSO-W,2021-09-28,,,,74.3,76.11340598973845
102290,65.0,64.0,69.0,60.0,2270100,GPSO-W,2021-09-29,,,,73.0,73.4215379920188
103158,64.0,62.0,64.0,59.0,723000,GPSO-W,2021-09-30,,,,71.2,70.88341843823684
104026,61.0,65.0,65.0,60.0,1675700,GPSO-W,2021-10-01,,,,69.9,69.57599211862866
104893,65.0,65.0,73.0,63.0,3380100,GPSO-W,2021-10-04,,,,69.0,68.55910498115563
105760,65.0,64.0,68.0,61.0,1019100,GPSO-W,2021-10-05,,,,68.1,67.54597054089882
106627,64.0,62.0,65.0,59.0,1232600,GPSO-W,2021-10-06,,,,67.1,66.3135326429213
107494,62.0,62.0,63.0,60.0,339000,GPSO-W,2021-10-07,,,,64.8,65.35496983338324
108361,62.0,61.0,64.0,60.0,948300,GPSO-W,2021-10-08,,,,63.6,64.38719875929807
109228,61.0,60.0,64.0,59.0,950300,GPSO-W,2021-10-11,,,,63.0,63.412265701676276
110094,60.0,56.0,61.0,56.0,674800,GPSO-W,2021-10-12,,,,62.1,61.76509554574822
110960,56.0,57.0,59.0,55.0,177000,GPSO-W,2021-10-13,,,,61.4,60.70618542447084
111826,56.0,52.0,56.0,51.0,579200,GPSO-W,2021-10-14,,,,60.4,58.77147755236621
112692,51.0,54.0,64.0,51.0,1535800,GPSO-W,2021-10-15,,,79.26666666666667,59.3,57.71114920739594
113558,54.0,55.0,57.0,52.0,209400,GPSO-W,2021-10-18,,,73.36666666666666,58.3,57.1086716057524
114424,53.0,54.0,55.0,53.0,486200,GPSO-W,2021-10-19,,,70.33333333333333,57.3,56.417855693362974
115290,54.0,57.0,67.0,53.0,5179700,GPSO-W,2021-10-21,,,68.5,56.8,56.547221094837866
116155,57.0,61.0,64.0,57.0,2698200,GPSO-W,2021-10-22,,,67.46666666666667,56.7,57.53672751820723
117020,61.0,57.0,64.0,54.0,1175500,GPSO-W,2021-10-25,,,66.8,56.3,57.4174547363834
117888,55.0,57.0,60.0,54.0,854900,GPSO-W,2021-10-26,,,65.36666666666666,56.0,57.32468701718709
118756,55.0,58.0,61.0,55.0,902900,GPSO-W,2021-10-27,,,64.2,56.2,57.47475656892329
119624,60.0,57.0,60.0,56.0,453500,GPSO-W,2021-10-28,,,63.53333333333333,56.2,57.36925510916256
120492,58.0,57.0,59.0,57.0,505600,GPSO-W,2021-10-29,,,62.766666666666666,56.7,57.287198418237544
121360,57.0,58.0,60.0,56.0,159700,GPSO-W,2021-11-01,,,62.1,57.1,57.445598769740315
122227,57.0,56.0,57.0,54.0,639600,GPSO-W,2021-11-02,,,61.5,57.2,57.124354598686914
123094,54.0,53.0,56.0,52.0,721800,GPSO-W,2021-11-03,,,60.833333333333336,57.1,56.207831354534264
123961,53.0,54.0,56.0,53.0,688600,GPSO-W,2021-11-04,,,60.233333333333334,56.8,55.71720216463776
124828,54.0,52.0,55.0,51.0,739900,GPSO-W,2021-11-05,,,59.13333333333333,55.9,54.8911572391627
125695,53.0,53.0,55.0,52.0,387600,GPSO-W,2021-11-08,,,58.46666666666667,55.5,54.47090007490432
126561,53.0,53.0,55.0,53.0,103800,GPSO-W,2021-11-09,,,58.03333333333333,55.1,54.14403339159225
127427,54.0,53.0,54.0,52.0,396700,GPSO-W,2021-11-10,,,57.63333333333333,54.6,53.889803749016195
128293,52.0,52.0,53.0,51.0,120400,GPSO-W,2021-11-11,,,57.233333333333334,54.1,53.46984736034593
129158,52.0,51.0,53.0,51.0,277300,GPSO-W,2021-11-12,,,56.86666666666667,53.5,52.92099239138017
130025,51.0,49.0,52.0,49.0,534500,GPSO-W,2021-11-15,,,56.333333333333336,52.6,52.04966074885124
