,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121378,77.0,81.0,81.0,77.0,3600,GTBO,2020-07-01,,,,,
128799,77.0,81.0,81.0,76.0,6300,GTBO,2020-07-02,,,,,
102473,85.0,80.0,85.0,78.0,51300,GTBO,2020-07-03,,,,,
85166,80.0,80.0,80.0,80.0,0,GTBO,2020-07-06,,,,,
34063,86.0,83.0,86.0,77.0,700,GTBO,2020-07-07,,,,,
48074,83.0,83.0,83.0,83.0,0,GTBO,2020-07-08,,,,,
114801,85.0,83.0,85.0,78.0,28400,GTBO,2020-07-09,,,,,
23359,78.0,79.0,81.0,78.0,1500,GTBO,2020-07-10,,,,,81.25
15123,79.0,74.0,83.0,74.0,109000,GTBO,2020-07-13,,,,,79.63888888888889
31601,77.0,75.0,79.0,75.0,125200,GTBO,2020-07-14,,,,79.9,78.60802469135803
90104,75.0,75.0,75.0,75.0,0,GTBO,2020-07-15,,,,79.3,77.80624142661179
21714,75.0,75.0,75.0,75.0,0,GTBO,2020-07-16,,,,78.7,77.18263222069805
104910,75.0,75.0,75.0,75.0,0,GTBO,2020-07-17,,,,78.2,76.6976028383207
78578,75.0,75.0,75.0,75.0,0,GTBO,2020-07-20,,,,77.7,76.32035776313833
103281,75.0,75.0,75.0,75.0,0,GTBO,2020-07-21,,,,76.9,76.02694492688536
94224,75.0,75.0,75.0,75.0,0,GTBO,2020-07-22,,,,76.1,75.79873494313306
8532,75.0,75.0,75.0,75.0,0,GTBO,2020-07-23,,,,75.3,75.62123828910349
101659,75.0,75.0,75.0,75.0,0,GTBO,2020-07-24,,,,74.9,75.48318533596938
55489,75.0,75.0,75.0,75.0,0,GTBO,2020-07-27,,,,75.0,75.37581081686507
41480,75.0,75.0,75.0,75.0,0,GTBO,2020-07-28,,,,75.0,75.29229730200616
111512,75.0,75.0,75.0,75.0,0,GTBO,2020-07-29,,,,75.0,75.22734234600479
81032,75.0,75.0,75.0,75.0,0,GTBO,2020-07-30,,,,75.0,75.1768218246704
118098,75.0,75.0,75.0,75.0,0,GTBO,2020-08-03,,,,75.0,75.13752808585475
6895,75.0,75.0,75.0,75.0,0,GTBO,2020-08-04,,,,75.0,75.10696628899814
53845,75.0,75.0,75.0,75.0,0,GTBO,2020-08-05,,,,75.0,75.0831960025541
70334,75.0,75.0,75.0,75.0,0,GTBO,2020-08-06,,,,75.0,75.06470800198653
43951,75.0,75.0,75.0,75.0,0,GTBO,2020-08-07,,,,75.0,75.05032844598952
99180,75.0,75.0,75.0,75.0,0,GTBO,2020-08-10,,,,75.0,75.03914434688073
53029,75.0,75.0,75.0,75.0,0,GTBO,2020-08-11,,,,75.0,75.03044560312946
120561,75.0,75.0,75.0,75.0,0,GTBO,2020-08-12,,,76.63333333333334,75.0,75.02367991354514
62910,75.0,75.0,75.0,75.0,0,GTBO,2020-08-13,,,76.43333333333334,75.0,75.0184177105351
87647,75.0,75.0,75.0,75.0,0,GTBO,2020-08-14,,,76.23333333333333,75.0,75.01432488597175
61266,75.0,75.0,75.0,75.0,0,GTBO,2020-08-18,,,76.06666666666666,75.0,75.01114157797802
89288,75.0,75.0,75.0,75.0,0,GTBO,2020-08-19,,,75.9,75.0,75.00866567176068
10180,75.0,75.0,75.0,75.0,0,GTBO,2020-08-24,,,75.63333333333334,75.0,75.00673996692497
129607,75.0,75.0,75.0,75.0,0,GTBO,2020-08-25,,,75.36666666666666,75.0,75.00524219649719
104094,75.0,75.0,75.0,75.0,0,GTBO,2020-08-26,,,75.1,75.0,75.00407726394226
3600,75.0,75.0,75.0,75.0,0,GTBO,2020-08-27,,,74.96666666666667,75.0,75.00317120528842
