,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
305,50.0,50.0,50.0,50.0,0,HADE,2021-04-01,,,,,
1145,50.0,50.0,50.0,50.0,600,HADE,2021-04-05,,,,,
1985,50.0,50.0,50.0,50.0,50000,HADE,2021-04-06,,,,,
2825,50.0,50.0,50.0,50.0,0,HADE,2021-04-07,,,,,
3667,50.0,50.0,50.0,50.0,0,HADE,2021-04-08,,,,,
4511,50.0,50.0,50.0,50.0,700,HADE,2021-04-09,,,,,
5354,50.0,50.0,50.0,50.0,100,HADE,2021-04-12,,,,,
6198,50.0,50.0,50.0,50.0,0,HADE,2021-04-13,,,,,50.0
7042,50.0,50.0,50.0,50.0,0,HADE,2021-04-14,,,,,50.0
7887,50.0,50.0,50.0,50.0,500,HADE,2021-04-15,,,,50.0,50.0
8731,50.0,50.0,50.0,50.0,300,HADE,2021-04-16,,,,50.0,50.0
9575,50.0,50.0,50.0,50.0,600,HADE,2021-04-19,,,,50.0,50.0
10419,50.0,50.0,50.0,50.0,50000,HADE,2021-04-20,,,,50.0,50.0
11263,50.0,50.0,50.0,50.0,0,HADE,2021-04-21,,,,50.0,50.0
12107,50.0,50.0,50.0,50.0,0,HADE,2021-04-22,,,,50.0,50.0
12951,50.0,50.0,50.0,50.0,100,HADE,2021-04-23,,,,50.0,50.0
13794,50.0,50.0,50.0,50.0,10100,HADE,2021-04-26,,,,50.0,50.0
14637,50.0,50.0,50.0,50.0,0,HADE,2021-04-27,,,,50.0,50.0
15481,50.0,50.0,50.0,50.0,0,HADE,2021-04-28,,,,50.0,50.0
16325,50.0,50.0,50.0,50.0,700,HADE,2021-04-29,,,,50.0,50.0
17169,50.0,50.0,50.0,50.0,6600,HADE,2021-04-30,,,,50.0,50.0
18012,50.0,50.0,50.0,50.0,0,HADE,2021-05-03,,,,50.0,50.0
18855,50.0,50.0,50.0,50.0,200,HADE,2021-05-04,,,,50.0,50.0
19697,50.0,50.0,50.0,50.0,100,HADE,2021-05-05,,,,50.0,50.0
20541,50.0,50.0,50.0,50.0,5800,HADE,2021-05-06,,,,50.0,50.0
21385,50.0,50.0,50.0,50.0,10000,HADE,2021-05-07,,,,50.0,50.0
22229,50.0,50.0,50.0,50.0,1800,HADE,2021-05-10,,,,50.0,50.0
23072,50.0,50.0,50.0,50.0,300,HADE,2021-05-11,,,,50.0,50.0
23914,50.0,50.0,50.0,50.0,0,HADE,2021-05-17,,,,50.0,50.0
24754,50.0,50.0,50.0,50.0,200,HADE,2021-05-18,,,50.0,50.0,50.0
25594,50.0,50.0,50.0,50.0,0,HADE,2021-05-19,,,50.0,50.0,50.0
26466,50.0,50.0,50.0,50.0,0,HADE,2021-05-20,,,50.0,50.0,50.0
27318,50.0,50.0,50.0,50.0,300,HADE,2021-05-21,,,50.0,50.0,50.0
28158,50.0,50.0,50.0,50.0,100,HADE,2021-05-24,,,50.0,50.0,50.0
29000,50.0,50.0,50.0,50.0,10100,HADE,2021-05-25,,,50.0,50.0,50.0
