,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121384,120.0,120.0,120.0,120.0,0,HDTX,2020-07-01,,,,,
128805,120.0,120.0,120.0,120.0,0,HDTX,2020-07-02,,,,,
102479,120.0,120.0,120.0,120.0,0,HDTX,2020-07-03,,,,,
85172,120.0,120.0,120.0,120.0,0,HDTX,2020-07-06,,,,,
34069,120.0,120.0,120.0,120.0,0,HDTX,2020-07-07,,,,,
48080,120.0,120.0,120.0,120.0,0,HDTX,2020-07-08,,,,,
114807,120.0,120.0,120.0,120.0,0,HDTX,2020-07-09,,,,,
23365,120.0,120.0,120.0,120.0,0,HDTX,2020-07-10,,,,,120.0
15129,120.0,120.0,120.0,120.0,0,HDTX,2020-07-13,,,,,120.0
31607,120.0,120.0,120.0,120.0,0,HDTX,2020-07-14,,,,120.0,120.0
90110,120.0,120.0,120.0,120.0,0,HDTX,2020-07-15,,,,120.0,120.0
21720,120.0,120.0,120.0,120.0,0,HDTX,2020-07-16,,,,120.0,120.0
104916,120.0,120.0,120.0,120.0,0,HDTX,2020-07-17,,,,120.0,120.0
78584,120.0,120.0,120.0,120.0,0,HDTX,2020-07-20,,,,120.0,120.0
103287,120.0,120.0,120.0,120.0,0,HDTX,2020-07-21,,,,120.0,120.0
94230,120.0,120.0,120.0,120.0,0,HDTX,2020-07-22,,,,120.0,120.0
8538,120.0,120.0,120.0,120.0,0,HDTX,2020-07-23,,,,120.0,120.0
101665,120.0,120.0,120.0,120.0,0,HDTX,2020-07-24,,,,120.0,120.0
55495,120.0,120.0,120.0,120.0,0,HDTX,2020-07-27,,,,120.0,120.0
41486,120.0,120.0,120.0,120.0,0,HDTX,2020-07-28,,,,120.0,120.0
111518,120.0,120.0,120.0,120.0,0,HDTX,2020-07-29,,,,120.0,120.0
81038,120.0,120.0,120.0,120.0,0,HDTX,2020-07-30,,,,120.0,120.0
118104,120.0,120.0,120.0,120.0,0,HDTX,2020-08-03,,,,120.0,120.0
6901,120.0,120.0,120.0,120.0,0,HDTX,2020-08-04,,,,120.0,120.0
53851,120.0,120.0,120.0,120.0,0,HDTX,2020-08-05,,,,120.0,120.0
70340,120.0,120.0,120.0,120.0,0,HDTX,2020-08-06,,,,120.0,120.0
43957,120.0,120.0,120.0,120.0,0,HDTX,2020-08-07,,,,120.0,120.0
99186,120.0,120.0,120.0,120.0,0,HDTX,2020-08-10,,,,120.0,120.0
53035,120.0,120.0,120.0,120.0,0,HDTX,2020-08-11,,,,120.0,120.0
120567,120.0,120.0,120.0,120.0,0,HDTX,2020-08-12,,,120.0,120.0,120.0
62916,120.0,120.0,120.0,120.0,0,HDTX,2020-08-13,,,120.0,120.0,120.0
87653,120.0,120.0,120.0,120.0,0,HDTX,2020-08-14,,,120.0,120.0,120.0
61272,120.0,120.0,120.0,120.0,0,HDTX,2020-08-18,,,120.0,120.0,120.0
89294,120.0,120.0,120.0,120.0,0,HDTX,2020-08-19,,,120.0,120.0,120.0
10186,120.0,120.0,120.0,120.0,0,HDTX,2020-08-24,,,120.0,120.0,120.0
129613,120.0,120.0,120.0,120.0,0,HDTX,2020-08-25,,,120.0,120.0,120.0
104100,120.0,120.0,120.0,120.0,0,HDTX,2020-08-26,,,120.0,120.0,120.0
3606,120.0,120.0,120.0,120.0,0,HDTX,2020-08-27,,,120.0,120.0,120.0
79396,120.0,120.0,120.0,120.0,0,HDTX,2020-08-28,,,120.0,120.0,120.0
27485,120.0,120.0,120.0,120.0,0,HDTX,2020-08-31,,,120.0,120.0,120.0
34880,120.0,120.0,120.0,120.0,0,HDTX,2020-09-01,,,120.0,120.0,120.0
39018,120.0,120.0,120.0,120.0,0,HDTX,2020-09-02,,,120.0,120.0,120.0
68687,120.0,120.0,120.0,120.0,0,HDTX,2020-09-03,,,120.0,120.0,120.0
12661,120.0,120.0,120.0,120.0,0,HDTX,2020-09-04,,,120.0,120.0,120.0
26666,120.0,120.0,120.0,120.0,0,HDTX,2020-09-07,,,120.0,120.0,120.0
108211,120.0,120.0,120.0,120.0,0,HDTX,2020-09-08,,,120.0,120.0,120.0
122192,120.0,120.0,120.0,120.0,0,HDTX,2020-09-09,,,120.0,120.0,120.0
7714,120.0,120.0,120.0,120.0,0,HDTX,2020-09-10,,,120.0,120.0,120.0
17591,120.0,120.0,120.0,120.0,0,HDTX,2020-09-11,,,120.0,120.0,120.0
44773,120.0,120.0,120.0,120.0,0,HDTX,2020-09-14,,,120.0,120.0,120.0
66212,120.0,120.0,120.0,120.0,0,HDTX,2020-09-15,,,120.0,120.0,120.0
1126,120.0,120.0,120.0,120.0,0,HDTX,2020-09-16,,,120.0,120.0,120.0
56310,120.0,120.0,120.0,120.0,0,HDTX,2020-09-17,,,120.0,120.0,120.0
62090,120.0,120.0,120.0,120.0,0,HDTX,2020-09-18,,,120.0,120.0,120.0
71982,120.0,120.0,120.0,120.0,0,HDTX,2020-09-21,,,120.0,120.0,120.0
100004,120.0,120.0,120.0,120.0,0,HDTX,2020-09-22,,,120.0,120.0,120.0
76935,120.0,120.0,120.0,120.0,0,HDTX,2020-09-23,,,120.0,120.0,120.0
65385,120.0,120.0,120.0,120.0,0,HDTX,2020-09-24,,,120.0,120.0,120.0
96706,120.0,120.0,120.0,120.0,0,HDTX,2020-09-25,,,120.0,120.0,120.0
59622,120.0,120.0,120.0,120.0,0,HDTX,2020-09-28,,,120.0,120.0,120.0
15942,120.0,120.0,120.0,120.0,0,HDTX,2020-09-29,,,120.0,120.0,120.0
84347,120.0,120.0,120.0,120.0,0,HDTX,2020-09-30,,,120.0,120.0,120.0
91747,120.0,120.0,120.0,120.0,0,HDTX,2020-10-01,,,120.0,120.0,120.0
67865,120.0,120.0,120.0,120.0,0,HDTX,2020-10-02,,,120.0,120.0,120.0
11839,120.0,120.0,120.0,120.0,0,HDTX,2020-10-05,,,120.0,120.0,120.0
119744,120.0,120.0,120.0,120.0,0,HDTX,2020-10-06,,,120.0,120.0,120.0
20897,120.0,120.0,120.0,120.0,0,HDTX,2020-10-07,,,120.0,120.0,120.0
19241,120.0,120.0,120.0,120.0,0,HDTX,2020-10-08,,,120.0,120.0,120.0
109870,120.0,120.0,120.0,120.0,0,HDTX,2020-10-09,,,120.0,120.0,120.0
28305,120.0,120.0,120.0,120.0,0,HDTX,2020-10-12,,,120.0,120.0,120.0
76110,120.0,120.0,120.0,120.0,0,HDTX,2020-10-13,,,120.0,120.0,120.0
106559,120.0,120.0,120.0,120.0,0,HDTX,2020-10-14,,,120.0,120.0,120.0
14306,120.0,120.0,120.0,120.0,0,HDTX,2020-10-15,,,120.0,120.0,120.0
5254,120.0,120.0,120.0,120.0,0,HDTX,2020-10-16,,,120.0,120.0,120.0
301,120.0,120.0,120.0,120.0,0,HDTX,2020-10-19,,,120.0,120.0,120.0
124675,120.0,120.0,120.0,120.0,0,HDTX,2020-10-20,,,120.0,120.0,120.0
74460,120.0,120.0,120.0,120.0,0,HDTX,2020-10-21,,,120.0,120.0,120.0
29960,120.0,120.0,120.0,120.0,0,HDTX,2020-10-22,,,120.0,120.0,120.0
32420,120.0,120.0,120.0,120.0,0,HDTX,2020-10-23,,,120.0,120.0,120.0
57138,120.0,120.0,120.0,120.0,0,HDTX,2020-10-26,,,120.0,120.0,120.0
52212,120.0,120.0,120.0,120.0,0,HDTX,2020-10-27,,,120.0,120.0,120.0
88471,120.0,120.0,120.0,120.0,0,HDTX,2020-11-02,,,120.0,120.0,120.0
83522,120.0,120.0,120.0,120.0,0,HDTX,2020-11-03,,,120.0,120.0,120.0
6078,120.0,120.0,120.0,120.0,0,HDTX,2020-11-04,,,120.0,120.0,120.0
18416,120.0,120.0,120.0,120.0,0,HDTX,2020-11-05,,,120.0,120.0,120.0
42300,120.0,120.0,120.0,120.0,0,HDTX,2020-11-06,,,120.0,120.0,120.0
90922,120.0,120.0,120.0,120.0,0,HDTX,2020-11-09,,,120.0,120.0,120.0
1953,120.0,120.0,120.0,120.0,0,HDTX,2020-11-10,,,120.0,120.0,120.0
24177,120.0,120.0,120.0,120.0,0,HDTX,2020-11-11,,,120.0,120.0,120.0
77761,120.0,120.0,120.0,120.0,0,HDTX,2020-11-12,,,120.0,120.0,120.0
75285,120.0,120.0,120.0,120.0,0,HDTX,2020-11-13,,,120.0,120.0,120.0
73635,120.0,120.0,120.0,120.0,0,HDTX,2020-11-16,,,120.0,120.0,120.0
39838,120.0,120.0,120.0,120.0,0,HDTX,2020-11-17,,,120.0,120.0,120.0
16768,120.0,120.0,120.0,120.0,0,HDTX,2020-11-18,,,120.0,120.0,120.0
67040,120.0,120.0,120.0,120.0,0,HDTX,2020-11-19,,,120.0,120.0,120.0
80215,120.0,120.0,120.0,120.0,0,HDTX,2020-11-20,,,120.0,120.0,120.0
71156,120.0,120.0,120.0,120.0,0,HDTX,2020-11-23,,,120.0,120.0,120.0
112332,120.0,120.0,120.0,120.0,0,HDTX,2020-11-24,,,120.0,120.0,120.0
