,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
309,4500.0,4600.0,4690.0,4500.0,1206700,HEAL,2021-04-01,,,,,
1149,4600.0,4540.0,4640.0,4510.0,445900,HEAL,2021-04-05,,,,,
1989,4600.0,4600.0,4600.0,4510.0,406500,HEAL,2021-04-06,,,,,
2829,4600.0,4600.0,4630.0,4540.0,1800100,HEAL,2021-04-07,,,,,
3671,4600.0,4540.0,4600.0,4520.0,387600,HEAL,2021-04-08,,,,,
4515,4600.0,4530.0,4600.0,4520.0,483500,HEAL,2021-04-09,,,,,
5358,4550.0,4570.0,4600.0,4540.0,463300,HEAL,2021-04-12,,,,,
6202,4590.0,4700.0,4740.0,4540.0,1221700,HEAL,2021-04-13,,,,,4585.0
7046,4680.0,4630.0,4780.0,4630.0,179500,HEAL,2021-04-14,,,,,4595.0
7891,4600.0,4580.0,4670.0,4530.0,1983700,HEAL,2021-04-15,,,,4589.0,4591.666666666667
8735,4580.0,4530.0,4580.0,4520.0,395400,HEAL,2021-04-16,,,,4582.0,4577.9629629629635
9579,4580.0,4590.0,4590.0,4530.0,308300,HEAL,2021-04-19,,,,4587.0,4580.6378600823045
10423,4590.0,4580.0,4800.0,4530.0,447300,HEAL,2021-04-20,,,,4585.0,4580.496113397348
11267,4590.0,4570.0,4600.0,4550.0,577500,HEAL,2021-04-21,,,,4582.0,4578.1636437534935
12111,4570.0,4560.0,4590.0,4530.0,240100,HEAL,2021-04-22,,,,4584.0,4574.127278474939
12955,4580.0,4550.0,4590.0,4530.0,788000,HEAL,2021-04-23,,,,4586.0,4568.765661036064
13798,4550.0,4670.0,4780.0,4550.0,202200,HEAL,2021-04-26,,,,4596.0,4591.2621808058275
14641,4680.0,4610.0,4780.0,4570.0,317500,HEAL,2021-04-27,,,,4587.0,4595.426140626755
15485,4610.0,4610.0,4610.0,4560.0,1000000,HEAL,2021-04-28,,,,4585.0,4598.664776043031
16329,4620.0,4600.0,4700.0,4600.0,1167200,HEAL,2021-04-29,,,,4587.0,4598.961492477913
17173,4700.0,4530.0,4910.0,4520.0,727800,HEAL,2021-04-30,,,,4587.0,4583.6367163717105
18016,4540.0,4540.0,4610.0,4530.0,1020800,HEAL,2021-05-03,,,,4582.0,4573.939668289108
18859,4640.0,4540.0,4690.0,4540.0,1679100,HEAL,2021-05-04,,,,4578.0,4566.3975197804175
19701,4640.0,4530.0,4640.0,4510.0,312800,HEAL,2021-05-05,,,,4574.0,4558.3091820514355
20545,4530.0,4530.0,4690.0,4510.0,831800,HEAL,2021-05-06,,,,4571.0,4552.018252706672
21389,4550.0,4520.0,4550.0,4520.0,236500,HEAL,2021-05-07,,,,4568.0,4544.903085438523
22233,4520.0,4550.0,4560.0,4510.0,1000400,HEAL,2021-05-10,,,,4556.0,4546.035733118851
23076,4550.0,4500.0,4550.0,4500.0,239200,HEAL,2021-05-11,,,,4545.0,4535.805570203551
