,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
320,58.0,57.0,60.0,56.0,38831200,HRME,2021-04-01,,,,,
1160,57.0,57.0,59.0,56.0,35452200,HRME,2021-04-05,,,,,
2000,58.0,57.0,60.0,56.0,83963400,HRME,2021-04-06,,,,,
2840,57.0,56.0,58.0,55.0,35455000,HRME,2021-04-07,,,,,
3682,56.0,58.0,60.0,55.0,46137400,HRME,2021-04-08,,,,,
4526,59.0,57.0,60.0,56.0,28855300,HRME,2021-04-09,,,,,
5369,58.0,72.0,75.0,56.0,314919100,HRME,2021-04-12,,,,,
6213,73.0,67.0,73.0,67.0,14851300,HRME,2021-04-13,,,,,60.125
7057,63.0,63.0,63.0,63.0,5813600,HRME,2021-04-14,,,,,60.763888888888886
7902,59.0,61.0,67.0,59.0,91393600,HRME,2021-04-15,,,,60.5,60.816358024691354
8746,61.0,59.0,63.0,58.0,27013300,HRME,2021-04-16,,,,60.7,60.41272290809327
9590,59.0,63.0,69.0,59.0,151221200,HRME,2021-04-19,,,,61.3,60.98767337296143
10434,63.0,60.0,64.0,60.0,24209100,HRME,2021-04-20,,,,61.6,60.76819040119222
11278,60.0,61.0,65.0,60.0,25894900,HRME,2021-04-21,,,,62.1,60.819703645371725
12122,61.0,60.0,63.0,60.0,13225000,HRME,2021-04-22,,,,62.3,60.63754727973356
12966,60.0,60.0,63.0,59.0,17340900,HRME,2021-04-23,,,,62.6,60.495870106459435
13809,60.0,65.0,65.0,60.0,43160000,HRME,2021-04-26,,,,61.9,61.49678786057956
14652,65.0,61.0,66.0,61.0,33485900,HRME,2021-04-27,,,,61.3,61.38639055822855
15496,61.0,59.0,61.0,57.0,27901200,HRME,2021-04-28,,,,60.9,60.85608154528887
16340,59.0,59.0,60.0,58.0,11390900,HRME,2021-04-29,,,,60.7,60.443618979669125
17184,60.0,57.0,60.0,57.0,16105400,HRME,2021-04-30,,,,60.5,59.67837031752043
18027,57.0,57.0,60.0,57.0,15290300,HRME,2021-05-03,,,,59.9,59.083176913627
18870,57.0,58.0,59.0,56.0,7654800,HRME,2021-05-04,,,,59.7,58.842470932821
19712,59.0,57.0,60.0,57.0,16237900,HRME,2021-05-05,,,,59.3,58.433032947749666
20556,58.0,57.0,58.0,57.0,6505300,HRME,2021-05-06,,,,59.0,58.11458118158308
21400,57.0,57.0,58.0,56.0,10167700,HRME,2021-05-07,,,,58.7,57.86689647456461
22244,57.0,56.0,57.0,55.0,8113100,HRME,2021-05-10,,,,57.8,57.45203059132803
23087,56.0,56.0,57.0,55.0,5885600,HRME,2021-05-11,,,,57.3,57.12935712658847
23929,58.0,54.0,58.0,54.0,11567600,HRME,2021-05-17,,,,56.8,56.433944431791026
24769,54.0,53.0,54.0,52.0,12911300,HRME,2021-05-18,,,59.13333333333333,56.2,55.670845669170795
25609,53.0,54.0,54.0,52.0,3181500,HRME,2021-05-19,,,59.03333333333333,55.9,55.299546631577286
26481,54.0,54.0,55.0,53.0,5982200,HRME,2021-05-20,,,58.93333333333333,55.6,55.01075849122678
27333,54.0,53.0,54.0,53.0,1812700,HRME,2021-05-21,,,58.8,55.1,54.56392327095416
28175,54.0,52.0,55.0,52.0,5546700,HRME,2021-05-24,,,58.666666666666664,54.6,53.99416254407546
29017,53.0,54.0,54.0,52.0,1192900,HRME,2021-05-25,,,58.53333333333333,54.3,53.99545975650313
29808,54.0,53.0,54.0,52.0,6134300,HRME,2021-05-27,,,58.4,53.9,53.774246477280215
30650,53.0,53.0,54.0,52.0,6908100,HRME,2021-05-28,,,57.766666666666666,53.6,53.60219170455128
31492,53.0,53.0,55.0,53.0,6572900,HRME,2021-05-31,,,57.3,53.3,53.46837132576211
32334,53.0,55.0,66.0,53.0,179992000,HRME,2021-06-02,,,57.03333333333333,53.4,53.80873325337053
33175,56.0,55.0,57.0,54.0,13603400,HRME,2021-06-03,,,56.833333333333336,53.6,54.073459197065965
34016,55.0,56.0,58.0,54.0,15791700,HRME,2021-06-04,,,56.733333333333334,53.8,54.50157937549575
34857,56.0,55.0,57.0,55.0,9607900,HRME,2021-06-07,,,56.46666666666667,53.9,54.612339514274474
35698,55.0,55.0,57.0,54.0,7122100,HRME,2021-06-08,,,56.3,54.1,54.69848628888015
36541,56.0,60.0,62.0,55.0,66764200,HRME,2021-06-09,,,56.266666666666666,54.9,55.87660044690678
37384,62.0,56.0,62.0,56.0,15577600,HRME,2021-06-10,,,56.13333333333333,55.1,55.904022569816384
38231,58.0,57.0,59.0,56.0,7169300,HRME,2021-06-11,,,56.03333333333333,55.5,56.147573109857184
39078,58.0,57.0,59.0,56.0,4240200,HRME,2021-06-14,,,55.766666666666666,55.9,56.3370013076667
39925,57.0,59.0,62.0,56.0,57211900,HRME,2021-06-15,,,55.7,56.5,56.92877879485187
40772,60.0,59.0,61.0,59.0,17223500,HRME,2021-06-16,,,55.7,56.9,57.389050173773676
41619,60.0,59.0,61.0,59.0,5264000,HRME,2021-06-17,,,55.7,57.3,57.747039024046195
42466,59.0,58.0,60.0,57.0,14964900,HRME,2021-06-18,,,55.733333333333334,57.5,57.80325257425815
43313,58.0,59.0,62.0,56.0,21313500,HRME,2021-06-21,,,55.8,57.9,58.06919644664523
44160,59.0,59.0,60.0,58.0,5530700,HRME,2021-06-22,,,55.833333333333336,58.3,58.27604168072407
45007,60.0,58.0,60.0,58.0,7064900,HRME,2021-06-23,,,55.86666666666667,58.1,58.21469908500761
45854,59.0,60.0,62.0,58.0,13004000,HRME,2021-06-24,,,55.96666666666667,58.5,58.611432621672584
46701,60.0,59.0,61.0,59.0,3854300,HRME,2021-06-25,,,56.03333333333333,58.7,58.697780927967564
47549,59.0,60.0,67.0,58.0,55805700,HRME,2021-06-28,,,56.166666666666664,59.0,58.987162943974774
48395,61.0,60.0,63.0,60.0,10881400,HRME,2021-06-29,,,56.3,59.1,59.212237845313716
49189,61.0,59.0,65.0,59.0,10360500,HRME,2021-06-30,,,56.46666666666667,59.1,59.16507387968844
50040,59.0,59.0,61.0,58.0,6182300,HRME,2021-07-01,,,56.666666666666664,59.1,59.12839079531323
50891,59.0,58.0,60.0,58.0,5521600,HRME,2021-07-02,,,56.8,59.1,58.87763728524362
51742,58.0,59.0,60.0,58.0,3736400,HRME,2021-07-05,,,56.96666666666667,59.1,58.90482899963393
52594,59.0,58.0,60.0,58.0,2882300,HRME,2021-07-06,,,57.13333333333333,59.0,58.703755888604164
53432,58.0,57.0,59.0,56.0,9042100,HRME,2021-07-07,,,57.3,58.9,58.32514346891435
54257,57.0,59.0,63.0,57.0,15091000,HRME,2021-07-08,,,57.46666666666667,58.8,58.47511158693338
55108,60.0,59.0,61.0,58.0,2166000,HRME,2021-07-09,,,57.666666666666664,58.8,58.59175345650374
55961,59.0,57.0,60.0,57.0,6352100,HRME,2021-07-12,,,57.8,58.5,58.238030466169576
56814,58.0,58.0,59.0,57.0,3782200,HRME,2021-07-13,,,57.96666666666667,58.3,58.18513480702078
57667,58.0,55.0,59.0,55.0,6755000,HRME,2021-07-14,,,57.96666666666667,57.9,57.477327072127274
58520,55.0,55.0,56.0,52.0,13320700,HRME,2021-07-15,,,57.96666666666667,57.5,56.92680994498788
59373,55.0,55.0,56.0,54.0,2093200,HRME,2021-07-16,,,57.93333333333333,57.2,56.4986299572128
60225,55.0,55.0,55.0,53.0,2589300,HRME,2021-07-19,,,57.93333333333333,56.8,56.16560107783218
61077,55.0,55.0,56.0,54.0,1404300,HRME,2021-07-21,,,57.93333333333333,56.5,55.90657861609169
61929,55.0,56.0,60.0,54.0,9426100,HRME,2021-07-22,,,57.8,56.4,55.92733892362687
62781,56.0,56.0,57.0,55.0,1212600,HRME,2021-07-23,,,57.8,56.1,55.943485829487564
63633,56.0,55.0,57.0,55.0,1998000,HRME,2021-07-26,,,57.733333333333334,55.7,55.73382231182366
64485,56.0,55.0,56.0,54.0,3334400,HRME,2021-07-27,,,57.666666666666664,55.5,55.57075068697396
65339,56.0,55.0,57.0,54.0,1542500,HRME,2021-07-28,,,57.53333333333333,55.2,55.44391720097975
66193,55.0,54.0,56.0,54.0,2413500,HRME,2021-07-29,,,57.36666666666667,55.1,55.12304671187314
67047,54.0,55.0,55.0,53.0,1133400,HRME,2021-07-30,,,57.233333333333334,55.1,55.09570299812355
67901,55.0,54.0,55.0,53.0,2302900,HRME,2021-08-02,,,57.1,55.0,54.85221344298498
68755,54.0,55.0,57.0,53.0,4067700,HRME,2021-08-03,,,56.96666666666667,55.0,54.88505490009943
69609,56.0,54.0,56.0,54.0,1421400,HRME,2021-08-04,,,56.8,54.9,54.68837603341067
70463,55.0,55.0,59.0,53.0,15624400,HRME,2021-08-05,,,56.7,54.8,54.75762580376385
71318,55.0,54.0,56.0,54.0,2319500,HRME,2021-08-06,,,56.5,54.6,54.589264514038554
72173,54.0,54.0,55.0,53.0,1567500,HRME,2021-08-09,,,56.333333333333336,54.5,54.45831684425221
73028,54.0,53.0,55.0,53.0,4463400,HRME,2021-08-10,,,56.1,54.3,54.13424643441839
73883,53.0,55.0,55.0,53.0,1890900,HRME,2021-08-12,,,55.93333333333333,54.3,54.326636115658744
74738,55.0,55.0,56.0,54.0,2011700,HRME,2021-08-13,,,55.8,54.4,54.47627253440125
75593,55.0,53.0,55.0,52.0,3821400,HRME,2021-08-16,,,55.6,54.2,54.14821197120097
76448,54.0,55.0,56.0,53.0,4625600,HRME,2021-08-18,,,55.5,54.3,54.33749819982298
77303,55.0,54.0,55.0,53.0,3416000,HRME,2021-08-19,,,55.333333333333336,54.2,54.26249859986232
78158,55.0,54.0,55.0,53.0,1274200,HRME,2021-08-20,,,55.2,54.2,54.20416557767069
79013,55.0,54.0,55.0,53.0,9052600,HRME,2021-08-23,,,55.1,54.1,54.158795449299426
79868,53.0,54.0,56.0,53.0,5292900,HRME,2021-08-24,,,54.93333333333333,54.1,54.12350757167733
80723,55.0,54.0,55.0,53.0,2626600,HRME,2021-08-25,,,54.766666666666666,54.1,54.096061444637925
81578,54.0,56.0,61.0,53.0,42889100,HRME,2021-08-26,,,54.733333333333334,54.4,54.519158901385055
82433,60.0,56.0,63.0,55.0,44135300,HRME,2021-08-27,,,54.666666666666664,54.5,54.84823470107727
83288,57.0,55.0,57.0,54.0,6524300,HRME,2021-08-30,,,54.666666666666664,54.5,54.8819603230601
84143,55.0,55.0,56.0,54.0,1652400,HRME,2021-08-31,56.89,,54.666666666666664,54.7,54.90819136238008
84999,56.0,55.0,56.0,54.0,3276000,HRME,2021-09-01,56.87,,54.666666666666664,54.7,54.92859328185117
85855,56.0,55.0,56.0,54.0,4504100,HRME,2021-09-02,56.85,,54.666666666666664,54.8,54.9444614414398
86711,55.0,55.0,58.0,54.0,10581300,HRME,2021-09-03,56.83,,54.666666666666664,54.9,54.95680334334207
87569,56.0,55.0,56.0,54.0,3091000,HRME,2021-09-06,56.82,,54.63333333333333,55.0,54.966402600377165
88429,55.0,55.0,56.0,54.0,2804100,HRME,2021-09-07,56.79,,54.6,55.1,54.97386868918224
89292,55.0,56.0,57.0,55.0,5803200,HRME,2021-09-08,56.78,,54.63333333333333,55.3,55.20189786936396
90159,57.0,56.0,57.0,55.0,4358900,HRME,2021-09-09,56.62,,54.666666666666664,55.3,55.37925389839419
91027,56.0,55.0,56.0,55.0,3768300,HRME,2021-09-10,56.5,,54.666666666666664,55.2,55.29497525430659
91895,55.0,55.0,56.0,55.0,1678200,HRME,2021-09-13,56.42,,54.7,55.2,55.229425197794015
92763,56.0,56.0,58.0,55.0,7156200,HRME,2021-09-14,56.37,,54.733333333333334,55.3,55.40066404272868
93631,56.0,57.0,58.0,56.0,8086500,HRME,2021-09-15,56.35,,54.833333333333336,55.5,55.756072033233416
94499,57.0,57.0,58.0,56.0,3408100,HRME,2021-09-16,56.29,,54.9,55.7,56.03250047029265
95367,58.0,57.0,58.0,56.0,3167200,HRME,2021-09-17,56.26,,55.0,55.9,56.247500365783175
96235,57.0,57.0,58.0,56.0,2105800,HRME,2021-09-20,56.22,,55.06666666666667,56.1,56.414722506720246
97103,57.0,57.0,57.0,55.0,2378700,HRME,2021-09-21,56.19,,55.166666666666664,56.3,56.544784171893525
97972,57.0,56.0,58.0,56.0,5863200,HRME,2021-09-22,56.15,,55.233333333333334,56.3,56.423721022583855
98841,56.0,58.0,67.0,55.0,196818700,HRME,2021-09-23,56.08,,55.4,56.5,56.77400523978744
99710,60.0,59.0,61.0,58.0,30688900,HRME,2021-09-24,56.06,,55.53333333333333,56.9,57.2686707420569
100578,59.0,60.0,64.0,56.0,60950900,HRME,2021-09-27,56.07,,55.7,57.4,57.875632799377584
101446,62.0,57.0,62.0,56.0,33786200,HRME,2021-09-28,56.05,,55.833333333333336,57.5,57.68104773284923
102314,57.0,57.0,59.0,55.0,12507400,HRME,2021-09-29,56.05,,55.9,57.5,57.52970379221607
103182,57.0,56.0,58.0,56.0,9224600,HRME,2021-09-30,56.04,,55.96666666666667,57.4,57.18976961616805
104050,56.0,56.0,58.0,55.0,8002200,HRME,2021-10-01,56.02,,56.03333333333333,57.3,56.925376368130706
