,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126404,50.0,50.0,50.0,50.0,0,IATA,2020-07-01,,,,,
133825,50.0,50.0,50.0,50.0,0,IATA,2020-07-02,,,,,
107499,50.0,50.0,50.0,50.0,400,IATA,2020-07-03,,,,,
89358,50.0,50.0,50.0,50.0,0,IATA,2020-07-06,,,,,
34085,50.0,50.0,50.0,50.0,0,IATA,2020-07-07,,,,,
51432,50.0,50.0,50.0,50.0,0,IATA,2020-07-08,,,,,
119827,50.0,50.0,50.0,50.0,300,IATA,2020-07-09,,,,,
23381,50.0,50.0,50.0,50.0,200,IATA,2020-07-10,,,,,50.0
15145,50.0,50.0,50.0,50.0,0,IATA,2020-07-13,,,,,50.0
31623,50.0,50.0,50.0,50.0,100,IATA,2020-07-14,,,,50.0,50.0
95130,50.0,50.0,50.0,50.0,1100,IATA,2020-07-15,,,,50.0,50.0
21736,50.0,50.0,50.0,50.0,100,IATA,2020-07-16,,,,50.0,50.0
109936,50.0,50.0,50.0,50.0,100,IATA,2020-07-17,,,,50.0,50.0
82770,50.0,50.0,50.0,50.0,2000,IATA,2020-07-20,,,,50.0,50.0
108307,50.0,50.0,50.0,50.0,300,IATA,2020-07-21,,,,50.0,50.0
99250,50.0,50.0,50.0,50.0,500,IATA,2020-07-22,,,,50.0,50.0
8554,50.0,50.0,50.0,50.0,1000,IATA,2020-07-23,,,,50.0,50.0
106685,50.0,50.0,50.0,50.0,200,IATA,2020-07-24,,,,50.0,50.0
59681,50.0,50.0,50.0,50.0,10200,IATA,2020-07-27,,,,50.0,50.0
43170,50.0,50.0,50.0,50.0,100,IATA,2020-07-28,,,,50.0,50.0
116538,50.0,50.0,50.0,50.0,0,IATA,2020-07-29,,,,50.0,50.0
85224,50.0,50.0,50.0,50.0,78000,IATA,2020-07-30,,,,50.0,50.0
123124,50.0,50.0,50.0,50.0,0,IATA,2020-08-03,,,,50.0,50.0
6917,50.0,50.0,50.0,50.0,0,IATA,2020-08-04,,,,50.0,50.0
58037,50.0,50.0,50.0,50.0,90000,IATA,2020-08-05,,,,50.0,50.0
74526,50.0,50.0,50.0,50.0,0,IATA,2020-08-06,,,,50.0,50.0
46475,50.0,50.0,50.0,50.0,0,IATA,2020-08-07,,,,50.0,50.0
104206,50.0,50.0,50.0,50.0,100,IATA,2020-08-10,,,,50.0,50.0
57221,50.0,50.0,50.0,50.0,0,IATA,2020-08-11,,,,50.0,50.0
125587,50.0,50.0,50.0,50.0,1000,IATA,2020-08-12,,,50.0,50.0,50.0
67102,50.0,50.0,50.0,50.0,0,IATA,2020-08-13,,,50.0,50.0,50.0
92673,50.0,50.0,50.0,50.0,200,IATA,2020-08-14,,,50.0,50.0,50.0
65458,50.0,50.0,50.0,50.0,0,IATA,2020-08-18,,,50.0,50.0,50.0
94314,50.0,50.0,50.0,50.0,0,IATA,2020-08-19,,,50.0,50.0,50.0
10202,50.0,50.0,50.0,50.0,1000,IATA,2020-08-24,,,50.0,50.0,50.0
134633,50.0,50.0,50.0,50.0,100,IATA,2020-08-25,,,50.0,50.0,50.0
109120,50.0,50.0,50.0,50.0,100,IATA,2020-08-26,,,50.0,50.0,50.0
3622,50.0,50.0,50.0,50.0,0,IATA,2020-08-27,,,50.0,50.0,50.0
83582,50.0,50.0,50.0,50.0,501800,IATA,2020-08-28,,,50.0,50.0,50.0
27501,50.0,50.0,50.0,50.0,1100,IATA,2020-08-31,,,50.0,50.0,50.0
34896,50.0,50.0,50.0,50.0,100,IATA,2020-09-01,,,50.0,50.0,50.0
39034,50.0,50.0,50.0,50.0,0,IATA,2020-09-02,,,50.0,50.0,50.0
72873,50.0,50.0,50.0,50.0,200,IATA,2020-09-03,,,50.0,50.0,50.0
12677,50.0,50.0,50.0,50.0,10500,IATA,2020-09-04,,,50.0,50.0,50.0
26682,50.0,50.0,50.0,50.0,10000,IATA,2020-09-07,,,50.0,50.0,50.0
113231,50.0,50.0,50.0,50.0,0,IATA,2020-09-08,,,50.0,50.0,50.0
127212,50.0,50.0,50.0,50.0,100,IATA,2020-09-09,,,50.0,50.0,50.0
7731,50.0,50.0,50.0,50.0,500,IATA,2020-09-10,,,50.0,50.0,50.0
