,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
325,16.0,24.0,29.0,16.0,8045000,IBFN-W,2021-04-01,,,,,
1165,23.0,21.0,24.0,19.0,2043900,IBFN-W,2021-04-05,,,,,
2005,21.0,20.0,27.0,18.0,3685400,IBFN-W,2021-04-06,,,,,
2845,20.0,23.0,25.0,20.0,2089300,IBFN-W,2021-04-07,,,,,
3687,23.0,25.0,32.0,22.0,9955200,IBFN-W,2021-04-08,,,,,
4531,25.0,24.0,28.0,20.0,2319600,IBFN-W,2021-04-09,,,,,
5374,24.0,22.0,24.0,21.0,315300,IBFN-W,2021-04-12,,,,,
6218,21.0,21.0,23.0,19.0,723400,IBFN-W,2021-04-13,,,,,22.5
7062,20.0,21.0,22.0,20.0,635000,IBFN-W,2021-04-14,,,,,22.166666666666668
7907,21.0,20.0,21.0,19.0,758600,IBFN-W,2021-04-15,,,,22.1,21.685185185185187
8751,19.0,20.0,20.0,18.0,166400,IBFN-W,2021-04-16,,,,21.7,21.310699588477366
9595,20.0,20.0,20.0,17.0,501800,IBFN-W,2021-04-19,,,,21.6,21.019433013260173
10439,19.0,20.0,21.0,18.0,630800,IBFN-W,2021-04-20,,,,21.6,20.792892343646802
11283,18.0,20.0,20.0,18.0,603400,IBFN-W,2021-04-21,,,,21.3,20.616694045058622
12127,20.0,21.0,21.0,19.0,136900,IBFN-W,2021-04-22,,,,20.9,20.701873146156707
12971,20.0,20.0,20.0,19.0,151100,IBFN-W,2021-04-23,,,,20.5,20.54590133589966
13814,19.0,19.0,25.0,19.0,3019400,IBFN-W,2021-04-26,,,,20.2,20.202367705699736
14657,19.0,19.0,20.0,19.0,395200,IBFN-W,2021-04-27,,,,20.0,19.935174882210905
15501,19.0,20.0,20.0,19.0,349800,IBFN-W,2021-04-28,,,,19.9,19.949580463941814
16345,20.0,21.0,22.0,19.0,893000,IBFN-W,2021-04-29,,,,20.0,20.1830070275103
17189,19.0,19.0,20.0,19.0,185600,IBFN-W,2021-04-30,,,,19.9,19.920116576952456
18032,19.0,21.0,22.0,19.0,1988100,IBFN-W,2021-05-03,,,,20.0,20.160090670963022
18875,21.0,20.0,21.0,19.0,659400,IBFN-W,2021-05-04,,,,20.0,20.124514966304574
19717,21.0,20.0,21.0,19.0,313800,IBFN-W,2021-05-05,,,,20.0,20.096844973792447
20561,19.0,20.0,20.0,19.0,185700,IBFN-W,2021-05-06,,,,19.9,20.075323868505237
21405,20.0,20.0,20.0,18.0,97500,IBFN-W,2021-05-07,,,,19.9,20.058585231059627
22249,19.0,20.0,20.0,19.0,30100,IBFN-W,2021-05-10,,,,20.0,20.045566290824155
23092,20.0,19.0,20.0,19.0,43400,IBFN-W,2021-05-11,,,,20.0,19.813218226196565
23934,19.0,19.0,20.0,19.0,23100,IBFN-W,2021-05-17,,,,19.9,19.63250306481955
24774,19.0,19.0,19.0,18.0,417300,IBFN-W,2021-05-18,,,20.6,19.7,19.491946828192983
25614,17.0,18.0,19.0,17.0,45900,IBFN-W,2021-05-19,,,20.4,19.6,19.160403088594542
26486,18.0,17.0,18.0,17.0,300100,IBFN-W,2021-05-20,,,20.266666666666666,19.2,18.68031351335131
27338,17.0,17.0,18.0,16.0,239800,IBFN-W,2021-05-21,,,20.166666666666668,18.9,18.306910510384352
28180,17.0,17.0,18.0,16.0,287000,IBFN-W,2021-05-24,,,19.966666666666665,18.6,18.016485952521162
29022,17.0,17.0,17.0,16.0,37300,IBFN-W,2021-05-25,,,19.7,18.3,17.790600185294238
29813,17.0,17.0,17.0,17.0,22600,IBFN-W,2021-05-27,,,19.466666666666665,18.0,17.61491125522885
30655,17.0,16.0,17.0,16.0,297500,IBFN-W,2021-05-28,,,19.266666666666666,17.6,17.256042087400218
31497,17.0,17.0,18.0,16.0,453300,IBFN-W,2021-05-31,,,19.133333333333333,17.4,17.199143845755724
32339,17.0,15.0,17.0,15.0,516300,IBFN-W,2021-06-02,,,18.933333333333334,17.0,16.710445213365563
33180,15.0,16.0,17.0,15.0,947500,IBFN-W,2021-06-03,,,18.8,16.7,16.552568499284327
34021,16.0,15.0,17.0,15.0,1124100,IBFN-W,2021-06-04,,,18.633333333333333,16.4,16.207553277221145
34862,15.0,19.0,20.0,15.0,4827100,IBFN-W,2021-06-07,,,18.6,16.6,16.828096993394222
35703,19.0,17.0,20.0,16.0,802100,IBFN-W,2021-06-08,,,18.5,16.6,16.86629766152884
36546,15.0,19.0,20.0,15.0,1070600,IBFN-W,2021-06-09,,,18.466666666666665,16.8,17.340453736744653
37389,19.0,17.0,20.0,17.0,999000,IBFN-W,2021-06-10,,,18.333333333333332,16.8,17.2647973508014
38236,17.0,20.0,22.0,17.0,2540000,IBFN-W,2021-06-11,,,18.333333333333332,17.1,17.87262016173442
39083,21.0,19.0,21.0,19.0,1293700,IBFN-W,2021-06-14,,,18.333333333333332,17.4,18.123149014682326
39930,21.0,19.0,21.0,18.0,533700,IBFN-W,2021-06-15,,,18.333333333333332,17.6,18.318004789197364
40777,18.0,18.0,19.0,18.0,698300,IBFN-W,2021-06-16,,,18.266666666666666,17.9,18.247337058264616
41624,19.0,18.0,19.0,17.0,677400,IBFN-W,2021-06-17,,,18.166666666666668,18.1,18.192373267539146
42471,18.0,17.0,18.0,17.0,596700,IBFN-W,2021-06-18,,,18.1,18.3,17.927401430308226
43318,17.0,17.0,17.0,16.0,379600,IBFN-W,2021-06-21,,,17.966666666666665,18.1,17.721312223573065
