,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126405,300.0,300.0,300.0,300.0,0,IBFN,2020-07-01,,,,,
133826,300.0,300.0,300.0,300.0,0,IBFN,2020-07-02,,,,,
107500,300.0,300.0,300.0,300.0,0,IBFN,2020-07-03,,,,,
89359,300.0,300.0,300.0,300.0,0,IBFN,2020-07-06,,,,,
34086,300.0,300.0,300.0,300.0,3300,IBFN,2020-07-07,,,,,
51433,300.0,300.0,300.0,300.0,0,IBFN,2020-07-08,,,,,
119828,300.0,300.0,300.0,300.0,0,IBFN,2020-07-09,,,,,
23382,300.0,300.0,300.0,300.0,0,IBFN,2020-07-10,,,,,300.0
15146,300.0,300.0,300.0,300.0,0,IBFN,2020-07-13,,,,,300.0
31624,300.0,300.0,300.0,300.0,0,IBFN,2020-07-14,,,,300.0,300.0
95131,300.0,300.0,300.0,300.0,0,IBFN,2020-07-15,,,,300.0,300.0
21737,290.0,300.0,300.0,290.0,9000,IBFN,2020-07-16,,,,300.0,300.0
109937,312.0,312.0,312.0,312.0,100,IBFN,2020-07-17,,,,301.2,302.6666666666667
82771,312.0,312.0,312.0,312.0,3200,IBFN,2020-07-20,,,,302.4,304.74074074074076
108308,312.0,312.0,312.0,312.0,0,IBFN,2020-07-21,,,,303.6,306.3539094650206
99251,292.0,312.0,312.0,292.0,14200,IBFN,2020-07-22,,,,304.8,307.60859625057157
8555,312.0,312.0,312.0,312.0,0,IBFN,2020-07-23,,,,306.0,308.58446375044457
106686,312.0,312.0,312.0,312.0,0,IBFN,2020-07-24,,,,307.2,309.34347180590134
59682,312.0,312.0,312.0,312.0,0,IBFN,2020-07-27,,,,308.4,309.93381140458996
43171,312.0,312.0,312.0,312.0,0,IBFN,2020-07-28,,,,309.6,310.3929644257922
116539,312.0,312.0,312.0,312.0,0,IBFN,2020-07-29,,,,310.8,310.7500834422828
85225,314.0,314.0,314.0,314.0,156400,IBFN,2020-07-30,,,,312.2,311.47228712177554
123125,294.0,300.0,300.0,294.0,290000,IBFN,2020-08-03,,,,311.0,308.92288998360317
6918,280.0,280.0,280.0,280.0,100,IBFN,2020-08-04,,,,307.8,302.495581098358
58038,290.0,290.0,290.0,290.0,14600,IBFN,2020-08-05,,,,305.6,299.7187852987229
74527,290.0,290.0,290.0,290.0,16000,IBFN,2020-08-06,,,,303.4,297.55905523234003
46476,290.0,270.0,290.0,270.0,5500,IBFN,2020-08-07,,,,299.2,291.43482073626444
104207,270.0,270.0,270.0,270.0,5800,IBFN,2020-08-10,,,,295.0,286.6715272393168
57222,270.0,270.0,270.0,252.0,7300,IBFN,2020-08-11,,,,290.8,282.9667434083575
125588,254.0,300.0,300.0,254.0,11100,IBFN,2020-08-12,,,299.73333333333335,289.6,286.7519115398336
67103,280.0,300.0,300.0,280.0,29400,IBFN,2020-08-13,,,299.73333333333335,288.4,289.69593119764835
92674,300.0,300.0,300.0,300.0,0,IBFN,2020-08-14,,,299.73333333333335,287.0,291.9857242648376
65459,282.0,300.0,300.0,280.0,11100,IBFN,2020-08-18,,,299.73333333333335,287.0,293.766674428207
94315,280.0,300.0,300.0,280.0,2200,IBFN,2020-08-19,,,299.73333333333335,289.0,295.15185788860543
10203,300.0,300.0,300.0,280.0,12100,IBFN,2020-08-24,,,299.73333333333335,290.0,296.22922280224867
134634,282.0,300.0,300.0,280.0,13600,IBFN,2020-08-25,,,299.73333333333335,291.0,297.06717329063787
109121,282.0,286.0,350.0,280.0,23600,IBFN,2020-08-26,,,299.26666666666665,292.6,294.6078014482739
3623,268.0,290.0,326.0,266.0,17600,IBFN,2020-08-27,,,298.93333333333334,294.6,293.5838455708797
83583,350.0,300.0,350.0,300.0,7900,IBFN,2020-08-28,,,298.93333333333334,297.6,295.0096576662398
27502,300.0,300.0,300.0,300.0,15100,IBFN,2020-08-31,,,298.93333333333334,297.6,296.1186226292976
34897,300.0,300.0,300.0,300.0,1000,IBFN,2020-09-01,,,298.93333333333334,297.6,296.9811509338981
39035,290.0,280.0,290.0,280.0,4800,IBFN,2020-09-02,,,298.26666666666665,295.6,293.2075618374763
72874,300.0,290.0,300.0,290.0,11200,IBFN,2020-09-03,,,297.53333333333336,294.6,292.4947703180371
