,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
326,7625.0,7625.0,7625.0,7625.0,0,IBST,2021-04-01,,,,,
1166,7625.0,7625.0,7625.0,7625.0,0,IBST,2021-04-05,,,,,
2006,7100.0,7100.0,7100.0,7100.0,100,IBST,2021-04-06,,,,,
2846,7100.0,7100.0,7100.0,7100.0,0,IBST,2021-04-07,,,,,
3688,6900.0,6700.0,6900.0,6700.0,200,IBST,2021-04-08,,,,,
4532,6700.0,6425.0,6700.0,6325.0,500,IBST,2021-04-09,,,,,
5375,6450.0,6450.0,6450.0,6450.0,100,IBST,2021-04-12,,,,,
6219,6450.0,6450.0,6450.0,6450.0,0,IBST,2021-04-13,,,,,6934.375
7063,6450.0,6450.0,6450.0,6450.0,0,IBST,2021-04-14,,,,,6826.736111111111
7908,6450.0,6450.0,6450.0,6450.0,0,IBST,2021-04-15,,,,6837.5,6743.016975308642
8752,6450.0,6450.0,6450.0,6450.0,0,IBST,2021-04-16,,,,6720.0,6677.902091906722
9596,6450.0,6450.0,6450.0,6450.0,0,IBST,2021-04-19,,,,6602.5,6627.257182594117
10440,6025.0,6025.0,6025.0,6025.0,100,IBST,2021-04-20,,,,6495.0,6493.422253128758
11284,6025.0,6025.0,6025.0,6025.0,0,IBST,2021-04-21,,,,6387.5,6389.328419100145
12128,6100.0,6100.0,6100.0,6100.0,100,IBST,2021-04-22,,,,6327.5,6325.033214855668
12972,6100.0,6100.0,6100.0,6100.0,0,IBST,2021-04-23,,,,6295.0,6275.025833776631
13815,6100.0,6100.0,6100.0,6100.0,0,IBST,2021-04-26,,,,6260.0,6236.131204048491
14658,5800.0,5800.0,5800.0,5800.0,100,IBST,2021-04-27,,,,6195.0,6139.213158704381
15502,5800.0,5800.0,5800.0,5800.0,0,IBST,2021-04-28,,,,6130.0,6063.832456770075
16346,5800.0,5800.0,5800.0,5800.0,0,IBST,2021-04-29,,,,6065.0,6005.2030219322805
17190,5800.0,5800.0,5800.0,5800.0,0,IBST,2021-04-30,,,,6000.0,5959.602350391774
18033,5800.0,5800.0,5800.0,5800.0,0,IBST,2021-05-03,,,,5935.0,5924.135161415824
18876,5800.0,5800.0,5800.0,5800.0,0,IBST,2021-05-04,,,,5912.5,5896.549569990085
19718,5800.0,5800.0,5800.0,5800.0,0,IBST,2021-05-05,,,,5890.0,5875.094109992288
20562,5800.0,5800.0,5800.0,5800.0,0,IBST,2021-05-06,,,,5860.0,5858.406529994002
21406,5800.0,5800.0,5800.0,5800.0,0,IBST,2021-05-07,,,,5830.0,5845.427301106446
22250,5800.0,5800.0,5800.0,5800.0,700,IBST,2021-05-10,,,,5800.0,5835.332345305013
23093,5800.0,5800.0,5800.0,5800.0,0,IBST,2021-05-11,,,,5800.0,5827.48071301501
23935,5800.0,5800.0,5800.0,5800.0,500,IBST,2021-05-17,,,,5800.0,5821.373887900563
24775,5800.0,5425.0,5800.0,5425.0,300,IBST,2021-05-18,,,6221.666666666667,5762.5,5733.290801700438
25615,5250.0,6500.0,6500.0,5100.0,1000,IBST,2021-05-19,,,6184.166666666667,5832.5,5903.6706235447855
26487,7800.0,6500.0,7800.0,6500.0,1500,IBST,2021-05-20,,,6146.666666666667,5902.5,6036.188262757056
27339,6500.0,7800.0,7800.0,6100.0,3700,IBST,2021-05-21,,,6170.0,6102.5,6428.146426588821
28181,7800.0,7800.0,8000.0,7800.0,400,IBST,2021-05-24,,,6193.333333333333,6302.5,6733.0027762357495
29023,9000.0,8700.0,9000.0,8400.0,2600,IBST,2021-05-25,,,6260.0,6592.5,7170.113270405583
29814,8700.0,9900.0,10375.0,8125.0,6100,IBST,2021-05-27,,,6375.833333333333,7002.5,7776.754765871008
30656,9900.0,9250.0,9900.0,9250.0,700,IBST,2021-05-28,,,6469.166666666667,7347.5,8104.142595677451
31498,9250.0,9250.0,9250.0,9250.0,0,IBST,2021-05-31,,,6562.5,7692.5,8358.777574415795
32340,9250.0,8700.0,9250.0,8700.0,300,IBST,2021-06-02,,,6637.5,7982.5,8434.604780101174
33181,8700.0,8150.0,8700.0,8150.0,400,IBST,2021-06-03,,,6694.166666666667,8255.0,8371.359273412025
34022,8150.0,8275.0,9175.0,8125.0,3000,IBST,2021-06-04,,,6755.0,8432.5,8349.946101542686
34863,7725.0,7750.0,7750.0,7725.0,800,IBST,2021-06-07,,,6798.333333333333,8557.5,8216.62474564431
35704,7225.0,7275.0,7275.0,7225.0,500,IBST,2021-06-08,,,6840.0,8505.0,8007.3748021677975
36547,6800.0,6900.0,6900.0,6800.0,200,IBST,2021-06-09,,,6869.166666666667,8415.0,7761.2915127971755
37390,6900.0,6900.0,6900.0,6900.0,0,IBST,2021-06-10,,,6895.833333333333,8235.0,7569.893398842248
38237,6450.0,6450.0,6450.0,6450.0,100,IBST,2021-06-11,,,6907.5,7890.0,7321.028199099526
39084,6450.0,7700.0,7700.0,6450.0,1700,IBST,2021-06-14,,,6960.833333333333,7735.0,7405.244154855187
39931,7200.0,7250.0,8650.0,7175.0,2800,IBST,2021-06-15,,,7009.166666666667,7535.0,7370.745453776257
40778,6800.0,6900.0,6900.0,6800.0,200,IBST,2021-06-16,,,7045.833333333333,7355.0,7266.135352937089
41625,6900.0,6900.0,6900.0,6900.0,0,IBST,2021-06-17,,,7082.5,7230.0,7184.771941173291
42472,6450.0,6550.0,6550.0,6450.0,200,IBST,2021-06-18,,,7107.5,7057.5,7043.711509801449
43319,6550.0,6550.0,6550.0,6550.0,0,IBST,2021-06-21,,,7132.5,6937.5,6933.997840956683
44166,6550.0,6550.0,6550.0,6550.0,0,IBST,2021-06-22,,,7157.5,6865.0,6848.664987410753
45013,6550.0,6550.0,6550.0,6550.0,1300,IBST,2021-06-23,,,7182.5,6830.0,6782.294990208364
45860,6600.0,6600.0,6600.0,6600.0,200,IBST,2021-06-24,,,7209.166666666667,6800.0,6741.784992384283
46707,6600.0,6600.0,6600.0,6600.0,0,IBST,2021-06-25,,,7235.833333333333,6815.0,6710.277216298887
47555,6600.0,6600.0,6600.0,6600.0,0,IBST,2021-06-28,,,7262.5,6705.0,6685.771168232467
48401,6600.0,6600.0,6600.0,6600.0,0,IBST,2021-06-29,,,7289.166666666667,6640.0,6666.710908625252
49195,6600.0,6600.0,6600.0,6600.0,0,IBST,2021-06-30,,,7315.833333333333,6610.0,6651.886262264085
50046,7000.0,6225.0,7000.0,6225.0,500,IBST,2021-07-01,,,7342.5,6542.5,6557.022648427622
50897,6225.0,6000.0,6225.0,5825.0,300,IBST,2021-07-02,,,7325.833333333333,6487.5,6433.2398376659285
51748,6000.0,6000.0,6000.0,6000.0,0,IBST,2021-07-05,,,7309.166666666667,6432.5,6336.964318184611
52600,5625.0,5625.0,5625.0,5625.0,100,IBST,2021-07-06,,,7236.666666666667,6340.0,6178.750025254698
53438,5625.0,5625.0,5625.0,5625.0,0,IBST,2021-07-07,,,7164.166666666667,6247.5,6055.694464086987
54263,5650.0,5650.0,5650.0,5650.0,200,IBST,2021-07-08,,,7062.5,6152.5,5965.540138734324
55114,5650.0,5650.0,5650.0,5650.0,0,IBST,2021-07-09,,,6920.833333333333,6057.5,5895.420107904474
55967,5650.0,5650.0,5650.0,5650.0,0,IBST,2021-07-12,,,6800.833333333333,5962.5,5840.882306147924
56820,5300.0,5300.0,5300.0,5300.0,100,IBST,2021-07-13,,,6669.166666666667,5832.5,5720.686238115052
57673,4940.0,4940.0,4940.0,4940.0,100,IBST,2021-07-14,,,6543.833333333333,5666.5,5547.200407422818
58526,5000.0,5000.0,5000.0,5000.0,200,IBST,2021-07-15,,,6438.833333333333,5544.0,5425.600316884414
59379,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-07-16,,,6329.666666666667,5444.0,5331.022468687877
60231,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-07-19,,,6238.0,5344.0,5257.461920090571
61083,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-07-21,,,6162.166666666667,5281.5,5200.248160070444
61935,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-07-22,,,6098.833333333333,5219.0,5155.748568943679
62787,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-07-23,,,6035.5,5154.0,5121.1377758450835
63639,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-07-26,,,5987.166666666667,5089.0,5094.218270101732
64491,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-07-27,,,5897.166666666667,5024.0,5073.280876745792
65345,5000.0,5000.0,5000.0,5000.0,500,IBST,2021-07-28,,,5822.166666666667,4994.0,5056.996237468949
66199,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-07-29,,,5758.833333333333,5000.0,5044.330406920294
67053,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-07-30,,,5695.5,5000.0,5034.479205382451
67907,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-08-02,,,5643.833333333333,5000.0,5026.817159741907
68761,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-08-03,,,5592.166666666667,5000.0,5020.857790910372
69615,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-08-04,,,5540.5,5000.0,5016.222726263623
70469,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-08-05,,,5488.833333333333,5000.0,5012.617675982819
71324,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-08-06,,,5435.5,5000.0,5009.813747986636
72179,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-08-09,,,5382.166666666667,5000.0,5007.632915100718
73034,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-08-10,,,5328.833333333333,5000.0,5005.936711745003
73889,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-08-12,,,5275.5,5000.0,5004.617442468336
74744,5000.0,5000.0,5000.0,5000.0,0,IBST,2021-08-13,,,5222.166666666667,5000.0,5003.591344142039
75599,5050.0,4660.0,5050.0,4660.0,1200,IBST,2021-08-16,,,5170.0,4966.0,4927.237712110475
76454,4660.0,4660.0,4660.0,4660.0,0,IBST,2021-08-18,,,5125.333333333333,4932.0,4867.851553863702
77309,4660.0,4660.0,4660.0,4660.0,0,IBST,2021-08-19,,,5080.666666666667,4898.0,4821.662319671768
78164,4500.0,4500.0,4500.0,4500.0,100,IBST,2021-08-20,,,5043.166666666667,4848.0,4750.181804189153
