,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
328,78.0,75.0,78.0,74.0,288300,ICON,2021-04-01,,,,,
1168,75.0,76.0,81.0,75.0,137000,ICON,2021-04-05,,,,,
2008,76.0,78.0,79.0,75.0,214100,ICON,2021-04-06,,,,,
2848,78.0,77.0,79.0,76.0,110900,ICON,2021-04-07,,,,,
3690,77.0,78.0,80.0,77.0,148200,ICON,2021-04-08,,,,,
4534,78.0,78.0,78.0,75.0,118300,ICON,2021-04-09,,,,,
5377,78.0,78.0,78.0,75.0,66100,ICON,2021-04-12,,,,,
6221,78.0,77.0,78.0,75.0,38900,ICON,2021-04-13,,,,,77.125
7065,76.0,75.0,76.0,74.0,113100,ICON,2021-04-14,,,,,76.65277777777777
7910,74.0,75.0,77.0,74.0,256800,ICON,2021-04-15,,,,76.7,76.2854938271605
8754,77.0,75.0,77.0,75.0,252400,ICON,2021-04-16,,,,76.7,75.99982853223594
9598,75.0,76.0,76.0,74.0,102800,ICON,2021-04-19,,,,76.7,75.99986663618351
10442,76.0,75.0,76.0,74.0,46100,ICON,2021-04-20,,,,76.4,75.77767405036495
11286,75.0,76.0,76.0,75.0,8300,ICON,2021-04-21,,,,76.3,75.82707981695052
12130,76.0,76.0,76.0,75.0,59300,ICON,2021-04-22,,,,76.1,75.86550652429484
12974,76.0,75.0,76.0,74.0,391200,ICON,2021-04-23,,,,75.8,75.67317174111821
13817,73.0,75.0,75.0,71.0,60200,ICON,2021-04-26,,,,75.5,75.52357802086972
14660,75.0,75.0,76.0,72.0,269600,ICON,2021-04-27,,,,75.3,75.40722734956533
15504,75.0,74.0,75.0,73.0,18800,ICON,2021-04-28,,,,75.2,75.09451016077304
16348,74.0,99.0,99.0,74.0,5287000,ICON,2021-04-29,,,,77.6,80.40684123615681
17192,105.0,99.0,133.0,93.0,57777700,ICON,2021-04-30,,,,80.0,84.53865429478863
18035,98.0,97.0,102.0,93.0,7468000,ICON,2021-05-03,,,,82.1,87.30784222928004
18878,106.0,101.0,128.0,100.0,40664200,ICON,2021-05-04,,,,84.7,90.3505439561067
19720,101.0,110.0,119.0,94.0,15040700,ICON,2021-05-05,,,,88.1,94.71708974363855
20564,115.0,111.0,140.0,104.0,68225200,ICON,2021-05-06,,,,91.6,98.33551424505221
21408,113.0,120.0,136.0,110.0,77486500,ICON,2021-05-07,,,,96.1,103.14984441281838
22252,120.0,115.0,122.0,112.0,10573000,ICON,2021-05-10,,,,100.1,105.78321232108097
23095,115.0,109.0,116.0,107.0,3504800,ICON,2021-05-11,,,,103.5,106.49805402750742
23937,107.0,106.0,111.0,103.0,4083900,ICON,2021-05-17,,,,106.7,106.387375354728
