,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121408,420.0,430.0,430.0,420.0,6200,IFSH,2020-07-01,,,,,
128829,430.0,428.0,430.0,400.0,1600,IFSH,2020-07-02,,,,,
102503,428.0,430.0,430.0,428.0,1400,IFSH,2020-07-03,,,,,
85196,420.0,420.0,420.0,420.0,200,IFSH,2020-07-06,,,,,
34093,400.0,400.0,450.0,392.0,10300,IFSH,2020-07-07,,,,,
48104,420.0,410.0,450.0,390.0,18000,IFSH,2020-07-08,,,,,
114831,410.0,410.0,420.0,410.0,1700,IFSH,2020-07-09,,,,,
23389,410.0,440.0,440.0,410.0,10700,IFSH,2020-07-10,,,,,421.0
15153,440.0,438.0,440.0,430.0,15700,IFSH,2020-07-13,,,,,424.77777777777777
31631,450.0,446.0,450.0,446.0,700,IFSH,2020-07-14,,,,425.2,429.4938271604938
90134,446.0,440.0,450.0,440.0,700,IFSH,2020-07-15,,,,426.2,431.82853223593963
21744,430.0,436.0,436.0,430.0,400,IFSH,2020-07-16,,,,427.0,432.7555250723975
104940,434.0,448.0,448.0,434.0,18600,IFSH,2020-07-17,,,,428.8,436.1431861674203
78608,448.0,448.0,448.0,448.0,0,IFSH,2020-07-20,,,,431.6,438.77803368577133
103311,448.0,448.0,448.0,448.0,2500,IFSH,2020-07-21,,,,436.4,440.8273595333777
94254,448.0,448.0,448.0,448.0,0,IFSH,2020-07-22,,,,440.2,442.42127963707156
8562,448.0,446.0,448.0,446.0,200,IFSH,2020-07-23,,,,443.8,443.2165508288334
101689,446.0,446.0,446.0,446.0,100,IFSH,2020-07-24,,,,444.4,443.83509508909265
55519,446.0,446.0,446.0,446.0,100,IFSH,2020-07-27,,,,445.2,444.3161850692943
41510,446.0,446.0,446.0,446.0,0,IFSH,2020-07-28,,,,445.2,444.6903661650067
111542,450.0,450.0,450.0,448.0,11500,IFSH,2020-07-29,,,,446.2,445.8702847950052
81062,450.0,450.0,450.0,450.0,0,IFSH,2020-07-30,,,,447.6,446.78799928500405
118128,450.0,450.0,450.0,450.0,0,IFSH,2020-08-03,,,,447.8,447.50177722166984
6925,440.0,440.0,440.0,440.0,400,IFSH,2020-08-04,,,,447.0,445.83471561685434
53875,430.0,430.0,430.0,430.0,400,IFSH,2020-08-05,,,,445.2,442.31588992422
70364,420.0,410.0,440.0,410.0,13100,IFSH,2020-08-06,,,,441.4,435.13458105217114
43981,412.0,410.0,430.0,410.0,1000,IFSH,2020-08-07,,,,437.8,429.5491185961331
99210,382.0,384.0,384.0,382.0,1100,IFSH,2020-08-10,,,,431.6,419.42709224143687
53059,384.0,380.0,400.0,380.0,41500,IFSH,2020-08-11,,,,425.0,410.66551618778425
120591,400.0,420.0,420.0,400.0,3700,IFSH,2020-08-12,,,430.93333333333334,422.4,412.7398459238322
62940,420.0,420.0,420.0,410.0,1700,IFSH,2020-08-13,,,430.6,419.4,414.3532134963139
87677,420.0,420.0,420.0,420.0,200,IFSH,2020-08-14,,,430.3333333333333,416.4,415.6080549415775
61296,420.0,420.0,420.0,420.0,0,IFSH,2020-08-18,,,430.0,413.4,416.58404273233805
89318,392.0,392.0,392.0,392.0,700,IFSH,2020-08-19,,,429.06666666666666,408.6,411.1209221251518
10210,372.0,390.0,394.0,372.0,101200,IFSH,2020-08-24,,,428.73333333333335,404.6,406.4273838751181
129637,370.0,364.0,380.0,364.0,10400,IFSH,2020-08-25,,,427.2,400.0,396.9990763473141
104124,364.0,340.0,380.0,340.0,4700,IFSH,2020-08-26,,,424.8666666666667,393.0,384.33261493679987
3630,340.0,330.0,416.0,318.0,89800,IFSH,2020-08-27,,,421.2,387.6,372.2587005063999
79420,350.0,330.0,350.0,310.0,3700,IFSH,2020-08-28,,,417.6,382.6,362.8678781716444
27509,330.0,330.0,330.0,330.0,100,IFSH,2020-08-31,,,413.73333333333335,373.6,355.56390524461233
34904,330.0,330.0,330.0,330.0,100,IFSH,2020-09-01,,,410.06666666666666,364.6,349.88303741247626
39042,308.0,308.0,310.0,308.0,11300,IFSH,2020-09-02,,,405.8,353.4,340.5756957652593
68711,308.0,308.0,308.0,308.0,200,IFSH,2020-09-03,,,401.1333333333333,342.2,333.3366522618683
12685,308.0,288.0,308.0,288.0,1000,IFSH,2020-09-04,,,395.8,331.8,323.2618406481198
26690,288.0,288.0,288.0,288.0,0,IFSH,2020-09-07,,,390.46666666666664,321.6,315.4258760596487
108235,288.0,288.0,288.0,288.0,300,IFSH,2020-09-08,,,385.1333333333333,314.0,309.33123693528233
122216,288.0,288.0,288.0,288.0,0,IFSH,2020-09-09,,,379.8666666666667,308.8,304.59096206077515
7739,288.0,288.0,288.0,288.0,0,IFSH,2020-09-10,,,374.6,304.6,300.9040816028251
17616,268.0,272.0,272.0,268.0,600,IFSH,2020-09-11,,,368.8,298.8,294.48095235775287
44798,272.0,286.0,286.0,268.0,26800,IFSH,2020-09-14,,,363.46666666666664,294.4,292.5962962782522
66237,288.0,328.0,340.0,288.0,1600,IFSH,2020-09-15,,,359.4,294.2,300.4637859941962
1151,328.0,360.0,360.0,328.0,33700,IFSH,2020-09-16,,,356.4,299.4,313.6940557732637
56335,390.0,370.0,400.0,370.0,6100,IFSH,2020-09-17,,,353.73333333333335,305.6,326.2064878236495
62115,350.0,350.0,350.0,350.0,4700,IFSH,2020-09-18,,,350.73333333333335,311.8,331.49393497394965
