,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120575,256.0,254.0,260.0,252.0,71100,IGAR,2020-07-01,,,,,
127996,262.0,262.0,262.0,252.0,466000,IGAR,2020-07-02,,,,,
101670,260.0,270.0,274.0,260.0,244800,IGAR,2020-07-03,,,,,
84363,270.0,266.0,278.0,262.0,108900,IGAR,2020-07-06,,,,,
34094,270.0,264.0,270.0,260.0,96300,IGAR,2020-07-07,,,,,
47271,262.0,260.0,264.0,258.0,96900,IGAR,2020-07-08,,,,,
113998,260.0,260.0,266.0,260.0,20000,IGAR,2020-07-09,,,,,
23390,268.0,260.0,270.0,260.0,85800,IGAR,2020-07-10,,,,,262.0
15154,260.0,264.0,274.0,260.0,348000,IGAR,2020-07-13,,,,,262.44444444444446
31632,270.0,266.0,270.0,266.0,61200,IGAR,2020-07-14,,,,262.6,263.2345679012346
89301,270.0,266.0,274.0,266.0,27800,IGAR,2020-07-15,,,,263.8,263.8491083676269
21745,260.0,276.0,276.0,260.0,46900,IGAR,2020-07-16,,,,265.2,266.54930650815425
104107,276.0,260.0,276.0,258.0,355800,IGAR,2020-07-17,,,,264.2,265.0939050618978
77775,262.0,260.0,262.0,260.0,16600,IGAR,2020-07-20,,,,263.6,263.96192615925384
102478,270.0,264.0,296.0,264.0,106400,IGAR,2020-07-21,,,,263.6,263.970387012753
93421,262.0,270.0,270.0,262.0,1000,IGAR,2020-07-22,,,,264.6,265.310301009919
8563,270.0,268.0,270.0,266.0,46400,IGAR,2020-07-23,,,,265.4,265.9080118966037
100856,276.0,270.0,276.0,268.0,240500,IGAR,2020-07-24,,,,266.4,266.8173425862473
54686,270.0,274.0,276.0,264.0,840000,IGAR,2020-07-27,,,,267.4,268.4134886781924
41511,274.0,268.0,274.0,268.0,8800,IGAR,2020-07-28,,,,267.6,268.32160230526074
110709,268.0,272.0,272.0,266.0,101000,IGAR,2020-07-29,,,,268.2,269.1390240152028
80229,272.0,272.0,272.0,272.0,24300,IGAR,2020-07-30,,,,267.8,269.7747964562688
117295,276.0,274.0,282.0,262.0,899200,IGAR,2020-08-03,,,,269.2,270.713730577098
6926,278.0,280.0,282.0,278.0,28600,IGAR,2020-08-04,,,,271.2,272.77734600440954
53042,270.0,280.0,280.0,262.0,22200,IGAR,2020-08-05,,,,272.8,274.38238022565184
69531,282.0,278.0,282.0,276.0,39900,IGAR,2020-08-06,,,,273.6,275.18629573106256
43148,294.0,282.0,310.0,282.0,274600,IGAR,2020-08-07,,,,275.0,276.70045223527086
98377,286.0,302.0,306.0,284.0,470400,IGAR,2020-08-10,,,,278.2,282.32257396076625
52226,304.0,316.0,334.0,304.0,827100,IGAR,2020-08-11,,,,282.4,289.8064464139293
119758,318.0,324.0,334.0,312.0,375100,IGAR,2020-08-12,,,272.73333333333335,288.0,297.40501387750055
62107,320.0,306.0,330.0,306.0,911900,IGAR,2020-08-13,,,274.46666666666664,291.4,299.3150107936115
86844,306.0,310.0,316.0,296.0,209200,IGAR,2020-08-14,,,276.06666666666666,295.2,301.6894528394756
60463,310.0,312.0,324.0,310.0,193600,IGAR,2020-08-18,,,277.46666666666664,299.0,303.98068554181435
88485,318.0,318.0,318.0,310.0,51200,IGAR,2020-08-19,,,279.2,302.8,307.09608875474447
10211,320.0,338.0,360.0,320.0,1182400,IGAR,2020-08-24,,,281.6666666666667,308.6,313.9636245870235
128804,340.0,338.0,350.0,338.0,346000,IGAR,2020-08-25,,,284.26666666666665,314.6,319.3050413454627
103291,340.0,346.0,346.0,338.0,92100,IGAR,2020-08-26,,,287.1333333333333,321.0,325.2372543798043
3631,346.0,354.0,354.0,340.0,764300,IGAR,2020-08-27,,,290.26666666666665,326.2,331.62897562873667
78587,354.0,342.0,356.0,340.0,309000,IGAR,2020-08-28,,,292.8666666666667,328.8,333.93364771123964
27510,344.0,328.0,356.0,322.0,476100,IGAR,2020-08-31,,,294.93333333333334,329.2,332.6150593309642
34905,332.0,340.0,348.0,328.0,149200,IGAR,2020-09-01,,,297.4,332.6,334.2561572574166
39043,340.0,336.0,348.0,330.0,29600,IGAR,2020-09-02,,,299.4,335.2,334.64367786687956
67878,338.0,332.0,340.0,332.0,201500,IGAR,2020-09-03,,,301.8,337.2,334.0561938964619
