,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
0,5988.023,6011.456,6020.164,5960.817,126328799,IHSG,2021-04-01,,,,,
840,6040.055,5970.286,6051.621,5964.484,131070019,IHSG,2021-04-05,,,,,
1680,5973.987,6002.77,6008.505,5944.421,146513233,IHSG,2021-04-06,,,,,
2520,6011.958,6036.616,6040.456,5982.067,150684894,IHSG,2021-04-07,,,,,
3362,6035.037,6071.724,6073.914,6030.286,185075584,IHSG,2021-04-08,,,,,
4204,6101.723,6070.209,6113.156,6070.209,178105803,IHSG,2021-04-09,,,,,
5047,6080.792,5948.569,6088.828,5942.714,151377394,IHSG,2021-04-12,,,,,
5891,5944.526,5927.435,5957.612,5883.524,159337859,IHSG,2021-04-13,,,,,6004.883125000001
6735,5964.03,6050.276,6050.276,5962.317,150503768,IHSG,2021-04-14,,,,,6014.970430555556
7580,6057.611,6079.501,6079.501,6029.154,148608471,IHSG,2021-04-15,,,,6016.8842,6029.3105570987655
8425,6102.378,6086.258,6115.62,6062.922,170948590,IHSG,2021-04-16,,,,6024.3644,6041.965544410151
9269,6084.785,6052.54,6096.995,6031.832,170553619,IHSG,2021-04-19,,,,6032.589800000001,6044.315423430117
10113,6029.992,6038.322,6045.694,5997.948,122020811,IHSG,2021-04-20,,,,6036.145000000001,6042.983551556758
10957,6010.268,5993.242,6025.5,5989.984,129993540,IHSG,2021-04-21,,,,6031.807600000001,6031.929873433034
11801,6004.794,5994.184,6024.938,5980.455,150044126,IHSG,2021-04-22,,,,6024.053600000001,6023.541901559027
12645,6000.912,6016.864,6027.059,5973.247,162819054,IHSG,2021-04-23,,,,6018.7191,6022.057923434799
13489,6018.34,5964.821,6027.753,5955.618,137338430,IHSG,2021-04-26,,,,6020.3443,6009.338607115955
14332,5986.996,5959.621,6003.918,5950.868,134963210,IHSG,2021-04-27,,,,6023.5629,5998.290249979076
15175,5959.951,5974.479,5981.896,5953.943,145138987,IHSG,2021-04-28,,,,6015.983200000001,5992.998861094837
16019,6005.799,6012.961,6019.025,5987.743,151384608,IHSG,2021-04-29,,,,6009.329200000001,5997.434891962651
16863,6026.528,5995.616,6033.9,5985.022,161161755,IHSG,2021-04-30,,,,6000.265000000001,5997.0306937487285
17707,5999.661,5952.597,6004.008,5938.876,170920375,IHSG,2021-05-03,,,,5990.270700000001,5987.1565395823445
18550,5955.395,5963.82,5974.682,5932.318,162829097,IHSG,2021-05-04,,,,5982.820500000001,5981.970641897379
19393,5974.56,5975.911,5992.932,5971.309,144011257,IHSG,2021-05-05,,,,5981.087400000001,5980.624054809073
20237,5987.066,5970.24,6005.088,5950.9,130761202,IHSG,2021-05-06,,,,5978.693000000001,5978.316487073723
21081,5987.33,5928.309,5994.33,5922.493,135293315,IHSG,2021-05-07,,,,5969.837500000001,5967.203712168451
21925,5942.106,5975.787,5985.372,5941.927,132806860,IHSG,2021-05-10,,,,5970.9341,5969.11110946435
22768,5965.852,5938.351,5966.664,5911.376,136535177,IHSG,2021-05-11,,,,5968.8071,5962.275529583383
