,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126416,500.0,500.0,510.0,494.0,2756400,IKAN,2020-07-01,,,,,
133837,500.0,505.0,520.0,500.0,3440200,IKAN,2020-07-02,,,,,
107511,505.0,496.0,510.0,496.0,1253600,IKAN,2020-07-03,,,,,
89370,496.0,478.0,515.0,476.0,6692100,IKAN,2020-07-06,,,,,
34097,478.0,468.0,490.0,468.0,4839000,IKAN,2020-07-07,,,,,
51444,470.0,500.0,505.0,462.0,7056300,IKAN,2020-07-08,,,,,
119839,505.0,530.0,535.0,500.0,3648000,IKAN,2020-07-09,,,,,
23393,530.0,570.0,570.0,520.0,6805800,IKAN,2020-07-10,,,,,505.875
15157,570.0,620.0,625.0,560.0,9350700,IKAN,2020-07-13,,,,,531.2361111111111
31635,625.0,660.0,660.0,610.0,6869900,IKAN,2020-07-14,,,,532.7,559.8503086419753
95142,660.0,625.0,695.0,620.0,17740300,IKAN,2020-07-15,,,,545.2,574.3280178326474
21748,625.0,600.0,640.0,600.0,4568800,IKAN,2020-07-16,,,,554.7,580.0329027587258
109948,600.0,590.0,630.0,585.0,6879700,IKAN,2020-07-17,,,,564.1,582.2478132567867
82782,590.0,570.0,605.0,570.0,4662600,IKAN,2020-07-20,,,,573.3,579.5260769775008
108319,570.0,635.0,635.0,560.0,8104100,IKAN,2020-07-21,,,,590.0,591.8536154269451
99262,635.0,655.0,655.0,625.0,10681300,IKAN,2020-07-22,,,,605.5,605.8861453320684
8566,655.0,630.0,675.0,620.0,9327300,IKAN,2020-07-23,,,,615.5,611.2447797027198
106697,630.0,695.0,695.0,625.0,11026900,IKAN,2020-07-24,,,,628.0,629.8570508798932
59693,695.0,675.0,715.0,665.0,10754000,IKAN,2020-07-27,,,,633.5,639.888817351028
43182,675.0,740.0,740.0,675.0,10582800,IKAN,2020-07-28,,,,641.5,662.1357468285773
116550,740.0,715.0,755.0,700.0,8906600,IKAN,2020-07-29,,,,650.5,673.883358644449
85236,720.0,675.0,750.0,665.0,18992200,IKAN,2020-07-30,,,,658.0,674.1315011679047
123136,675.0,710.0,710.0,650.0,9647000,IKAN,2020-08-03,,,,670.0,682.1022786861481
6929,710.0,760.0,760.0,695.0,12552100,IKAN,2020-08-04,,,,689.0,699.4128834225596
58049,760.0,725.0,790.0,725.0,17498000,IKAN,2020-08-05,,,,698.0,705.0989093286574
74538,725.0,715.0,745.0,700.0,14282400,IKAN,2020-08-06,,,,704.0,707.2991517000669
46487,715.0,680.0,725.0,665.0,18370400,IKAN,2020-08-07,,,,709.0,701.2326735444965
104218,680.0,645.0,695.0,635.0,21317200,IKAN,2020-08-10,,,,704.0,688.7365238679417
57233,645.0,600.0,690.0,600.0,39823700,IKAN,2020-08-11,,,,696.5,669.0172963417325
125599,590.0,560.0,600.0,560.0,7632900,IKAN,2020-08-12,,,617.5666666666667,678.5,644.7912304880142
67114,550.0,555.0,645.0,525.0,74104900,IKAN,2020-08-13,,,619.4,662.5,624.8376237128999
92685,550.0,520.0,575.0,520.0,32572800,IKAN,2020-08-14,,,619.9,647.0,601.5403739989222
65470,505.0,484.0,505.0,484.0,7752400,IKAN,2020-08-18,,,619.5,624.4,575.4202908880505
94326,470.0,515.0,515.0,452.0,32403300,IKAN,2020-08-19,,,620.7333333333333,599.9,561.9935595795948
10214,520.0,496.0,550.0,490.0,31454300,IKAN,2020-08-24,,,621.6666666666666,577.0,547.3283241174627
134645,496.0,466.0,515.0,462.0,27036600,IKAN,2020-08-25,,,620.5333333333333,552.1,529.255363202471
109132,468.0,468.0,478.0,464.0,14197800,IKAN,2020-08-26,,,618.4666666666667,530.9,515.6430602685886
3634,470.0,440.0,488.0,436.0,31042700,IKAN,2020-08-27,,,614.1333333333333,510.4,498.8334913200133
83594,440.0,454.0,454.0,440.0,9472700,IKAN,2020-08-28,,,608.6,495.8,488.87049324889927
27513,454.0,426.0,472.0,424.0,31008400,IKAN,2020-08-31,,,600.8,482.4,474.89927252692166
34908,426.0,464.0,464.0,422.0,20316900,IKAN,2020-09-01,,,595.4333333333333,473.3,472.4772119653835
39046,468.0,436.0,486.0,432.0,35658400,IKAN,2020-09-02,,,589.9666666666667,464.9,464.3711648619649
72885,434.0,412.0,440.0,408.0,13932100,IKAN,2020-09-03,,,584.0333333333333,457.7,452.73312822597273
12689,412.0,406.0,420.0,404.0,5697300,IKAN,2020-09-04,,,578.5666666666667,446.8,442.347988620201
26694,406.0,386.0,418.0,384.0,15708500,IKAN,2020-09-07,,,570.2666666666667,435.8,429.82621337126744
113243,386.0,372.0,406.0,368.0,16040400,IKAN,2020-09-08,,,560.8333333333334,426.4,416.975943733208
