,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
337,1080.0,1070.0,1105.0,1055.0,2530300,IMAS,2021-04-01,,,,,
1177,1070.0,1060.0,1080.0,1045.0,1617000,IMAS,2021-04-05,,,,,
2017,1060.0,1065.0,1085.0,1055.0,1263100,IMAS,2021-04-06,,,,,
2857,1080.0,1120.0,1130.0,1055.0,5706600,IMAS,2021-04-07,,,,,
3699,1125.0,1105.0,1130.0,1105.0,1656000,IMAS,2021-04-08,,,,,
4543,1110.0,1100.0,1125.0,1100.0,1540400,IMAS,2021-04-09,,,,,
5386,1100.0,1035.0,1110.0,1025.0,4712300,IMAS,2021-04-12,,,,,
6230,1040.0,1050.0,1050.0,990.0,2420100,IMAS,2021-04-13,,,,,1075.625
7074,1060.0,1055.0,1100.0,1045.0,2535200,IMAS,2021-04-14,,,,,1071.0416666666667
7919,1065.0,1045.0,1075.0,1040.0,1363000,IMAS,2021-04-15,,,,1070.5,1065.2546296296298
8763,1045.0,1080.0,1085.0,1045.0,2567600,IMAS,2021-04-16,,,,1071.5,1068.5313786008232
9607,1085.0,1080.0,1130.0,1055.0,4174300,IMAS,2021-04-19,,,,1073.5,1071.0799611339737
10451,1080.0,1065.0,1090.0,1035.0,1457900,IMAS,2021-04-20,,,,1073.5,1069.7288586597574
11295,1060.0,1065.0,1090.0,1040.0,2117000,IMAS,2021-04-21,,,,1068.0,1068.6780011798114
12139,1080.0,1100.0,1135.0,1070.0,6678400,IMAS,2021-04-22,,,,1067.5,1075.6384453620756
12983,1100.0,1085.0,1120.0,1080.0,2995400,IMAS,2021-04-23,,,,1066.0,1077.71879083717
13826,1090.0,1075.0,1100.0,1065.0,1769800,IMAS,2021-04-26,,,,1070.0,1077.1146150955767
14669,1075.0,1065.0,1090.0,1055.0,1005800,IMAS,2021-04-27,,,,1071.5,1074.4224784076707
15513,1060.0,1070.0,1070.0,1050.0,1061900,IMAS,2021-04-28,,,,1073.0,1073.4397054281883
