,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123917,260.0,250.0,260.0,250.0,42599800,IMJS,2020-07-01,,,,,
131338,252.0,244.0,256.0,238.0,4663200,IMJS,2020-07-02,,,,,
105012,250.0,240.0,252.0,236.0,2806600,IMJS,2020-07-03,,,,,
86871,240.0,252.0,252.0,240.0,4919700,IMJS,2020-07-06,,,,,
34100,256.0,246.0,256.0,242.0,1195900,IMJS,2020-07-07,,,,,
48945,246.0,244.0,250.0,242.0,1224500,IMJS,2020-07-08,,,,,
117340,246.0,246.0,248.0,244.0,323900,IMJS,2020-07-09,,,,,
23396,248.0,246.0,256.0,244.0,914000,IMJS,2020-07-10,,,,,246.0
15160,248.0,252.0,254.0,248.0,1462500,IMJS,2020-07-13,,,,,247.33333333333334
31638,252.0,248.0,254.0,244.0,1066600,IMJS,2020-07-14,,,,246.8,247.4814814814815
92643,248.0,278.0,282.0,244.0,21924800,IMJS,2020-07-15,,,,249.6,254.26337448559673
21751,282.0,260.0,284.0,260.0,7543200,IMJS,2020-07-16,,,,251.2,255.53818015546412
107449,260.0,260.0,264.0,252.0,1984800,IMJS,2020-07-17,,,,253.2,256.5296956764721
80283,264.0,258.0,264.0,252.0,1577500,IMJS,2020-07-20,,,,253.8,256.85642997058943
105820,258.0,280.0,282.0,258.0,13395300,IMJS,2020-07-21,,,,257.2,261.9994455326807
96763,284.0,280.0,294.0,270.0,11538400,IMJS,2020-07-22,,,,260.8,265.9995687476405
8569,280.0,272.0,286.0,272.0,2634500,IMJS,2020-07-23,,,,263.4,267.33299791483154
104198,270.0,260.0,276.0,260.0,5581200,IMJS,2020-07-24,,,,264.8,265.70344282264676
57194,270.0,252.0,270.0,242.0,11246700,IMJS,2020-07-27,,,,264.8,262.65823330650306
41517,260.0,252.0,266.0,250.0,2843700,IMJS,2020-07-28,,,,265.2,260.28973701616906
114051,252.0,246.0,258.0,246.0,1427600,IMJS,2020-07-29,,,,262.0,257.1142399014648
82737,248.0,246.0,256.0,246.0,1226600,IMJS,2020-07-30,,,,260.6,254.64440881225042
120637,246.0,230.0,246.0,230.0,4228600,IMJS,2020-08-03,,,,257.6,249.1678735206392
6932,230.0,238.0,246.0,222.0,1006500,IMJS,2020-08-04,,,,255.6,246.68612384938604
55550,238.0,230.0,238.0,230.0,3626000,IMJS,2020-08-05,,,,250.6,242.97809632730025
72039,230.0,234.0,238.0,222.0,5310500,IMJS,2020-08-06,,,,246.0,240.9829638101224
43988,252.0,238.0,252.0,234.0,860900,IMJS,2020-08-07,,,,242.6,240.32008296342855
101719,242.0,232.0,244.0,232.0,1625200,IMJS,2020-08-10,,,,239.8,238.4711756382222
54734,234.0,272.0,278.0,232.0,69969500,IMJS,2020-08-11,,,,241.8,245.92202549639504
123100,260.0,254.0,274.0,254.0,18166100,IMJS,2020-08-12,,,251.33333333333334,242.0,247.7171309416406
64615,238.0,254.0,266.0,238.0,9521100,IMJS,2020-08-13,,,251.46666666666667,242.8,249.11332406572046
90186,256.0,250.0,270.0,248.0,14083900,IMJS,2020-08-14,,,251.66666666666666,243.2,249.31036316222702
62971,250.0,254.0,262.0,240.0,26998800,IMJS,2020-08-18,,,252.13333333333333,245.6,250.3525046817321
91827,254.0,256.0,268.0,248.0,38462300,IMJS,2020-08-19,,,252.26666666666668,247.4,251.6075036413472
10217,260.0,320.0,320.0,256.0,227946900,IMJS,2020-08-24,,,254.73333333333332,256.4,266.8058361654923
132146,330.0,310.0,334.0,300.0,164849500,IMJS,2020-08-25,,,256.93333333333334,264.0,276.40453923982733
106633,310.0,310.0,322.0,306.0,23538300,IMJS,2020-08-26,,,259.06666666666666,271.2,283.8701971865324
3637,310.0,320.0,336.0,298.0,104184600,IMJS,2020-08-27,,,261.53333333333336,280.0,291.8990422561919
81095,324.0,314.0,332.0,312.0,63738500,IMJS,2020-08-28,,,263.6,284.2,296.81036619926033
27516,316.0,294.0,320.0,294.0,51274100,IMJS,2020-08-31,,,265.1333333333333,288.2,296.18584037720245
34911,294.0,304.0,304.0,280.0,43704900,IMJS,2020-09-01,,,266.0,293.2,297.9223202933797
39049,306.0,296.0,312.0,292.0,22994800,IMJS,2020-09-02,,,267.2,297.8,297.49513800596196
