,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123922,356.0,430.0,430.0,356.0,692200,INCI,2020-07-01,,,,,
131343,440.0,535.0,535.0,434.0,1245600,INCI,2020-07-02,,,,,
105017,560.0,520.0,630.0,515.0,534600,INCI,2020-07-03,,,,,
86876,500.0,510.0,510.0,486.0,389300,INCI,2020-07-06,,,,,
34105,510.0,510.0,510.0,488.0,22100,INCI,2020-07-07,,,,,
48950,505.0,555.0,570.0,490.0,205000,INCI,2020-07-08,,,,,
117345,555.0,525.0,590.0,520.0,244700,INCI,2020-07-09,,,,,
23401,520.0,496.0,520.0,490.0,63000,INCI,2020-07-10,,,,,510.125
15165,490.0,505.0,545.0,462.0,166800,INCI,2020-07-13,,,,,508.9861111111111
31643,550.0,470.0,550.0,470.0,578700,INCI,2020-07-14,,,,505.6,500.3225308641975
92648,490.0,454.0,490.0,438.0,380300,INCI,2020-07-15,,,,508.0,490.0286351165981
21756,474.0,468.0,480.0,442.0,54900,INCI,2020-07-16,,,,501.3,485.13338286846516
107454,488.0,470.0,490.0,460.0,66900,INCI,2020-07-17,,,,496.3,481.7704088976951
80288,490.0,520.0,525.0,472.0,186200,INCI,2020-07-20,,,,497.3,490.2658735870962
105825,570.0,590.0,640.0,525.0,1217100,INCI,2020-07-21,,,,505.3,512.4290127899637
96768,590.0,605.0,610.0,580.0,341500,INCI,2020-07-22,,,,510.3,533.0003432810829
8574,610.0,660.0,690.0,605.0,898700,INCI,2020-07-23,,,,523.8,561.22248921862
104203,660.0,680.0,705.0,645.0,1258800,INCI,2020-07-24,,,,542.2,587.6174916144822
57199,680.0,705.0,730.0,680.0,981000,INCI,2020-07-27,,,,562.2,613.7024934779306
41522,705.0,690.0,715.0,675.0,753500,INCI,2020-07-28,,,,584.2,630.6574949272793
114056,695.0,680.0,695.0,670.0,494100,INCI,2020-07-29,,,,606.8,641.6224960545507
82742,670.0,680.0,705.0,670.0,1148200,INCI,2020-07-30,,,,628.0,650.1508302646505
120642,680.0,635.0,680.0,635.0,1016200,INCI,2020-08-03,,,,644.5,646.7839790947281
6937,650.0,665.0,675.0,635.0,297500,INCI,2020-08-04,,,,659.0,650.8319837403441
55555,665.0,660.0,675.0,645.0,253400,INCI,2020-08-05,,,,666.0,652.8693206869343
72044,660.0,665.0,665.0,645.0,100200,INCI,2020-08-06,,,,672.0,655.5650272009489
43993,665.0,645.0,665.0,640.0,134200,INCI,2020-08-07,,,,670.5,653.2172433785158
101724,695.0,660.0,695.0,640.0,68900,INCI,2020-08-10,,,,668.5,654.7245226277346
54739,660.0,655.0,660.0,650.0,63500,INCI,2020-08-11,,,,663.5,654.7857398215714
123105,655.0,650.0,655.0,640.0,87100,INCI,2020-08-12,,,583.1,659.5,653.7222420834444
64620,690.0,640.0,690.0,635.0,113400,INCI,2020-08-13,,,590.1,655.5,650.6728549537901
90191,640.0,665.0,680.0,635.0,222600,INCI,2020-08-14,,,594.4333333333333,654.0,653.856664964059
62976,645.0,670.0,680.0,645.0,170700,INCI,2020-08-18,,,599.4333333333333,657.5,657.4440727498236
91832,680.0,670.0,680.0,660.0,94600,INCI,2020-08-19,,,604.7666666666667,658.0,660.2342788054184
10222,670.0,705.0,790.0,665.0,1418500,INCI,2020-08-24,,,611.2666666666667,662.5,670.1822168486588
132151,715.0,685.0,725.0,675.0,874400,INCI,2020-08-25,,,615.6,664.5,673.4750575489568
106638,685.0,695.0,705.0,685.0,126100,INCI,2020-08-26,,,621.2666666666667,669.5,678.258378093633
3642,695.0,725.0,725.0,695.0,602500,INCI,2020-08-27,,,628.9,676.0,688.6454051839368
81100,725.0,715.0,740.0,705.0,386700,INCI,2020-08-28,,,635.9,682.0,694.5019818097286
27521,715.0,675.0,715.0,675.0,616800,INCI,2020-08-31,,,642.7333333333333,684.5,690.1682080742333
34916,680.0,660.0,690.0,640.0,764200,INCI,2020-09-01,,,649.6,686.5,683.4641618355148
39054,655.0,655.0,660.0,640.0,182200,INCI,2020-09-02,,,655.8333333333334,685.5,677.1387925387337
70391,655.0,650.0,655.0,640.0,121100,INCI,2020-09-03,,,661.8333333333334,683.5,671.1079497523484
12697,650.0,665.0,675.0,640.0,149300,INCI,2020-09-04,,,666.6666666666666,683.0,669.7506275851599
26702,670.0,660.0,670.0,650.0,101500,INCI,2020-09-07,,,669.0,678.5,667.5838214551244
110749,665.0,660.0,665.0,645.0,51200,INCI,2020-09-08,,,670.8333333333334,676.0,665.8985277984301
124730,660.0,645.0,660.0,635.0,162200,INCI,2020-09-09,,,670.3333333333334,671.0,661.2544105098901
7751,645.0,600.0,645.0,600.0,997300,INCI,2020-09-10,,,667.6666666666666,658.5,647.6423192854701
17628,580.0,625.0,640.0,560.0,219400,INCI,2020-09-11,,,665.0,649.5,642.6106927775878
44810,625.0,635.0,645.0,625.0,95100,INCI,2020-09-14,,,663.1666666666666,645.5,640.9194277159016
67917,635.0,640.0,640.0,625.0,35100,INCI,2020-09-15,,,661.8333333333334,643.5,640.7151104457013
1163,650.0,625.0,650.0,605.0,54800,INCI,2020-09-16,,,660.0,640.5,637.2228636799899
58015,630.0,620.0,630.0,620.0,39200,INCI,2020-09-17,,,659.5,637.5,633.3955606399921
63795,630.0,625.0,630.0,605.0,42300,INCI,2020-09-18,,,658.1666666666666,633.5,631.5298804977716
73687,635.0,620.0,635.0,610.0,54100,INCI,2020-09-21,,,656.8333333333334,629.5,628.9676848316002
102543,620.0,610.0,620.0,580.0,112100,INCI,2020-09-22,,,655.0,624.5,624.7526437579113
78640,610.0,610.0,610.0,600.0,47700,INCI,2020-09-23,,,653.8333333333334,621.0,621.4742784783755
67090,605.0,600.0,605.0,585.0,91400,INCI,2020-09-24,,,651.8333333333334,621.0,616.702216594292
99245,600.0,600.0,605.0,595.0,58100,INCI,2020-09-25,,,650.0,618.5,612.9906129066716
61327,600.0,595.0,610.0,585.0,37200,INCI,2020-09-28,,,648.1666666666666,614.5,608.9926989274112
15979,590.0,595.0,610.0,590.0,24100,INCI,2020-09-29,,,646.6666666666666,610.0,605.8832102768754
86052,610.0,595.0,610.0,595.0,6800,INCI,2020-09-30,,,644.3333333333334,607.0,603.4647191042365
94286,610.0,605.0,610.0,595.0,72200,INCI,2020-10-01,,,642.1666666666666,605.5,603.8058926366283
69570,605.0,595.0,605.0,585.0,39000,INCI,2020-10-02,,,639.6666666666666,602.5,601.8490276062664
11876,605.0,600.0,605.0,595.0,81600,INCI,2020-10-05,,,636.1666666666666,600.5,601.4381325826516
122283,605.0,595.0,605.0,585.0,96000,INCI,2020-10-06,,,633.1666666666666,599.0,600.0074364531735
