,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121425,2150.0,2070.0,2170.0,2050.0,50700,INDR,2020-07-01,,,,,
128846,2060.0,2110.0,2110.0,1980.0,10900,INDR,2020-07-02,,,,,
102520,2090.0,2180.0,2190.0,2090.0,6800,INDR,2020-07-03,,,,,
85213,2250.0,2250.0,2280.0,2180.0,109200,INDR,2020-07-06,,,,,
34110,2230.0,2310.0,2310.0,2200.0,216100,INDR,2020-07-07,,,,,
48121,2310.0,2260.0,2310.0,2250.0,8700,INDR,2020-07-08,,,,,
114848,2260.0,2260.0,2300.0,2260.0,4700,INDR,2020-07-09,,,,,
23406,2280.0,2280.0,2300.0,2280.0,7900,INDR,2020-07-10,,,,,2215.0
15170,2260.0,2270.0,2290.0,2260.0,33300,INDR,2020-07-13,,,,,2227.222222222222
31648,2260.0,2260.0,2260.0,2250.0,32100,INDR,2020-07-14,,,,2225.0,2234.5061728395062
90151,2260.0,2270.0,2300.0,2260.0,1100,INDR,2020-07-15,,,,2245.0,2242.3936899862824
21761,2260.0,2250.0,2310.0,2250.0,61700,INDR,2020-07-16,,,,2259.0,2244.083981100442
104957,2260.0,2260.0,2300.0,2250.0,14800,INDR,2020-07-17,,,,2267.0,2247.620874189233
78625,2280.0,2250.0,2300.0,2250.0,186900,INDR,2020-07-20,,,,2267.0,2248.149568813848
103328,2250.0,2300.0,2300.0,2250.0,66500,INDR,2020-07-21,,,,2266.0,2259.6718868552152
94271,2260.0,2260.0,2260.0,2260.0,10300,INDR,2020-07-22,,,,2266.0,2259.74480088739
8579,2270.0,2300.0,2350.0,2250.0,119200,INDR,2020-07-23,,,,2270.0,2268.6904006901923
101706,2300.0,2370.0,2450.0,2300.0,34000,INDR,2020-07-24,,,,2279.0,2291.203644981261
55536,2370.0,2390.0,2440.0,2270.0,9200,INDR,2020-07-27,,,,2291.0,2313.1583905409807
41527,2390.0,2390.0,2390.0,2290.0,3600,INDR,2020-07-28,,,,2304.0,2330.234303754096
111559,2340.0,2390.0,2390.0,2330.0,5300,INDR,2020-07-29,,,,2316.0,2343.515569586519
81079,2290.0,2390.0,2390.0,2290.0,6300,INDR,2020-07-30,,,,2330.0,2353.845443011737
118145,2390.0,2260.0,2390.0,2250.0,24900,INDR,2020-08-03,,,,2330.0,2332.99090012024
6942,2270.0,2310.0,2370.0,2260.0,9500,INDR,2020-08-04,,,,2336.0,2327.881811204631
53892,2370.0,2330.0,2370.0,2280.0,4800,INDR,2020-08-05,,,,2339.0,2328.352519825824
70381,2330.0,2300.0,2380.0,2300.0,4400,INDR,2020-08-06,,,,2343.0,2322.0519598645296
43998,2270.0,2340.0,2340.0,2270.0,600,INDR,2020-08-07,,,,2347.0,2326.0404132279673
99227,2340.0,2330.0,2340.0,2280.0,2300,INDR,2020-08-10,,,,2343.0,2326.92032139953
53076,2260.0,2270.0,2300.0,2260.0,26400,INDR,2020-08-11,,,,2331.0,2314.2713610885235
120608,2260.0,2270.0,2270.0,2250.0,161500,INDR,2020-08-12,,,2282.6666666666665,2319.0,2304.4332808466293
62957,2330.0,2310.0,2330.0,2260.0,15600,INDR,2020-08-13,,,2290.6666666666665,2311.0,2305.6703295473785
87694,2310.0,2320.0,2330.0,2310.0,11700,INDR,2020-08-14,,,2297.6666666666665,2304.0,2308.8547007590723
61313,2360.0,2330.0,2360.0,2320.0,900,INDR,2020-08-18,,,2302.6666666666665,2311.0,2313.5536561459453
89335,2260.0,2300.0,2300.0,2250.0,65000,INDR,2020-08-19,,,2304.3333333333335,2310.0,2310.5417325579574
10227,2250.0,2300.0,2300.0,2250.0,3900,INDR,2020-08-24,,,2304.0,2307.0,2308.1991253228557
129654,2280.0,2330.0,2330.0,2260.0,57700,INDR,2020-08-25,,,2306.3333333333335,2310.0,2313.043764139999
104141,2330.0,2300.0,2330.0,2300.0,10200,INDR,2020-08-26,,,2307.6666666666665,2306.0,2310.145149886666
3647,2300.0,2250.0,2340.0,2250.0,329200,INDR,2020-08-27,,,2306.6666666666665,2298.0,2296.7795610229623
79437,2280.0,2260.0,2290.0,2250.0,519700,INDR,2020-08-28,,,2306.3333333333335,2297.0,2288.606325240082
27526,2260.0,2180.0,2260.0,2180.0,530000,INDR,2020-08-31,,,2303.6666666666665,2288.0,2264.4715862978414
34921,2200.0,2200.0,2200.0,2180.0,26400,INDR,2020-09-01,,,2301.3333333333335,2277.0,2250.1445671205433
39059,2200.0,2190.0,2200.0,2180.0,12200,INDR,2020-09-02,,,2299.3333333333335,2264.0,2236.7791077604224
68728,2190.0,2200.0,2200.0,2170.0,18200,INDR,2020-09-03,,,2297.3333333333335,2251.0,2228.605972702551
12702,2180.0,2200.0,2230.0,2170.0,41600,INDR,2020-09-04,,,2295.6666666666665,2241.0,2222.249089879762
26707,2240.0,2230.0,2240.0,2170.0,29300,INDR,2020-09-07,,,2293.3333333333335,2234.0,2223.971514350926
108252,2200.0,2200.0,2200.0,2200.0,300,INDR,2020-09-08,,,2291.3333333333335,2221.0,2218.6445111618314
122233,2200.0,2180.0,2200.0,2170.0,29900,INDR,2020-09-09,,,2287.3333333333335,2209.0,2210.056842014758
7756,2170.0,2160.0,2220.0,2150.0,983900,INDR,2020-09-10,,,2280.3333333333335,2200.0,2198.9330993448116
17633,2150.0,2160.0,2160.0,2150.0,38300,INDR,2020-09-11,,,2272.6666666666665,2190.0,2190.281299490409
44815,2200.0,2200.0,2200.0,2200.0,200,INDR,2020-09-14,,,2266.3333333333335,2192.0,2192.4410107147623
66254,2170.0,2180.0,2180.0,2170.0,27000,INDR,2020-09-15,,,2259.3333333333335,2190.0,2189.6763416670374
1168,2160.0,2160.0,2160.0,2160.0,2700,INDR,2020-09-16,,,2251.6666666666665,2187.0,2183.081599074362
56352,2200.0,2200.0,2200.0,2160.0,800,INDR,2020-09-17,,,2249.6666666666665,2187.0,2186.841243724504
62132,2200.0,2200.0,2200.0,2160.0,2500,INDR,2020-09-18,,,2246.0,2187.0,2189.765411785725
72024,2200.0,2160.0,2200.0,2160.0,12400,INDR,2020-09-21,,,2240.3333333333335,2180.0,2183.1508758333416
100046,2160.0,2180.0,2200.0,2160.0,2800,INDR,2020-09-22,,,2236.3333333333335,2178.0,2182.4506812037102
