,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
349,1865.0,1825.0,1865.0,1805.0,66800,INDS,2021-04-01,,,,,
1189,1860.0,1870.0,1890.0,1830.0,1000,INDS,2021-04-05,,,,,
2029,1855.0,1865.0,1870.0,1850.0,2000,INDS,2021-04-06,,,,,
2869,1865.0,1865.0,1865.0,1860.0,1600,INDS,2021-04-07,,,,,
3711,1855.0,1855.0,1855.0,1855.0,1300,INDS,2021-04-08,,,,,
4555,1850.0,1860.0,1865.0,1850.0,1800,INDS,2021-04-09,,,,,
5398,1850.0,1860.0,1860.0,1850.0,22800,INDS,2021-04-12,,,,,
6242,1870.0,1870.0,1870.0,1870.0,400,INDS,2021-04-13,,,,,1858.75
7086,1865.0,1850.0,1870.0,1850.0,6000,INDS,2021-04-14,,,,,1856.8055555555557
7931,1850.0,1805.0,1850.0,1805.0,40900,INDS,2021-04-15,,,,1852.5,1845.2932098765432
8775,1845.0,1845.0,1845.0,1845.0,300,INDS,2021-04-16,,,,1854.5,1845.2280521262003
9619,1885.0,1865.0,1885.0,1865.0,700,INDS,2021-04-19,,,,1854.0,1849.621818320378
10463,1845.0,1845.0,1855.0,1840.0,1800,INDS,2021-04-20,,,,1852.0,1848.5947475825162
11307,1845.0,1815.0,1860.0,1805.0,23700,INDS,2021-04-21,,,,1847.0,1841.129248119735
12151,1885.0,1805.0,1885.0,1800.0,11700,INDS,2021-04-22,,,,1842.0,1833.1005263153495
12995,1825.0,1805.0,1825.0,1800.0,2900,INDS,2021-04-23,,,,1836.5,1826.8559649119386
13838,1820.0,1805.0,1820.0,1805.0,4800,INDS,2021-04-26,,,,1831.0,1821.9990838203967
14681,1815.0,1800.0,1815.0,1800.0,700,INDS,2021-04-27,,,,1824.0,1817.1103985269751
15525,1800.0,1800.0,1800.0,1750.0,14300,INDS,2021-04-28,,,,1819.0,1813.3080877432028
16369,1815.0,1815.0,1820.0,1800.0,3900,INDS,2021-04-29,,,,1820.0,1813.6840682447132
17213,1800.0,1800.0,1820.0,1800.0,1400,INDS,2021-04-30,,,,1815.5,1810.6431641903325
18056,1800.0,1835.0,1835.0,1800.0,800,INDS,2021-05-03,,,,1812.5,1816.0557943702586
18899,1825.0,1780.0,1825.0,1780.0,22000,INDS,2021-05-04,,,,1806.0,1808.0433956213121
19741,1800.0,1800.0,1815.0,1800.0,16700,INDS,2021-05-05,,,,1804.5,1806.2559743721317
20585,1815.0,1800.0,1865.0,1800.0,34500,INDS,2021-05-06,,,,1804.0,1804.8657578449913
21429,1850.0,1805.0,1860.0,1805.0,24100,INDS,2021-05-07,,,,1804.0,1804.8955894349933
22273,1845.0,1915.0,1930.0,1835.0,43100,INDS,2021-05-10,,,,1815.0,1829.363236227217
23116,1910.0,1910.0,1925.0,1810.0,7100,INDS,2021-05-11,,,,1826.0,1847.282517065613
23958,1910.0,1910.0,1930.0,1890.0,116900,INDS,2021-05-17,,,,1837.0,1861.219735495477
24798,1910.0,1915.0,2000.0,1910.0,59000,INDS,2021-05-18,,,1839.8333333333333,1847.0,1873.170905385371
25638,1945.0,1940.0,1950.0,1915.0,21600,INDS,2021-05-19,,,1843.6666666666667,1861.0,1888.0218152997331
26547,1930.0,1955.0,1955.0,1910.0,39900,INDS,2021-05-20,,,1846.5,1873.0,1902.9058563442368
27362,1955.0,2000.0,2050.0,1955.0,174600,INDS,2021-05-21,,,1851.0,1895.0,1924.4823327121842
28204,1950.0,1895.0,1950.0,1860.0,85100,INDS,2021-05-24,,,1852.0,1904.5,1917.9307032205877
29046,1895.0,1805.0,1895.0,1780.0,14900,INDS,2021-05-25,,,1850.3333333333333,1905.0,1892.8349913937905
29837,1805.0,1800.0,1805.0,1775.0,21200,INDS,2021-05-27,,,1848.3333333333333,1904.5,1872.2049933062815
30679,1800.0,1795.0,1800.0,1775.0,11800,INDS,2021-05-28,,,1846.1666666666667,1892.5,1855.0483281271079
31521,1795.0,1755.0,1795.0,1755.0,12700,INDS,2021-05-31,,,1842.3333333333333,1877.0,1832.815366321084
32363,1755.0,1790.0,1790.0,1755.0,14800,INDS,2021-06-02,,,1840.3333333333333,1865.0,1823.3008404719542
33204,1795.0,1780.0,1795.0,1780.0,9500,INDS,2021-06-03,,,1839.5,1851.5,1813.6784314781867
34045,1790.0,1780.0,1790.0,1775.0,8500,INDS,2021-06-04,,,1837.3333333333333,1835.5,1806.1943355941453
34886,1780.0,1775.0,1855.0,1775.0,22400,INDS,2021-06-07,,,1834.3333333333333,1817.5,1799.2622610176686
35727,1775.0,1785.0,1795.0,1775.0,5400,INDS,2021-06-08,,,1832.3333333333333,1796.0,1796.092869680409
36570,1785.0,1790.0,1790.0,1765.0,3000,INDS,2021-06-09,,,1831.5,1785.5,1794.738898640318
37413,1790.0,1775.0,1790.0,1770.0,3300,INDS,2021-06-10,,,1830.5,1782.5,1790.3524767202473
38260,1795.0,1795.0,1795.0,1775.0,6300,INDS,2021-06-11,,,1830.1666666666667,1782.0,1791.3852596713034
