,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
350,79.0,83.0,84.0,77.0,1803200,INDX,2021-04-01,,,,,
1190,83.0,88.0,89.0,83.0,7135400,INDX,2021-04-05,,,,,
2030,88.0,93.0,110.0,88.0,53801800,INDX,2021-04-06,,,,,
2870,93.0,88.0,99.0,87.0,23106800,INDX,2021-04-07,,,,,
3712,89.0,91.0,91.0,83.0,5067000,INDX,2021-04-08,,,,,
4556,93.0,91.0,107.0,91.0,46040300,INDX,2021-04-09,,,,,
5399,91.0,88.0,93.0,88.0,1834400,INDX,2021-04-12,,,,,
6243,88.0,103.0,105.0,86.0,27176600,INDX,2021-04-13,,,,,90.625
7087,104.0,107.0,107.0,97.0,14614000,INDX,2021-04-14,,,,,94.26388888888889
7932,106.0,116.0,119.0,101.0,46185900,INDX,2021-04-15,,,,94.8,99.09413580246914
8776,117.0,123.0,151.0,114.0,96687600,INDX,2021-04-16,,,,98.8,104.40655006858711
9620,123.0,131.0,161.0,117.0,93643300,INDX,2021-04-19,,,,103.1,110.31620560890109
10464,134.0,148.0,156.0,132.0,42364400,INDX,2021-04-20,,,,108.6,118.6903821402564
11308,150.0,141.0,156.0,139.0,10013900,INDX,2021-04-21,,,,113.9,123.6480749979772
12152,139.0,150.0,150.0,134.0,26715800,INDX,2021-04-22,,,,119.8,129.50405833176004
12996,150.0,154.0,178.0,150.0,40056100,INDX,2021-04-23,,,,126.1,134.94760092470224
13839,155.0,150.0,158.0,147.0,4777300,INDX,2021-04-26,,,,132.3,138.29257849699064
14682,151.0,152.0,165.0,147.0,32683100,INDX,2021-04-27,,,,137.2,141.33867216432606
15526,153.0,157.0,158.0,144.0,19079700,INDX,2021-04-28,,,,142.2,144.81896723892027
16370,157.0,152.0,160.0,150.0,8042600,INDX,2021-04-29,,,,145.8,146.414752296938
17214,153.0,149.0,154.0,142.0,9474100,INDX,2021-04-30,,,,148.4,146.98925178650734
18057,149.0,140.0,152.0,140.0,8010300,INDX,2021-05-03,,,,149.3,145.43608472283904
18900,140.0,135.0,145.0,134.0,13159100,INDX,2021-05-04,,,,148.0,143.11695478443036
19742,134.0,130.0,138.0,129.0,5304100,INDX,2021-05-05,,,,146.9,140.20207594344583
20586,130.0,138.0,142.0,125.0,26920500,INDX,2021-05-06,,,,145.7,139.71272573379122
21430,140.0,136.0,145.0,135.0,6341200,INDX,2021-05-07,,,,143.9,138.88767557072651
