,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
354,161.0,166.0,170.0,157.0,43074000,INPC,2021-04-01,,,,,
1194,172.0,164.0,174.0,162.0,21198200,INPC,2021-04-05,,,,,
2034,165.0,164.0,168.0,161.0,14624900,INPC,2021-04-06,,,,,
2874,162.0,178.0,185.0,162.0,104529200,INPC,2021-04-07,,,,,
3716,179.0,181.0,192.0,172.0,135005100,INPC,2021-04-08,,,,,
4560,184.0,180.0,188.0,169.0,132898500,INPC,2021-04-09,,,,,
5403,180.0,176.0,186.0,174.0,25373400,INPC,2021-04-12,,,,,
6247,176.0,172.0,179.0,169.0,17977200,INPC,2021-04-13,,,,,172.625
7091,174.0,174.0,177.0,160.0,29454500,INPC,2021-04-14,,,,,172.93055555555554
7936,194.0,174.0,194.0,171.0,43678300,INPC,2021-04-15,,,,172.9,173.1682098765432
8780,175.0,171.0,178.0,170.0,7915300,INPC,2021-04-16,,,,173.4,172.6863854595336
9624,171.0,169.0,171.0,167.0,4964500,INPC,2021-04-19,,,,173.9,171.86718869074835
10468,169.0,173.0,175.0,167.0,9801300,INPC,2021-04-20,,,,174.8,172.11892453724872
11312,174.0,167.0,174.0,167.0,4829000,INPC,2021-04-21,,,,173.7,170.98138575119344
12156,167.0,167.0,170.0,165.0,4315000,INPC,2021-04-22,,,,172.3,170.09663336203934
13000,167.0,162.0,167.0,160.0,5939500,INPC,2021-04-23,,,,170.5,168.29738150380837
13843,162.0,152.0,163.0,151.0,9587400,INPC,2021-04-26,,,,168.1,164.67574116962874
14686,151.0,149.0,156.0,146.0,4892800,INPC,2021-04-27,,,,165.8,161.19224313193345
15530,147.0,154.0,159.0,143.0,19599200,INPC,2021-04-28,,,,163.8,159.59396688039268
16374,156.0,153.0,157.0,151.0,11232400,INPC,2021-04-29,,,,161.7,158.1286409069721
17218,156.0,149.0,156.0,149.0,2735500,INPC,2021-04-30,,,,159.5,156.10005403875607
18061,149.0,144.0,150.0,144.0,4793800,INPC,2021-05-03,,,,157.0,153.41115314125472
18904,144.0,160.0,160.0,141.0,34049600,INPC,2021-05-04,,,,155.7,154.875341332087
19746,164.0,169.0,173.0,155.0,41797300,INPC,2021-05-05,,,,155.9,158.014154369401
20590,172.0,158.0,174.0,158.0,18896300,INPC,2021-05-06,,,,155.0,158.01100895397857
21434,157.0,154.0,162.0,152.0,6357000,INPC,2021-05-07,,,,154.2,157.11967363087223
22278,154.0,146.0,156.0,146.0,6147000,INPC,2021-05-10,,,,153.6,154.64863504623395
23121,146.0,159.0,159.0,145.0,10345100,INPC,2021-05-11,,,,154.6,155.61560503595973
23963,159.0,153.0,159.0,150.0,6132000,INPC,2021-05-17,,,,154.5,155.03435947241312
24803,152.0,152.0,158.0,149.0,4539900,INPC,2021-05-18,,,163.0,154.4,154.36005736743243
25643,152.0,148.0,153.0,146.0,2627200,INPC,2021-05-19,,,162.4,154.3,152.9467112857808
26552,147.0,145.0,155.0,145.0,3321200,INPC,2021-05-20,,,161.76666666666668,154.4,151.18077544449616
27367,145.0,156.0,161.0,145.0,18176100,INPC,2021-05-21,,,161.5,154.0,152.25171423460813
28209,159.0,150.0,160.0,148.0,10715600,INPC,2021-05-24,,,160.56666666666666,152.1,151.7513332935841
29051,152.0,148.0,154.0,148.0,2570200,INPC,2021-05-25,,,159.46666666666667,151.1,150.91770367278764
29842,149.0,165.0,167.0,146.0,39839100,INPC,2021-05-27,,,158.96666666666667,152.2,154.0471028566126
30684,166.0,175.0,183.0,160.0,117289200,INPC,2021-05-28,,,158.93333333333334,155.1,158.70330222180982
31526,178.0,236.0,236.0,171.0,360064800,INPC,2021-05-31,,,161.06666666666666,162.8,175.88034617251876
32368,242.0,220.0,262.0,220.0,174863600,INPC,2021-06-02,,,162.6,169.5,185.6847136897368
33209,206.0,206.0,206.0,206.0,5052100,INPC,2021-06-03,,,163.66666666666666,174.9,190.1992217586842
34050,192.0,226.0,228.0,192.0,327193000,INPC,2021-06-04,,,165.5,182.7,198.15495025675438
34891,230.0,212.0,232.0,212.0,230756700,INPC,2021-06-07,,,166.93333333333334,189.4,201.23162797747563
35732,212.0,198.0,218.0,198.0,71299100,INPC,2021-06-08,,,167.76666666666668,193.6,200.51348842692548
36575,198.0,185.0,198.0,185.0,189367100,INPC,2021-06-09,,,168.36666666666667,197.1,197.06604655427537
37418,185.0,187.0,202.0,177.0,154664700,INPC,2021-06-10,,,169.03333333333333,201.0,194.82914731999196
38265,190.0,180.0,196.0,180.0,50482000,INPC,2021-06-11,,,169.63333333333333,202.5,191.53378124888263
39112,172.0,170.0,182.0,168.0,27796200,INPC,2021-06-14,,,170.23333333333332,202.0,186.74849652690872
39959,167.0,159.0,170.0,159.0,35187600,INPC,2021-06-15,,,170.56666666666666,194.3,180.58216396537344
40806,158.0,160.0,169.0,151.0,28220500,INPC,2021-06-16,,,170.76666666666668,188.3,176.008349750846
41653,160.0,159.0,164.0,158.0,13338100,INPC,2021-06-17,,,170.96666666666667,183.6,172.22871647288022
42500,160.0,150.0,161.0,150.0,18980400,INPC,2021-06-18,,,171.0,176.0,167.28900170112905
43347,150.0,149.0,158.0,140.0,24058900,INPC,2021-06-21,,,171.16666666666666,169.7,163.22477910087815
44194,149.0,155.0,158.0,145.0,16095700,INPC,2021-06-22,,,171.0,165.4,161.3970504117941
45041,156.0,152.0,159.0,151.0,14485200,INPC,2021-06-23,,,170.43333333333334,162.1,159.30881698695097
45888,154.0,151.0,155.0,150.0,6508400,INPC,2021-06-24,,,170.2,158.5,157.462413212073
46735,151.0,154.0,165.0,149.0,40038400,INPC,2021-06-25,,,170.2,155.9,156.69298805383454
47583,157.0,152.0,162.0,150.0,30852700,INPC,2021-06-28,,,170.4,154.1,155.65010181964908
48429,152.0,144.0,154.0,143.0,12831200,INPC,2021-06-29,,,169.9,152.6,153.0611903041715
49223,147.0,145.0,153.0,139.0,24983400,INPC,2021-06-30,,,169.63333333333333,151.1,151.26981468102227
50074,145.0,141.0,147.0,140.0,10236700,INPC,2021-07-01,,,169.26666666666668,149.3,148.9876336407951
50925,141.0,142.0,145.0,140.0,7994700,INPC,2021-07-02,,,169.06666666666666,148.5,147.43482616506287
51776,142.0,151.0,154.0,141.0,45337200,INPC,2021-07-05,,,169.26666666666668,148.7,148.22708701727112
52628,154.0,144.0,154.0,143.0,18974900,INPC,2021-07-06,,,168.86666666666667,147.6,147.28773434676643
53470,143.0,146.0,153.0,141.0,27339200,INPC,2021-07-07,,,168.73333333333332,147.0,147.0015711585961
54291,146.0,148.0,157.0,145.0,45782000,INPC,2021-07-08,,,168.73333333333332,146.7,147.22344423446364
55142,150.0,153.0,173.0,150.0,129233400,INPC,2021-07-09,,,168.33333333333334,146.6,148.50712329347172
55995,155.0,168.0,169.0,154.0,73184600,INPC,2021-07-12,,,168.1,148.2,152.83887367270023
56848,169.0,162.0,186.0,159.0,212415500,INPC,2021-07-13,,,165.63333333333333,150.0,154.87467952321128
57701,162.0,151.0,164.0,151.0,42430000,INPC,2021-07-14,,,163.33333333333334,150.6,154.01363962916435
58554,148.0,152.0,157.0,142.0,34538100,INPC,2021-07-15,,,161.53333333333333,151.7,153.56616415601673
59407,154.0,151.0,160.0,150.0,23709700,INPC,2021-07-16,,,159.03333333333333,152.6,152.99590545467967
60259,151.0,151.0,159.0,146.0,39348300,INPC,2021-07-19,,,157.0,152.6,152.5523709091953
61111,151.0,156.0,160.0,151.0,45603700,INPC,2021-07-21,,,155.6,153.8,153.31851070715192
61963,157.0,158.0,165.0,156.0,43863400,INPC,2021-07-22,,,154.7,155.0,154.35884166111816
62815,158.0,157.0,162.0,153.0,18129600,INPC,2021-07-23,,,153.7,155.9,154.94576573642524
63667,157.0,175.0,179.0,157.0,176974700,INPC,2021-07-26,,,153.53333333333333,158.1,159.40226223944185
64519,178.0,168.0,180.0,167.0,80300200,INPC,2021-07-27,,,153.46666666666667,158.1,161.312870630677
65373,168.0,163.0,171.0,162.0,19501900,INPC,2021-07-28,,,153.6,158.2,161.68778826830433
