,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123939,177.0,177.0,177.0,177.0,100,INTD,2020-07-01,,,,,
131360,177.0,165.0,177.0,165.0,43100,INTD,2020-07-02,,,,,
105034,175.0,154.0,175.0,154.0,21200,INTD,2020-07-03,,,,,
86893,154.0,154.0,154.0,147.0,6200,INTD,2020-07-06,,,,,
34122,152.0,152.0,152.0,152.0,2900,INTD,2020-07-07,,,,,
48967,149.0,149.0,149.0,148.0,5700,INTD,2020-07-08,,,,,
117362,149.0,149.0,149.0,149.0,400,INTD,2020-07-09,,,,,
23418,149.0,149.0,149.0,149.0,11800,INTD,2020-07-10,,,,,156.125
15182,141.0,148.0,148.0,140.0,25000,INTD,2020-07-13,,,,,154.31944444444446
31660,142.0,140.0,145.0,140.0,11200,INTD,2020-07-14,,,,153.7,151.13734567901236
92665,132.0,146.0,146.0,132.0,25800,INTD,2020-07-15,,,,150.6,149.9957133058985
21773,156.0,158.0,169.0,156.0,600,INTD,2020-07-16,,,,149.9,151.7744436823655
107471,158.0,158.0,158.0,158.0,100,INTD,2020-07-17,,,,150.3,153.15790064183983
80305,147.0,147.0,147.0,147.0,21400,INTD,2020-07-20,,,,149.6,151.78947827698653
105842,141.0,140.0,141.0,140.0,216500,INTD,2020-07-21,,,,148.4,149.16959421543396
96785,140.0,140.0,140.0,140.0,0,INTD,2020-07-22,,,,147.5,147.1319066120042
8591,148.0,148.0,148.0,148.0,100,INTD,2020-07-23,,,,147.4,147.32481625378105
104220,148.0,148.0,148.0,148.0,2000,INTD,2020-07-24,,,,147.3,147.47485708627414
57216,148.0,138.0,148.0,138.0,300,INTD,2020-07-27,,,,146.3,145.36933328932435
41539,138.0,138.0,138.0,138.0,2500,INTD,2020-07-28,,,,146.1,143.73170366947448
114073,146.0,131.0,146.0,131.0,500,INTD,2020-07-29,,,,144.6,140.90243618736903
82759,122.0,140.0,140.0,122.0,216200,INTD,2020-07-30,,,,142.8,140.70189481239814
120659,150.0,140.0,150.0,132.0,12200,INTD,2020-08-03,,,,141.0,140.54591818742077
6954,150.0,146.0,150.0,140.0,1600,INTD,2020-08-04,,,,140.9,141.75793636799392
55572,146.0,143.0,146.0,143.0,9400,INTD,2020-08-05,,,,141.2,142.03395050843972
72061,150.0,150.0,150.0,150.0,100,INTD,2020-08-06,,,,142.2,143.80418372878646
44010,159.0,150.0,159.0,150.0,200,INTD,2020-08-07,,,,142.4,145.18103178905614
101741,146.0,140.0,146.0,140.0,5000,INTD,2020-08-10,,,,141.6,144.02969139148811
54756,150.0,140.0,150.0,140.0,300,INTD,2020-08-11,,,,141.8,143.13420441560186
123122,150.0,135.0,154.0,132.0,43700,INTD,2020-08-12,,,147.1,141.5,141.326603434357
64637,135.0,131.0,135.0,128.0,11700,INTD,2020-08-13,,,145.56666666666666,141.5,139.03180267116656
90208,135.0,135.0,135.0,135.0,100,INTD,2020-08-14,,,144.56666666666666,141.0,138.13584652201843
