,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126444,202.0,196.0,202.0,196.0,102600,IPCM,2020-07-01,,,,,
133865,196.0,200.0,202.0,196.0,63800,IPCM,2020-07-02,,,,,
107539,210.0,199.0,210.0,196.0,89000,IPCM,2020-07-03,,,,,
89398,199.0,202.0,206.0,199.0,86900,IPCM,2020-07-06,,,,,
34125,202.0,200.0,204.0,199.0,119500,IPCM,2020-07-07,,,,,
51472,204.0,202.0,206.0,200.0,11000,IPCM,2020-07-08,,,,,
119867,202.0,200.0,206.0,200.0,50000,IPCM,2020-07-09,,,,,
23421,200.0,198.0,200.0,198.0,52000,IPCM,2020-07-10,,,,,199.625
15185,200.0,199.0,200.0,199.0,61300,IPCM,2020-07-13,,,,,199.48611111111111
31663,199.0,200.0,202.0,198.0,273900,IPCM,2020-07-14,,,,199.6,199.60030864197532
95170,200.0,202.0,204.0,199.0,286600,IPCM,2020-07-15,,,,200.2,200.13357338820302
21776,212.0,208.0,224.0,206.0,925800,IPCM,2020-07-16,,,,201.0,201.88166819082457
109976,216.0,214.0,218.0,210.0,276400,IPCM,2020-07-17,,,,202.5,204.57463081508578
82810,220.0,228.0,228.0,216.0,1190100,IPCM,2020-07-20,,,,205.1,209.78026841173337
108347,230.0,220.0,230.0,214.0,577300,IPCM,2020-07-21,,,,207.1,212.05131987579261
99290,220.0,222.0,226.0,216.0,857900,IPCM,2020-07-22,,,,209.1,214.26213768117202
8594,224.0,224.0,226.0,220.0,934400,IPCM,2020-07-23,,,,211.5,216.42610708535602
106725,220.0,214.0,220.0,210.0,440900,IPCM,2020-07-24,,,,213.1,215.88697217749913
59721,210.0,212.0,216.0,210.0,252400,IPCM,2020-07-27,,,,214.4,215.02320058249933
43210,214.0,206.0,214.0,202.0,116500,IPCM,2020-07-28,,,,215.0,213.01804489749946
116578,210.0,216.0,222.0,210.0,279000,IPCM,2020-07-29,,,,216.4,213.68070158694402
85264,220.0,210.0,220.0,208.0,111100,IPCM,2020-07-30,,,,216.6,212.86276790095647
123164,210.0,202.0,214.0,200.0,738800,IPCM,2020-08-03,,,,215.4,210.4488194785217
6957,210.0,206.0,210.0,200.0,157900,IPCM,2020-08-04,,,,213.2,209.4601929277391
58077,212.0,218.0,230.0,212.0,760500,IPCM,2020-08-05,,,,213.0,211.35792783268596
74566,218.0,220.0,220.0,216.0,468300,IPCM,2020-08-06,,,,212.8,213.27838831431131
46515,220.0,222.0,224.0,212.0,183200,IPCM,2020-08-07,,,,212.6,215.21652424446435
104246,222.0,224.0,230.0,216.0,316600,IPCM,2020-08-10,,,,213.6,217.1684077456945
57261,224.0,220.0,224.0,220.0,162900,IPCM,2020-08-11,,,,214.4,217.7976504688735
125627,222.0,222.0,226.0,220.0,565700,IPCM,2020-08-12,,,210.2,216.0,218.73150592023495
67142,222.0,224.0,224.0,220.0,189100,IPCM,2020-08-13,,,211.13333333333333,216.8,219.90228238240496
92713,224.0,234.0,250.0,224.0,365100,IPCM,2020-08-14,,,212.26666666666668,219.2,223.0351085196483
65498,234.0,236.0,246.0,234.0,278100,IPCM,2020-08-18,,,213.5,222.6,225.91619551528203
94354,236.0,234.0,238.0,234.0,177500,IPCM,2020-08-19,,,214.56666666666666,225.4,227.71259651188603
10242,234.0,228.0,234.0,226.0,507400,IPCM,2020-08-24,,,215.5,226.4,227.77646395368913
134673,236.0,230.0,238.0,230.0,40100,IPCM,2020-08-25,,,216.43333333333334,227.4,228.27058307509154
109160,230.0,232.0,234.0,228.0,75700,IPCM,2020-08-26,,,217.5,228.4,229.09934239173785
3662,234.0,232.0,236.0,230.0,166800,IPCM,2020-08-27,,,218.63333333333333,229.2,229.74393297135165
83622,230.0,218.0,232.0,218.0,1394100,IPCM,2020-08-28,,,219.26666666666668,229.0,227.13417008882905
27541,222.0,222.0,228.0,222.0,447100,IPCM,2020-08-31,,,220.0,229.0,225.9932434024226
34936,222.0,222.0,224.0,220.0,67300,IPCM,2020-09-01,,,220.66666666666666,228.8,225.105855979662
39074,222.0,226.0,226.0,220.0,31800,IPCM,2020-09-02,,,221.26666666666668,228.0,225.30455465084822
72913,226.0,212.0,228.0,212.0,1057000,IPCM,2020-09-03,,,221.2,225.6,222.34798695065973
12717,212.0,212.0,218.0,200.0,1290000,IPCM,2020-09-04,,,220.66666666666666,223.4,220.04843429495756
26722,216.0,216.0,218.0,212.0,488500,IPCM,2020-09-07,,,220.53333333333333,222.2,219.14878222941144
113271,216.0,216.0,222.0,212.0,191600,IPCM,2020-09-08,,,220.33333333333334,220.8,218.44905284509778
127252,216.0,218.0,220.0,212.0,143500,IPCM,2020-09-09,,,220.13333333333333,219.4,218.34926332396495
7771,208.0,218.0,218.0,204.0,807200,IPCM,2020-09-10,,,220.26666666666668,218.0,218.27164925197275
17648,218.0,218.0,220.0,206.0,387300,IPCM,2020-09-11,,,220.46666666666667,218.0,218.21128275153436
47332,218.0,218.0,220.0,212.0,342000,IPCM,2020-09-14,,,220.86666666666667,217.6,218.16433102897116
70439,218.0,218.0,218.0,216.0,33100,IPCM,2020-09-15,,,220.93333333333334,217.2,218.12781302253313
1183,220.0,220.0,220.0,214.0,325000,IPCM,2020-09-16,,,221.26666666666668,216.6,218.54385457308132
60537,218.0,222.0,226.0,218.0,372000,IPCM,2020-09-17,,,221.93333333333334,217.6,219.31188689017435
66317,224.0,228.0,228.0,224.0,596100,IPCM,2020-09-18,,,222.66666666666666,219.2,221.24257869235782
76209,228.0,230.0,232.0,228.0,441100,IPCM,2020-09-21,,,223.06666666666666,220.6,223.1886723162783
105065,230.0,230.0,230.0,228.0,269700,IPCM,2020-09-22,,,223.4,222.0,224.70230069043868
81162,234.0,230.0,234.0,228.0,253500,IPCM,2020-09-23,,,223.66666666666666,223.2,225.87956720367453
69612,230.0,230.0,232.0,218.0,415100,IPCM,2020-09-24,,,223.86666666666667,224.4,226.7952189361913
101767,226.0,232.0,232.0,224.0,90000,IPCM,2020-09-25,,,224.26666666666668,225.8,227.95183695037102
63849,234.0,232.0,234.0,226.0,490600,IPCM,2020-09-28,,,224.6,227.2,228.85142873917746
15999,232.0,234.0,234.0,226.0,384000,IPCM,2020-09-29,,,224.93333333333334,228.8,229.9955556860269
88574,232.0,236.0,236.0,232.0,310800,IPCM,2020-09-30,,,225.0,230.4,231.3298766446876
96808,236.0,230.0,238.0,224.0,338500,IPCM,2020-10-01,,,224.8,231.2,231.0343485014237
72092,230.0,218.0,230.0,218.0,446600,IPCM,2020-10-02,,,224.26666666666668,230.2,228.13782661221842
11896,218.0,224.0,230.0,216.0,306900,IPCM,2020-10-05,,,224.13333333333333,229.6,227.218309587281
124805,230.0,228.0,230.0,222.0,27000,IPCM,2020-10-06,,,224.06666666666666,229.4,227.39201856788523
20954,226.0,220.0,228.0,218.0,84400,IPCM,2020-10-07,,,223.66666666666666,228.4,225.74934777502185
19298,228.0,226.0,228.0,220.0,19700,IPCM,2020-10-08,,,223.46666666666667,228.0,225.80504826946142
114931,228.0,226.0,228.0,218.0,42100,IPCM,2020-10-09,,,223.73333333333332,227.4,225.84837087624777
28362,226.0,224.0,226.0,222.0,107100,IPCM,2020-10-12,,,223.8,226.6,225.43762179263715
80337,224.0,222.0,224.0,220.0,99200,IPCM,2020-10-13,,,223.8,225.4,224.67370583871778
