,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
364,178.0,164.0,178.0,164.0,9298000,IPOL,2021-04-01,,,,,
1204,163.0,160.0,165.0,154.0,3716700,IPOL,2021-04-05,,,,,
2044,160.0,155.0,163.0,154.0,2141800,IPOL,2021-04-06,,,,,
2884,155.0,157.0,161.0,155.0,1125400,IPOL,2021-04-07,,,,,
3726,157.0,159.0,160.0,156.0,486300,IPOL,2021-04-08,,,,,
4570,159.0,167.0,167.0,157.0,9593400,IPOL,2021-04-09,,,,,
5413,168.0,163.0,170.0,162.0,1611200,IPOL,2021-04-12,,,,,
6257,164.0,155.0,167.0,153.0,6211100,IPOL,2021-04-13,,,,,160.0
7101,155.0,160.0,162.0,154.0,3753800,IPOL,2021-04-14,,,,,160.0
7946,158.0,158.0,160.0,155.0,595000,IPOL,2021-04-15,,,,159.8,159.55555555555554
8790,157.0,157.0,158.0,155.0,524500,IPOL,2021-04-16,,,,159.1,158.98765432098764
9634,156.0,158.0,162.0,156.0,1993700,IPOL,2021-04-19,,,,158.9,158.76817558299038
10478,160.0,164.0,165.0,158.0,2578800,IPOL,2021-04-20,,,,159.8,159.93080323121475
11322,164.0,169.0,175.0,159.0,14829300,IPOL,2021-04-21,,,,161.0,161.9461802909448
12166,169.0,161.0,170.0,161.0,1055500,IPOL,2021-04-22,,,,161.2,161.73591800406817
13010,161.0,162.0,169.0,161.0,1607600,IPOL,2021-04-23,,,,160.7,161.794602892053
13853,162.0,164.0,167.0,160.0,914900,IPOL,2021-04-26,,,,160.8,162.28469113826344
14696,165.0,163.0,167.0,162.0,1911000,IPOL,2021-04-27,,,,161.6,162.4436486630938
15540,163.0,164.0,170.0,163.0,1211500,IPOL,2021-04-28,,,,162.0,162.78950451573962
16384,164.0,163.0,165.0,161.0,826300,IPOL,2021-04-29,,,,162.5,162.8362812900197
17228,163.0,166.0,169.0,163.0,1075000,IPOL,2021-04-30,,,,163.4,163.53932989223756
18071,167.0,181.0,191.0,166.0,30033200,IPOL,2021-05-03,,,,165.7,167.41947880507365
18914,185.0,183.0,197.0,175.0,23150400,IPOL,2021-05-04,,,,167.6,170.88181684839063
19756,183.0,174.0,186.0,171.0,10173800,IPOL,2021-05-05,,,,168.1,171.57474643763715
20600,171.0,174.0,175.0,166.0,6141700,IPOL,2021-05-06,,,,169.4,172.11369167371777
21444,174.0,171.0,178.0,170.0,2137200,IPOL,2021-05-07,,,,170.3,171.86620463511383
