,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
372,62.0,66.0,66.0,62.0,24000,ITMA-W,2021-04-01,,,,,
1212,64.0,84.0,89.0,64.0,42800,ITMA-W,2021-04-05,,,,,
2052,85.0,85.0,85.0,66.0,19400,ITMA-W,2021-04-06,,,,,
2892,85.0,62.0,85.0,52.0,300,ITMA-W,2021-04-07,,,,,
3734,51.0,84.0,85.0,51.0,10100,ITMA-W,2021-04-08,,,,,
4578,63.0,79.0,79.0,63.0,8600,ITMA-W,2021-04-09,,,,,
5421,125.0,70.0,125.0,66.0,11600,ITMA-W,2021-04-12,,,,,
6265,69.0,66.0,90.0,51.0,237700,ITMA-W,2021-04-13,,,,,74.5
7109,125.0,79.0,125.0,66.0,48500,ITMA-W,2021-04-14,,,,,75.5
7954,125.0,78.0,125.0,68.0,25500,ITMA-W,2021-04-15,,,,75.3,76.05555555555556
8798,95.0,84.0,95.0,79.0,15600,ITMA-W,2021-04-16,,,,77.1,77.82098765432099
9642,81.0,79.0,81.0,66.0,1800,ITMA-W,2021-04-19,,,,76.6,78.08299039780522
10486,78.0,85.0,85.0,78.0,700,ITMA-W,2021-04-20,,,,76.6,79.62010364273739
11330,85.0,85.0,85.0,85.0,0,ITMA-W,2021-04-21,,,,78.9,80.81563616657353
12174,85.0,85.0,85.0,85.0,0,ITMA-W,2021-04-22,,,,79.0,81.74549479622385
13018,51.0,78.0,80.0,51.0,12600,ITMA-W,2021-04-23,,,,78.9,80.91316261928522
13861,54.0,60.0,60.0,54.0,4500,ITMA-W,2021-04-26,,,,77.9,76.26579314833295
14704,85.0,60.0,85.0,57.0,9400,ITMA-W,2021-04-27,,,,77.3,72.6511724487034
15548,80.0,76.0,80.0,76.0,24100,ITMA-W,2021-04-28,,,,77.0,73.39535634899154
16392,75.0,76.0,80.0,75.0,2300,ITMA-W,2021-04-29,,,,76.8,73.97416604921564
17236,77.0,63.0,80.0,60.0,35700,ITMA-W,2021-04-30,,,,74.7,71.53546248272328
18079,64.0,68.0,82.0,64.0,54400,ITMA-W,2021-05-03,,,,73.6,70.74980415322922
18922,59.0,78.0,81.0,59.0,19100,ITMA-W,2021-05-04,,,,72.9,72.36095878584494
19764,95.0,66.0,95.0,62.0,75900,ITMA-W,2021-05-05,,,,71.0,70.94741238899051
20608,82.0,68.0,82.0,68.0,18600,ITMA-W,2021-05-06,,,,69.3,70.29243185810374
21452,82.0,77.0,82.0,77.0,8200,ITMA-W,2021-05-07,,,,69.2,71.7830025563029
22296,79.0,79.0,79.0,79.0,100,ITMA-W,2021-05-10,,,,71.1,73.38677976601338
23139,66.0,64.0,78.0,64.0,38800,ITMA-W,2021-05-11,,,,71.5,71.3008287068993
23981,71.0,74.0,84.0,65.0,108900,ITMA-W,2021-05-17,,,,71.3,71.90064454981056
24821,95.0,77.0,95.0,51.0,21600,ITMA-W,2021-05-18,,,74.5,71.4,73.03383464985266
25661,57.0,76.0,76.0,57.0,35000,ITMA-W,2021-05-19,,,74.83333333333333,72.7,73.69298250544097
26571,62.0,77.0,79.0,62.0,2500,ITMA-W,2021-05-20,,,74.6,73.6,74.42787528200964
27385,76.0,76.0,76.0,76.0,200,ITMA-W,2021-05-21,,,74.3,73.4,74.77723633045194
28227,75.0,75.0,75.0,75.0,1000,ITMA-W,2021-05-24,,,74.73333333333333,74.3,74.82673936812928
29069,62.0,74.0,74.0,52.0,28000,ITMA-W,2021-05-25,,,74.4,74.9,74.643019508545
29860,70.0,73.0,76.0,60.0,5300,ITMA-W,2021-05-27,,,74.2,74.5,74.27790406220166
30702,72.0,78.0,83.0,52.0,9300,ITMA-W,2021-05-28,,,74.46666666666667,74.4,75.10503649282352
31544,90.0,75.0,90.0,70.0,81200,ITMA-W,2021-05-31,,,74.76666666666667,75.5,75.08169504997385
32386,93.0,86.0,93.0,74.0,88500,ITMA-W,2021-06-02,,,75.0,76.7,77.50798503886854
33227,66.0,98.0,100.0,66.0,192600,ITMA-W,2021-06-03,,,75.66666666666667,78.8,82.0617661413422
34068,62.0,98.0,110.0,62.0,124900,ITMA-W,2021-06-04,,,76.13333333333334,81.0,85.6035958877106
