,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123950,410.0,410.0,410.0,410.0,0,ITMA,2020-07-01,,,,,
131371,410.0,410.0,410.0,410.0,0,ITMA,2020-07-02,,,,,
105045,410.0,410.0,410.0,410.0,0,ITMA,2020-07-03,,,,,
86904,410.0,410.0,410.0,410.0,0,ITMA,2020-07-06,,,,,
34133,410.0,410.0,410.0,410.0,0,ITMA,2020-07-07,,,,,
48978,410.0,410.0,410.0,410.0,0,ITMA,2020-07-08,,,,,
117373,410.0,410.0,410.0,410.0,0,ITMA,2020-07-09,,,,,
23429,410.0,410.0,410.0,410.0,0,ITMA,2020-07-10,,,,,410.0
15193,410.0,410.0,410.0,410.0,0,ITMA,2020-07-13,,,,,410.0
31671,410.0,410.0,410.0,410.0,0,ITMA,2020-07-14,,,,410.0,410.0
92676,410.0,410.0,410.0,410.0,0,ITMA,2020-07-15,,,,410.0,410.0
21784,410.0,410.0,410.0,410.0,0,ITMA,2020-07-16,,,,410.0,410.0
107482,410.0,410.0,410.0,410.0,0,ITMA,2020-07-17,,,,410.0,410.0
80316,410.0,410.0,410.0,410.0,0,ITMA,2020-07-20,,,,410.0,410.0
105853,410.0,410.0,410.0,410.0,0,ITMA,2020-07-21,,,,410.0,410.0
96796,410.0,410.0,410.0,410.0,0,ITMA,2020-07-22,,,,410.0,410.0
8602,410.0,410.0,410.0,410.0,0,ITMA,2020-07-23,,,,410.0,410.0
104231,410.0,410.0,410.0,410.0,0,ITMA,2020-07-24,,,,410.0,410.0
57227,410.0,410.0,410.0,410.0,0,ITMA,2020-07-27,,,,410.0,410.0
41550,410.0,410.0,410.0,410.0,0,ITMA,2020-07-28,,,,410.0,410.0
114084,410.0,410.0,410.0,410.0,0,ITMA,2020-07-29,,,,410.0,410.0
82770,410.0,410.0,410.0,410.0,0,ITMA,2020-07-30,,,,410.0,410.0
120670,410.0,410.0,410.0,410.0,0,ITMA,2020-08-03,,,,410.0,410.0
6965,410.0,410.0,410.0,410.0,0,ITMA,2020-08-04,,,,410.0,410.0
55583,410.0,410.0,410.0,410.0,0,ITMA,2020-08-05,,,,410.0,410.0
72072,410.0,410.0,410.0,410.0,0,ITMA,2020-08-06,,,,410.0,410.0
44021,410.0,410.0,410.0,410.0,0,ITMA,2020-08-07,,,,410.0,410.0
101752,410.0,410.0,410.0,410.0,0,ITMA,2020-08-10,,,,410.0,410.0
54767,410.0,410.0,410.0,410.0,0,ITMA,2020-08-11,,,,410.0,410.0
123133,410.0,410.0,410.0,410.0,0,ITMA,2020-08-12,,,410.0,410.0,410.0
64648,410.0,410.0,410.0,410.0,0,ITMA,2020-08-13,,,410.0,410.0,410.0
90219,410.0,410.0,410.0,410.0,0,ITMA,2020-08-14,,,410.0,410.0,410.0
63004,410.0,410.0,410.0,410.0,0,ITMA,2020-08-18,,,410.0,410.0,410.0
91860,410.0,410.0,410.0,410.0,0,ITMA,2020-08-19,,,410.0,410.0,410.0
10250,410.0,410.0,410.0,410.0,0,ITMA,2020-08-24,,,410.0,410.0,410.0
132179,410.0,410.0,410.0,410.0,0,ITMA,2020-08-25,,,410.0,410.0,410.0
106666,410.0,510.0,510.0,410.0,546800,ITMA,2020-08-26,,,413.3333333333333,420.0,432.22222222222223
3670,550.0,570.0,635.0,530.0,1881400,ITMA,2020-08-27,,,418.6666666666667,436.0,462.8395061728395
81128,610.0,535.0,610.0,535.0,618800,ITMA,2020-08-28,,,422.8333333333333,448.5,478.87517146776406
27549,530.0,500.0,530.0,500.0,250700,ITMA,2020-08-31,,,425.8333333333333,457.5,483.56957780826093
34944,500.0,492.0,500.0,466.0,36400,ITMA,2020-09-01,,,428.56666666666666,465.7,485.4430049619807
39082,496.0,498.0,500.0,490.0,33900,ITMA,2020-09-02,,,431.5,474.5,488.23344830376277
70419,500.0,505.0,525.0,498.0,28400,ITMA,2020-09-03,,,434.6666666666667,484.0,491.95934868070435
12725,505.0,510.0,545.0,500.0,104500,ITMA,2020-09-04,,,438.0,494.0,495.9683823072145
26730,510.0,505.0,520.0,500.0,13900,ITMA,2020-09-07,,,441.1666666666667,503.5,497.9754084611668
110777,505.0,505.0,515.0,500.0,76800,ITMA,2020-09-08,,,444.3333333333333,513.0,499.53642880312975
124758,490.0,505.0,530.0,482.0,303500,ITMA,2020-09-09,,,447.5,512.5,500.7505557357676
7779,492.0,496.0,535.0,490.0,271600,ITMA,2020-09-10,,,450.3666666666667,505.1,499.6948766833748
17656,510.0,486.0,510.0,478.0,91800,ITMA,2020-09-11,,,452.9,500.2,496.65157075373594
