,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
374,178.0,181.0,184.0,178.0,4344700,JAST,2021-04-01,,,,,
1214,180.0,182.0,184.0,180.0,4900400,JAST,2021-04-05,,,,,
2054,182.0,200.0,202.0,180.0,75439800,JAST,2021-04-06,,,,,
2894,202.0,190.0,212.0,189.0,46531800,JAST,2021-04-07,,,,,
3736,190.0,186.0,193.0,182.0,18442900,JAST,2021-04-08,,,,,
4580,186.0,183.0,189.0,183.0,7309700,JAST,2021-04-09,,,,,
5423,183.0,181.0,186.0,178.0,6632200,JAST,2021-04-12,,,,,
6267,181.0,178.0,181.0,178.0,5709000,JAST,2021-04-13,,,,,185.125
7111,178.0,177.0,181.0,176.0,5858000,JAST,2021-04-14,,,,,183.31944444444446
7956,177.0,172.0,179.0,170.0,13212000,JAST,2021-04-15,,,,183.0,180.804012345679
8800,172.0,178.0,184.0,172.0,19885700,JAST,2021-04-16,,,,182.7,180.18089849108367
9644,178.0,173.0,180.0,172.0,5924100,JAST,2021-04-19,,,,181.8,178.58514327084285
10488,174.0,182.0,184.0,167.0,43993500,JAST,2021-04-20,,,,180.0,179.34400032176666
11332,185.0,177.0,187.0,176.0,35758800,JAST,2021-04-21,,,,178.7,178.82311136137406
12176,177.0,174.0,178.0,173.0,8152900,JAST,2021-04-22,,,,177.5,177.75130883662428
13020,174.0,172.0,174.0,171.0,4694300,JAST,2021-04-23,,,,176.4,176.4732402062633
13863,172.0,171.0,182.0,171.0,19545300,JAST,2021-04-26,,,,175.4,175.25696460487146
14706,172.0,170.0,175.0,169.0,5339700,JAST,2021-04-27,,,,174.6,174.08875024823337
15550,169.0,169.0,172.0,169.0,2483800,JAST,2021-04-28,,,,173.8,172.95791685973705
16394,169.0,170.0,175.0,169.0,6007700,JAST,2021-04-29,,,,173.6,172.3006020020177
17238,171.0,169.0,173.0,169.0,3080400,JAST,2021-04-30,,,,172.7,171.56713489045822
18081,170.0,163.0,170.0,160.0,7320300,JAST,2021-05-03,,,,171.7,169.66332713702306
18924,155.0,156.0,164.0,155.0,7573300,JAST,2021-05-04,,,,169.1,166.62703221768462
19766,157.0,150.0,158.0,149.0,7811200,JAST,2021-05-05,,,,166.4,162.93213616931027
20610,150.0,145.0,156.0,145.0,12155300,JAST,2021-05-06,,,,163.5,158.94721702057464
21454,147.0,143.0,147.0,141.0,5341700,JAST,2021-05-07,,,,160.6,155.4033910160025
22298,147.0,142.0,155.0,140.0,26798300,JAST,2021-05-10,,,,157.7,152.42485967911307
23141,143.0,144.0,148.0,143.0,7545200,JAST,2021-05-11,,,,155.1,150.55266863931016
23983,145.0,147.0,155.0,140.0,21322600,JAST,2021-05-17,,,,152.9,149.76318671946345
24823,148.0,145.0,154.0,145.0,9989500,JAST,2021-05-18,,,169.0,150.4,148.70470078180492
25663,147.0,155.0,155.0,139.0,29583800,JAST,2021-05-19,,,168.13333333333333,149.0,150.10365616362606
26574,161.0,146.0,167.0,145.0,61854200,JAST,2021-05-20,,,166.93333333333334,147.3,149.19173257170917
27387,146.0,143.0,155.0,143.0,6387800,JAST,2021-05-21,,,165.03333333333333,146.0,147.81579200021824
28229,136.0,138.0,152.0,135.0,33136800,JAST,2021-05-24,,,163.3,144.8,145.63450488905863
29071,134.0,139.0,142.0,134.0,4768400,JAST,2021-05-25,,,161.73333333333332,144.2,144.16017046926783
29862,136.0,141.0,145.0,136.0,4174800,JAST,2021-05-27,,,160.33333333333334,144.0,143.45791036498608
30704,141.0,140.0,143.0,136.0,5206600,JAST,2021-05-28,,,158.96666666666667,143.8,142.68948583943362
31546,140.0,142.0,152.0,138.0,31448100,JAST,2021-05-31,,,157.76666666666668,143.6,142.53626676400393
32388,140.0,142.0,144.0,138.0,5927000,JAST,2021-06-02,,,156.6,143.1,142.41709637200304
33229,142.0,141.0,146.0,139.0,8912500,JAST,2021-06-03,,,155.56666666666666,142.7,142.10218606711348
34070,143.0,140.0,143.0,140.0,2668300,JAST,2021-06-04,,,154.3,141.2,141.63503360775493
34911,140.0,139.0,143.0,139.0,3128200,JAST,2021-06-07,,,153.16666666666666,140.5,141.04947058380938
35752,139.0,139.0,141.0,137.0,3607700,JAST,2021-06-08,,,151.73333333333332,140.1,140.5940326762962
36595,138.0,138.0,141.0,136.0,4785700,JAST,2021-06-09,,,150.43333333333334,140.1,140.0175809704526
37438,138.0,147.0,148.0,138.0,32326700,JAST,2021-06-10,,,149.53333333333333,140.9,141.56922964368536
38285,147.0,145.0,149.0,142.0,11277300,JAST,2021-06-11,,,148.63333333333333,141.3,142.33162305619973
39132,145.0,142.0,147.0,141.0,4905600,JAST,2021-06-14,,,147.66666666666666,141.5,142.2579290437109
39979,145.0,138.0,145.0,138.0,3597300,JAST,2021-06-15,,,146.6,141.1,141.31172258955291
