,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126458,15.0,14.0,15.0,12.0,379700,JAYA-W,2020-07-01,,,,,
133879,14.0,14.0,14.0,13.0,130400,JAYA-W,2020-07-02,,,,,
107553,13.0,13.0,17.0,13.0,2985700,JAYA-W,2020-07-03,,,,,
89412,14.0,13.0,14.0,12.0,243800,JAYA-W,2020-07-06,,,,,
34139,11.0,13.0,13.0,11.0,444200,JAYA-W,2020-07-07,,,,,
51486,13.0,14.0,15.0,11.0,470400,JAYA-W,2020-07-08,,,,,
119881,14.0,14.0,15.0,12.0,170300,JAYA-W,2020-07-09,,,,,
23435,14.0,13.0,15.0,13.0,162500,JAYA-W,2020-07-10,,,,,13.5
15199,15.0,13.0,15.0,13.0,91800,JAYA-W,2020-07-13,,,,,13.38888888888889
31677,15.0,14.0,15.0,13.0,116100,JAYA-W,2020-07-14,,,,13.5,13.524691358024691
95184,14.0,13.0,14.0,13.0,12800,JAYA-W,2020-07-15,,,,13.4,13.40809327846365
21790,15.0,13.0,15.0,12.0,285600,JAYA-W,2020-07-16,,,,13.3,13.317405883249505
109990,13.0,13.0,13.0,12.0,2600,JAYA-W,2020-07-17,,,,13.3,13.246871242527392
82824,13.0,13.0,15.0,12.0,535900,JAYA-W,2020-07-20,,,,13.3,13.192010966410194
108361,14.0,13.0,14.0,13.0,257600,JAYA-W,2020-07-21,,,,13.3,13.149341862763485
99304,12.0,13.0,13.0,12.0,242900,JAYA-W,2020-07-22,,,,13.2,13.116154782149378
8608,11.0,13.0,13.0,11.0,17300,JAYA-W,2020-07-23,,,,13.1,13.090342608338405
106739,13.0,12.0,13.0,11.0,255500,JAYA-W,2020-07-24,,,,13.0,12.84804425092987
59735,10.0,14.0,14.0,10.0,2633500,JAYA-W,2020-07-27,,,,13.1,13.104034417389899
43224,12.0,11.0,12.0,10.0,1898100,JAYA-W,2020-07-28,,,,12.8,12.636471213525477
116592,11.0,11.0,12.0,10.0,125500,JAYA-W,2020-07-29,,,,12.6,12.272810943853148
85278,11.0,10.0,11.0,8.0,3686400,JAYA-W,2020-07-30,,,,12.3,11.767741845219115
123178,10.0,9.0,11.0,8.0,272700,JAYA-W,2020-08-03,,,,11.9,11.15268810183709
6971,9.0,10.0,10.0,9.0,24000,JAYA-W,2020-08-04,,,,11.6,10.896535190317737
58091,10.0,10.0,10.0,9.0,567400,JAYA-W,2020-08-05,,,,11.3,10.697305148024906
74580,10.0,10.0,11.0,9.0,138900,JAYA-W,2020-08-06,,,,11.0,10.542348448463816
46529,11.0,11.0,11.0,10.0,171500,JAYA-W,2020-08-07,,,,10.8,10.644048793249635
104260,11.0,11.0,11.0,10.0,103500,JAYA-W,2020-08-10,,,,10.7,10.723149061416382
57275,11.0,11.0,11.0,11.0,106800,JAYA-W,2020-08-11,,,,10.4,10.784671492212741
125641,10.0,10.0,10.0,10.0,10000,JAYA-W,2020-08-12,,,12.2,10.3,10.610300049498798
67156,10.0,11.0,11.0,10.0,125100,JAYA-W,2020-08-13,,,12.1,10.3,10.696900038499065
92727,10.0,11.0,11.0,10.0,567600,JAYA-W,2020-08-14,,,12.0,10.4,10.764255585499273
65512,11.0,11.0,11.0,10.0,266300,JAYA-W,2020-08-18,,,11.933333333333334,10.6,10.8166432331661
94368,10.0,11.0,11.0,10.0,93100,JAYA-W,2020-08-19,,,11.866666666666667,10.7,10.857389181351412
10256,9.0,11.0,11.0,9.0,130200,JAYA-W,2020-08-24,,,11.8,10.8,10.889080474384432
134687,11.0,10.0,11.0,9.0,297800,JAYA-W,2020-08-25,,,11.666666666666666,10.8,10.691507035632336
109174,11.0,11.0,11.0,10.0,341000,JAYA-W,2020-08-26,,,11.566666666666666,10.8,10.76006102771404
3676,11.0,11.0,11.0,10.0,283500,JAYA-W,2020-08-27,,,11.5,10.8,10.813380799333142
83636,10.0,11.0,11.0,10.0,397200,JAYA-W,2020-08-28,,,11.433333333333334,10.8,10.854851732814666
27555,11.0,11.0,11.0,11.0,1200000,JAYA-W,2020-08-31,,,11.333333333333334,10.9,10.887106903300296
34950,12.0,12.0,12.0,11.0,386700,JAYA-W,2020-09-01,,,11.3,11.0,11.134416480344674
39088,12.0,11.0,12.0,11.0,449900,JAYA-W,2020-09-02,,,11.233333333333333,11.0,11.104546151379191
72927,10.0,11.0,12.0,10.0,499700,JAYA-W,2020-09-03,,,11.166666666666666,11.0,11.081313673294927
12731,10.0,11.0,11.0,10.0,98100,JAYA-W,2020-09-04,,,11.1,11.0,11.063243968118277
26736,11.0,11.0,11.0,10.0,161000,JAYA-W,2020-09-07,,,11.033333333333333,11.0,11.049189752980881
113285,10.0,11.0,11.0,10.0,23200,JAYA-W,2020-09-08,,,10.966666666666667,11.1,11.038258696762908
127266,10.0,11.0,11.0,10.0,161200,JAYA-W,2020-09-09,,,10.9,11.1,11.029756764148928
7785,10.0,10.0,10.0,10.0,36000,JAYA-W,2020-09-10,,,10.833333333333334,11.0,10.80092192767139
17662,11.0,9.0,11.0,9.0,110000,JAYA-W,2020-09-11,,,10.666666666666666,10.8,10.400717054855525
47346,11.0,10.0,11.0,9.0,254800,JAYA-W,2020-09-14,,,10.633333333333333,10.7,10.311668820443186
70453,9.0,10.0,10.0,9.0,24500,JAYA-W,2020-09-15,,,10.6,10.5,10.242409082566923
1197,9.0,10.0,10.0,9.0,130000,JAYA-W,2020-09-16,,,10.6,10.4,10.188540397552051
60551,9.0,10.0,10.0,9.0,320400,JAYA-W,2020-09-17,,,10.633333333333333,10.3,10.146642531429373
66331,10.0,11.0,11.0,10.0,141800,JAYA-W,2020-09-18,,,10.666666666666666,10.3,10.336277524445068
76223,11.0,10.0,11.0,9.0,549200,JAYA-W,2020-09-21,,,10.666666666666666,10.2,10.261549185679497
105079,9.0,10.0,10.0,9.0,161100,JAYA-W,2020-09-22,,,10.666666666666666,10.1,10.203427144417386
81176,10.0,9.0,10.0,9.0,70300,JAYA-W,2020-09-23,,,10.6,9.9,9.935998890102411
69626,9.0,8.0,9.0,8.0,32800,JAYA-W,2020-09-24,,,10.5,9.7,9.505776914524098
101781,9.0,10.0,10.0,8.0,279800,JAYA-W,2020-09-25,,,10.466666666666667,9.8,9.615604266852076
63863,9.0,10.0,10.0,9.0,85600,JAYA-W,2020-09-28,,,10.466666666666667,9.8,9.701025540884947
16013,9.0,10.0,10.0,8.0,144700,JAYA-W,2020-09-29,,,10.433333333333334,9.8,9.76746430957718
88588,9.0,10.0,10.0,9.0,148400,JAYA-W,2020-09-30,,,10.4,9.8,9.819138907448918
96822,9.0,10.0,10.0,9.0,300700,JAYA-W,2020-10-01,,,10.366666666666667,9.8,9.85933026134916
72106,9.0,10.0,10.0,9.0,67800,JAYA-W,2020-10-02,,,10.333333333333334,9.7,9.890590203271568
11910,9.0,10.0,10.0,9.0,220800,JAYA-W,2020-10-05,,,10.3,9.7,9.914903491433442
124819,10.0,10.0,11.0,10.0,183300,JAYA-W,2020-10-06,,,10.3,9.7,9.933813826670455
20968,10.0,11.0,13.0,10.0,2829100,JAYA-W,2020-10-07,,,10.3,9.9,10.170744087410354
19312,11.0,11.0,11.0,10.0,242200,JAYA-W,2020-10-08,,,10.3,10.2,10.355023179096941
114945,11.0,11.0,11.0,11.0,50500,JAYA-W,2020-10-09,,,10.3,10.3,10.498351361519843
28376,11.0,11.0,12.0,10.0,513800,JAYA-W,2020-10-12,,,10.3,10.4,10.609828836737655
80351,10.0,12.0,15.0,10.0,5055900,JAYA-W,2020-10-13,,,10.3,10.6,10.918755761907065
111634,12.0,13.0,17.0,11.0,9429100,JAYA-W,2020-10-14,,,10.366666666666667,10.9,11.381254481483273
14377,13.0,11.0,13.0,10.0,1874500,JAYA-W,2020-10-15,,,10.366666666666667,11.0,11.29653126337588
5325,11.0,11.0,12.0,10.0,143100,JAYA-W,2020-10-16,,,10.366666666666667,11.1,11.230635427070128
372,10.0,11.0,12.0,10.0,656000,JAYA-W,2020-10-19,,,10.366666666666667,11.2,11.179383109943434
